check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
not,"Will an Artificial General Intelligence (AGI) Pass the Turing Test by 2030?

Will an AI system be developed that can successfully pass the Turing Test, convincingly simulating human conversation across a broad range of topics, by December 31, 2030? Confirmation requires acknowledgment by a consensus of AI experts and publication in reputable sources.",0.15,"Will Global Regulations Impede AGI Development Before It Passes the Turing Test by 2030?

Will international regulatory efforts and agreements be established that significantly restrict AGI research and development before an AI passes the Turing Test, effectively preventing such an achievement by December 31, 2030? Evidence includes treaties, laws, or regulations enacted by major world powers.",0.25,,,,,1.0671435935023752
not,"Will Personalized Cancer Vaccines Become Widely Available by 2030?

Will personalized cancer vaccines, tailored to individual genetic profiles and effective across multiple cancer types, receive regulatory approval and become widely available to patients by December 31, 2030? Confirmation requires approvals from agencies like the FDA and evidence of widespread clinical use.",0.35,"Notwithstanding Technological Advances, Will Cost Barriers Prevent Patient Access to Personalized Cancer Vaccines by 2030?

Despite potential technological successes, will high costs and lack of insurance coverage prevent the majority of patients from accessing personalized cancer vaccines by December 31, 2030? Indicators include treatment costs, insurance policies, and patient access statistics.",0.65,,,,,0.0
not,"Will a Global Agreement to Geoengineer Earth's Climate Be Reached by 2030?

Will international governments reach a formal global agreement to implement large-scale geoengineering projects (e.g., solar radiation management) to mitigate climate change by December 31, 2030? Confirmation requires signed treaties recognized by bodies like the UN.",0.25,"Notwithstanding the Agreement, Will Legal or Technical Challenges Delay Implementation Beyond 2040?

Despite reaching an agreement by December 31, 2030, will legal disputes, technical hurdles, or public opposition delay the actual implementation of geoengineering initiatives until after December 31, 2040? Evidence includes legal proceedings, technical reports, and policy analyses.",0.65,,,,,0.1549895147545551
not,"Will a Universal Vaccine Effective Against All Influenza Strains Be Developed and Deployed by 2032?

Will researchers develop a universal influenza vaccine that is safe, effective against all known flu strains, and approved for public use by December 31, 2032? Confirmation requires regulatory approvals and widespread vaccination campaigns.",0.35,"Notwithstanding Its Development, Will Vaccine Hesitancy Result in Less Than 50% Adoption in Developed Countries by 2035?

Despite the availability of a universal influenza vaccine by December 31, 2032, will widespread vaccine hesitancy and distrust lead to adoption rates below 50% in developed countries by December 31, 2035? Evidence includes public health records and vaccination statistics.",0.25,,,,,0.6199580590182205
and,"Will a Fully Autonomous Cargo Ship Complete a Transatlantic Voyage by 2026?

Will a fully autonomous commercial cargo ship successfully complete an unassisted transatlantic voyage by December 31, 2026? Confirmation requires documentation from maritime authorities and the company operating the vessel.",0.35,"And Will This Lead to Significant Regulatory Overhauls in International Maritime Law by 2028?

Will the success of a fully autonomous cargo ship completing a transatlantic voyage by December 31, 2026, prompt significant changes and updates in international maritime law by December 31, 2028? Evidence includes amendments to treaties such as SOLAS or new regulations by the IMO.",0.45,"Will a Fully Autonomous Cargo Ship Complete a Transatlantic Voyage by 2026 and Prompt Regulatory Overhauls by 2028? Body: Will both of the following occur: (a) A fully autonomous commercial cargo ship successfully completes an unassisted transatlantic voyage by December 31, 2026, with confirmation from maritime authorities and the company operating the vessel. (b) This success prompts significant changes and updates in international maritime law by December 31, 2028, evidenced by amendments to treaties such as SOLAS or new regulations by the IMO?

Will both of the following occur: (a) A fully autonomous commercial cargo ship successfully completes an unassisted transatlantic voyage by December 31, 2026, with confirmation from maritime authorities and the company operating the vessel. (b) This success prompts significant changes and updates in international maritime law by December 31, 2028, evidenced by amendments to treaties such as SOLAS or new regulations by the IMO?",0.25,,,0.0
and,"Will a Major Breakthrough in Superconductivity Allow for Room-Temperature Superconductors by 2030?

Will scientists discover or engineer materials that exhibit superconductivity at room temperature and ambient pressure by December 31, 2030? Confirmation requires replication of results and publication in top-tier scientific journals.",0.35,"And Will This Breakthrough Revolutionize Global Power Grids by 2035?

Assuming room-temperature superconductors are developed by December 31, 2030, will they be integrated into global power grids, significantly improving efficiency and reducing losses, by December 31, 2035? Evidence includes infrastructure projects, industry reports, and energy efficiency data.",0.45,"Will both a Major Breakthrough in Room-Temperature Superconductors Occur by 2030 and Revolutionize Global Power Grids by 2035? Body: Will both of the following occur: (a) Scientists discover or engineer materials that exhibit superconductivity at room temperature and ambient pressure by December 31, 2030, with confirmation requiring replication of results and publication in top-tier scientific journals. (b) Assuming room-temperature superconductors are developed by December 31, 2030, they are integrated into global power grids, significantly improving efficiency and reducing losses, by December 31, 2035, with evidence including infrastructure projects, industry reports, and energy efficiency data.

Will both of the following occur: (a) Scientists discover or engineer materials that exhibit superconductivity at room temperature and ambient pressure by December 31, 2030, with confirmation requiring replication of results and publication in top-tier scientific journals. (b) Assuming room-temperature superconductors are developed by December 31, 2030, they are integrated into global power grids, significantly improving efficiency and reducing losses, by December 31, 2035, with evidence including infrastructure projects, industry reports, and energy efficiency data.",0.15,,,0.0
or,"Will a Novel Antibiotic Class Be Discovered and Approved to Combat Multi-Drug Resistant Bacteria by 2028?

Will scientists discover and have regulatory approval for a new class of antibiotics effective against multi-drug resistant bacteria by December 31, 2028? Confirmation requires peer-reviewed publication of the discovery and approval from regulatory bodies such as the FDA or EMA.",0.35,"Or Will Antimicrobial Resistance Continue Unabated, Leading to a Global Health Crisis by 2030?

Alternatively, will antimicrobial resistance continue to rise unchecked, resulting in a global health crisis by December 31, 2030, characterized by widespread untreatable infections and significant mortality rates? Evidence includes reports from the WHO and documented escalations in mortality statistics.",0.65,"Will Either a Novel Antibiotic Class Be Discovered and Approved by 2028, or Will Antimicrobial Resistance Lead to a Global Health Crisis by 2030?

Will either of the following occur: (a) Scientists discover and obtain regulatory approval for a new class of antibiotics effective against multi-drug resistant bacteria by December 31, 2028? Confirmation requires peer-reviewed publication of the discovery and approval from regulatory bodies such as the FDA or EMA. (b) Antimicrobial resistance continues to rise unchecked, resulting in a global health crisis by December 31, 2030, characterized by widespread untreatable infections and significant mortality rates? Evidence includes reports from the WHO and documented escalations in mortality statistics.",0.75,,,0.0
or,"Will a Space Telescope Discover a Definitive Biosignature on an Exoplanet by 2035?

Will observations from space-based telescopes conclusively identify biosignatures (such as specific atmospheric gases indicative of life) on an exoplanet by December 31, 2035? Confirmation requires publication in peer-reviewed journals and consensus in the astrophysics community.",0.45,"Or Will the Lack of Evidence for Extraterrestrial Life Lead to a Funding Decline in Exoplanet Research by 2040?

Alternatively, will the absence of definitive evidence for extraterrestrial life by December 31, 2040, result in a significant decline in funding for exoplanetary research from major space agencies like NASA and ESA? Evidence includes budget reports and policy statements.",0.25,"Will Either a Space Telescope Discover a Definitive Biosignature on an Exoplanet by 2035, or Will the Lack of Evidence for Extraterrestrial Life Lead to a Funding Decline in Exoplanet Research by 2040?

Will either of the following occur:  
(a) Observations from space-based telescopes conclusively identify biosignatures (such as specific atmospheric gases indicative of life) on an exoplanet by December 31, 2035? Confirmation requires publication in peer-reviewed journals and consensus in the astrophysics community.  
(b) The absence of definitive evidence for extraterrestrial life by December 31, 2040, results in a significant decline in funding for exoplanetary research from major space agencies like NASA and ESA? Evidence includes budget reports and policy statements.  

Resolution criteria:  
- For part (a), a ""Yes"" requires that a definitive biosignature is identified and confirmed through peer-reviewed publications and consensus in the astrophysics community by the specified date.  
- For part (b), a ""Yes"" requires documented evidence of a significant decline in funding for exoplanetary research from major space agencies, as shown in budget reports and policy statements, due to the lack of evidence for extraterrestrial life by the specified date.",0.35,,,0.14488502872732603
or,"Will medical nanobots Be Used in Human Trials to Treat Neurodegenerative Diseases by 2028?

Will nanobot technologies be approved for human clinical trials aimed at treating neurodegenerative diseases like Alzheimer's or Parkinson's by December 31, 2028? Confirmation requires regulatory approvals and documentation of trial commencement.",0.35,"Or Will Technical Barriers Prevent Nanobot Therapeutics from Advancing to Human Trials Before 2035?

Alternatively, will technical challenges related to safety, controllability, or manufacturing prevent nanobot therapeutics from entering human trials before December 31, 2035? Evidence includes scientific publications, industry reports, and statements from regulatory agencies.",0.65,"Will Either Medical Nanobots Be Used in Human Trials for Neurodegenerative Diseases by 2028, or Will Technical Barriers Prevent Their Advancement to Human Trials Before 2035?

Will either of the following occur: (a) Nanobot technologies be approved for human clinical trials aimed at treating neurodegenerative diseases like Alzheimer's or Parkinson's by December 31, 2028, with confirmation requiring regulatory approvals and documentation of trial commencement, or (b) Technical challenges related to safety, controllability, or manufacturing prevent nanobot therapeutics from entering human trials before December 31, 2035, with evidence including scientific publications, industry reports, and statements from regulatory agencies?",0.75,,,0.0
or,"Will Sustainable Nuclear Fusion Be Achieved and Widely Adopted for Energy Production by 2050?

Will sustainable and controlled nuclear fusion become a practical and widely adopted source of energy for electricity generation by December 31, 2050? Confirmation requires that fusion energy accounts for at least 10% of global electricity production, as reported by international energy agencies.",0.35,"Or Will Renewable Energy Technologies Render Fusion Energy Economically Unviable by 2050?

Alternatively, will advancements and cost reductions in renewable energy technologies (solar, wind, etc.) make nuclear fusion economically unviable, resulting in minimal or no adoption for energy production by December 31, 2050? Evidence includes energy market analyses and infrastructure investment reports.",0.65,"Will Either Sustainable Nuclear Fusion Be Achieved and Widely Adopted or Will Renewable Energy Render Fusion Economically Unviable by 2050?

Will either of the following occur by December 31, 2050: 

(a) Sustainable and controlled nuclear fusion becomes a practical and widely adopted source of energy for electricity generation, with fusion energy accounting for at least 10% of global electricity production, as reported by international energy agencies. 

(b) Advancements and cost reductions in renewable energy technologies (such as solar and wind) make nuclear fusion economically unviable, resulting in minimal or no adoption for energy production, as evidenced by energy market analyses and infrastructure investment reports. 

Resolution criteria: For (a), confirmation requires reports from international energy agencies indicating that fusion energy accounts for at least 10% of global electricity production. For (b), evidence includes energy market analyses and infrastructure investment reports showing minimal or no adoption of nuclear fusion due to the economic viability of renewable energy technologies.",0.65,,,0.0
