question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score,generation_reasoning
iter1_h0_q0,1,"The model overestimates the probability of breakthroughs in quantum computing and their application in real-world scenarios, particularly in the field of cryptography and cybersecurity",AI and Computing,Overestimation of breakthroughs,P,Will Google develop a quantum computer capable of simulating complex chemical reactions by 2029?,"This question resolves as YES if Google develops a quantum computer capable of simulating complex chemical reactions by 2029, as reported by Google on their official website (google.com) by December 31, 2029. Resolution source: Google's official press releases.",0.48,"[0.45, 0.5, 0.45, 0.5, 0.5]",0.48206706127220145,
iter1_h0_q0,1,"The model overestimates the probability of breakthroughs in quantum computing and their application in real-world scenarios, particularly in the field of cryptography and cybersecurity",AI and Computing,Overestimation of breakthroughs,Q_given_P,"Given that Google develops a quantum computer, will the US National Institute of Standards and Technology invest more than $1.5 billion in quantum computing research for cybersecurity applications by 2031?","This question resolves as YES if the US National Institute of Standards and Technology invests more than $1.5 billion in quantum computing research for cybersecurity applications by 2031, given that Google develops a quantum computer, as reported by the US National Institute of Standards and Technology on their official website (nist.gov) by December 31, 2031. Resolution source: US National Institute of Standards and Technology's official budget reports.",0.53,"[0.5, 0.5, 0.5, 0.65, 0.5]",0.48206706127220145,
iter1_h0_q0,1,"The model overestimates the probability of breakthroughs in quantum computing and their application in real-world scenarios, particularly in the field of cryptography and cybersecurity",AI and Computing,Overestimation of breakthroughs,P_and_Q,Will both Google develop a quantum computer and the US National Institute of Standards and Technology invest more than $1.5 billion in quantum computing research by 2031?,"This question resolves as YES if both Google develops a quantum computer and the US National Institute of Standards and Technology invests more than $1.5 billion in quantum computing research by 2031, as reported by Google and the US National Institute of Standards and Technology on their official websites by December 31, 2031. Resolution source: Google's official press releases and US National Institute of Standards and Technology's official budget reports.",0.55,"[0.5, 0.5, 0.5, 0.75, 0.5]",0.48206706127220145,
iter1_h0_q1,1,"The model overestimates the probability of breakthroughs in quantum computing and their application in real-world scenarios, particularly in the field of cryptography and cybersecurity",AI and Computing,Overestimation of breakthroughs,P,Will Microsoft develop a quantum computer capable of simulating complex molecular interactions by 2030?,"This question resolves as YES if Microsoft develops a quantum computer capable of simulating complex molecular interactions by 2030, as reported by Microsoft on their official website (microsoft.com) by December 31, 2030. Resolution source: Microsoft's official press releases.",0.47000000000000003,"[0.35, 0.5, 0.5, 0.5, 0.5]",0.6661509666379488,
iter1_h0_q1,1,"The model overestimates the probability of breakthroughs in quantum computing and their application in real-world scenarios, particularly in the field of cryptography and cybersecurity",AI and Computing,Overestimation of breakthroughs,Q_given_P,"Given that Microsoft develops a quantum computer, will the US Department of Defense invest more than $2 billion in quantum computing research for cybersecurity applications by 2032?","This question resolves as YES if the US Department of Defense invests more than $2 billion in quantum computing research for cybersecurity applications by 2032, given that Microsoft develops a quantum computer, as reported by the US Department of Defense on their official website (defense.gov) by December 31, 2032. Resolution source: US Department of Defense's official budget reports.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.6661509666379488,
iter1_h0_q1,1,"The model overestimates the probability of breakthroughs in quantum computing and their application in real-world scenarios, particularly in the field of cryptography and cybersecurity",AI and Computing,Overestimation of breakthroughs,P_and_Q,Will both Microsoft develop a quantum computer and the US Department of Defense invest more than $2 billion in quantum computing research by 2032?,"This question resolves as YES if both Microsoft develops a quantum computer and the US Department of Defense invests more than $2 billion in quantum computing research by 2032, as reported by Microsoft and the US Department of Defense on their official websites by December 31, 2032. Resolution source: Microsoft's official press releases and US Department of Defense's official budget reports.",0.63,"[0.5, 0.5, 0.7, 0.7, 0.75]",0.6661509666379488,
iter1_h0_q2,1,"The model overestimates the probability of breakthroughs in quantum computing and their application in real-world scenarios, particularly in the field of cryptography and cybersecurity",AI and Computing,Overestimation of breakthroughs,P,Will Amazon develop a quantum computer capable of simulating complex materials science by 2031?,"This question resolves as YES if Amazon develops a quantum computer capable of simulating complex materials science by 2031, as reported by Amazon on their official website (amazon.com) by December 31, 2031. Resolution source: Amazon's official press releases.",0.37,"[0.5, 0.5, 0.25, 0.35, 0.25]",0.44315584186542945,
iter1_h0_q2,1,"The model overestimates the probability of breakthroughs in quantum computing and their application in real-world scenarios, particularly in the field of cryptography and cybersecurity",AI and Computing,Overestimation of breakthroughs,Q_given_P,"Given that Amazon develops a quantum computer, will the US National Science Foundation invest more than $1.2 billion in quantum computing research for cryptography applications by 2033?","This question resolves as YES if the US National Science Foundation invests more than $1.2 billion in quantum computing research for cryptography applications by 2033, given that Amazon develops a quantum computer, as reported by the US National Science Foundation on their official website (nsf.gov) by December 31, 2033. Resolution source: US National Science Foundation's official budget reports.",0.6199999999999999,"[0.65, 0.5, 0.65, 0.65, 0.65]",0.44315584186542945,
iter1_h0_q2,1,"The model overestimates the probability of breakthroughs in quantum computing and their application in real-world scenarios, particularly in the field of cryptography and cybersecurity",AI and Computing,Overestimation of breakthroughs,P_and_Q,Will both Amazon develop a quantum computer and the US National Science Foundation invest more than $1.2 billion in quantum computing research by 2033?,"This question resolves as YES if both Amazon develops a quantum computer and the US National Science Foundation invests more than $1.2 billion in quantum computing research by 2033, as reported by Amazon and the US National Science Foundation on their official websites by December 31, 2033. Resolution source: Amazon's official press releases and US National Science Foundation's official budget reports.",0.5,"[0.5, 0.45, 0.45, 0.45, 0.65]",0.44315584186542945,
iter1_h1_q0,1,"The model assumes a strong correlation between individual and national sports performance, particularly in the context of Olympic Games and World Championships",Sports,Overestimation of correlation,P,Will Noah Lyles win the 100m dash at the 2027 World Championships?,"This question resolves as YES if Noah Lyles wins the 100m dash at the 2027 World Championships, as announced by World Athletics on their official website (worldathletics.org) by August 31, 2027. Resolution source: World Athletics' official website.",0.39,"[0.45, 0.45, 0.35, 0.35, 0.35]",0.17722586192828896,
