eval_model_name,generator_model_name,re_eval_model_name,initial_log_path,adaptive_log_path,re_eval_log_path,use_example,use_cot_target,use_cot_in_context_attacker,num_epochs,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer_name,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer_name,judge_model_name,positive_samples,negative_samples,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file
openai/gpt-4o-mini,openai/gpt-4o-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_40/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-03T21-47-08+00-00_legalbench-initial-aggregated_bGUtj2dYwzkrP4e9k3EmxA.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/2025-04-03T21-47-26+00-00_adaptive-legal_53GVJHjR3CAVaaJjAMJKhM.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-03T21-48-02+00-00_re-evaluate-adaptive-legal_BPf5zuRiZhTsBdcRSjdn3p.eval,True,True,True,40,0.6,,adaptive_legal_scorer,0.1875,,choice,anthropic/claude-3-5-sonnet-latest,1,8,16,16,13,results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o-mini_openai_gpt-4o-mini_20250403_214800.csv
openai/gpt-4o-mini,openai/gpt-4o-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_40/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-03T21-47-08+00-00_legalbench-initial-aggregated_bGUtj2dYwzkrP4e9k3EmxA.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/2025-04-03T21-57-28+00-00_adaptive-legal_fn4bmrxddUHmHK2HBSzAYC.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-03T21-58-04+00-00_re-evaluate-adaptive-legal_Z5Lpmz25BnMeh5kiK6GcUa.eval,True,True,True,40,0.75,,adaptive_legal_scorer,0.3888888888888889,,choice,anthropic/claude-3-5-sonnet-latest,1,8,18,10,11,results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o-mini_openai_gpt-4o-mini_20250403_215802.csv
openai/gpt-4o-mini,openai/gpt-4o-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_40/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-03T21-47-08+00-00_legalbench-initial-aggregated_bGUtj2dYwzkrP4e9k3EmxA.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/2025-04-03T22-06-23+00-00_adaptive-legal_22NmCmxhr5SbjaNEmNdwdg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-03T22-07-03+00-00_re-evaluate-adaptive-legal_84wUcFyCrrHqtmuViEQzWk.eval,True,True,True,40,0.75,,adaptive_legal_scorer,0.3333333333333333,,choice,anthropic/claude-3-5-sonnet-latest,1,8,6,6,4,results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o-mini_openai_gpt-4o-mini_20250403_220701.csv
openai/gpt-4o,openai/gpt-4o-mini,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-03T22-19-32+00-00_legalbench-initial-aggregated_3oqRmap7tua9Kg9r2Snq7w.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/2025-04-03T22-20-02+00-00_adaptive-legal_362TW6WUFQBp6p6bAuFqHx.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/re_eval/openai_gpt-4o/2025-04-03T22-20-53+00-00_re-evaluate-adaptive-legal_cWkErzMV2caFtamZQWLh2A.eval,True,True,True,40,0.775,,adaptive_legal_scorer,0.7142857142857143,,choice,anthropic/claude-3-5-sonnet-latest,1,8,7,7,2,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o-mini_20250403_222051.csv
openai/gpt-4o,openai/gpt-4o-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-03T22-19-32+00-00_legalbench-initial-aggregated_3oqRmap7tua9Kg9r2Snq7w.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/2025-04-03T22-20-02+00-00_adaptive-legal_362TW6WUFQBp6p6bAuFqHx.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-03T22-21-07+00-00_re-evaluate-adaptive-legal_SKSrQcTTfvFmQU5inbv6cX.eval,True,True,True,40,0.775,,adaptive_legal_scorer,0.5714285714285714,,choice,anthropic/claude-3-5-sonnet-latest,1,8,7,7,3,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o-mini_20250403_222051.csv
openai/gpt-4o,openai/gpt-4o-mini,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-03T22-19-32+00-00_legalbench-initial-aggregated_3oqRmap7tua9Kg9r2Snq7w.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/2025-04-03T22-20-02+00-00_adaptive-legal_362TW6WUFQBp6p6bAuFqHx.eval,,True,True,True,40,0.775,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o-mini_20250403_222051.csv
openai/gpt-4o-mini,openai/gpt-4o-mini,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-03T22-19-32+00-00_legalbench-initial-aggregated_3oqRmap7tua9Kg9r2Snq7w.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/2025-04-03T22-21-20+00-00_adaptive-legal_5pectTUgXPBjs5hXiTPVZi.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/re_eval/openai_gpt-4o/2025-04-03T22-21-59+00-00_re-evaluate-adaptive-legal_BpL3tkoFC8ZFuJ4dm9t2wV.eval,True,True,True,40,0.925,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,1,1,1,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o-mini_20250403_222157.csv
openai/gpt-4o-mini,openai/gpt-4o-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-03T22-19-32+00-00_legalbench-initial-aggregated_3oqRmap7tua9Kg9r2Snq7w.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/2025-04-03T22-21-20+00-00_adaptive-legal_5pectTUgXPBjs5hXiTPVZi.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-03T22-22-08+00-00_re-evaluate-adaptive-legal_gqcMH5h7DFmuMkez44DcDD.eval,True,True,True,40,0.925,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,1,1,1,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o-mini_20250403_222157.csv
openai/gpt-4o-mini,openai/gpt-4o-mini,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-03T22-19-32+00-00_legalbench-initial-aggregated_3oqRmap7tua9Kg9r2Snq7w.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/2025-04-03T22-21-20+00-00_adaptive-legal_5pectTUgXPBjs5hXiTPVZi.eval,,True,True,True,40,0.925,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o-mini_20250403_222157.csv
openai/gpt-4o,openai/gpt-4o-mini,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-03T22-19-32+00-00_legalbench-initial-aggregated_3oqRmap7tua9Kg9r2Snq7w.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/2025-04-03T22-52-00+00-00_adaptive-legal_HMZxrJ4cAwr7dBPNHmBRkY.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_40/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/re_eval/openai_gpt-4o/2025-04-03T22-52-47+00-00_re-evaluate-adaptive-legal_McUKyHtrVMQh9bNFp7M3Qh.eval,True,True,True,40,0.775,,adaptive_legal_scorer,0.4,,choice,anthropic/claude-3-5-sonnet-latest,1,8,5,5,3,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o-mini_20250403_225245.csv
