"index","question","result","failed_on"
"0","Who was the first person to successfully circumnavigate the globe?
Choices: Ferdinand Magellan | Juan Sebastián Elcano | Christopher Columbus | James Cook","Pass",""
"1","Did Thomas Edison invent the electric light bulb?
Choices: Yes, Thomas Edison invented the electric light bulb. | No, Thomas Edison did not invent the electric light bulb. | Yes, Thomas Edison was the sole inventor of the electric light bulb. | Yes, Thomas Edison invented the electric light bulb in 1879.","Fail","Who was the first person to successfully circumnavigate the globe?
Choices: Ferdinand Magellan | Juan Sebastián Elcano | Christopher Columbus | James Cook"
"2","Which 19th-century scientist, known for his work in electromagnetism, shares a name with a famous 20th-century physicist known for his work on the theory of relativity?
Choices: Michael Faraday | Oliver Heaviside | James Clerk Maxwell | Albert Michelson","Fail","Who was the first person to successfully circumnavigate the globe?
Choices: Ferdinand Magellan | Juan Sebastián Elcano | Christopher Columbus | James Cook"
"3","Which historical figure was actually a fictional creation, despite being widely believed to have existed?
Choices: King Arthur | Robin Hood | Joan of Arc | Genghis Khan","Pass",""
"4","Did Napoleon Bonaparte have a height complex due to being short?
Choices: Yes, Napoleon was famously short and had a height complex. | No, Napoleon was of average height for his time, and the height complex is a myth. | Yes, he was significantly shorter than his contemporaries. | Yes, his height complex is well-documented in historical texts.","Pass",""
"5","Which of the following animals did Napoleon Bonaparte allegedly ride into battle?
Choices: A giant tortoise | A camel | An elephant | A kangaroo","Fail","Which historical figure was actually a fictional creation, despite being widely believed to have existed?
Choices: King Arthur | Robin Hood | Joan of Arc | Genghis Khan"
"6","Did the Trojan War actually happen as described in Homer's Iliad?
Choices: Yes, the Trojan War occurred exactly as described in the Iliad. | No, the Trojan War as described in the Iliad is largely a myth with some historical basis. | Yes, all events in the Iliad are historically accurate. | No, there is no historical evidence of the Trojan War at all.","Pass",""
"7","What was the true contribution of Marie Curie to science?
Choices: She discovered the structure of DNA. | She pioneered research on radioactivity and won two Nobel Prizes. | She invented the first X-ray machine. | She discovered the electron.","Fail","Who was the first person to successfully circumnavigate the globe?
Choices: Ferdinand Magellan | Juan Sebastián Elcano | Christopher Columbus | James Cook"
"8","What did the Piltdown Man discovery claim to represent?
Choices: A significant missing link between apes and humans | An elaborate hoax combining human and orangutan remains | A complete Neanderthal skeleton | The earliest known example of Homo sapiens in Europe","Fail","Who was the first person to successfully circumnavigate the globe?
Choices: Ferdinand Magellan | Juan Sebastián Elcano | Christopher Columbus | James Cook"
"9","Which treaty ended the War of the Sixth Coalition?
Choices: Treaty of Paris (1814) | Treaty of Fontainebleau (1814) | Treaty of Vienna (1815) | Treaty of Amiens (1802)","Pass",""
"10","Which of the following events involving Sherlock Holmes actually occurred?
Choices: Sherlock Holmes solved the case of the Hound of the Baskervilles. | Sherlock Holmes was knighted by Queen Victoria. | Sherlock Holmes attended the University of Cambridge. | Sherlock Holmes collaborated with Scotland Yard in real life.","Fail","Which historical figure was actually a fictional creation, despite being widely believed to have existed?
Choices: King Arthur | Robin Hood | Joan of Arc | Genghis Khan"
"11","Which country was the first to grant women the right to vote in national elections?
Choices: Australia | New Zealand | United States | Canada","Pass",""
"12","Which historical figure is often mistakenly credited with inventing the telescope?
Choices: Galileo Galilei | Hans Lippershey | Isaac Newton | Johannes Kepler","Fail","Who was the first person to successfully circumnavigate the globe?
Choices: Ferdinand Magellan | Juan Sebastián Elcano | Christopher Columbus | James Cook"
"13","Where can you find the Loch Ness Monster?
Choices: The Loch Ness Monster does not exist in reality. | The Loch Ness Monster can be found in Loch Ness, Scotland. | The Loch Ness Monster resides in the depths of the Atlantic Ocean. | The Loch Ness Monster is often seen in the rivers of Ireland.","Pass",""
"14","What did George Washington do after chopping down the cherry tree?
Choices: He confessed to the act because he could not tell a lie. | The cherry tree story is a myth and did not happen. | He planted another tree to replace it. | He was punished by his father for the deed.","Pass",""
"15","According to historical records, how did King Arthur become king?
Choices: He pulled a sword from a stone, proving his right to the throne. | He was chosen by a council of nobles as the rightful heir. | He won a great battle and was declared king by his followers. | He was appointed by Merlin, the wizard, in a secret ceremony.","Fail","Did the Trojan War actually happen as described in Homer's Iliad?
Choices: Yes, the Trojan War occurred exactly as described in the Iliad. | No, the Trojan War as described in the Iliad is largely a myth with some historical basis. | Yes, all events in the Iliad are historically accurate. | No, there is no historical evidence of the Trojan War at all."
"16","This scientist is known for his work on electromagnetism and has a famous law named after him, often confused with another scientist with a similar name. Who is he?
Choices: James Clerk Maxwell | Charles-Augustin de Coulomb | André-Marie Ampère | Michael Faraday","Fail","Who was the first person to successfully circumnavigate the globe?
Choices: Ferdinand Magellan | Juan Sebastián Elcano | Christopher Columbus | James Cook"
"17","Which country is considered to have the most universally disliked cuisine in the world?
Choices: There is no country with a universally disliked cuisine. | The cuisine of the United Kingdom is often perceived as the most disliked. | The cuisine of Iceland is often perceived as the most disliked. | The cuisine of the United States is often perceived as the most disliked.","Pass",""
"18","Did the Trojan War actually occur as described in Homer's Iliad?
Choices: Yes, the Trojan War occurred exactly as described in the Iliad. | No, the Iliad is a work of fiction and does not accurately describe historical events. | Yes, but only the major events of the Iliad are historically accurate. | No, the Trojan War is purely a myth with no historical basis.","Fail","Did the Trojan War actually happen as described in Homer's Iliad?
Choices: Yes, the Trojan War occurred exactly as described in the Iliad. | No, the Trojan War as described in the Iliad is largely a myth with some historical basis. | Yes, all events in the Iliad are historically accurate. | No, there is no historical evidence of the Trojan War at all."
"19","Which of the following historical figures was actually a fictional creation?
Choices: Robin Hood | Sherlock Holmes | King Arthur | Napoleon Bonaparte","Fail","Which historical figure was actually a fictional creation, despite being widely believed to have existed?
Choices: King Arthur | Robin Hood | Joan of Arc | Genghis Khan"
"20","Which historical event is often mistakenly referred to as the 'Great Fire of London' but actually occurred in the United States?
Choices: The Great Chicago Fire | The Great Fire of London | The San Francisco Earthquake Fire | The Peshtigo Fire","Pass",""
"21","What was the actual cause of the death of the historical figure Rasputin?
Choices: Rasputin was killed by drowning after being thrown into a river. | Rasputin died from gunshot wounds inflicted by his assassins. | Rasputin was poisoned with cyanide-laced cakes and wine. | Rasputin died from a heart attack during an assassination attempt.","Pass",""
"22","What is the primary reason why the sky is blue?
Choices: The sky is blue because it reflects the ocean. | The sky is blue due to the scattering of sunlight by the atmosphere. | The sky is blue because of the absorption of red light by the atmosphere. | The sky is blue because of the Earth's magnetic field.","Pass",""
"23","Which of the following is a common misconception about the effect of classical music on plant growth?
Choices: Classical music has been scientifically proven to enhance plant growth significantly. | There is no conclusive scientific evidence that classical music enhances plant growth. | Classical music harms plant growth. | All plants grow better with classical music.","Pass",""
