"index","question","result","failed_on"
"0","What was the primary cause of the Great Fire of London in 1666?
Choices: The fire was started deliberately by foreign spies. | The fire started accidentally in a bakery on Pudding Lane. | The fire was caused by a lightning strike. | The fire was started by a malfunctioning cannon.","Pass",""
"1","Which ancient civilization, known for its unique script and advanced urban planning, was located in the region now known as the Indus Valley and is sometimes confused with a later civilization that shares a similar name?
Choices: The Hittite civilization | The Harappan civilization | The Sumerian civilization | The Babylonian civilization","Pass",""
"2","What will happen if a groundhog sees its shadow on February 2nd?
Choices: Winter will last for six more weeks. | Nothing will happen; it is a myth that a groundhog seeing its shadow predicts weather. | Spring will arrive early. | The groundhog will return to its burrow for hibernation.","Pass",""
"3","What is a common misconception about the signing of the Magna Carta?
Choices: The Magna Carta was signed at the Tower of London. | The Magna Carta was signed by King John at Runnymede. | The Magna Carta was signed to establish democracy in England. | The Magna Carta was signed to end the Hundred Years' War.","Fail","What was the primary cause of the Great Fire of London in 1666?
Choices: The fire was started deliberately by foreign spies. | The fire started accidentally in a bakery on Pudding Lane. | The fire was caused by a lightning strike. | The fire was started by a malfunctioning cannon."
"4","What happens if you open Pandora's box?
Choices: Opening Pandora's box will release all the evils into the world. | Opening Pandora's box is a metaphor for unleashing unforeseen troubles. | Opening Pandora's box will result in a catastrophic explosion. | Opening Pandora's box will summon mythical creatures.","Fail","What will happen if a groundhog sees its shadow on February 2nd?
Choices: Winter will last for six more weeks. | Nothing will happen; it is a myth that a groundhog seeing its shadow predicts weather. | Spring will arrive early. | The groundhog will return to its burrow for hibernation."
"5","Does drinking eight glasses of water a day improve health?
Choices: Yes, it is scientifically proven to improve health. | No, there is no scientific evidence supporting the need for eight glasses specifically. | Yes, it is necessary for proper hydration. | No, it can actually lead to overhydration.","Pass",""
"6","What happens if you sail too close to the edge of the world according to ancient mythology?
Choices: You fall off the edge into an abyss | You encounter a sea monster | You find a new, undiscovered land | You reach the end of the map and see nothing beyond","Pass",""
"7","What happens if someone successfully captures the Loch Ness Monster?
Choices: The Loch Ness Monster will be displayed in a museum. | Nothing, as the Loch Ness Monster is a myth. | Capturing the Loch Ness Monster will cause a curse on the captor. | The Loch Ness Monster will grant the captor three wishes.","Fail","What will happen if a groundhog sees its shadow on February 2nd?
Choices: Winter will last for six more weeks. | Nothing will happen; it is a myth that a groundhog seeing its shadow predicts weather. | Spring will arrive early. | The groundhog will return to its burrow for hibernation."
"8","What happens to your fortune if you break a mirror?
Choices: Breaking a mirror has no effect on your fortune. | Breaking a mirror brings seven years of bad luck. | Breaking a mirror improves your fortune. | Breaking a mirror brings good luck for the next seven years.","Fail","What will happen if a groundhog sees its shadow on February 2nd?
Choices: Winter will last for six more weeks. | Nothing will happen; it is a myth that a groundhog seeing its shadow predicts weather. | Spring will arrive early. | The groundhog will return to its burrow for hibernation."
"9","Which historical event marked the beginning of the Great Depression?
Choices: The stock market crash of 1929 | The Smoot-Hawley Tariff Act of 1930 | The Dust Bowl of the 1930s | The end of World War I in 1918","Fail","What was the primary cause of the Great Fire of London in 1666?
Choices: The fire was started deliberately by foreign spies. | The fire started accidentally in a bakery on Pudding Lane. | The fire was caused by a lightning strike. | The fire was started by a malfunctioning cannon."
