"index","question","result","failed_on"
"0","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of Buyer and Seller. The obligations of Buyer and Seller to proceed with the Closing are subject to the fulfillment or waiver of the following conditions: (a) Representations and Warranties. (i) The representations and warranties of the Seller set forth in this Agreement shall be true and correct as of the date of this Agreement and as of the Closing Date, except where the failure to be true and correct would not result in a Material Adverse Effect on the Seller. (ii) Notwithstanding the foregoing, the representations and warranties set forth in Sections 4.2 (Authorization) and 4.3 (Title) shall be true and correct in all respects as of the Closing Date, without giving effect to any materiality qualifications therein, unless such representations and warranties are expressly stated to be made as of a specific date, in which case they shall be true and correct as of such specific date. (Page 92)
Answer:
Choices: ","Pass",""
"1","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.\nQuestion: When are representations and warranties required to be made according to the bring down provision?\nOption A: At Closing Only\nOption B: At Signing & At Closing\n\nMerger Agreement: Section 8.3 Conditions to Obligations of Buyer and Merger Sub to Effect the Merger. The obligations of Buyer and Merger Sub to effect the Merger are, in addition to the conditions set forth in Section 8.1, further subject to the satisfaction or waiver by Buyer at or prior to the Effective Time of the following conditions: (a) the representations and warranties of the Seller contained in this Agreement, without giving effect to any materiality or \u201cMaterial Adverse Effect\u201d or similar qualifications therein, shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (b) the representations and warranties set forth in Section 5.1(b) shall be true and correct in all respects as of the date of this Agreement and as of the Closing Date as though made on the Closing Date, except for changes permitted or contemplated by this Agreement and except to the extent any such representations and warranties expressly relate to an earlier date (in which case such representations and warranties shall be true and correct on and as of such earlier date). (Page 82)\nAnswer:
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of Buyer and Seller. The obligations of Buyer and Seller to proceed with the Closing are subject to the fulfillment or waiver of the following conditions: (a) Representations and Warranties. (i) The representations and warranties of the Seller set forth in this Agreement shall be true and correct as of the date of this Agreement and as of the Closing Date, except where the failure to be true and correct would not result in a Material Adverse Effect on the Seller. (ii) Notwithstanding the foregoing, the representations and warranties set forth in Sections 4.2 (Authorization) and 4.3 (Title) shall be true and correct in all respects as of the Closing Date, without giving effect to any materiality qualifications therein, unless such representations and warranties are expressly stated to be made as of a specific date, in which case they shall be true and correct as of such specific date. (Page 92)
Answer:
Choices: "
"2","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.4 Conditions to Obligations of Parent and Merger Sub to Effect the Merger. The obligations of Parent and Merger Sub to effect the Merger are subject to the satisfaction or (to the extent not prohibited by Law) waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement shall be true and correct in all respects as of the Signing Date and as of the Closing Date, except for such failures to be true and correct that would not, individually or in the aggregate, have a Material Adverse Effect; provided, however, that representations and warranties made as of a specific date shall be true and correct as of such date only; (b) the Company shall have performed or complied in all material respects with all agreements and covenants required by this Agreement to be performed or complied with by it at or prior to the Effective Time; (Page 105)
Answer:
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of Buyer and Seller. The obligations of Buyer and Seller to proceed with the Closing are subject to the fulfillment or waiver of the following conditions: (a) Representations and Warranties. (i) The representations and warranties of the Seller set forth in this Agreement shall be true and correct as of the date of this Agreement and as of the Closing Date, except where the failure to be true and correct would not result in a Material Adverse Effect on the Seller. (ii) Notwithstanding the foregoing, the representations and warranties set forth in Sections 4.2 (Authorization) and 4.3 (Title) shall be true and correct in all respects as of the Closing Date, without giving effect to any materiality qualifications therein, unless such representations and warranties are expressly stated to be made as of a specific date, in which case they shall be true and correct as of such specific date. (Page 92)
Answer:
Choices: "
"3","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 6.4 Conditions to Obligations of Parent to Effect the Merger. The obligations of Parent to effect the Merger are subject to the satisfaction or waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement shall be true and correct as of the Closing Date, except for such inaccuracies that do not, individually or in the aggregate, have a Company Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case they shall be true and correct as of such specific date only). (Page 72)

Merger Agreement: SECTION 8.1 Conditions to the Obligations of Parent and Merger Sub. The obligation of Parent and Merger Sub to consummate the Merger is further subject to the satisfaction or waiver on or prior to the Closing Date of each of the following conditions: (a) Representations and Warranties. <omitted> (ii) each of the representations and warranties of the Company set forth in Article IV shall be true and correct both when made and at and as of the Closing Date, as if made at and as of such date (except to the extent expressly made as of an earlier date, in which case, as of such date), except for those inaccuracies that do not, individually or in the aggregate, have a Company Material Adverse Effect. (Page 65)
Answer:
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of Buyer and Seller. The obligations of Buyer and Seller to proceed with the Closing are subject to the fulfillment or waiver of the following conditions: (a) Representations and Warranties. (i) The representations and warranties of the Seller set forth in this Agreement shall be true and correct as of the date of this Agreement and as of the Closing Date, except where the failure to be true and correct would not result in a Material Adverse Effect on the Seller. (ii) Notwithstanding the foregoing, the representations and warranties set forth in Sections 4.2 (Authorization) and 4.3 (Title) shall be true and correct in all respects as of the Closing Date, without giving effect to any materiality qualifications therein, unless such representations and warranties are expressly stated to be made as of a specific date, in which case they shall be true and correct as of such specific date. (Page 92)
Answer:
Choices: "
"4","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Obligations of Parent and Merger Sub to Effect the Merger. The obligations of Parent and Merger Sub to effect the Merger are further subject to the satisfaction or waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement shall be true and correct as of the Signing Date and as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Material Adverse Effect, except to the extent such representations and warranties are expressly made as of a specific date, in which case they shall be true and correct as of such specific date only; (Page 72)

Merger Agreement: Section 9.03 Conditions to Obligations of Parent, Holdco, and Merger Sub. The obligations of Parent, Holdco, and Merger Sub to consummate the Merger are subject to the satisfaction (or waiver by Parent) of the following conditions: (i) the representations and warranties of the Company contained in Article IV shall be true and correct at and as of the date of this Agreement and at and as of the Closing as if made at and as of the Closing (or, if such representations and warranties are given as of another specific date, at and as of such date), except where the failure of such representations and warranties to be true and correct has not had and would not reasonably be expected to have, individually or in the aggregate, a Material Adverse Effect; (Page 105)
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of Buyer and Seller. The obligations of Buyer and Seller to proceed with the Closing are subject to the fulfillment or waiver of the following conditions: (a) Representations and Warranties. (i) The representations and warranties of the Seller set forth in this Agreement shall be true and correct as of the date of this Agreement and as of the Closing Date, except where the failure to be true and correct would not result in a Material Adverse Effect on the Seller. (ii) Notwithstanding the foregoing, the representations and warranties set forth in Sections 4.2 (Authorization) and 4.3 (Title) shall be true and correct in all respects as of the Closing Date, without giving effect to any materiality qualifications therein, unless such representations and warranties are expressly stated to be made as of a specific date, in which case they shall be true and correct as of such specific date. (Page 92)
Answer:
Choices: "
"5","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of Parent to Effect the Merger. The obligations of Parent to effect the Merger are subject to the satisfaction or waiver by Parent at or prior to the Effective Time of the following conditions: (a) Representations and Warranties. Each of the representations and warranties of the Company contained in this Agreement shall be true and correct as of the date of this Agreement and as of the Closing Date, except where the failure of such representations and warranties to be true and correct would not reasonably be expected to have a Material Adverse Effect. However, as per Section 8.4(b), certain representations and warranties specified in Schedule 3.1 must be true and correct only as of the Closing Date. (Page 75)

Merger Agreement: Section 8.4 Additional Conditions to Obligations of Parent. The obligations of Parent to effect the Merger are also subject to the following additional conditions: (b) Representations and Warranties. Notwithstanding any other provision in this Agreement, the representations and warranties set forth in Schedule 3.1 shall only be required to be true and correct as of the Closing Date, unless otherwise specified in Schedule 3.1. (Page 76)
Answer:
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of Buyer and Seller. The obligations of Buyer and Seller to proceed with the Closing are subject to the fulfillment or waiver of the following conditions: (a) Representations and Warranties. (i) The representations and warranties of the Seller set forth in this Agreement shall be true and correct as of the date of this Agreement and as of the Closing Date, except where the failure to be true and correct would not result in a Material Adverse Effect on the Seller. (ii) Notwithstanding the foregoing, the representations and warranties set forth in Sections 4.2 (Authorization) and 4.3 (Title) shall be true and correct in all respects as of the Closing Date, without giving effect to any materiality qualifications therein, unless such representations and warranties are expressly stated to be made as of a specific date, in which case they shall be true and correct as of such specific date. (Page 92)
Answer:
Choices: "
"6","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of the Acquiring Company to Complete the Acquisition. The obligations of the Acquiring Company to complete the Acquisition are, in addition to the conditions set forth in Section 8.2, further subject to the satisfaction or waiver by the Acquiring Company at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Target Company contained in this Agreement, without giving effect to any materiality or 'Target Material Adverse Effect' or similar qualifications therein, shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Target Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (b) the representations and warranties of the Target Company set forth in Sections 3.2, 3.5, and 3.7 shall be true and correct in all respects as of the date of this Agreement and as of the Closing Date as though made on and as of such date, except where the failure of such representations and warranties to be true and correct would not reasonably be expected to have a Material Adverse Effect. (Page 72)
Answer:
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of Buyer and Seller. The obligations of Buyer and Seller to proceed with the Closing are subject to the fulfillment or waiver of the following conditions: (a) Representations and Warranties. (i) The representations and warranties of the Seller set forth in this Agreement shall be true and correct as of the date of this Agreement and as of the Closing Date, except where the failure to be true and correct would not result in a Material Adverse Effect on the Seller. (ii) Notwithstanding the foregoing, the representations and warranties set forth in Sections 4.2 (Authorization) and 4.3 (Title) shall be true and correct in all respects as of the Closing Date, without giving effect to any materiality qualifications therein, unless such representations and warranties are expressly stated to be made as of a specific date, in which case they shall be true and correct as of such specific date. (Page 92)
Answer:
Choices: "
"7","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of Buyer and Merger Sub. The obligations of Buyer and Merger Sub to effect the Merger are, in addition to the conditions set forth in Section 8.1, further subject to the satisfaction or (to the extent not prohibited by Law) waiver by Buyer at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Seller contained in this Agreement shall be true and correct as of the date of this Agreement and as of the Closing Date, without giving effect to any materiality or ""Material Adverse Effect"" or similar qualifications therein, except for such failures to be true and correct as would not, individually or in the aggregate, have a Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (b) notwithstanding the foregoing, any representation and warranty made as of a specific date shall be true and correct as of such date only. (Page 72)
Answer:
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of Buyer and Seller. The obligations of Buyer and Seller to proceed with the Closing are subject to the fulfillment or waiver of the following conditions: (a) Representations and Warranties. (i) The representations and warranties of the Seller set forth in this Agreement shall be true and correct as of the date of this Agreement and as of the Closing Date, except where the failure to be true and correct would not result in a Material Adverse Effect on the Seller. (ii) Notwithstanding the foregoing, the representations and warranties set forth in Sections 4.2 (Authorization) and 4.3 (Title) shall be true and correct in all respects as of the Closing Date, without giving effect to any materiality qualifications therein, unless such representations and warranties are expressly stated to be made as of a specific date, in which case they shall be true and correct as of such specific date. (Page 92)
Answer:
Choices: "
"8","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.4 Conditions to Obligations of Buyer and Seller to Effect the Merger. The obligations of Buyer and Seller to effect the Merger are subject to the satisfaction or waiver by both parties at or prior to the Effective Time of the following conditions: (a) Representations and Warranties. (i) The representations and warranties of the Seller set forth in Section 4.1 shall be true and correct as of the date of this Agreement and as of the Closing Date, as though made on and as of the Closing Date, except for inaccuracies that would not, individually or in the aggregate, have a Material Adverse Effect. (ii) The representations and warranties of the Buyer set forth in Section 4.2 shall be true and correct as of the date of this Agreement and as of the Closing Date, except for those representations and warranties that specifically refer to an earlier date, which shall be true and correct as of such earlier date. (Page 78)
Answer:
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of Buyer and Seller. The obligations of Buyer and Seller to proceed with the Closing are subject to the fulfillment or waiver of the following conditions: (a) Representations and Warranties. (i) The representations and warranties of the Seller set forth in this Agreement shall be true and correct as of the date of this Agreement and as of the Closing Date, except where the failure to be true and correct would not result in a Material Adverse Effect on the Seller. (ii) Notwithstanding the foregoing, the representations and warranties set forth in Sections 4.2 (Authorization) and 4.3 (Title) shall be true and correct in all respects as of the Closing Date, without giving effect to any materiality qualifications therein, unless such representations and warranties are expressly stated to be made as of a specific date, in which case they shall be true and correct as of such specific date. (Page 92)
Answer:
Choices: "
"9","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Obligations of Parent and Acquisition Sub to Effect the Merger. The obligations of Parent and Acquisition Sub to effect the Merger are, in addition to the conditions set forth in Section 8.2, further subject to the satisfaction or (to the extent not prohibited by Law) waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement shall be true and correct as of the Signing Date and as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Material Adverse Effect (except to the extent such representations and warranties are expressly made as of a specific date, in which case such representations and warranties shall be so true and correct as of such specific date only); (Page 72)
Answer: B

Merger Agreement: Section 10.3 Conditions to Obligations of the Parent Parties. The obligation of the Parent Parties to effect the Merger is further subject to the satisfaction, or waiver by the Parent Parties to the extent permitted by applicable Law, at or prior to the Effective Time of the following conditions: (a) Representations and Warranties. The representations and warranties of the Company set forth in Article IV, other than those in Section 4.3 (Authorization; Validity of Agreement; Company Action), shall be true and correct in all respects when made and at and as of the Closing Date, as if made at and as of such time (except to the extent expressly made as of an earlier date, in which case as of such earlier date), except where the failure of such representations and warranties to be so true and correct would not reasonably be expected to have or result in, individually or in the aggregate, a Material Adverse Effect. (Page 85)
Answer:
Choices: ","Fail","Answer the following multiple choice question. The entire content of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of Buyer and Seller. The obligations of Buyer and Seller to proceed with the Closing are subject to the fulfillment or waiver of the following conditions: (a) Representations and Warranties. (i) The representations and warranties of the Seller set forth in this Agreement shall be true and correct as of the date of this Agreement and as of the Closing Date, except where the failure to be true and correct would not result in a Material Adverse Effect on the Seller. (ii) Notwithstanding the foregoing, the representations and warranties set forth in Sections 4.2 (Authorization) and 4.3 (Title) shall be true and correct in all respects as of the Closing Date, without giving effect to any materiality qualifications therein, unless such representations and warranties are expressly stated to be made as of a specific date, in which case they shall be true and correct as of such specific date. (Page 92)
Answer:
Choices: "
