check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
andor,"Will an AI-generated artwork win the Turner Prize by 2026?

Will a piece of artwork entirely generated by artificial intelligence win the Turner Prize at the award ceremony held by December 31, 2026?",0.25,"Will the Turner Prize be suspended due to controversies over AI art by 2026?

Will the organizers of the Turner Prize announce a suspension or cancellation of the award ceremony due to controversies surrounding AI-generated art by December 31, 2026?",0.1,"Will both an AI-generated artwork win the Turner Prize and the Turner Prize be suspended due to AI art controversies by 2026?

Will both of the following occur by December 31, 2026: (a) A piece of artwork entirely generated by artificial intelligence wins the Turner Prize at the award ceremony. (b) The organizers of the Turner Prize announce a suspension or cancellation of the award ceremony due to controversies surrounding AI-generated art? Each condition must be met for the question to be resolved as ""Yes.""",0.05,"Will either an AI-generated artwork win the Turner Prize or the prize be suspended due to AI art controversies by 2026? Body: Will either of the following occur by December 31, 2026: (a) A piece of artwork entirely generated by artificial intelligence wins the Turner Prize at the award ceremony. (b) The organizers of the Turner Prize announce a suspension or cancellation of the award ceremony due to controversies surrounding AI-generated art? Resolution criteria: For (a), the resolution is based on the official announcement of the Turner Prize winner, confirming that the winning artwork was entirely generated by artificial intelligence. For (b), the resolution is based on an official announcement from the Turner Prize organizers regarding the suspension or cancellation of the award ceremony due to AI art controversies.

Will either of the following occur by December 31, 2026: (a) A piece of artwork entirely generated by artificial intelligence wins the Turner Prize at the award ceremony. (b) The organizers of the Turner Prize announce a suspension or cancellation of the award ceremony due to controversies surrounding AI-generated art? Resolution criteria: For (a), the resolution is based on the official announcement of the Turner Prize winner, confirming that the winning artwork was entirely generated by artificial intelligence. For (b), the resolution is based on an official announcement from the Turner Prize organizers regarding the suspension or cancellation of the award ceremony due to AI art controversies.",0.15,0.2227422556648264
but,"Will an individual artist win the Nobel Prize in Literature and release a chart-topping pop album by 2027?

Will an individual artist be awarded the Nobel Prize in Literature and also release a pop music album that reaches number one on global charts by December 31, 2027?",0.01,"Will both of the following occur by 2027: (1) Either no individual artist wins the Nobel Prize in Literature or fails to release a chart-topping pop album, and (2) the Nobel Committee changes its rules to prohibit previous prize winners from engaging in commercial entertainment activities?

Will both of the following occur by December 31, 2027: (1) Either (a) no individual artist is awarded the Nobel Prize in Literature, or (b) no individual artist releases a pop music album that reaches number one on global charts, and (2) the Nobel Committee officially amends its statutes to prevent Nobel Prize laureates from participating in commercial entertainment activities, such as releasing music albums? The resolution criteria for each component are as follows: For the first component, it will be resolved based on whether either condition (a) or (b) is met by the end of 2027. For the second component, it will be resolved based on whether the Nobel Committee has officially amended its rules by the end of 2027.",0.05,"Will either an individual artist achieve both a Nobel Prize in Literature and a chart-topping album, or will the Nobel Committee change its rules on entertainment activities by 2027? Body: Will either of the following occur by December 31, 2027: (a) An individual artist is awarded the Nobel Prize in Literature and also releases a pop music album that reaches number one on global charts. Resolution criteria: This will be resolved as ""Yes"" if an individual artist both wins the Nobel Prize in Literature and has a pop album that tops global charts by the specified date. (b) The Nobel Committee officially amends its statutes to prevent Nobel Prize laureates from participating in commercial entertainment activities, such as releasing music albums. Resolution criteria: This will be resolved as ""Yes"" if the Nobel Committee makes an official change to its rules prohibiting previous prize winners from engaging in commercial entertainment activities by the specified date.

Will either of the following occur by December 31, 2027: (a) An individual artist is awarded the Nobel Prize in Literature and also releases a pop music album that reaches number one on global charts. Resolution criteria: This will be resolved as ""Yes"" if an individual artist both wins the Nobel Prize in Literature and has a pop album that tops global charts by the specified date. (b) The Nobel Committee officially amends its statutes to prevent Nobel Prize laureates from participating in commercial entertainment activities, such as releasing music albums. Resolution criteria: This will be resolved as ""Yes"" if the Nobel Committee makes an official change to its rules prohibiting previous prize winners from engaging in commercial entertainment activities by the specified date.",0.01,,,0.19131968294834523
but,"Will a team from Africa win the FIFA World Cup by 2026?

Will a national football team representing an African country win the FIFA World Cup held in 2026?",0.1,"Will both of the following occur: (a) No team from Africa wins the FIFA World Cup by 2026, and (b) The FIFA World Cup 2026 is canceled or postponed beyond 2026?

This question resolves as ""Yes"" if both of the following conditions are met: (a) No national football team representing an African country wins the FIFA World Cup held in 2026, meaning the tournament concludes without an African team as the winner, and (b) The FIFA World Cup scheduled for 2026 is officially canceled or postponed to a later year beyond 2026. If either or both of these conditions are not met, the question resolves as ""No"".",0.05,"Will either an African team win the FIFA World Cup 2026 or the event be canceled/postponed beyond 2026? Body: Will either of the following occur: (a) A national football team representing an African country wins the FIFA World Cup held in 2026. Resolution criteria: This will be resolved as ""Yes"" if an African team wins the FIFA World Cup in 2026. (b) The FIFA World Cup scheduled for 2026 is officially canceled or postponed to a later year beyond 2026. Resolution criteria: This will be resolved as ""Yes"" if the event is either canceled or postponed to a year beyond 2026. If neither (a) nor (b) occurs, the answer will be ""No"".

Will either of the following occur: (a) A national football team representing an African country wins the FIFA World Cup held in 2026. Resolution criteria: This will be resolved as ""Yes"" if an African team wins the FIFA World Cup in 2026. (b) The FIFA World Cup scheduled for 2026 is officially canceled or postponed to a later year beyond 2026. Resolution criteria: This will be resolved as ""Yes"" if the event is either canceled or postponed to a year beyond 2026. If neither (a) nor (b) occurs, the answer will be ""No"".",0.1,,,0.10459884816382599
but,"Will a non-human author win the Booker Prize by 2030?

Will a book written entirely by artificial intelligence without human editing win the Booker Prize for Fiction by December 31, 2030?",0.05,"Will both a non-human author fail to win the Booker Prize and the Booker Prize committee ban AI-authored works from eligibility by 2030?

Will both of the following occur by December 31, 2030: (a) No book written entirely by artificial intelligence without human editing will win the Booker Prize for Fiction, and (b) The Booker Prize organizers will officially change the rules to disqualify any work authored by artificial intelligence from being considered for the prize? 

Resolution Criteria:  
- For part (a), the resolution will be YES if no book written entirely by artificial intelligence without human editing wins the Booker Prize for Fiction by December 31, 2030.  
- For part (b), the resolution will be YES if the Booker Prize organizers officially change the rules to disqualify any work authored by artificial intelligence from being considered for the prize by December 31, 2030.  
- The overall question will be answered YES only if both parts (a) and (b) are resolved as YES. Otherwise, the answer will be NO.",0.45,"Will either a non-human author win the Booker Prize or the Booker Prize committee ban AI-authored works from eligibility by 2030?

Will either of the following occur by December 31, 2030:  
(a) A book written entirely by artificial intelligence without human editing wins the Booker Prize for Fiction.  
(b) The Booker Prize organizers officially change the rules to disqualify any work authored by artificial intelligence from being considered for the prize.  

Resolution Criteria:  
- For part (a), the resolution will be YES if a book written entirely by AI without human editing is announced as the winner of the Booker Prize for Fiction by the specified date.  
- For part (b), the resolution will be YES if the Booker Prize organizers officially announce a rule change that disqualifies AI-authored works from eligibility for the prize by the specified date.  
- The overall question will be resolved as YES if either part (a) or part (b) is resolved as YES. If neither occurs, the resolution will be NO.",0.35,,,0.2073160454316302
but,"Will a holographic performer headline Coachella Music Festival by 2025?

Will a holographic projection of a performer serve as the main headliner act at the Coachella Valley Music and Arts Festival by April 30, 2025?",0.35,"Will both no holographic performer headline Coachella and Coachella be canceled due to a global digital infrastructure failure by 2025?

Will both of the following occur by April 30, 2025: (a) No holographic projection of a performer serves as the main headliner act at the Coachella Valley Music and Arts Festival, and (b) The Coachella Valley Music and Arts Festival is canceled specifically due to a widespread failure of global digital infrastructure? The question resolves as ""Yes"" if both conditions are met: no holographic performer headlines the festival and the festival is canceled due to a global digital infrastructure failure. It resolves as ""No"" if either a holographic performer headlines the festival or the festival is not canceled due to a global digital infrastructure failure.",0.02,"Will either a holographic performer headline Coachella or the festival be canceled due to a global digital infrastructure failure by 2025? Body: Will either of the following occur by April 30, 2025: (a) A holographic projection of a performer serves as the main headliner act at the Coachella Valley Music and Arts Festival. (b) The Coachella Valley Music and Arts Festival is canceled specifically due to a widespread failure of global digital infrastructure? Resolution criteria: For (a), the resolution is YES if a holographic performer is the main headliner at Coachella by the specified date. For (b), the resolution is YES if the festival is canceled before the specified date due to a global digital infrastructure failure.

Will either of the following occur by April 30, 2025: (a) A holographic projection of a performer serves as the main headliner act at the Coachella Valley Music and Arts Festival. (b) The Coachella Valley Music and Arts Festival is canceled specifically due to a widespread failure of global digital infrastructure? Resolution criteria: For (a), the resolution is YES if a holographic performer is the main headliner at Coachella by the specified date. For (b), the resolution is YES if the festival is canceled before the specified date due to a global digital infrastructure failure.",0.1,,,0.46434543333082395
but,"Will a virtual influencer have more followers than any human celebrity by 2026?

Will a digital, computer-generated virtual influencer surpass all human individuals in social media follower count on major platforms (e.g., Instagram, TikTok) by December 31, 2026?",0.15,"Will both no virtual influencer surpass all human celebrities in followers and social media platforms ban non-human accounts by 2026?

Will both of the following occur by December 31, 2026: (a) No digital, computer-generated virtual influencer will surpass all human individuals in social media follower count on major platforms (e.g., Instagram, TikTok). (b) Major social media platforms will implement and enforce policies that ban accounts operated by non-human entities, including virtual influencers. Resolution criteria: Both conditions must be met for a ""Yes"" answer. If either condition is not met, the answer is ""No"".",0.15,"Will either a virtual influencer surpass all human celebrities in followers or will social media platforms ban non-human accounts by 2026?

Will either of the following occur by December 31, 2026: (a) A digital, computer-generated virtual influencer surpasses all human individuals in social media follower count on major platforms (e.g., Instagram, TikTok)? (b) Major social media platforms implement and enforce policies that ban accounts operated by non-human entities, including virtual influencers? The resolution criteria for each component are as follows: (a) The virtual influencer must have a higher follower count than any human celebrity on major platforms by the specified date. (b) Major social media platforms must have implemented and enforced a ban on non-human accounts by the specified date.",0.1,,,0.3400102004590229
but,"Will a human achieve an officially recorded free dive of over 300 meters by 2025?

Will a free diver set a new world record by completing an officially recognized dive to a depth exceeding 300 meters without the use of scuba gear by December 31, 2025?",0.05,"Will both no human achieve an officially recorded free dive of over 300 meters and international sporting bodies ban extreme free diving due to safety concerns by 2025?

Will both of the following occur by December 31, 2025: (a) No free diver will set a new world record by completing an officially recognized dive to a depth exceeding 300 meters without the use of scuba gear. (b) Major international sporting organizations, such as AIDA International, will officially prohibit competitive free diving beyond certain depths due to safety regulations? 

Resolution Criteria:  
- For part (a), the question resolves to ""Yes"" if no officially recognized free dive exceeding 300 meters is recorded by December 31, 2025. Otherwise, it resolves to ""No"".  
- For part (b), the question resolves to ""Yes"" if major international sporting organizations officially implement a ban on competitive free diving beyond certain depths due to safety concerns by December 31, 2025. Otherwise, it resolves to ""No"".  
The combined question resolves to ""Yes"" only if both parts (a) and (b) resolve to ""Yes"".",0.15,"Will either a human achieve a free dive over 300 meters or international bodies ban extreme free diving by 2025? Body: Will either of the following occur by December 31, 2025: (a) A free diver sets a new world record by completing an officially recognized dive to a depth exceeding 300 meters without the use of scuba gear. Resolution criteria: This will be resolved as ""Yes"" if an officially recognized dive exceeding 300 meters is recorded by the specified date. (b) Major international sporting organizations, such as AIDA International, officially prohibit competitive free diving beyond certain depths due to safety regulations. Resolution criteria: This will be resolved as ""Yes"" if any major international sporting organization enacts a ban on competitive free diving beyond specified depths due to safety concerns by the specified date.

Will either of the following occur by December 31, 2025: (a) A free diver sets a new world record by completing an officially recognized dive to a depth exceeding 300 meters without the use of scuba gear. Resolution criteria: This will be resolved as ""Yes"" if an officially recognized dive exceeding 300 meters is recorded by the specified date. (b) Major international sporting organizations, such as AIDA International, officially prohibit competitive free diving beyond certain depths due to safety regulations. Resolution criteria: This will be resolved as ""Yes"" if any major international sporting organization enacts a ban on competitive free diving beyond specified depths due to safety concerns by the specified date.",0.15,,,0.09075919947834808
but,"Will the UNESCO World Heritage Committee designate a virtual reality experience as a World Heritage Site by 2030?

Will UNESCO officially recognize and inscribe a virtual reality experience or digital environment as a World Heritage Site by December 31, 2030?",0.05,"Will UNESCO both fail to designate a virtual reality experience as a World Heritage Site and halt all new digital nominations by 2030? Body: Will both of the following occur by December 31, 2030: (a) UNESCO will not officially recognize and inscribe any virtual reality experience or digital environment as a World Heritage Site. (b) UNESCO will announce a policy decision to restrict World Heritage Site nominations exclusively to physical, tangible locations, thereby excluding digital or virtual entities. Resolution criteria: The question will be resolved as ""Yes"" if both conditions (a) and (b) are met by the specified date. Otherwise, it will be resolved as ""No"".

Will both of the following occur by December 31, 2030: (a) UNESCO will not officially recognize and inscribe any virtual reality experience or digital environment as a World Heritage Site. (b) UNESCO will announce a policy decision to restrict World Heritage Site nominations exclusively to physical, tangible locations, thereby excluding digital or virtual entities. Resolution criteria: The question will be resolved as ""Yes"" if both conditions (a) and (b) are met by the specified date. Otherwise, it will be resolved as ""No"".",0.65,"Will UNESCO either designate a virtual reality experience as a World Heritage Site or halt all new digital nominations by 2030? Body: Will either of the following occur by December 31, 2030: (a) UNESCO officially recognizes and inscribes a virtual reality experience or digital environment as a World Heritage Site, or (b) UNESCO announces a policy decision to restrict World Heritage Site nominations exclusively to physical, tangible locations, thereby excluding digital or virtual entities? Resolution criteria: The question will be resolved as ""Yes"" if either (a) UNESCO designates a virtual reality experience as a World Heritage Site, or (b) UNESCO announces a policy to halt all new digital nominations, focusing only on physical sites, by the specified date.

Will either of the following occur by December 31, 2030: (a) UNESCO officially recognizes and inscribes a virtual reality experience or digital environment as a World Heritage Site, or (b) UNESCO announces a policy decision to restrict World Heritage Site nominations exclusively to physical, tangible locations, thereby excluding digital or virtual entities? Resolution criteria: The question will be resolved as ""Yes"" if either (a) UNESCO designates a virtual reality experience as a World Heritage Site, or (b) UNESCO announces a policy to halt all new digital nominations, focusing only on physical sites, by the specified date.",0.15,,,0.8658465283505811
but,"Will an athlete break the speed of sound in a non-motorized speed sport by 2030?

Will a human achieve a speed exceeding the speed of sound (approximately 1,234 km/h) in a non-motorized sport, such as speed skiing or skydiving, verified by official records, by December 31, 2030?",0.01,"Will both no athlete break the speed of sound in a non-motorized speed sport and international sports federations ban extreme speed attempts due to safety concerns by 2030? Body: Will both of the following occur by December 31, 2030: (a) No human achieves a speed exceeding the speed of sound (approximately 1,234 km/h) in a non-motorized sport, such as speed skiing or skydiving, verified by official records. (b) Governing bodies of relevant sports enact regulations prohibiting attempts at extreme speeds, specifically aiming to prevent endeavors to break the sound barrier. Resolution criteria: Both conditions (a) and (b) must be met for a ""Yes"" answer. If either condition is not met, the answer is ""No"".

Will both of the following occur by December 31, 2030: (a) No human achieves a speed exceeding the speed of sound (approximately 1,234 km/h) in a non-motorized sport, such as speed skiing or skydiving, verified by official records. (b) Governing bodies of relevant sports enact regulations prohibiting attempts at extreme speeds, specifically aiming to prevent endeavors to break the sound barrier. Resolution criteria: Both conditions (a) and (b) must be met for a ""Yes"" answer. If either condition is not met, the answer is ""No"".",0.65,"Will either an athlete break the speed of sound in a non-motorized speed sport or will international sports federations ban extreme speed attempts due to safety concerns by 2030?

Will either of the following occur by December 31, 2030: 

(a) A human achieves a speed exceeding the speed of sound (approximately 1,234 km/h) in a non-motorized sport, such as speed skiing or skydiving, verified by official records. 

(b) Governing bodies of relevant sports enact regulations prohibiting attempts at extreme speeds, specifically aiming to prevent endeavors to break the sound barrier. 

Resolution criteria: The question will be resolved as ""Yes"" if either (a) or (b) occurs by the specified date. If neither occurs, the question will be resolved as ""No"".",0.05,,,1.140834791889452
but,"Will a digitally-created fashion model become the highest-paid supermodel by 2025?

Will a virtual, computer-generated fashion model earn more in annual modeling contracts than any human supermodel by December 31, 2025?",0.15,"Will both no digitally-created fashion model become the highest-paid supermodel and major fashion brands commit to using only human models by 2025? Body: Will both of the following occur by December 31, 2025: (a) No virtual, computer-generated fashion model will earn more in annual modeling contracts than any human supermodel, based on publicly available data regarding annual earnings from modeling contracts for both virtual and human supermodels as of the end of 2025. (b) Leading global fashion brands will publicly pledge and implement policies to exclusively employ human models, rejecting digital or virtual models, in all advertising campaigns.

Will both of the following occur by December 31, 2025: (a) No virtual, computer-generated fashion model will earn more in annual modeling contracts than any human supermodel, based on publicly available data regarding annual earnings from modeling contracts for both virtual and human supermodels as of the end of 2025. (b) Leading global fashion brands will publicly pledge and implement policies to exclusively employ human models, rejecting digital or virtual models, in all advertising campaigns.",0.15,"Will either a digitally-created fashion model become the highest-paid supermodel or major fashion brands commit to using only human models by 2025? Body: Will either of the following occur by December 31, 2025: (a) A virtual, computer-generated fashion model earns more in annual modeling contracts than any human supermodel. Resolution criteria: This will be resolved as ""Yes"" if a digitally-created fashion model is reported to have the highest annual earnings in modeling contracts compared to any human supermodel by the end of 2025. (b) Leading global fashion brands publicly pledge and implement policies to exclusively employ human models, rejecting digital or virtual models, in all advertising campaigns. Resolution criteria: This will be resolved as ""Yes"" if major fashion brands are documented to have made and implemented such a commitment by the end of 2025.

Will either of the following occur by December 31, 2025: (a) A virtual, computer-generated fashion model earns more in annual modeling contracts than any human supermodel. Resolution criteria: This will be resolved as ""Yes"" if a digitally-created fashion model is reported to have the highest annual earnings in modeling contracts compared to any human supermodel by the end of 2025. (b) Leading global fashion brands publicly pledge and implement policies to exclusively employ human models, rejecting digital or virtual models, in all advertising campaigns. Resolution criteria: This will be resolved as ""Yes"" if major fashion brands are documented to have made and implemented such a commitment by the end of 2025.",0.15,,,0.24221920529946864
