check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
expevidence,Will FC Barcelona win the 2025 UEFA Champions League?,0.15,Will Real Madrid reach the semifinals of the 2025 UEFA Champions League?,0.65,"Given that Real Madrid reaches the semifinals of the 2025 UEFA Champions League, will FC Barcelona win the 2025 UEFA Champions League?",0.35,0.3300907874515406
expevidence,"Will Bitcoin's price exceed $100,000 by December 31, 2026?",0.35,"Will Ethereum's price exceed $10,000 by December 31, 2026?",0.35,"Given that Ethereum's price exceeds $10,000 by December 31, 2026, will Bitcoin's price exceed $100,000 by December 31, 2026?",0.75,0.5663646117882124
expevidence,"Will Taylor Swift release a new album by June 1, 2025?",0.75,Will Beyoncé announce a new world tour in 2025?,0.65,"Given that Beyoncé announces a new world tour in 2025, will Taylor Swift release a new album by June 1, 2025?",0.65,0.053939258142075425
expevidence,Will Japan achieve carbon neutrality by 2030?,0.1,Will Germany achieve carbon neutrality by 2030?,0.15,"Given that Germany achieves carbon neutrality by 2030, will Japan achieve carbon neutrality by 2030? Body: Given that Germany officially declares carbon neutrality by the year 2030, as verified by the German Federal Ministry for the Environment by December 31, 2030, this question asks if Japan will officially declare carbon neutrality by the year 2030, as verified by the Japanese Ministry of the Environment by December 31, 2030.",0.15,0.4287126779238688
expevidence,Will the New York Yankees win the 2027 World Series?,0.05,Will the Los Angeles Dodgers win the 2027 World Series?,0.1,"Given that the Los Angeles Dodgers win the 2027 World Series, will the New York Yankees win the 2027 World Series? Body: Given that the Los Angeles Dodgers clinch the title in the 2027 Major League Baseball World Series, as officially confirmed by MLB on October 30, 2027, this question asks if the New York Yankees will also clinch the title in the 2027 Major League Baseball World Series, as officially confirmed by MLB on October 30, 2027.",0.0,0.2167408428928276
expevidence,Will Tesla release a fully autonomous vehicle by 2028?,0.35,Will Waymo achieve Level 5 autonomy in its vehicles by 2028?,0.25,"Given that Waymo achieves Level 5 autonomy in its vehicles by 2028, will Tesla release a fully autonomous vehicle by 2028?",0.65,0.12047318414773364
expevidence,Will Serena Williams win the 2025 Wimbledon Women's Singles title?,0.01,Will Novak Djokovic win the 2025 Wimbledon Men's Singles title?,0.25,"Given that Novak Djokovic wins the 2025 Wimbledon Men's Singles title, will Serena Williams win the 2025 Wimbledon Women's Singles title?",0.95,6.904395530680329
expevidence,Will the Federal Reserve raise interest rates in 2025?,0.55,Will the European Central Bank raise interest rates in 2025?,0.45,"Given that the European Central Bank raises interest rates in 2025, will the Federal Reserve raise interest rates in 2025?",0.75,0.24242119844398008
expevidence,"Will Netflix release a new original series in the fantasy genre by March 1, 2025?",0.85,"Will Amazon Prime release a new original series in the fantasy genre by March 1, 2025?",0.85,"Given that Amazon Prime releases a new original series in the fantasy genre by March 1, 2025, will Netflix release a new original series in the fantasy genre by March 1, 2025?",0.85,2.348462398925038e-16
expevidence,Will Australia host the 2030 FIFA World Cup?,0.15,Will South Africa host the 2030 FIFA World Cup?,0.15,"Given that South Africa will host the 2030 FIFA World Cup, will Australia host the 2030 FIFA World Cup? Body: Given that South Africa is selected as one of the host nations for the 2030 FIFA World Cup, as officially announced by FIFA by July 1, 2024, this question asks if Australia will also be selected as one of the host nations for the 2030 FIFA World Cup, as officially announced by FIFA by the same date. This resolves as NO only if South Africa is selected and Australia is not; it resolves as YES in all other cases.",0.85,0.3397532508655068
