eval_model_name,generator_model_name,re_eval_model_name,initial_log_path,adaptive_log_path,re_eval_log_path,use_cot,similarity_threshold,score_threshold,use_embeddings,filter_incorrect,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer_name,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer_name,judge_model_name,n_datapoints,max_attempts,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o-mini/2025-04-07T20-36-17+00-00_truthfulqa-initial_792PxVpkkMpHmuHZmsMppR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o-mini__openai_gpt-4o/2025-04-07T20-37-15+00-00_adaptive-truthfulqa-refactor_Hvhua56BcY5Xts4PW54yto.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o-mini__openai_gpt-4o/re_eval/openai_gpt-4o-mini/2025-04-07T21-29-53+00-00_re-evaluate-adaptive-truthfulqa_oGuDjX3WnZp7UvfUKftPo5.eval,False,0.95,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.2753623188405797,,choice,anthropic/claude-3-5-sonnet-latest,150,10,69,69,50,results/randomized_20250407_203611/novelty_openai_gpt-4o-mini_openai_gpt-4o_20250407_212919.csv
openai/gpt-4o-mini,openai/o3-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o-mini/2025-04-07T20-36-17+00-00_truthfulqa-initial_792PxVpkkMpHmuHZmsMppR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o-mini__openai_o3-mini/2025-04-08T17-19-58+00-00_adaptive-truthfulqa-refactor_S36qkgBvE9iEE95tjWsWBZ.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o-mini__openai_o3-mini/re_eval/openai_gpt-4o-mini/2025-04-08T18-25-35+00-00_re-evaluate-adaptive-truthfulqa_k6irAtpSXZ6A8Khs9bp96W.eval,False,0.95,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.3157894736842105,,choice,anthropic/claude-3-5-sonnet-latest,150,10,19,19,13,results/randomized_20250407_203611/novelty_openai_gpt-4o-mini_openai_o3-mini_20250408_182532.csv
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-17T00-50-15+00-00_truthfulqa-initial_KddUYHUxL62wGDN5cNRzYS.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/2025-04-17T00-54-03+00-00_adaptive-truthfulqa-refactor_2pUCxzt6X295PgTKmHuyQf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/re_eval/openai_gpt-4o/2025-04-17T01-12-52+00-00_re-evaluate-adaptive-truthfulqa_Mxsm9NETbMbXMuaZ2EsqpZ.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.23076923076923078,,choice,anthropic/claude-3-5-sonnet-latest,150,10,39,39,30,results/randomized_20250407_203611/novelty_openai_gpt-4o_openai_gpt-4o_20250417_011250.csv
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-17T00-50-15+00-00_truthfulqa-initial_KddUYHUxL62wGDN5cNRzYS.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/2025-04-17T00-54-03+00-00_adaptive-truthfulqa-refactor_2pUCxzt6X295PgTKmHuyQf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/re_eval/openai_gpt-4o-mini/2025-04-17T01-12-55+00-00_re-evaluate-adaptive-truthfulqa_PyE7XkEuvXxD6c876keLk8.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.28205128205128205,,choice,anthropic/claude-3-5-sonnet-latest,150,10,39,39,28,results/randomized_20250407_203611/novelty_openai_gpt-4o_openai_gpt-4o_20250417_011250.csv
openai/gpt-4o,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-17T00-50-15+00-00_truthfulqa-initial_KddUYHUxL62wGDN5cNRzYS.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/2025-04-17T00-54-03+00-00_adaptive-truthfulqa-refactor_2pUCxzt6X295PgTKmHuyQf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-17T01-12-57+00-00_re-evaluate-adaptive-truthfulqa_gQ8eBRXp9xZbELN5GCxXw2.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.38461538461538464,,choice,anthropic/claude-3-5-sonnet-latest,150,10,39,39,24,results/randomized_20250407_203611/novelty_openai_gpt-4o_openai_gpt-4o_20250417_011250.csv
openai/gpt-4o,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-17T00-50-15+00-00_truthfulqa-initial_KddUYHUxL62wGDN5cNRzYS.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/2025-04-17T00-54-03+00-00_adaptive-truthfulqa-refactor_2pUCxzt6X295PgTKmHuyQf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/re_eval/openai_o3-mini/2025-04-17T01-13-13+00-00_re-evaluate-adaptive-truthfulqa_SdKcr3STPAFb4L3KtdRN7C.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.358974358974359,,choice,anthropic/claude-3-5-sonnet-latest,150,10,39,39,25,results/randomized_20250407_203611/novelty_openai_gpt-4o_openai_gpt-4o_20250417_011250.csv
openai/gpt-4o,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-17T00-50-15+00-00_truthfulqa-initial_KddUYHUxL62wGDN5cNRzYS.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/2025-04-17T00-54-03+00-00_adaptive-truthfulqa-refactor_2pUCxzt6X295PgTKmHuyQf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_gpt-4o/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-17T01-13-27+00-00_re-evaluate-adaptive-truthfulqa_jFBrL22Q36pK2KWbUBfB6X.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.46153846153846156,,choice,anthropic/claude-3-5-sonnet-latest,150,10,39,39,21,results/randomized_20250407_203611/novelty_openai_gpt-4o_openai_gpt-4o_20250417_011250.csv
openai/gpt-4o,openai/o3-mini,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-17T00-50-15+00-00_truthfulqa-initial_KddUYHUxL62wGDN5cNRzYS.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_o3-mini/2025-04-17T01-13-32+00-00_adaptive-truthfulqa-refactor_ZZD4wmiUbgaCaUxXR4nKjM.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_o3-mini/re_eval/openai_gpt-4o/2025-04-17T01-57-54+00-00_re-evaluate-adaptive-truthfulqa_KT7ugPVb33tnRfnTfr4xBs.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.5384615384615384,,choice,anthropic/claude-3-5-sonnet-latest,150,10,13,13,6,results/randomized_20250407_203611/novelty_openai_gpt-4o_openai_o3-mini_20250417_015751.csv
openai/gpt-4o,openai/o3-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-17T00-50-15+00-00_truthfulqa-initial_KddUYHUxL62wGDN5cNRzYS.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_o3-mini/2025-04-17T01-13-32+00-00_adaptive-truthfulqa-refactor_ZZD4wmiUbgaCaUxXR4nKjM.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_o3-mini/re_eval/openai_gpt-4o-mini/2025-04-17T01-57-56+00-00_re-evaluate-adaptive-truthfulqa_8duzf7SKoTm6ytEEeqChGT.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.6923076923076923,,choice,anthropic/claude-3-5-sonnet-latest,150,10,13,13,4,results/randomized_20250407_203611/novelty_openai_gpt-4o_openai_o3-mini_20250417_015751.csv
openai/gpt-4o,openai/o3-mini,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/initial_openai_gpt-4o/2025-04-17T00-50-15+00-00_truthfulqa-initial_KddUYHUxL62wGDN5cNRzYS.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_o3-mini/2025-04-17T01-13-32+00-00_adaptive-truthfulqa-refactor_ZZD4wmiUbgaCaUxXR4nKjM.eval,/home/davisrbr/Desktop/adaptive_evals/logs/adaptive_openai_gpt-4o__openai_o3-mini/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-17T01-57-59+00-00_re-evaluate-adaptive-truthfulqa_SGcqpDHbj7wpVTU7eYed23.eval,False,0.3,4,True,True,1.0,,adaptive_truthfulqa_scorer,0.38461538461538464,,choice,anthropic/claude-3-5-sonnet-latest,150,10,13,13,8,results/randomized_20250407_203611/novelty_openai_gpt-4o_openai_o3-mini_20250417_015751.csv
