question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
iter1_h0_q0,1,"The model assumes a strong correlation between the development of Artificial General Intelligence (AGI) and the implementation of quantum computing, without considering the impact of regulatory frameworks and ethical concerns",AI and Computing,Overestimation of AGI impact,P,Will NVIDIA develop a quantum computing chip for AGI applications by 2030?,"This question resolves as YES if NVIDIA officially announces the development of a quantum computing chip for AGI applications by December 31, 2030, as reported by NVIDIA's official website or reputable tech outlets like Wired.",0.32999999999999996,"[0.35, 0.15, 0.65, 0.35, 0.15]",0.30038330879556707
iter1_h0_q0,1,"The model assumes a strong correlation between the development of Artificial General Intelligence (AGI) and the implementation of quantum computing, without considering the impact of regulatory frameworks and ethical concerns",AI and Computing,Overestimation of AGI impact,Q_given_P,"Given that NVIDIA develops a quantum computing chip for AGI applications, will Google integrate the chip into its AGI research by 2032?","This question resolves as YES if Google officially announces the integration of NVIDIA's quantum computing chip into its AGI research by December 31, 2032, as reported by Google's official blog or reputable tech outlets like The Next Web.",0.438,"[0.42, 0.35, 0.65, 0.35, 0.42]",0.30038330879556707
iter1_h0_q0,1,"The model assumes a strong correlation between the development of Artificial General Intelligence (AGI) and the implementation of quantum computing, without considering the impact of regulatory frameworks and ethical concerns",AI and Computing,Overestimation of AGI impact,P_and_Q,Will both NVIDIA develop a quantum computing chip for AGI applications by 2030 and Google integrate the chip into its AGI research by 2032?,"This question resolves as YES if both conditions are met, as reported by NVIDIA's official website and Google's official blog. Resolution date: December 31, 2032. Resolution source: NVIDIA's official website and Google's official blog.",0.304,"[0.25, 0.45, 0.12, 0.35, 0.35]",0.30038330879556707
iter1_h0_q1,1,"The model assumes a strong correlation between the development of Artificial General Intelligence (AGI) and the implementation of quantum computing, without considering the impact of regulatory frameworks and ethical concerns",AI and Computing,Overestimation of AGI impact,P,Will AMD develop a quantum computing chip for AGI applications by 2028?,"This question resolves as YES if AMD officially announces the development of a quantum computing chip for AGI applications by December 31, 2028, as reported by AMD's official website or reputable tech outlets like TechCrunch.",0.16599999999999998,"[0.12, 0.12, 0.12, 0.12, 0.35]",0.22186228231658964
iter1_h0_q1,1,"The model assumes a strong correlation between the development of Artificial General Intelligence (AGI) and the implementation of quantum computing, without considering the impact of regulatory frameworks and ethical concerns",AI and Computing,Overestimation of AGI impact,Q_given_P,"Given that AMD develops a quantum computing chip for AGI applications, will Microsoft integrate the chip into its AGI research by 2030?","This question resolves as YES if Microsoft officially announces the integration of AMD's quantum computing chip into its AGI research by December 31, 2030, as reported by Microsoft's official blog or reputable tech outlets like The Verge.",0.49800000000000005,"[0.42, 0.42, 0.65, 0.65, 0.35]",0.22186228231658964
iter1_h0_q1,1,"The model assumes a strong correlation between the development of Artificial General Intelligence (AGI) and the implementation of quantum computing, without considering the impact of regulatory frameworks and ethical concerns",AI and Computing,Overestimation of AGI impact,P_and_Q,Will both AMD develop a quantum computing chip for AGI applications by 2028 and Microsoft integrate the chip into its AGI research by 2030?,"This question resolves as YES if both conditions are met, as reported by AMD's official website and Microsoft's official blog. Resolution date: December 31, 2030. Resolution source: AMD's official website and Microsoft's official blog.",0.17919999999999997,"[0.096, 0.12, 0.24, 0.12, 0.32]",0.22186228231658964
iter1_h0_q2,1,"The model assumes a strong correlation between the development of Artificial General Intelligence (AGI) and the implementation of quantum computing, without considering the impact of regulatory frameworks and ethical concerns",AI and Computing,Overestimation of AGI impact,P,Will Intel develop a quantum computing chip for AGI applications by 2029?,"This question resolves as YES if Intel officially announces the development of a quantum computing chip for AGI applications by December 31, 2029, as reported by Intel's official website or reputable tech outlets like CNET.",0.2899999999999999,"[0.35, 0.35, 0.25, 0.15, 0.35]",0.18147341771117373
iter1_h0_q2,1,"The model assumes a strong correlation between the development of Artificial General Intelligence (AGI) and the implementation of quantum computing, without considering the impact of regulatory frameworks and ethical concerns",AI and Computing,Overestimation of AGI impact,Q_given_P,"Given that Intel develops a quantum computing chip for AGI applications, will Amazon integrate the chip into its AGI research by 2031?","This question resolves as YES if Amazon officially announces the integration of Intel's quantum computing chip into its AGI research by December 31, 2031, as reported by Amazon's official blog or reputable tech outlets like CNBC.",0.532,"[0.62, 0.62, 0.42, 0.65, 0.35]",0.18147341771117373
iter1_h0_q2,1,"The model assumes a strong correlation between the development of Artificial General Intelligence (AGI) and the implementation of quantum computing, without considering the impact of regulatory frameworks and ethical concerns",AI and Computing,Overestimation of AGI impact,P_and_Q,Will both Intel develop a quantum computing chip for AGI applications by 2029 and Amazon integrate the chip into its AGI research by 2031?,"This question resolves as YES if both conditions are met, as reported by Intel's official website and Amazon's official blog. Resolution date: December 31, 2031. Resolution source: Intel's official website and Amazon's official blog.",0.248,"[0.15, 0.32, 0.2, 0.12, 0.45]",0.18147341771117373
iter1_h1_q0,1,The model overgeneralizes the impact of genetic engineering on human health without considering the effects of individual genetic variations and environmental factors,Genetic Engineering,Overgeneralization of genetic engineering impact,P,Will the use of genetic engineering in agriculture lead to significant increases in crop yields by 2031?,"This question resolves as YES if the use of genetic engineering in agriculture leads to significant increases in crop yields by December 31, 2031, as reported by the US Department of Agriculture or reputable agricultural outlets like AgWeb.",0.75,"[0.75, 0.75, 0.85, 0.75, 0.65]",0.5332822782651191
