question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
iter1_h0_q0,1,"The model overestimates joint probabilities in scenarios involving multiple events or conditions, as observed in the Speed Chess Championship example",,,P,Will the USA win more than 20 gold medals at the 2024 Paris Olympics?,"The USA has historically been a dominant force in the Olympics, but the 2024 Paris Olympics will feature strong competition from other countries. Resolution date: August 12, 2024. Resolution criteria: Official medal count from the IOC. Resolution source: Olympic.org",0.95,"[0.95, 0.95, 0.95, 0.95, 0.95]",0.3437534042615592
iter1_h0_q0,1,"The model overestimates joint probabilities in scenarios involving multiple events or conditions, as observed in the Speed Chess Championship example",,,Q_given_P,"Given that the USA wins more than 20 gold medals, will China win more than 15 gold medals at the 2024 Paris Olympics?","China has been increasing its investment in sports programs and has a strong track record in the Olympics. Resolution date: August 12, 2024. Resolution criteria: Official medal count from the IOC. Resolution source: Olympic.org",0.89,"[0.95, 0.85, 0.95, 0.85, 0.85]",0.3437534042615592
iter1_h0_q0,1,"The model overestimates joint probabilities in scenarios involving multiple events or conditions, as observed in the Speed Chess Championship example",,,P_and_Q,Will both the USA win more than 20 gold medals and China win more than 15 gold medals at the 2024 Paris Olympics?,"Both countries have a strong track record in the Olympics, but the competition will be fierce. Resolution date: August 12, 2024. Resolution criteria: Official medal count from the IOC. Resolution source: Olympic.org",0.64,"[0.85, 0.85, 0.5, 0.5, 0.5]",0.3437534042615592
iter1_h0_q1,1,"The model overestimates joint probabilities in scenarios involving multiple events or conditions, as observed in the Speed Chess Championship example",,,P,Will the European Central Bank raise interest rates by more than 1% in 2024?,"The ECB has been monitoring inflation and economic growth in the EU, and a rate hike is possible. Resolution date: December 31, 2024. Resolution criteria: Official ECB press release. Resolution source: ECB.eu",0.27,"[0.25, 0.25, 0.25, 0.25, 0.35]",0.6098359147422413
iter1_h0_q1,1,"The model overestimates joint probabilities in scenarios involving multiple events or conditions, as observed in the Speed Chess Championship example",,,Q_given_P,"Given that the ECB raises interest rates by more than 1%, will the euro appreciate against the US dollar by more than 5% in 2024?","The ECB's monetary policy decisions can impact currency markets, but the relationship is complex. Resolution date: December 31, 2024. Resolution criteria: Official exchange rate data from the ECB. Resolution source: ECB.eu",0.25,"[0.25, 0.25, 0.25, 0.25, 0.25]",0.6098359147422413
iter1_h0_q1,1,"The model overestimates joint probabilities in scenarios involving multiple events or conditions, as observed in the Speed Chess Championship example",,,P_and_Q,Will both the ECB raise interest rates by more than 1% and the euro appreciate against the US dollar by more than 5% in 2024?,"The ECB's decisions can have far-reaching effects on the economy and financial markets. Resolution date: December 31, 2024. Resolution criteria: Official ECB press release and exchange rate data. Resolution source: ECB.eu",0.38,"[0.15, 0.5, 0.5, 0.25, 0.5]",0.6098359147422413
iter1_h0_q2,1,"The model overestimates joint probabilities in scenarios involving multiple events or conditions, as observed in the Speed Chess Championship example",,,P,Will OpenAI announce a major breakthrough in artificial general intelligence in 2024?,"OpenAI has been actively researching and developing AI technologies, but a major breakthrough is uncertain. Resolution date: December 31, 2024. Resolution criteria: Official OpenAI press release. Resolution source: OpenAI.com",0.36,"[0.5, 0.15, 0.15, 0.5, 0.5]",0.08388613298651738
iter1_h0_q2,1,"The model overestimates joint probabilities in scenarios involving multiple events or conditions, as observed in the Speed Chess Championship example",,,Q_given_P,"Given that OpenAI announces a major breakthrough in AGI, will Microsoft invest more than $1 billion in AI research in 2024?","Microsoft has been investing in AI research and development, and a breakthrough by OpenAI could prompt further investment. Resolution date: December 31, 2024. Resolution criteria: Official Microsoft press release. Resolution source: Microsoft.com",0.85,"[0.85, 0.85, 0.85, 0.85, 0.85]",0.08388613298651738
iter1_h0_q2,1,"The model overestimates joint probabilities in scenarios involving multiple events or conditions, as observed in the Speed Chess Championship example",,,P_and_Q,Will both OpenAI announce a major breakthrough in AGI and Microsoft invest more than $1 billion in AI research in 2024?,"A breakthrough in AGI could have significant implications for the tech industry and investment decisions. Resolution date: December 31, 2024. Resolution criteria: Official OpenAI and Microsoft press releases. Resolution source: OpenAI.com and Microsoft.com",0.36,"[0.15, 0.5, 0.5, 0.15, 0.5]",0.08388613298651738
iter1_h0_q3,1,"The model overestimates joint probabilities in scenarios involving multiple events or conditions, as observed in the Speed Chess Championship example",,,P,"Will the price of Bitcoin exceed $50,000 in 2024?","The cryptocurrency market is highly volatile, and predicting prices is challenging. Resolution date: December 31, 2024. Resolution criteria: Official Bitcoin price data from CoinMarketCap. Resolution source: CoinMarketCap.com",0.5599999999999999,"[0.5, 0.65, 0.5, 0.65, 0.5]",0.23321227608843695
