Generator Model,n_negative_samples,Accuracy,use_cot,randomize_sampling,num_samples,config_label
gpt-4o,8,0.7666666666666667,False,False,30,"CoT=No, Random=No"
gpt-4o,2,0.6071428571428571,True,False,30,"CoT=Yes, Random=No"
gpt-4o,8,0.6551724137931034,True,False,30,"CoT=Yes, Random=No"
gpt-4o,16,0.6,False,False,30,"CoT=No, Random=No"
claude-3-5-sonnet-20240620,8,0.7,True,False,30,"CoT=Yes, Random=No"
claude-3-5-sonnet-20240620,8,0.7666666666666667,False,False,30,"CoT=No, Random=No"
claude-3-5-sonnet-20240620,16,0.7666666666666667,True,False,30,"CoT=Yes, Random=No"
gpt-4o,4,0.6333333333333333,False,False,30,"CoT=No, Random=No"
claude-3-5-sonnet-20240620,2,0.7333333333333333,True,False,30,"CoT=Yes, Random=No"
gpt-4o,2,0.6666666666666666,False,False,30,"CoT=No, Random=No"
claude-3-5-sonnet-20240620,4,0.7,True,False,30,"CoT=Yes, Random=No"
claude-3-5-sonnet-20240620,2,0.7,False,False,30,"CoT=No, Random=No"
claude-3-5-sonnet-20240620,4,0.8,False,False,30,"CoT=No, Random=No"
gpt-4o,16,0.6333333333333333,True,False,30,"CoT=Yes, Random=No"
claude-3-5-sonnet-20240620,16,0.7666666666666667,False,False,30,"CoT=No, Random=No"
gpt-4o,4,0.7586206896551724,True,False,30,"CoT=Yes, Random=No"
gpt-4o,8,0.43333333333333335,True,False,30,"CoT=Yes, Random=No"
Meta-Llama-3.1-405B-Instruct-Turbo,2,0.6,True,False,30,"CoT=Yes, Random=No"
Meta-Llama-3.1-405B-Instruct-Turbo,16,0.7,True,True,30,"CoT=Yes, Random=Yes"
Meta-Llama-3.1-405B-Instruct-Turbo,8,0.8,True,True,30,"CoT=Yes, Random=Yes"
Meta-Llama-3.1-405B-Instruct-Turbo,2,0.8333333333333334,True,True,30,"CoT=Yes, Random=Yes"
Meta-Llama-3.1-405B-Instruct-Turbo,8,0.4666666666666667,False,False,30,"CoT=No, Random=No"
Meta-Llama-3.1-405B-Instruct-Turbo,4,0.5172413793103449,False,False,30,"CoT=No, Random=No"
gpt-4o,2,0.7142857142857143,True,True,30,"CoT=Yes, Random=Yes"
gpt-4o,4,0.6896551724137931,True,False,30,"CoT=Yes, Random=No"
gpt-4o,32,0.6333333333333333,False,False,30,"CoT=No, Random=No"
Meta-Llama-3.1-405B-Instruct-Turbo,64,0.26666666666666666,False,False,30,"CoT=No, Random=No"
gpt-4o,4,0.8888888888888888,True,True,30,"CoT=Yes, Random=Yes"
Meta-Llama-3.1-405B-Instruct-Turbo,4,0.6,True,False,30,"CoT=Yes, Random=No"
Meta-Llama-3.1-405B-Instruct-Turbo,32,0.7333333333333333,True,True,30,"CoT=Yes, Random=Yes"
Meta-Llama-3.1-405B-Instruct-Turbo,16,0.6666666666666666,True,False,30,"CoT=Yes, Random=No"
gpt-4o,64,0.7,True,False,30,"CoT=Yes, Random=No"
gpt-4o,64,0.6,False,False,30,"CoT=No, Random=No"
gpt-4o,8,0.8571428571428571,True,True,30,"CoT=Yes, Random=Yes"
claude-3-5-sonnet-20240620,32,0.6666666666666666,False,False,30,"CoT=No, Random=No"
claude-3-5-sonnet-20240620,32,0.5,True,True,30,"CoT=Yes, Random=Yes"
Meta-Llama-3.1-405B-Instruct-Turbo,2,0.5517241379310345,False,False,30,"CoT=No, Random=No"
claude-3-5-sonnet-20240620,16,0.6,True,True,30,"CoT=Yes, Random=Yes"
Meta-Llama-3.1-405B-Instruct-Turbo,8,0.8666666666666667,True,False,30,"CoT=Yes, Random=No"
Meta-Llama-3.1-405B-Instruct-Turbo,16,0.4666666666666667,False,False,30,"CoT=No, Random=No"
Meta-Llama-3.1-405B-Instruct-Turbo,64,0.6333333333333333,True,False,30,"CoT=Yes, Random=No"
claude-3-5-sonnet-20240620,2,0.6666666666666666,True,True,30,"CoT=Yes, Random=Yes"
claude-3-5-sonnet-20240620,4,0.7333333333333333,True,True,30,"CoT=Yes, Random=Yes"
claude-3-5-sonnet-20240620,32,0.8,True,False,30,"CoT=Yes, Random=No"
Meta-Llama-3.1-405B-Instruct-Turbo,32,0.36666666666666664,False,False,30,"CoT=No, Random=No"
gpt-4o,16,0.896551724137931,True,True,30,"CoT=Yes, Random=Yes"
gpt-4o,32,0.7333333333333333,True,False,30,"CoT=Yes, Random=No"
gpt-4o,16,0.7333333333333333,True,False,30,"CoT=Yes, Random=No"
Meta-Llama-3.1-405B-Instruct-Turbo,4,0.5666666666666667,True,True,30,"CoT=Yes, Random=Yes"
Meta-Llama-3.1-405B-Instruct-Turbo,32,0.5666666666666667,True,False,30,"CoT=Yes, Random=No"
gpt-4o,32,0.9666666666666667,True,True,30,"CoT=Yes, Random=Yes"
gpt-4o,32,0.5,True,False,30,"CoT=Yes, Random=No"
claude-3-5-sonnet-20240620,8,0.43333333333333335,True,True,30,"CoT=Yes, Random=Yes"
gpt-4o,64,0.7,True,False,30,"CoT=Yes, Random=No"
gpt-4o,64,0.9666666666666667,True,True,30,"CoT=Yes, Random=Yes"
Meta-Llama-3.1-405B-Instruct-Turbo,64,0.6666666666666666,True,True,30,"CoT=Yes, Random=Yes"
