State,Gender,Ethnicity,Education,Language,Age,DisabilityStatus,Income,SES,Occupation,UrbanRural
Alabama,Male,Hispanic or Latino,Bachelor's or Higher,English Only,4,Not Disabled,92454.5516574144,0.21136340382249036,Production,Urban
Alabama,Female,Hispanic or Latino,Bachelor's or Higher,English Only,43,Not Disabled,73193.54654878503,0.3280110344663175,Service,Urban
Alabama,Male,Hispanic or Latino,Bachelor's or Higher,English Only,4,Not Disabled,92454.5516574144,0.21136340382249036,Production,Urban
Alabama,Female,White (Non-Hispanic),Bachelor's or Higher,English Only,30,Disabled,27385.72423280569,0.10967271763954967,Service,Urban
Alabama,Female,White (Non-Hispanic),Bachelor's or Higher,English Only,31,Disabled,1873.2307263257953,0.2817859058950424,Service,Urban
Alabama,Female,Hispanic or Latino,Bachelor's or Higher,English Only,36,Disabled,49524.13719096301,0.3122029970811104,NaturalResources,Urban
Alabama,Male,White (Non-Hispanic),Less than High School,English Only,27,Disabled,64421.75287195042,0.19522043295890543,Professional,Urban
Alabama,Male,Hispanic or Latino,Bachelor's or Higher,English Only,54,Disabled,39825.49546132432,0.17684298648843466,NaturalResources,Urban
Alabama,Female,Black (Non-Hispanic),Bachelor's or Higher,English Only,9,Not Disabled,61632.437737342305,0.4734606742958102,Sales,Urban
Alabama,Female,Hispanic or Latino,Bachelor's or Higher,English Only,14,Disabled,4146.399133806295,0.18988237788304502,Service,Urban
Alabama,Female,Hispanic or Latino,Bachelor's or Higher,English Only,40,Not Disabled,16457.365853188196,0.5429881608410696,Management,Urban
Alabama,Female,Hispanic or Latino,Bachelor's or Higher,English Only,10,Disabled,1623.917987342216,0.2617851802607194,Production,Urban
Alabama,Female,Hispanic or Latino,Bachelor's or Higher,English Only,14,Disabled,4146.399133806295,0.18988237788304502,Service,Urban
Alabama,Female,Hispanic or Latino,Bachelor's or Higher,English Only,52,Disabled,13776.462661055482,0.22205655143959382,Service,Urban
Alabama,Female,Hispanic or Latino,Bachelor's or Higher,English Only,11,Disabled,95949.17551240469,0.04683706189474379,NaturalResources,Urban
Alabama,Male,White (Non-Hispanic),Bachelor's or Higher,English Only,28,Disabled,10285.714652895032,0.16660636497500642,Service,Urban
Alabama,Female,White (Non-Hispanic),Bachelor's or Higher,English Only,35,Disabled,45174.79563682482,0.18977771151841913,Service,Urban
Alabama,Female,White (Non-Hispanic),High School Graduate,English Only,17,Not Disabled,194778.3559018696,0.172583060045959,Sales,Urban
Alabama,Male,Hispanic or Latino,Bachelor's or Higher,English Only,71,Disabled,2998.3787152088194,0.24724530508802567,Service,Urban
Alabama,Male,Hispanic or Latino,Bachelor's or Higher,English Only,71,Disabled,2998.3787152088194,0.24724530508802567,Service,Urban
Alabama,Female,Hispanic or Latino,Some College/Associate's,English Only,62,Disabled,21412.029686865975,0.2129014260226226,Service,Urban
Alabama,Male,Hispanic or Latino,High School Graduate,English Only,27,Disabled,14948.749576464994,0.3489096758961641,Sales,Urban
Alabama,Male,White (Non-Hispanic),Bachelor's or Higher,English Only,63,Disabled,199278.20289424277,0.1587709339840561,Service,Urban
Alabama,Male,White (Non-Hispanic),Some College/Associate's,English Only,96,Not Disabled,32949.78466761465,0.122014960566355,Service,Urban
Alabama,Female,Hispanic or Latino,Bachelor's or Higher,English Only,91,Disabled,38525.70557315339,0.24868266263101288,Professional,Urban
Alabama,Male,White (Non-Hispanic),High School Graduate,English Only,29,Not Disabled,71435.39704245009,0.3708249675011932,Sales,Urban
Alabama,Female,White (Non-Hispanic),Less than High School,English Only,42,Not Disabled,32640.034160992633,0.29329011067928995,Sales,Urban
Alabama,Female,Hispanic or Latino,High School Graduate,English Only,83,Not Disabled,23747.78765264407,0.18373419017284398,NaturalResources,Urban
Alabama,Female,Hispanic or Latino,High School Graduate,English Only,19,Disabled,18038.215031182946,0.2527416823469463,Service,Urban
Alabama,Female,Hispanic or Latino,High School Graduate,English Only,19,Not Disabled,177851.91696674083,0.05092113187453628,Production,Urban
Alabama,Male,Black (Non-Hispanic),Less than High School,English Only,43,Disabled,31834.84718521524,0.08940868390203696,NaturalResources,Urban
