eval_model_name,generator_model_name,re_eval_model_name,initial_log_path,adaptive_log_path,re_eval_log_path,use_example,use_cot_target,use_cot_in_context_attacker,num_epochs,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer_name,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer_name,judge_model_name,positive_samples,negative_samples,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file,task_name
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-07T19-00-54+00-00_legalbench-initial-aggregated_jXCGBtsuJibEJcuWDvcdVR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T21-21-49+00-00_adaptive-legal_FyPx5tkdittbaEGm8aJMLX.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-07T21-23-45+00-00_re-evaluate-adaptive-legal_hyqATnJQvuSpDF4yLSUdEn.eval,True,False,False,150,0.9066666666666666,,adaptive_legal_scorer,0.7692307692307693,,choice,anthropic/claude-3-5-sonnet-latest,1,8,13,13,3,legal_150_results_nocot/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250407_212340.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-07T19-00-54+00-00_legalbench-initial-aggregated_jXCGBtsuJibEJcuWDvcdVR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T21-21-49+00-00_adaptive-legal_FyPx5tkdittbaEGm8aJMLX.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-07T21-23-48+00-00_re-evaluate-adaptive-legal_UBjHmPDeTdcehY6NbBrkwt.eval,True,False,False,150,0.9066666666666666,,adaptive_legal_scorer,0.23076923076923078,,choice,anthropic/claude-3-5-sonnet-latest,1,8,13,13,10,legal_150_results_nocot/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250407_212340.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-07T19-00-54+00-00_legalbench-initial-aggregated_jXCGBtsuJibEJcuWDvcdVR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T21-21-49+00-00_adaptive-legal_FyPx5tkdittbaEGm8aJMLX.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-07T21-23-55+00-00_re-evaluate-adaptive-legal_M57apVAUiKguvZaLusQB25.eval,True,False,False,150,0.9066666666666666,,adaptive_legal_scorer,0.15384615384615385,,choice,anthropic/claude-3-5-sonnet-latest,1,8,13,13,11,legal_150_results_nocot/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250407_212340.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-07T19-00-54+00-00_legalbench-initial-aggregated_jXCGBtsuJibEJcuWDvcdVR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T21-21-49+00-00_adaptive-legal_FyPx5tkdittbaEGm8aJMLX.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-07T21-23-57+00-00_re-evaluate-adaptive-legal_7CwbTyWSTVJR4bXgr7SFEj.eval,True,False,False,150,0.9066666666666666,,adaptive_legal_scorer,0.46153846153846156,,choice,anthropic/claude-3-5-sonnet-latest,1,8,13,13,7,legal_150_results_nocot/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250407_212340.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-07T19-00-54+00-00_legalbench-initial-aggregated_jXCGBtsuJibEJcuWDvcdVR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T21-21-49+00-00_adaptive-legal_FyPx5tkdittbaEGm8aJMLX.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-07T21-24-29+00-00_re-evaluate-adaptive-legal_mnHufHwXbCsDhFsRx37ibU.eval,True,False,False,150,0.9066666666666666,,adaptive_legal_scorer,0.9230769230769231,,choice,anthropic/claude-3-5-sonnet-latest,1,8,13,13,1,legal_150_results_nocot/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250407_212340.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-07T19-00-54+00-00_legalbench-initial-aggregated_jXCGBtsuJibEJcuWDvcdVR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T21-24-32+00-00_adaptive-legal_3sPevZyB2JNt8RreGnDBuS.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-07T21-26-33+00-00_re-evaluate-adaptive-legal_i3VErrXhe3xmLf97eQPzbi.eval,True,False,False,150,0.16,,adaptive_legal_scorer,0.6111111111111112,,choice,anthropic/claude-3-5-sonnet-latest,1,8,126,126,49,legal_150_results_nocot/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250407_212628.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-07T19-00-54+00-00_legalbench-initial-aggregated_jXCGBtsuJibEJcuWDvcdVR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T21-24-32+00-00_adaptive-legal_3sPevZyB2JNt8RreGnDBuS.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-07T21-26-43+00-00_re-evaluate-adaptive-legal_HR7cL7ebr2nTTUfYac7Ncg.eval,True,False,False,150,0.16,,adaptive_legal_scorer,0.30158730158730157,,choice,anthropic/claude-3-5-sonnet-latest,1,8,126,126,88,legal_150_results_nocot/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250407_212628.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o-mini,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-07T19-00-54+00-00_legalbench-initial-aggregated_jXCGBtsuJibEJcuWDvcdVR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T21-24-32+00-00_adaptive-legal_3sPevZyB2JNt8RreGnDBuS.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-07T21-27-09+00-00_re-evaluate-adaptive-legal_hYTNFsenhQeWuWcFPtpWBg.eval,True,False,False,150,0.16,,adaptive_legal_scorer,0.5317460317460317,,choice,anthropic/claude-3-5-sonnet-latest,1,8,126,126,59,legal_150_results_nocot/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250407_212628.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o-mini,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-07T19-00-54+00-00_legalbench-initial-aggregated_jXCGBtsuJibEJcuWDvcdVR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T21-24-32+00-00_adaptive-legal_3sPevZyB2JNt8RreGnDBuS.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-07T21-27-16+00-00_re-evaluate-adaptive-legal_2G4fdEnmKE5xTt6Prk5jvf.eval,True,False,False,150,0.16,,adaptive_legal_scorer,0.40476190476190477,,choice,anthropic/claude-3-5-sonnet-latest,1,8,126,126,75,legal_150_results_nocot/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250407_212628.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o-mini,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-07T19-00-54+00-00_legalbench-initial-aggregated_jXCGBtsuJibEJcuWDvcdVR.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T21-24-32+00-00_adaptive-legal_3sPevZyB2JNt8RreGnDBuS.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-07T21-28-47+00-00_re-evaluate-adaptive-legal_DxKZ2Pzw9e9SqgGRmyEK4b.eval,True,False,False,150,0.16,,adaptive_legal_scorer,0.8571428571428571,,choice,anthropic/claude-3-5-sonnet-latest,1,8,126,126,18,legal_150_results_nocot/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250407_212628.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
