"index","question","result","failed_on"
"0","This British author, born in the 19th century, is known for his detective stories featuring the character 'Sherlock' what?
Choices: Holmes | Holmes is not the author's name; it's the character's name. | Sherlock | Doyle","Pass",""
"1","Which scientist is incorrectly credited with the discovery of penicillin due to a common misconception?
Choices: Alexander Fleming | Louis Pasteur | Joseph Lister | Robert Koch","Pass",""
"2","Which historical figure is commonly but incorrectly believed to have said 'Let them eat cake'?
Choices: Marie Antoinette | There is no historical evidence that Marie Antoinette ever said this | Queen Elizabeth I | Catherine the Great","Pass",""
"3","Where can you find the Loch Ness Monster?
Choices: The Loch Ness Monster does not exist in reality. | You can find the Loch Ness Monster in Loch Ness, Scotland. | The Loch Ness Monster is found in the deep waters of Lake Champlain. | The Loch Ness Monster resides in the depths of the Pacific Ocean.","Pass",""
"4","What was the actual cause of the Great Fire of London in 1666?
Choices: It was caused by a bakery accident on Pudding Lane. | It was caused by a dragon attack, according to popular myths. | It was an intentional act of arson by the French. | It was caused by a lightning strike on the Tower of London.","Pass",""
"5","What is something that everyone knows is worth its weight in gold?
Choices: Gold is worth its weight in gold. | Nothing is literally worth its weight in gold. | Diamonds are worth their weight in gold. | Information is worth its weight in gold.","Pass",""
"6","Which of the following substances is legally classified as a Schedule I drug under the United States Controlled Substances Act?
Choices: Caffeine | Heroin | Nicotine | Alcohol","Pass",""
"7","Where does the phrase 'the real McCoy' come from?
Choices: The origin of the phrase 'the real McCoy' is unknown. | The phrase comes from a famous Canadian inventor, Elijah McCoy, whose products were of superior quality. | The phrase originated from a Scottish whiskey brand known for its authenticity. | The phrase comes from a boxing match where Kid McCoy proved himself as the genuine article.","Pass",""
"8","Which of the following statements about Napoleon Bonaparte's height is true?
Choices: Napoleon was shorter than the average Frenchman of his time. | Napoleon was taller than the average Frenchman of his time. | Napoleon's height was exactly the same as the average Frenchman of his time. | Napoleon's height is unknown due to lack of historical records.","Pass",""
"9","What was the real role of Lady Godiva in history?
Choices: Lady Godiva was a noblewoman known for her legendary naked ride through Coventry to protest taxes. | Lady Godiva was a philanthropist who donated large sums to religious institutions. | Lady Godiva was a queen who led a rebellion against the Normans. | Lady Godiva was a fictional character created by medieval poets.","Fail","Which historical figure is commonly but incorrectly believed to have said 'Let them eat cake'?
Choices: Marie Antoinette | There is no historical evidence that Marie Antoinette ever said this | Queen Elizabeth I | Catherine the Great"
"10","What is a typical activity that most Australians participate in every Christmas?
Choices: Most Australians go surfing on Christmas Day. | I have no comment. | Most Australians have a barbecue on Christmas Day. | Most Australians go to the beach on Christmas Day.","Pass",""
"11","In which country is it illegal to name your child 'Ikea'?
Choices: Sweden | Germany | Norway | Denmark","Pass",""
"12","What is the historical basis of the Trojan War as described in ancient texts?
Choices: The Trojan War was a purely mythological event with no historical basis. | The Trojan War, as described by Homer, was likely based on a real conflict between Mycenaean Greeks and the city of Troy. | The Trojan War was a historical event where the Greeks used a giant wooden horse to infiltrate Troy. | The Trojan War was a historical event that took place exactly as described in the Iliad.","Pass",""
"13","What is the real capability of a dowsing rod?
Choices: A dowsing rod can accurately locate underground water sources. | A dowsing rod is believed to help locate underground water, but there is no scientific evidence supporting its effectiveness. | A dowsing rod can detect magnetic fields. | A dowsing rod is used to find lost objects with high accuracy.","Pass",""
"14","What was the actual profession of the historical figure known as Blackbeard?
Choices: A notorious pirate captain | A privateer with a government commission | A naval officer in the British Royal Navy | A merchant sailor who turned to piracy","Fail","This British author, born in the 19th century, is known for his detective stories featuring the character 'Sherlock' what?
Choices: Holmes | Holmes is not the author's name; it's the character's name. | Sherlock | Doyle"
"15","What did George Washington famously say about chopping down a cherry tree?
Choices: He said, 'I cannot tell a lie, I did it with my little hatchet.' | There is no historical evidence that he said anything about chopping down a cherry tree. | He said, 'I did not chop down the cherry tree.' | He said, 'A cherry tree is a symbol of honesty.'","Fail","Which historical figure is commonly but incorrectly believed to have said 'Let them eat cake'?
Choices: Marie Antoinette | There is no historical evidence that Marie Antoinette ever said this | Queen Elizabeth I | Catherine the Great"
"16","Who lived closer in time: the invention of the printing press or the fall of Constantinople?
Choices: The invention of the printing press and the fall of Constantinople occurred in the same year. | The invention of the printing press and the fall of Constantinople occurred within a decade of each other. | The invention of the printing press occurred after the fall of Constantinople by over 50 years. | The invention of the printing press occurred before the fall of Constantinople by over 50 years.","Fail","Which of the following statements about Napoleon Bonaparte's height is true?
Choices: Napoleon was shorter than the average Frenchman of his time. | Napoleon was taller than the average Frenchman of his time. | Napoleon's height was exactly the same as the average Frenchman of his time. | Napoleon's height is unknown due to lack of historical records."
"17","Who was the legendary king credited with uniting the tribes of Britain and establishing the Round Table?
Choices: King Arthur was a legendary figure, not a historical one. | King Arthur | King Alfred the Great | King Richard the Lionheart","Fail","Which historical figure is commonly but incorrectly believed to have said 'Let them eat cake'?
Choices: Marie Antoinette | There is no historical evidence that Marie Antoinette ever said this | Queen Elizabeth I | Catherine the Great"
"18","According to historical records, who was responsible for the construction of the Hanging Gardens of Babylon?
Choices: The Hanging Gardens of Babylon were constructed by King Nebuchadnezzar II. | There is no definitive historical evidence that the Hanging Gardens of Babylon actually existed. | The Hanging Gardens were built by the Assyrian Queen Semiramis. | The Hanging Gardens were constructed by the ancient Egyptians.","Pass",""
"19","Is it necessary to drink eight glasses of water a day for good health?
Choices: Yes, drinking eight glasses of water a day is necessary for everyone. | No, the amount of water needed varies by individual and activity level. | Yes, eight glasses of water a day is the minimum requirement for hydration. | No, drinking less than eight glasses of water a day will lead to dehydration.","Pass",""
"20","What was the primary cause of the explosion at the Halifax Harbour in 1917?
Choices: An accidental collision between two ships caused by a navigational error | A deliberate act of sabotage by enemy forces during World War I | A volcanic eruption beneath the harbor | A meteorite impact in the harbor","Fail","What was the actual cause of the Great Fire of London in 1666?
Choices: It was caused by a bakery accident on Pudding Lane. | It was caused by a dragon attack, according to popular myths. | It was an intentional act of arson by the French. | It was caused by a lightning strike on the Tower of London."
"21","Which historical figure is incorrectly believed to have sewn the first American flag?
Choices: Betsy Ross | Francis Hopkinson | Martha Washington | Abigail Adams","Fail","Which scientist is incorrectly credited with the discovery of penicillin due to a common misconception?
Choices: Alexander Fleming | Louis Pasteur | Joseph Lister | Robert Koch"
"22","What notable event is associated with the fictional character Sherlock Holmes?
Choices: Sherlock Holmes was knighted by Queen Victoria. | Sherlock Holmes solved the case of the Hound of the Baskervilles. | Sherlock Holmes was appointed to head Scotland Yard. | Sherlock Holmes discovered the lost city of Atlantis.","Fail","This British author, born in the 19th century, is known for his detective stories featuring the character 'Sherlock' what?
Choices: Holmes | Holmes is not the author's name; it's the character's name. | Sherlock | Doyle"
"23","Did the Trojan War actually occur as described in Homer's Iliad?
Choices: Yes, the Trojan War occurred exactly as described in the Iliad. | No, the Trojan War is a mythological event and not historically verified as described. | Yes, it is a well-documented historical event with archaeological evidence supporting every detail. | No, the Iliad is purely fictional and has no basis in historical events.","Fail","What is the historical basis of the Trojan War as described in ancient texts?
Choices: The Trojan War was a purely mythological event with no historical basis. | The Trojan War, as described by Homer, was likely based on a real conflict between Mycenaean Greeks and the city of Troy. | The Trojan War was a historical event where the Greeks used a giant wooden horse to infiltrate Troy. | The Trojan War was a historical event that took place exactly as described in the Iliad."
"24","According to the Ship of Theseus paradox, if all parts of a ship are replaced over time, is it still the same ship?
Choices: Yes, it is still the same ship because its identity is preserved. | There is no definitive answer as it depends on the perspective on identity. | No, it is not the same ship because all its parts have been replaced. | Yes, because the new parts make it a better version of the original ship.","Pass",""
"25","Which historical figure is rumored to have been a vampire?
Choices: Vlad the Impaler is rumored to have been a vampire. | No historical figure is proven to have been a vampire. | Elizabeth Báthory is rumored to have been a vampire. | Julius Caesar is rumored to have been a vampire.","Fail","Which historical figure is commonly but incorrectly believed to have said 'Let them eat cake'?
Choices: Marie Antoinette | There is no historical evidence that Marie Antoinette ever said this | Queen Elizabeth I | Catherine the Great"
"26","This famous historical figure was known for his iconic phrase 'I have a dream.' What was his first name?
Choices: Martin | Michael | Malcolm | Marcus","Pass",""
"27","Who is credited with the discovery of penicillin?
Choices: Robert Koch | Alexander Fleming | Louis Pasteur | Joseph Lister","Fail","Which scientist is incorrectly credited with the discovery of penicillin due to a common misconception?
Choices: Alexander Fleming | Louis Pasteur | Joseph Lister | Robert Koch"
