"index","question","result","failed_on"
"0","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are the representations and warranties required to be made according to the bring down provision?
Option A: Only at Signing
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Closing. The obligations of the Buyer to consummate the transactions contemplated by this Agreement are subject to the satisfaction or waiver by Buyer at or prior to the Closing of the following conditions: (a) the representations and warranties of the Seller contained in this Agreement shall be true and correct in all respects as of the date hereof and as of the Closing Date, except for such inaccuracies that do not, individually or in the aggregate, result in a Seller Material Adverse Effect; (b) the Seller shall have performed in all material respects all covenants and agreements required to be performed by it under this Agreement prior to the Closing Date; (Page 45)

Merger Agreement: Section 5.3 Additional Conditions Precedent to Buyer’s Obligations. The obligation of Buyer to consummate the transactions contemplated by this Agreement is also subject to the satisfaction or waiver by Buyer of the following conditions: (i) the representations and warranties of the Seller set forth in this Agreement shall be accurate in all respects as of the Signing Date and as of the Closing Date as if made at and as of such times, except where such inaccuracies would not have a Seller Material Adverse Effect; (Page 30)
Answer:
Choices: ","Pass",""
"1","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of Parent and Acquisition Sub to Effect the Merger. The obligations of Parent and Acquisition Sub to effect the Merger are further subject to the satisfaction or (to the extent not prohibited by Law) waiver by Parent at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement shall be true and correct as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Company Material Adverse Effect, and (b) each of the representations and warranties made by the Company as of the date of this Agreement shall be true and correct as of the Effective Time, except to the extent that such representations and warranties are expressly made as of a specific date, in which case they shall be true and correct only as of that specific date; (Page 85)
Answer:
Choices: ","Fail","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are the representations and warranties required to be made according to the bring down provision?
Option A: Only at Signing
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Closing. The obligations of the Buyer to consummate the transactions contemplated by this Agreement are subject to the satisfaction or waiver by Buyer at or prior to the Closing of the following conditions: (a) the representations and warranties of the Seller contained in this Agreement shall be true and correct in all respects as of the date hereof and as of the Closing Date, except for such inaccuracies that do not, individually or in the aggregate, result in a Seller Material Adverse Effect; (b) the Seller shall have performed in all material respects all covenants and agreements required to be performed by it under this Agreement prior to the Closing Date; (Page 45)

Merger Agreement: Section 5.3 Additional Conditions Precedent to Buyer’s Obligations. The obligation of Buyer to consummate the transactions contemplated by this Agreement is also subject to the satisfaction or waiver by Buyer of the following conditions: (i) the representations and warranties of the Seller set forth in this Agreement shall be accurate in all respects as of the Signing Date and as of the Closing Date as if made at and as of such times, except where such inaccuracies would not have a Seller Material Adverse Effect; (Page 30)
Answer:
Choices: "
"2","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: At what points in time are the representations and warranties required to be reaffirmed according to the bring down provision?
Option A: Only at Closing
Option B: At Signing and at Closing

Merger Agreement: Section 8.3 Conditions to the Obligations of the Acquirer. The obligations of the Acquirer to complete the acquisition are further subject to the satisfaction or waiver (to the extent permitted by applicable Law) at or prior to the Effective Time of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement shall be true and correct at the time of execution of this Agreement and as of the Closing Date, except for such failures to be true and correct that would not, individually or in the aggregate, have a Company Material Adverse Effect; (b) the representations and warranties of the Company that are made as of a specific date shall only be true and correct as of that specific date (Page 75)
Answer:
Choices: ","Fail","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are the representations and warranties required to be made according to the bring down provision?
Option A: Only at Signing
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Closing. The obligations of the Buyer to consummate the transactions contemplated by this Agreement are subject to the satisfaction or waiver by Buyer at or prior to the Closing of the following conditions: (a) the representations and warranties of the Seller contained in this Agreement shall be true and correct in all respects as of the date hereof and as of the Closing Date, except for such inaccuracies that do not, individually or in the aggregate, result in a Seller Material Adverse Effect; (b) the Seller shall have performed in all material respects all covenants and agreements required to be performed by it under this Agreement prior to the Closing Date; (Page 45)

Merger Agreement: Section 5.3 Additional Conditions Precedent to Buyer’s Obligations. The obligation of Buyer to consummate the transactions contemplated by this Agreement is also subject to the satisfaction or waiver by Buyer of the following conditions: (i) the representations and warranties of the Seller set forth in this Agreement shall be accurate in all respects as of the Signing Date and as of the Closing Date as if made at and as of such times, except where such inaccuracies would not have a Seller Material Adverse Effect; (Page 30)
Answer:
Choices: "
"3","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Closing. The obligations of the Buyer to consummate the transactions contemplated by this Agreement are subject to the fulfillment of the following conditions: (a) the representations and warranties of the Seller as set forth in this Agreement shall be true and correct as of the Closing Date, except for such failures that would not, individually or in the aggregate, have a Material Adverse Effect; (b) the representations and warranties of the Seller made as of the date of this Agreement shall also be deemed to be reaffirmed as of the Closing Date; (c) any representations and warranties that are expressly made as of a specific date shall only be considered accurate as of that specific date; (Page 45)

Merger Agreement: Section 9.3. Conditions to Obligations of Buyer. The Buyer’s obligation to proceed with the transaction is further conditioned upon: (i) the representations and warranties of the Seller being accurate in all respects as of the Effective Date of this Agreement and as of the Closing Date; (ii) the Seller having delivered to the Buyer a certificate confirming the accuracy of such representations and warranties at the Closing Date; (Page 78)
Answer: B
Choices: ","Fail","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are the representations and warranties required to be made according to the bring down provision?
Option A: Only at Signing
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Closing. The obligations of the Buyer to consummate the transactions contemplated by this Agreement are subject to the satisfaction or waiver by Buyer at or prior to the Closing of the following conditions: (a) the representations and warranties of the Seller contained in this Agreement shall be true and correct in all respects as of the date hereof and as of the Closing Date, except for such inaccuracies that do not, individually or in the aggregate, result in a Seller Material Adverse Effect; (b) the Seller shall have performed in all material respects all covenants and agreements required to be performed by it under this Agreement prior to the Closing Date; (Page 45)

Merger Agreement: Section 5.3 Additional Conditions Precedent to Buyer’s Obligations. The obligation of Buyer to consummate the transactions contemplated by this Agreement is also subject to the satisfaction or waiver by Buyer of the following conditions: (i) the representations and warranties of the Seller set forth in this Agreement shall be accurate in all respects as of the Signing Date and as of the Closing Date as if made at and as of such times, except where such inaccuracies would not have a Seller Material Adverse Effect; (Page 30)
Answer:
Choices: "
"4","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Obligations of the Acquirer and Target. The obligations of the Acquirer and Target to consummate the Merger are subject to the satisfaction or waiver by the Acquirer of the following conditions: (a) the representations and warranties of the Target contained in this Agreement shall be true and correct as of the date of this Agreement and as of the Closing as if made at such time, except where the failure of such representations and warranties to be true and correct would not, individually or in the aggregate, have a Material Adverse Effect; (b) the Target shall have delivered to the Acquirer a certificate, dated as of the Closing Date, certifying that the representations and warranties of the Target are true and correct at that time; (Page 53)

Further, in Section 4.4, it is stated that each of the representations and warranties of the Target made herein shall be deemed to have been made at the time of the execution of this Agreement and shall be reaffirmed as of the Closing Date, except for any representations or warranties that are specifically made as of a certain date.
Choices: ","Fail","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are the representations and warranties required to be made according to the bring down provision?
Option A: Only at Signing
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Closing. The obligations of the Buyer to consummate the transactions contemplated by this Agreement are subject to the satisfaction or waiver by Buyer at or prior to the Closing of the following conditions: (a) the representations and warranties of the Seller contained in this Agreement shall be true and correct in all respects as of the date hereof and as of the Closing Date, except for such inaccuracies that do not, individually or in the aggregate, result in a Seller Material Adverse Effect; (b) the Seller shall have performed in all material respects all covenants and agreements required to be performed by it under this Agreement prior to the Closing Date; (Page 45)

Merger Agreement: Section 5.3 Additional Conditions Precedent to Buyer’s Obligations. The obligation of Buyer to consummate the transactions contemplated by this Agreement is also subject to the satisfaction or waiver by Buyer of the following conditions: (i) the representations and warranties of the Seller set forth in this Agreement shall be accurate in all respects as of the Signing Date and as of the Closing Date as if made at and as of such times, except where such inaccuracies would not have a Seller Material Adverse Effect; (Page 30)
Answer:
Choices: "
"5","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Closing. The obligations of the Purchaser to consummate the transactions contemplated by this Agreement are subject to the satisfaction or waiver by Purchaser at or before the Closing of the following conditions: (a) the representations and warranties of the Company contained herein shall be true and correct in all material respects as of the date hereof and shall be reaffirmed as of the Closing Date, except for such failures to be true and correct that, individually or in the aggregate, would not have a Material Adverse Effect; (b) each of the representations and warranties that are expressly made as of a specific date shall be true and correct as of such specific date only and not as of the Closing Date; (Page 112)

Merger Agreement: Section 9.3 Conditions Precedent to the Obligations of the Company. The obligations of the Company to consummate the transactions contemplated by this Agreement are subject to the satisfaction or waiver by the Company at or prior to the Effective Time of the following conditions: (i) the representations and warranties of the Purchaser contained herein shall be true and correct as of the Effective Time as if made at that time, except for such failures that would not, individually or in the aggregate, constitute a Material Adverse Effect; (Page 134)
Answer:
Choices: ","Fail","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are the representations and warranties required to be made according to the bring down provision?
Option A: Only at Signing
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Closing. The obligations of the Buyer to consummate the transactions contemplated by this Agreement are subject to the satisfaction or waiver by Buyer at or prior to the Closing of the following conditions: (a) the representations and warranties of the Seller contained in this Agreement shall be true and correct in all respects as of the date hereof and as of the Closing Date, except for such inaccuracies that do not, individually or in the aggregate, result in a Seller Material Adverse Effect; (b) the Seller shall have performed in all material respects all covenants and agreements required to be performed by it under this Agreement prior to the Closing Date; (Page 45)

Merger Agreement: Section 5.3 Additional Conditions Precedent to Buyer’s Obligations. The obligation of Buyer to consummate the transactions contemplated by this Agreement is also subject to the satisfaction or waiver by Buyer of the following conditions: (i) the representations and warranties of the Seller set forth in this Agreement shall be accurate in all respects as of the Signing Date and as of the Closing Date as if made at and as of such times, except where such inaccuracies would not have a Seller Material Adverse Effect; (Page 30)
Answer:
Choices: "
"6","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Closing Only
Option B: At Signing & At Closing

Merger Agreement: Section 8.3 Conditions to Obligations of the Acquirer. The obligations of the Acquirer to consummate the transactions contemplated by this Agreement are subject to the satisfaction or waiver by the Acquirer of the following conditions: (a) each of the representations and warranties of the Company contained in this Agreement shall be true and correct in all respects as of the Effective Time and as of the Closing Date, except for such failures to be true and correct as would not, individually or in the aggregate, have a Company Material Adverse Effect; (Page 55)

Further, Section 9.1 states that the representations and warranties of the Company shall be true and correct as of the date of this Agreement and shall be deemed to have been made as of the Effective Time, assuming that such representations and warranties are not made as of a specific date (Page 78).
Choices: ","Fail","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are the representations and warranties required to be made according to the bring down provision?
Option A: Only at Signing
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Closing. The obligations of the Buyer to consummate the transactions contemplated by this Agreement are subject to the satisfaction or waiver by Buyer at or prior to the Closing of the following conditions: (a) the representations and warranties of the Seller contained in this Agreement shall be true and correct in all respects as of the date hereof and as of the Closing Date, except for such inaccuracies that do not, individually or in the aggregate, result in a Seller Material Adverse Effect; (b) the Seller shall have performed in all material respects all covenants and agreements required to be performed by it under this Agreement prior to the Closing Date; (Page 45)

Merger Agreement: Section 5.3 Additional Conditions Precedent to Buyer’s Obligations. The obligation of Buyer to consummate the transactions contemplated by this Agreement is also subject to the satisfaction or waiver by Buyer of the following conditions: (i) the representations and warranties of the Seller set forth in this Agreement shall be accurate in all respects as of the Signing Date and as of the Closing Date as if made at and as of such times, except where such inaccuracies would not have a Seller Material Adverse Effect; (Page 30)
Answer:
Choices: "
"7","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be made according to the bring down provision?
Option A: At Signing Only
Option B: At Closing Only

Merger Agreement: Section 8.3 Conditions Precedent to the Obligation of the Acquirer to Close. The obligation of the Acquirer to consummate the transactions contemplated by this Agreement is subject to the satisfaction of the following conditions, unless waived by the Acquirer: (a) the representations and warranties of the Company contained herein shall be true and correct in all material respects as of the date of this Agreement and shall be deemed to be reaffirmed at the Closing, except where such failure to be true and correct would not have a Material Adverse Effect on the Company; (b) all covenants and agreements of the Company required to be performed prior to the Closing shall have been performed in all material respects; (Page 112)
Choices: ","Fail","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are the representations and warranties required to be made according to the bring down provision?
Option A: Only at Signing
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Closing. The obligations of the Buyer to consummate the transactions contemplated by this Agreement are subject to the satisfaction or waiver by Buyer at or prior to the Closing of the following conditions: (a) the representations and warranties of the Seller contained in this Agreement shall be true and correct in all respects as of the date hereof and as of the Closing Date, except for such inaccuracies that do not, individually or in the aggregate, result in a Seller Material Adverse Effect; (b) the Seller shall have performed in all material respects all covenants and agreements required to be performed by it under this Agreement prior to the Closing Date; (Page 45)

Merger Agreement: Section 5.3 Additional Conditions Precedent to Buyer’s Obligations. The obligation of Buyer to consummate the transactions contemplated by this Agreement is also subject to the satisfaction or waiver by Buyer of the following conditions: (i) the representations and warranties of the Seller set forth in this Agreement shall be accurate in all respects as of the Signing Date and as of the Closing Date as if made at and as of such times, except where such inaccuracies would not have a Seller Material Adverse Effect; (Page 30)
Answer:
Choices: "
"8","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are representations and warranties required to be confirmed according to the bring down provision?
Option A: At Signing Only
Option B: At Closing Only
Option C: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Closing. The obligations of the Buyer to consummate the transactions contemplated by this Agreement are subject to the fulfillment of the following conditions: (a) The representations and warranties of the Seller contained in this Agreement shall be true and accurate as of the Closing Date and shall be deemed to have been made again at Closing as if made at that time; (b) The representations and warranties of the Seller made in Section 4.1 shall be true and accurate as of the date of this Agreement and at the Closing Date; (Page 45)

Merger Agreement: Section 5.3 Additional Conditions Precedent. The obligations of Buyer to complete the acquisition are further subject to the satisfaction or waiver by Buyer at or prior to the Closing of the following conditions: (a) The representations and warranties of the Seller shall be accurate both at the time they were made and as of the Closing Date, with the exception of those representations that are expressly stated to be accurate as of a specific date; (Page 78)
Answer:
Choices: ","Fail","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are the representations and warranties required to be made according to the bring down provision?
Option A: Only at Signing
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Closing. The obligations of the Buyer to consummate the transactions contemplated by this Agreement are subject to the satisfaction or waiver by Buyer at or prior to the Closing of the following conditions: (a) the representations and warranties of the Seller contained in this Agreement shall be true and correct in all respects as of the date hereof and as of the Closing Date, except for such inaccuracies that do not, individually or in the aggregate, result in a Seller Material Adverse Effect; (b) the Seller shall have performed in all material respects all covenants and agreements required to be performed by it under this Agreement prior to the Closing Date; (Page 45)

Merger Agreement: Section 5.3 Additional Conditions Precedent to Buyer’s Obligations. The obligation of Buyer to consummate the transactions contemplated by this Agreement is also subject to the satisfaction or waiver by Buyer of the following conditions: (i) the representations and warranties of the Seller set forth in this Agreement shall be accurate in all respects as of the Signing Date and as of the Closing Date as if made at and as of such times, except where such inaccuracies would not have a Seller Material Adverse Effect; (Page 30)
Answer:
Choices: "
"9","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: At what points in time are the representations and warranties required to be made according to the bring down provision?
Option A: Only at Closing
Option B: At Signing and at Closing

Merger Agreement: Section 7.1 Conditions to the Closing of the Merger. The obligations of the parties to consummate the Merger are subject to the satisfaction of the following conditions: (a) the representations and warranties of the Company contained in this Agreement shall be true and correct as of the Closing Date, except for such inaccuracies that would not, individually or in the aggregate, have a Company Material Adverse Effect; (b) each representation and warranty of the Company that is made as of a specific date shall be deemed to be true and correct only as of that specific date. (Page 45)

Merger Agreement: Section 8.03 Conditions to Obligations of Parent and Merger Sub. The obligations of Parent and Merger Sub to consummate the Merger are further subject to the following conditions: (a) the representations and warranties of the Company contained in this Agreement must be true and accurate in all respects at the time of the Closing and also must be reaffirmed at the time of the execution of this Agreement, disregarding any qualifications or exceptions relating to materiality or Company Material Adverse Effect. (Page 89)
Choices: ","Fail","Answer the following multiple choice question. The last line of your response should be of the following format: 'ANSWER: $LETTER' (without quotes) where LETTER is one of {letters}. Think step by step before answering.

{question}

{choices}

Instruction: Read the segment of a merger agreement and answer the multiple-choice question by choosing the option that best characterizes the agreement.
Question: When are the representations and warranties required to be made according to the bring down provision?
Option A: Only at Signing
Option B: At Signing & At Closing

Merger Agreement: Section 8.1 Conditions to Closing. The obligations of the Buyer to consummate the transactions contemplated by this Agreement are subject to the satisfaction or waiver by Buyer at or prior to the Closing of the following conditions: (a) the representations and warranties of the Seller contained in this Agreement shall be true and correct in all respects as of the date hereof and as of the Closing Date, except for such inaccuracies that do not, individually or in the aggregate, result in a Seller Material Adverse Effect; (b) the Seller shall have performed in all material respects all covenants and agreements required to be performed by it under this Agreement prior to the Closing Date; (Page 45)

Merger Agreement: Section 5.3 Additional Conditions Precedent to Buyer’s Obligations. The obligation of Buyer to consummate the transactions contemplated by this Agreement is also subject to the satisfaction or waiver by Buyer of the following conditions: (i) the representations and warranties of the Seller set forth in this Agreement shall be accurate in all respects as of the Signing Date and as of the Closing Date as if made at and as of such times, except where such inaccuracies would not have a Seller Material Adverse Effect; (Page 30)
Answer:
Choices: "
