Generator Model,use_cot,Accuracy Type,Accuracy,num_samples,Category
Meta-Llama-3.1-405B,CoT,(no judge),0.4666666666666667,30,CoT (no judge)
Meta-Llama-3.1-405B,CoT,(o1 judge),0.16666666666666666,18,CoT (o1 judge)
Meta-Llama-3.1-405B,No CoT,(no judge),0.3103448275862069,30,No CoT (no judge)
Meta-Llama-3.1-405B,No CoT,(o1 judge),0.35,20,No CoT (o1 judge)
claude-3-5-sonnet,CoT,(no judge),0.023809523809523808,50,CoT (no judge)
claude-3-5-sonnet,CoT,(o1 judge),0.23809523809523808,21,CoT (o1 judge)
claude-3-5-sonnet,No CoT,(no judge),0.18,50,No CoT (no judge)
claude-3-5-sonnet,No CoT,(o1 judge),0.13043478260869565,23,No CoT (o1 judge)
gpt-4o,CoT,(no judge),0.12,50,CoT (no judge)
gpt-4o,CoT,(o1 judge),0.5238095238095238,21,CoT (o1 judge)
gpt-4o,No CoT,(no judge),0.52,50,No CoT (no judge)
gpt-4o-mini,CoT,(no judge),0.44,50,CoT (no judge)
gpt-4o-mini,CoT,(o1 judge),0.8421052631578947,19,CoT (o1 judge)
gpt-4o-mini,No CoT,(no judge),0.6,50,No CoT (no judge)
