eval_model_name,generator_model_name,re_eval_model_name,initial_log_path,adaptive_log_path,re_eval_log_path,use_example,use_cot_target,use_cot_in_context_attacker,num_epochs,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer_name,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer_name,judge_model_name,positive_samples,negative_samples,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T19-44-57+00-00_legalbench-initial-aggregated_fBkvpJpZKzdMPFqc46UyeL.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-04T19-45-40+00-00_adaptive-legal_PmuEUVSKQDJiNP8bg4g2zB.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-04T19-47-47+00-00_re-evaluate-adaptive-legal_LwjYsMrpNNxRihV383h4AR.eval,True,False,True,150,0.92,,adaptive_legal_scorer,0.2222222222222222,,choice,anthropic/claude-3-5-sonnet-latest,1,8,9,9,7,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250404_194743.csv
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T19-44-57+00-00_legalbench-initial-aggregated_fBkvpJpZKzdMPFqc46UyeL.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-04T19-45-40+00-00_adaptive-legal_PmuEUVSKQDJiNP8bg4g2zB.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-04T19-47-48+00-00_re-evaluate-adaptive-legal_M3tNhA9KZ2cZAgUfKsw3NB.eval,True,False,True,150,0.92,,adaptive_legal_scorer,0.3333333333333333,,choice,anthropic/claude-3-5-sonnet-latest,1,8,9,9,6,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250404_194743.csv
openai/gpt-4o,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T19-44-57+00-00_legalbench-initial-aggregated_fBkvpJpZKzdMPFqc46UyeL.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-04T19-45-40+00-00_adaptive-legal_PmuEUVSKQDJiNP8bg4g2zB.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-04T19-47-50+00-00_re-evaluate-adaptive-legal_F2riUiq5YUj6TLhoLJVGZr.eval,True,False,True,150,0.92,,adaptive_legal_scorer,0.3333333333333333,,choice,anthropic/claude-3-5-sonnet-latest,1,8,9,9,6,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250404_194743.csv
openai/gpt-4o,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T19-44-57+00-00_legalbench-initial-aggregated_fBkvpJpZKzdMPFqc46UyeL.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-04T19-45-40+00-00_adaptive-legal_PmuEUVSKQDJiNP8bg4g2zB.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-04T19-47-52+00-00_re-evaluate-adaptive-legal_ctDd3SXrRi24nB59yjzHW9.eval,True,False,True,150,0.92,,adaptive_legal_scorer,0.1111111111111111,,choice,anthropic/claude-3-5-sonnet-latest,1,8,9,9,8,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250404_194743.csv
openai/gpt-4o,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T19-44-57+00-00_legalbench-initial-aggregated_fBkvpJpZKzdMPFqc46UyeL.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-04T19-45-40+00-00_adaptive-legal_PmuEUVSKQDJiNP8bg4g2zB.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-04T19-48-06+00-00_re-evaluate-adaptive-legal_kVauqp5JrEFyWKtVfLcfHP.eval,True,False,True,150,0.92,,adaptive_legal_scorer,0.8888888888888888,,choice,anthropic/claude-3-5-sonnet-latest,1,8,9,9,1,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250404_194743.csv
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T19-44-57+00-00_legalbench-initial-aggregated_fBkvpJpZKzdMPFqc46UyeL.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-04T19-48-08+00-00_adaptive-legal_5Nj4y554epEFVaAMWGxge9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-04T19-50-12+00-00_re-evaluate-adaptive-legal_2eHTgAk5VgSQtkYkMnxwfp.eval,True,False,True,150,0.16,,adaptive_legal_scorer,0.5483870967741935,,choice,anthropic/claude-3-5-sonnet-latest,1,8,124,124,56,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250404_195010.csv
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T19-44-57+00-00_legalbench-initial-aggregated_fBkvpJpZKzdMPFqc46UyeL.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-04T19-48-08+00-00_adaptive-legal_5Nj4y554epEFVaAMWGxge9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-04T19-50-22+00-00_re-evaluate-adaptive-legal_MJbPfYMxgPh3H9ib9z2PDP.eval,True,False,True,150,0.16,,adaptive_legal_scorer,0.1935483870967742,,choice,anthropic/claude-3-5-sonnet-latest,1,8,124,124,100,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250404_195010.csv
openai/gpt-4o-mini,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T19-44-57+00-00_legalbench-initial-aggregated_fBkvpJpZKzdMPFqc46UyeL.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-04T19-48-08+00-00_adaptive-legal_5Nj4y554epEFVaAMWGxge9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-04T19-50-31+00-00_re-evaluate-adaptive-legal_EiUwkzVfya4uY3RnsYoEvh.eval,True,False,True,150,0.16,,adaptive_legal_scorer,0.45161290322580644,,choice,anthropic/claude-3-5-sonnet-latest,1,8,124,124,68,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250404_195010.csv
openai/gpt-4o-mini,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T19-44-57+00-00_legalbench-initial-aggregated_fBkvpJpZKzdMPFqc46UyeL.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-04T19-48-08+00-00_adaptive-legal_5Nj4y554epEFVaAMWGxge9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-04T19-50-38+00-00_re-evaluate-adaptive-legal_bwKKK5Dd5aDwfV8SoWTMWz.eval,True,False,True,150,0.16,,adaptive_legal_scorer,0.5,,choice,anthropic/claude-3-5-sonnet-latest,1,8,124,124,62,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250404_195010.csv
openai/gpt-4o-mini,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T19-44-57+00-00_legalbench-initial-aggregated_fBkvpJpZKzdMPFqc46UyeL.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-04T19-48-08+00-00_adaptive-legal_5Nj4y554epEFVaAMWGxge9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-04T19-52-18+00-00_re-evaluate-adaptive-legal_jRb5Dvz9BaRzuYnwZmsVz3.eval,True,False,True,150,0.16,,adaptive_legal_scorer,0.7419354838709677,,choice,anthropic/claude-3-5-sonnet-latest,1,8,124,124,32,results/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250404_195010.csv
