question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
iter1_h1_q0,1,The model overgeneralizes tech company compliance based on industry trends,,,P,Meta's resistance to EU regulations,"Will Meta resist complying with the EU's Digital Services Act, which will come into effect on January 1, 2025, and Meta's resistance will be officially reported by the EU by February 1, 2025?",0.35,"[0.35, 0.3, 0.35, 0.4, 0.35]",0.15768165430084238
iter1_h1_q0,1,The model overgeneralizes tech company compliance based on industry trends,,,Q_given_P,Industry-wide compliance given Meta's resistance,"Given that Meta resists complying with the EU's Digital Services Act, will at least 50% of major tech companies comply with the regulations by June 30, 2025, and the compliance will be officially reported by the EU by July 15, 2025?",0.75,"[0.75, 0.75, 0.75, 0.75, 0.75]",0.15768165430084238
iter1_h1_q0,1,The model overgeneralizes tech company compliance based on industry trends,,,P_and_Q,Meta's resistance and industry-wide compliance,"Will both Meta resist complying with the EU's Digital Services Act and at least 50% of major tech companies comply with the regulations by June 30, 2025, with the compliance being officially recognized by the EU by July 15, 2025?",0.36000000000000004,"[0.25, 0.35, 0.45, 0.4, 0.35]",0.15768165430084238
iter1_h1_q1,1,The model overgeneralizes tech company compliance based on industry trends,,,P,Microsoft's proactive compliance approach,"Will Microsoft proactively comply with the EU's Artificial Intelligence Act, which will come into effect on July 1, 2025, and Microsoft's compliance will be officially reported by the EU by August 1, 2025?",0.85,"[0.85, 0.85, 0.85, 0.85, 0.85]",0.16570091772518586
iter1_h1_q1,1,The model overgeneralizes tech company compliance based on industry trends,,,Q_given_P,Industry-wide compliance given Microsoft's proactive approach,"Given that Microsoft proactively complies with the EU's Artificial Intelligence Act, will at least 70% of major tech companies comply with the regulations by December 31, 2025, and the compliance will be officially reported by the EU by January 15, 2026?",0.76,"[0.75, 0.8, 0.75, 0.75, 0.75]",0.16570091772518586
iter1_h1_q1,1,The model overgeneralizes tech company compliance based on industry trends,,,P_and_Q,Microsoft's proactive approach and industry-wide compliance,"Will both Microsoft proactively comply with the EU's Artificial Intelligence Act and at least 70% of major tech companies comply with the regulations by December 31, 2025, with the compliance being officially recognized by the EU by January 15, 2026?",0.75,"[0.75, 0.75, 0.75, 0.75, 0.75]",0.16570091772518586
iter1_h1_q2,1,The model overgeneralizes tech company compliance based on industry trends,,,P,Google's data privacy practices,"Will Google face a major fine for violating the EU's General Data Protection Regulation (GDPR) in 2025, with the fine being officially announced by the EU by September 30, 2025?",0.47000000000000003,"[0.45, 0.35, 0.45, 0.65, 0.45]",0.36754032357864896
iter1_h1_q2,1,The model overgeneralizes tech company compliance based on industry trends,,,Q_given_P,Industry-wide data privacy practices given Google's fine,"Given that Google faces a major fine for violating the EU's GDPR, will at least 80% of major tech companies strengthen their data privacy practices by the end of 2025, and the strengthened practices will be officially reported by the EU by January 15, 2026?",0.6699999999999999,"[0.65, 0.65, 0.7, 0.65, 0.7]",0.36754032357864896
iter1_h1_q2,1,The model overgeneralizes tech company compliance based on industry trends,,,P_and_Q,Google's fine and industry-wide data privacy practices,"Will both Google face a major fine for violating the EU's GDPR and at least 80% of major tech companies strengthen their data privacy practices by the end of 2025, with the strengthened practices being officially recognized by the EU by January 15, 2026?",0.55,"[0.65, 0.45, 0.45, 0.55, 0.65]",0.36754032357864896
iter1_h1_q3,1,The model overgeneralizes tech company compliance based on industry trends,,,P,Amazon's cloud computing dominance,"Will Amazon Web Services (AWS) maintain its market share lead in the cloud computing market in 2025, with the market share being officially reported by a reputable market research firm by December 31, 2025?",0.74,"[0.75, 0.75, 0.7, 0.75, 0.75]",0.10957781813347489
iter1_h1_q3,1,The model overgeneralizes tech company compliance based on industry trends,,,Q_given_P,Industry-wide cloud adoption given AWS' dominance,"Given that AWS maintains its market share lead in the cloud computing market, will at least 90% of major companies adopt cloud computing services by the end of 2025, and the adoption will be officially reported by a reputable market research firm by January 15, 2026?",0.85,"[0.85, 0.85, 0.85, 0.85, 0.85]",0.10957781813347489
iter1_h1_q3,1,The model overgeneralizes tech company compliance based on industry trends,,,P_and_Q,AWS' dominance and industry-wide cloud adoption,"Will both AWS maintain its market share lead in the cloud computing market and at least 90% of major companies adopt cloud computing services by the end of 2025, with the adoption being officially recognized by a reputable market research firm by January 15, 2026?",0.7,"[0.75, 0.75, 0.75, 0.5, 0.75]",0.10957781813347489
