check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
not,Will the FIFA World Cup Final in 2026 have over 100 goals scored in total?,0.0001,Will the FIFA World Cup Final in 2026 have 100 goals or fewer scored in total?,1.0,,,0.009091322343164341
not,"Will Bitcoin's price exceed $100,000 by December 31, 2025?",0.35,"Will Bitcoin's price not exceed $100,000 by December 31, 2025?",0.6,,,0.07302044673452433
not,Will the Grammy Award for Album of the Year in 2024 be won by an artist from the United Kingdom?,0.25,Will the Grammy Award for Album of the Year in 2024 not be won by an artist from the United Kingdom?,0.75,,,0.0
not,Will Tesla produce more than 2 million electric vehicles by the end of 2026?,0.75,Will Tesla produce 2 million electric vehicles or fewer by the end of 2026?,0.15,,,0.17785726558372916
not,Will renewable energy sources account for over 50% of the UK's total energy production by 2030?,0.65,Will renewable energy sources not account for over 50% of the UK's total energy production by 2030?,0.35,,,0.0
not,"Will the S&P 500 index reach 5,000 points by January 1, 2027?",0.65,"Will the S&P 500 index not reach 5,000 points by January 1, 2027?",0.35,,,0.0
not,"Will the Prime Minister of Canada belong to the New Democratic Party on July 1, 2025?",0.05,"Will the Prime Minister of Canada not belong to the New Democratic Party on July 1, 2025?",0.95,,,0.0
not,Will the average global temperature increase by more than 1.5°C compared to pre-industrial levels by 2040?,0.65,Will the average global temperature not increase by more than 1.5°C compared to pre-industrial levels by 2040?,0.25,,,0.1549895147545551
not,"Will Apple's market capitalization exceed $3 trillion by June 30, 2027?",0.65,"Will Apple's market capitalization not exceed $3 trillion by June 30, 2027?",0.25,,,0.1549895147545551
not,"Will the Tokyo Olympics opening ceremony take place without any COVID-19 related restrictions on August 1, 2024?",0.35,"Will the Tokyo Olympics opening ceremony have COVID-19 related restrictions on August 1, 2024?",0.65,,,0.0
not,Will Netflix release more than 50 original series in the year 2025?,0.85,Will Netflix release 50 original series or fewer in the year 2025?,0.25,,,0.17785726558372938
not,Will Germany achieve a GDP growth rate of over 3% in 2026?,0.25,Will Germany's GDP growth rate not exceed 3% in 2026?,0.75,,,0.0
not,"Will the Amazon Rainforest lose more than 5,000 square kilometers of forest cover by 2028?",0.85,"Will the Amazon Rainforest lose 5,000 square kilometers of forest cover or fewer by 2028?",0.15,,,0.0
