check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
not,Will a non-actor win the Academy Award for Best Actor in 2025?,0.005,Will an actor win the Academy Award for Best Actor in 2025?,0.999,,,0.051091013183163204
not,"Will the FIFA World Cup 2026 be canceled before July 1, 2026?",0.02,"Will the FIFA World Cup 2026 proceed without cancellation until July 1, 2026?",0.95,,,0.11536834093195392
not,"Will the upcoming charity concert reach at least 10,000 ticket sales by March 15, 2025?",0.65,"Will the upcoming charity concert fail to reach 10,000 ticket sales by March 15, 2025?",0.65,,,0.4440912253619913
not,Will the lead actor of the blockbuster film 'Eternal Odyssey' withdraw from the project before its release date?,0.08,Will the lead actor of the blockbuster film 'Eternal Odyssey' remain with the project until its release date?,0.92,,,0.0
not,"Will a major record label terminate its contract with a top artist before December 31, 2025?",0.65,"Will no major record label terminate its contract with a top artist before December 31, 2025?",0.25,,,0.1549895147545551
or,Will a non-actor win the Academy Award for Best Actor in 2025?,0.005,Will a non-actor fail to win the Academy Award for Best Actor in 2025?,0.99,Will a non-actor either win or fail to win the Academy Award for Best Actor in 2025?,1.0,0.0406626022510773
or,"Will the FIFA World Cup 2026 be canceled before July 1, 2026?",0.02,"Will FIFA announce a new host country within 30 days if the 2026 World Cup is canceled before July 1, 2026?",0.75,"Will either of the following occur: (a) The FIFA World Cup 2026 be canceled before July 1, 2026, or (b) FIFA announce a new host country within 30 days if the 2026 World Cup is canceled before July 1, 2026?",0.08,1.3086462705713335
or,"Will the upcoming charity concert reach at least 10,000 ticket sales by March 15, 2025?",0.65,"Will the upcoming charity concert fail to reach 10,000 ticket sales by March 15, 2025?",0.65,"Will the upcoming charity concert either reach or fail to reach 10,000 ticket sales by March 15, 2025?",1.0,0.0
or,Will the lead actor of the blockbuster film 'Eternal Odyssey' withdraw from the project before its release date?,0.08,Will either the lead actor withdraw from 'Eternal Odyssey' before its release or will the film win the Best Picture Oscar at the 2026 Academy Awards?,0.069,"Will either of the following occur: (a) The lead actor of 'Eternal Odyssey' withdraws from the project before its release date, or (b) 'Eternal Odyssey' wins the Best Picture Oscar at the 2026 Academy Awards?",0.27,0.20871455839213462
or,"Will a major record label terminate its contract with a top artist before December 31, 2025?",0.65,"Given that a major record label terminates its contract with a top artist before December 31, 2025, will that artist's next album sell over one million copies in the first week?",0.15,"Will either of the following occur: (a) A major record label terminates its contract with a top artist before December 31, 2025, or (b) Given such a termination, the artist's next album sells over one million copies in the first week?",0.65,0.0
but,Will a non-actor win the Academy Award for Best Actor in 2025?,0.005,Will both an actor win and a non-actor fail to win the Academy Award for Best Actor in 2025?,0.99,Will a non-actor either win or fail to win the Academy Award for Best Actor in 2025?,1.0,0.03968378950662727
but,"Will the FIFA World Cup 2026 be canceled before July 1, 2026?",0.02,"Will the 2026 FIFA World Cup proceed without cancellation until July 1, 2026, and if canceled, will FIFA announce a new host country within 30 days?",0.92,"Will either of the following occur regarding the 2026 FIFA World Cup: (a) It is canceled before July 1, 2026, or (b) FIFA announces a new host country within 30 days if it is canceled before July 1, 2026?",0.09,2.0255326484501643
but,"Will the upcoming charity concert reach at least 10,000 ticket sales by March 15, 2025?",0.65,"Will the upcoming charity concert fail to reach 10,000 ticket sales by March 15, 2025? Body: This question resolves as **Yes** if the official ticket sales for the charity concert scheduled on March 20, 2025, do not reach 10,000 tickets sold by 11:59 PM on March 15, 2025, according to the event organizers.",0.65,"Will the upcoming charity concert either reach or fail to reach 10,000 ticket sales by March 15, 2025?",1.0,0.44426165831931935
but,Will the lead actor of the blockbuster film 'Eternal Odyssey' withdraw from the project before its release date?,0.08,Will the lead actor of 'Eternal Odyssey' remain with the project until its release date AND will the film win the Best Picture Oscar at the 2026 Academy Awards?,0.045,"Will either of the following occur: (a) The lead actor of 'Eternal Odyssey' withdraws from the project before its release date, or (b) 'Eternal Odyssey' wins the Best Picture Oscar at the 2026 Academy Awards?",0.27,0.2584859141693128
but,"Will a major record label terminate its contract with a top artist before December 31, 2025?",0.65,"Will no major record label terminate its contract with a top artist before December 31, 2025, AND, given such a termination occurs, will that artist's next album sell over one million copies in the first week?",0.64,"Will either of the following occur: (a) A major record label terminates its contract with a top artist before December 31, 2025, or (b) Given such a termination, the artist's next album sells over one million copies in the first week?",0.75,0.6716501033917427
cond,Will a non-actor win the Academy Award for Best Actor in 2025?,0.005,"Given that a non-actor wins the Academy Award for Best Actor in 2025, will a non-actor fail to win the Academy Award for Best Actor in 2025?",0.0,"Will both of the following occur regarding the Academy Award for Best Actor in 2025: (a) A non-actor wins, and (b) A non-actor fails to win?",0.0,0.0
cond,"Will the FIFA World Cup 2026 be canceled before July 1, 2026?",0.02,"Given that the FIFA World Cup 2026 is canceled before July 1, 2026, will FIFA announce a new host country within 30 days?",0.25,"Will the 2026 FIFA World Cup be canceled before July 1, 2026, and will FIFA announce a new host country within 30 days of the cancellation? Body: This question resolves as **Yes** if both of the following conditions are met: (a) Before July 1, 2026, FIFA officially announces the cancellation of the 2026 FIFA World Cup, and (b) Given that the World Cup is canceled before July 1, 2026, FIFA officially announces a new host country or rescheduled event within 30 days of the cancellation announcement. If either condition is not met, this question resolves as **No**.",0.015,0.07652787317933808
cond,"Will the upcoming charity concert reach at least 10,000 ticket sales by March 15, 2025?",0.65,"Given that the upcoming charity concert reaches at least 10,000 ticket sales by March 15, 2025, will it fail to reach 10,000 ticket sales by March 15, 2025?",0.5,"Will the upcoming charity concert both reach and fail to reach 10,000 ticket sales by March 15, 2025?",0.0,0.8037564710979341
cond,Will the lead actor of the blockbuster film 'Eternal Odyssey' withdraw from the project before its release date?,0.08,"Given that the lead actor of 'Eternal Odyssey' withdraws from the project before its release date, will either the lead actor withdraw from 'Eternal Odyssey' before its release or will the film win the Best Picture Oscar at the 2026 Academy Awards?",1.0,"Will the lead actor of 'Eternal Odyssey' withdraw from the project before its release date, and will the film win the Best Picture Oscar at the 2026 Academy Awards?",0.001,0.2873221224289282
cond,"Will a major record label terminate its contract with a top artist before December 31, 2025?",0.65,"Given that a major record label terminates its contract with a top artist before December 31, 2025, will that artist's next album sell over one million copies in the first week?",0.25,"Will a major record label terminate its contract with a top artist before December 31, 2025, AND will that artist's next album sell over one million copies in the first week if released independently?",0.03,0.3769784062914982
expevidence,Will a non-actor win the Academy Award for Best Actor in 2025?,0.005,Will a non-actor fail to win the Academy Award for Best Actor in 2025?,0.99,"Given that a non-actor fails to win the Academy Award for Best Actor in 2025, will a non-actor win the Academy Award for Best Actor in 2025?",0.0,0.03968378950662731
expevidence,"Will the FIFA World Cup 2026 be canceled before July 1, 2026?",0.02,"Will FIFA announce a new host country within 30 days if the 2026 World Cup is canceled before July 1, 2026?",0.75,"Given that the FIFA World Cup 2026 is canceled before July 1, 2026, will FIFA announce a new host country within 30 days?",0.85,1.4941939716103534
expevidence,"Will the upcoming charity concert reach at least 10,000 ticket sales by March 15, 2025?",0.65,"Will the upcoming charity concert fail to reach 10,000 ticket sales by March 15, 2025?",0.65,"Given that the upcoming charity concert fails to reach 10,000 ticket sales by March 15, 2025, will it reach at least 10,000 ticket sales by March 15, 2025?",0.0,0.44426165831931935
expevidence,Will the lead actor of the blockbuster film 'Eternal Odyssey' withdraw from the project before its release date?,0.08,Will either the lead actor withdraw from 'Eternal Odyssey' before its release or will the film win the Best Picture Oscar at the 2026 Academy Awards?,0.069,"Given that the lead actor of 'Eternal Odyssey' withdraws from the project before its release date, will either the lead actor withdraw from 'Eternal Odyssey' before its release or will the film win the Best Picture Oscar at the 2026 Academy Awards?",1.0,0.029521399822614383
expevidence,"Will a major record label terminate its contract with a top artist before December 31, 2025?",0.65,"Given that a major record label terminates its contract with a top artist before December 31, 2025, will that artist's next album sell over one million copies in the first week?",0.15,"Given that a major record label terminates its contract with a top artist before December 31, 2025, will that artist's next album sell over one million copies in the first week?",0.15,0.050049630009477854
