question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
iter1_h0_q0,1,"The model overestimates the probability of joint events in political contexts, as observed in examples like the Eurovision qualification and Nordic country win scenarios",,,P,Will the Republican Party win the majority in the 2024 US Senate election?,"Resolution date: November 5, 2024; Resolution criteria: Official election results; Resolution source: Federal Election Commission",0.466,"[0.45, 0.55, 0.5, 0.48, 0.35]",0.09988049535584737
iter1_h0_q0,1,"The model overestimates the probability of joint events in political contexts, as observed in examples like the Eurovision qualification and Nordic country win scenarios",,,Q_given_P,"Given the Republican Party wins the majority, will they also gain control of the House of Representatives?","Resolution date: November 5, 2024; Resolution criteria: Official election results; Resolution source: Federal Election Commission",0.54,"[0.4, 0.55, 0.6, 0.45, 0.7]",0.09988049535584737
iter1_h0_q0,1,"The model overestimates the probability of joint events in political contexts, as observed in examples like the Eurovision qualification and Nordic country win scenarios",,,P_and_Q,Will the Republican Party win the majority in both the Senate and the House of Representatives in the 2024 US election?,"Resolution date: November 5, 2024; Resolution criteria: Official election results; Resolution source: Federal Election Commission",0.31,"[0.3, 0.35, 0.25, 0.35, 0.3]",0.09988049535584737
iter1_h0_q1,1,"The model overestimates the probability of joint events in political contexts, as observed in examples like the Eurovision qualification and Nordic country win scenarios",,,P,Will the incumbent president win the 2024 presidential election?,"Resolution date: November 5, 2024; Resolution criteria: Official election results; Resolution source: Federal Election Commission",0.5700000000000001,"[0.65, 0.55, 0.55, 0.55, 0.55]",0.3132782472221299
iter1_h0_q1,1,"The model overestimates the probability of joint events in political contexts, as observed in examples like the Eurovision qualification and Nordic country win scenarios",,,Q_given_P,"Given the incumbent president wins, will their party maintain control of the Senate?","Resolution date: November 5, 2024; Resolution criteria: Official election results; Resolution source: Federal Election Commission",0.61,"[0.6, 0.65, 0.65, 0.6, 0.55]",0.3132782472221299
iter1_h0_q1,1,"The model overestimates the probability of joint events in political contexts, as observed in examples like the Eurovision qualification and Nordic country win scenarios",,,P_and_Q,Will the incumbent president win the 2024 presidential election and their party maintain control of the Senate?,"Resolution date: November 5, 2024; Resolution criteria: Official election results; Resolution source: Federal Election Commission",0.55,"[0.55, 0.55, 0.55, 0.65, 0.45]",0.3132782472221299
iter1_h0_q2,1,"The model overestimates the probability of joint events in political contexts, as observed in examples like the Eurovision qualification and Nordic country win scenarios",,,P,Will the UK and EU reach a comprehensive trade agreement by 2025?,"Resolution date: December 31, 2025; Resolution criteria: Official announcements from the UK and EU; Resolution source: BBC News",0.54,"[0.65, 0.7, 0.6, 0.45, 0.3]",0.2382644327820096
iter1_h0_q2,1,"The model overestimates the probability of joint events in political contexts, as observed in examples like the Eurovision qualification and Nordic country win scenarios",,,Q_given_P,"Given a comprehensive trade agreement, will the UK experience economic growth exceeding 2% in 2025?","Resolution date: December 31, 2025; Resolution criteria: GDP growth rate; Resolution source: Office for National Statistics",0.64,"[0.7, 0.65, 0.65, 0.6, 0.6]",0.2382644327820096
iter1_h0_q2,1,"The model overestimates the probability of joint events in political contexts, as observed in examples like the Eurovision qualification and Nordic country win scenarios",,,P_and_Q,Will the UK and EU reach a comprehensive trade agreement by 2025 and the UK experience economic growth exceeding 2% in 2025?,"Resolution date: December 31, 2025; Resolution criteria: Official announcements from the UK and EU, GDP growth rate; Resolution source: BBC News, Office for National Statistics",0.5,"[0.65, 0.65, 0.6, 0.4, 0.2]",0.2382644327820096
iter1_h0_q3,1,"The model overestimates the probability of joint events in political contexts, as observed in examples like the Eurovision qualification and Nordic country win scenarios",,,P,Will the presidential candidate with the most Twitter followers win the 2024 election?,"Resolution date: November 5, 2024; Resolution criteria: Official election results, Twitter follower counts; Resolution source: Federal Election Commission, Twitter",0.33999999999999997,"[0.35, 0.35, 0.35, 0.3, 0.35]",0.1407253035325092
iter1_h0_q3,1,"The model overestimates the probability of joint events in political contexts, as observed in examples like the Eurovision qualification and Nordic country win scenarios",,,Q_given_P,"Given the candidate with the most Twitter followers wins, will they also have the highest number of Facebook likes?","Resolution date: November 5, 2024; Resolution criteria: Official election results, Facebook like counts; Resolution source: Federal Election Commission, Facebook",0.6699999999999999,"[0.55, 0.75, 0.75, 0.65, 0.65]",0.1407253035325092
iter1_h0_q3,1,"The model overestimates the probability of joint events in political contexts, as observed in examples like the Eurovision qualification and Nordic country win scenarios",,,P_and_Q,Will the presidential candidate with the most Twitter followers win the 2024 election and have the highest number of Facebook likes?,"Resolution date: November 5, 2024; Resolution criteria: Official election results, Twitter follower counts, Facebook like counts; Resolution source: Federal Election Commission, Twitter, Facebook",0.31,"[0.3, 0.35, 0.25, 0.35, 0.3]",0.1407253035325092
