target_model_name,P,Q_given_P,P_and_Q
This question resolves as YES if both conditions are met: the number of 5G subscriptions worldwide increases by more than 50% in 2025 compared to 2024,as reported by reputable sources,and the number of IoT devices connected to 5G networks increases by more than 30% in 2026,as reported by credible sources.
This question resolves as YES if both conditions are met: Tesla's market share in the electric vehicle market increases by more than 15% in 2030,as reported by Tesla's official sales reports or reputable industry sources,and the company's investment in autonomous driving technology increases by at least 20% in the next 2 years,as reported by Tesla's official financial reports or reputable tech news sources.
This question resolves as YES if both conditions are met: the price of solar energy decreases by more than 12% in 2027 compared to 2026,as reported by reputable sources,and the adoption of solar energy increases by more than 18% in the next 3 years,as reported by credible sources.
This question resolves as YES if both conditions are met: the number of public charging stations for electric vehicles increases by more than 50% in 2025 compared to 2024,as reported by reputable sources,and the development of autonomous driving technology for passenger vehicles accelerates by at least 15% in the next 5 years,as reported by credible sources.
This question resolves as YES if both conditions are met: the number of genetic engineering startups increases by more than 25% in 2025 compared to 2024,as reported by reputable sources,and the development of new medical treatments for rare diseases accelerates by at least 15% in the next 5 years,as reported by credible sources.
This question resolves as YES if both conditions are met: the price of solar panels decreases by more than 10% in 2025 compared to 2024,as reported by reputable sources,and the adoption of solar energy increases by at least 15% in the next 2 years,as reported by credible sources.
This question resolves as YES if both conditions are met: Qualcomm's revenue from 5G-related products increases by more than 25% in 2027,as reported by Qualcomm's official financial reports or reputable tech news sources,and the company's investment in IoT research and development increases by at least 20% in the next 2 years,as reported by Qualcomm's official financial reports or reputable tech news sources.
This question resolves as YES if both conditions are met: the price of solar energy decreases by more than 15% in 2027 compared to 2026,as reported by reputable sources,and the adoption of solar energy increases by at least 20% in the next 2 years,as reported by credible sources.
This question resolves as YES if both conditions are met: IBM's investment in AGI research increases by more than 30% in 2027,as reported by IBM's official financial reports or reputable tech news sources,and the development of quantum computing accelerates by at least 25% in the next 5 years,as reported by credible sources.
This question resolves as YES if both conditions are met: the number of electric vehicles sold worldwide increases by more than 40% in 2025,as reported by reputable sources,and the development of autonomous driving technology for passenger vehicles accelerates by at least 10% in the next 5 years,as reported by credible sources.
This question resolves as YES if both conditions are met: IBM's quantum computing revenue increases by more than 25% in 2025,as reported by IBM's official financial reports or reputable tech news sources,and the company's investment in AGI research increases by at least 20% in the next 2 years,as reported by IBM's official financial reports or reputable tech news sources.
This question resolves as YES if both conditions are met: the number of genetic engineering startups focused on treating complex diseases increases by more than 30% in 2029 compared to 2028,as reported by reputable sources,and the development of new medical treatments for rare genetic disorders accelerates by at least 20% in the next 5 years,as reported by credible sources.
This question resolves as YES if both conditions are met: the price of solar energy decreases by more than 15% in 2030 compared to 2029,as reported by reputable sources,and the adoption of solar energy increases by at least 20% in the next 2 years,as reported by credible sources.
This question resolves as YES if both conditions are met: Qualcomm's revenue from 5G-related products increases by more than 25% in 2028,as reported by Qualcomm's official financial reports or reputable tech news sources,and the company's investment in IoT research and development increases by at least 20% in the next 2 years,as reported by Qualcomm's official financial reports or reputable tech news sources.
This question resolves as YES if the US unemployment rate drops below 4% by December 31,2025,"as reported by the Bureau of Labor Statistics (BLS) in their December 2025 employment situation report."",""Given that the US unemployment rate drops below 4% by the end of 2025",will Microsoft's stock price increase by more than 20% in 2025?
Resolution date: December 31,2025; Resolution criteria: Official announcements from the US and China,trade deficit data; Resolution source: Reuters,US Census Bureau
This question resolves as YES if both conditions are met: the number of research papers on quantum computing and AGI published in top-tier conferences increases by more than 40% in 2028,as reported by credible sources,and the development of practical applications of AGI in industries such as finance and healthcare accelerates by at least 20% in the next 3 years,as reported by credible sources.
This question resolves as YES if both conditions are met: Tesla's market share in the electric vehicle market increases by more than 15% in 2025,as reported by Tesla's official sales reports or reputable industry sources,and the company's investment in autonomous driving technology increases by at least 20% in the next 2 years,as reported by Tesla's official financial reports or reputable tech news sources.
This question resolves as YES if both conditions are met: the global investment in renewable energy increases by more than 20% in 2030 compared to 2029,as reported by reputable sources,and the carbon emissions from the energy sector decrease by more than 15% in the next 5 years,as reported by credible sources.
This question resolves as YES if both conditions are met: the cost of electric vehicle batteries decreases by more than 18% in 2029 compared to 2028,as reported by reputable sources,and the development of autonomous driving technology for commercial vehicles accelerates by at least 22% in the next 7 years,as reported by credible sources.
This question resolves as YES if both conditions are met: the number of electric vehicles sold worldwide increases by more than 40% in 2025,as reported by reputable sources,and the development of autonomous driving technology for passenger vehicles accelerates by at least 10% in the next 5 years,as reported by credible sources.
