eval_model_name,generator_model_name,re_eval_model_name,initial_log_path,adaptive_log_path,re_eval_log_path,use_example,use_cot_target,use_cot_in_context_attacker,num_epochs,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer_name,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer_name,judge_model_name,positive_samples,negative_samples,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file
openai/gpt-4o,openai/gpt-4o-mini,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T01-23-27+00-00_legalbench-initial-aggregated_2oM5BBMN4EZAZAvJ5mk9DK.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-24-11+00-00_adaptive-legal_gw2noRA3FodDP5NuKFfKWE.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/re_eval/openai_gpt-4o/2025-04-04T01-24-46+00-00_re-evaluate-adaptive-legal_iAAyn4cQweN3PDJNVTCS6a.eval,True,True,True,10,0.6,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,2,results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o_openai_gpt-4o-mini_20250404_012444.csv
openai/gpt-4o,openai/gpt-4o-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T01-23-27+00-00_legalbench-initial-aggregated_2oM5BBMN4EZAZAvJ5mk9DK.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-24-11+00-00_adaptive-legal_gw2noRA3FodDP5NuKFfKWE.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-04T01-24-51+00-00_re-evaluate-adaptive-legal_MJFtUc9qLZaviZGH2dMAw6.eval,True,True,True,10,0.6,,adaptive_legal_scorer,0.5,,choice,anthropic/claude-3-5-sonnet-latest,1,8,2,2,1,results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o_openai_gpt-4o-mini_20250404_012444.csv
openai/gpt-4o,openai/gpt-4o-mini,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T01-23-27+00-00_legalbench-initial-aggregated_2oM5BBMN4EZAZAvJ5mk9DK.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-24-11+00-00_adaptive-legal_gw2noRA3FodDP5NuKFfKWE.eval,,True,True,True,10,0.6,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o_openai_gpt-4o-mini_20250404_012444.csv
openai/gpt-4o-mini,openai/gpt-4o-mini,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T01-23-27+00-00_legalbench-initial-aggregated_2oM5BBMN4EZAZAvJ5mk9DK.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-25-03+00-00_adaptive-legal_3ncaHxK4xowYAkYawoCSgV.eval,,True,True,True,10,0.9,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o-mini_openai_gpt-4o-mini_20250404_012536.csv
openai/gpt-4o-mini,openai/gpt-4o-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T01-23-27+00-00_legalbench-initial-aggregated_2oM5BBMN4EZAZAvJ5mk9DK.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-25-03+00-00_adaptive-legal_3ncaHxK4xowYAkYawoCSgV.eval,,True,True,True,10,0.9,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o-mini_openai_gpt-4o-mini_20250404_012536.csv
openai/gpt-4o-mini,openai/gpt-4o-mini,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T01-23-27+00-00_legalbench-initial-aggregated_2oM5BBMN4EZAZAvJ5mk9DK.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-25-03+00-00_adaptive-legal_3ncaHxK4xowYAkYawoCSgV.eval,,True,True,True,10,0.9,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o-mini_openai_gpt-4o-mini_20250404_012536.csv
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o-mini,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T01-23-27+00-00_legalbench-initial-aggregated_2oM5BBMN4EZAZAvJ5mk9DK.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-25-37+00-00_adaptive-legal_B4noz6rk4MJ5ZFXShDE8oE.eval,,True,True,True,10,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_20250404_013038.csv
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T01-23-27+00-00_legalbench-initial-aggregated_2oM5BBMN4EZAZAvJ5mk9DK.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-25-37+00-00_adaptive-legal_B4noz6rk4MJ5ZFXShDE8oE.eval,,True,True,True,10,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_20250404_013038.csv
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o-mini,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T01-23-27+00-00_legalbench-initial-aggregated_2oM5BBMN4EZAZAvJ5mk9DK.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-25-37+00-00_adaptive-legal_B4noz6rk4MJ5ZFXShDE8oE.eval,,True,True,True,10,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_20250404_013038.csv
openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T01-23-27+00-00_legalbench-initial-aggregated_2oM5BBMN4EZAZAvJ5mk9DK.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_pos1_neg8/2025-04-04T01-30-39+00-00_adaptive-legal_U6DnH2ZrStP6AuuN5ToMfp.eval,,True,True,True,10,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_20250404_013045.csv
