check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
but,Will Lionel Messi win the Ballon d'Or in 2025?,0.1,Will Lionel Messi fail to win and Cristiano Ronaldo win the Ballon d'Or in 2025?,0.05,"Will either Lionel Messi or Cristiano Ronaldo win the Ballon d'Or in 2025? Body: Will either of the following occur: (a) Lionel Messi is awarded the Ballon d'Or by France Football in the year 2025, with the decision announced on December 1, 2025, or (b) Cristiano Ronaldo is awarded the Ballon d'Or by France Football in the year 2025, with the decision announced on December 1, 2025? The resolution criteria are based on the official announcement by France Football on December 1, 2025.",0.1,0.10459884816382599
but,"Will Bitcoin exceed $100,000 USD in price by December 31, 2025?",0.35,"Will Bitcoin remain at or below $100,000 USD and Ethereum exceed $10,000 USD in price by December 31, 2025? Body: Will both of the following occur: (a) The price of Bitcoin will fail to surpass $100,000 USD on any day before or on December 31, 2025, as reported by major financial news outlets, and (b) The price of Ethereum will surpass $10,000 USD on any day before or on December 31, 2025, as reported by major financial news outlets?",0.25,"Will either Bitcoin exceed $100,000 USD or Ethereum exceed $10,000 USD in price by December 31, 2025?",0.65,0.0623297993338972
but,Will the Tokyo Summer Olympics be held without any event cancellations in 2025?,0.0,Will both an event of the Tokyo Summer Olympics be canceled and the Olympics be postponed to a later date in 2025?,0.0,"Will the Tokyo Summer Olympics in 2025 either be held without any event cancellations or be postponed to a later date within the year? Body: Will either of the following occur regarding the Tokyo Summer Olympics in 2025: (a) All scheduled events take place as planned without any cancellations by the official Olympic organizers by August 15, 2025, or (b) The Olympics are officially postponed to a later date within the year 2025 by the International Olympic Committee? Resolution criteria: The question will be resolved as ""Yes"" if either all events occur without cancellations by August 15, 2025, or if the Olympics are postponed to a later date within 2025. If neither condition is met, the question will be resolved as ""No"".",0.85,2.3711954987696005
but,Will Tesla release a fully autonomous vehicle to the public by the end of 2026?,0.35,"Will Tesla both fail to release and decide not to release a fully autonomous vehicle to the public by the end of 2026? Body: Will both of the following occur by December 31, 2026: (a) Tesla Inc. will not launch a fully autonomous vehicle model for consumer use globally, as announced in their official press releases, and (b) Tesla Inc. will decide not to launch any fully autonomous vehicle models for consumer use globally, as announced in their official press releases? Resolution criteria: Both conditions must be met for the question to be answered ""Yes.""",0.15,"Will Tesla either release or refrain from releasing a fully autonomous vehicle to the public by the end of 2026? Body: Will either of the following occur: (a) Tesla Inc. launches a fully autonomous vehicle model for consumer use globally by December 31, 2026, as announced in their official press releases, or (b) Tesla Inc. decides not to launch any fully autonomous vehicle models for consumer use globally by December 31, 2026, as announced in their official press releases? The resolution criteria are based on Tesla's official press releases regarding the launch or non-launch of a fully autonomous vehicle model for consumer use by the specified date.",0.85,0.5033496896105368
but,Will the 2025 FIFA World Cup be won by Brazil?,0.15,"Will the 2025 FIFA World Cup be won by both a team other than Brazil and by Germany? Body: Will both of the following occur: (a) A national football team other than Brazil wins the 2025 FIFA World Cup, with the final match taking place on July 20, 2025, as organized by FIFA, and (b) The German national football team wins the 2025 FIFA World Cup, with the final match taking place on July 20, 2025, as organized by FIFA? For this question to be answered ""Yes,"" both conditions must be met.",0.0,Will the 2025 FIFA World Cup be won by either Brazil or Germany?,0.25,0.17789201674120503
but,Will Netflix release a new original series surpassing 10 million viewers in its first week in 2026?,0.75,Will Netflix fail to release a new original series surpassing 10 million viewers in its first week in 2026 AND Amazon Prime release a new original series surpassing 10 million viewers in its first week in 2026?,0.15,"Will either Netflix or Amazon Prime release a new original series surpassing 10 million viewers in its first week in 2026? Body: Will either of the following occur by September 30, 2026: (a) A new original series released by Netflix in 2026 achieves over 10 million viewers within its first week, as reported by Nielsen ratings. (b) A new original series released by Amazon Prime in 2026 achieves over 10 million viewers within its first week, as reported by Nielsen ratings? The resolution criteria for each component are based on the Nielsen ratings reports by the specified date.",0.75,0.21139344756234507
but,Will Australia achieve carbon neutrality by 2030?,0.15,"Will Australia fail to achieve carbon neutrality by 2030? Body: Will the Australian government not declare the nation carbon neutral by December 31, 2030, as reported by the Department of the Environment?",0.85,Will Australia either achieve or fail to achieve carbon neutrality by 2030?,1.0,0.0
but,Will Microsoft acquire a major gaming studio by 2027?,0.75,"Will Microsoft fail to acquire a major gaming studio by 2027 AND will Sony acquire a major gaming studio by 2027? Body: Will both of the following occur by December 31, 2027, as announced in financial news outlets: (a) Microsoft Corporation fails to acquire a major gaming studio, such as Activision Blizzard or Ubisoft, and (b) Sony Corporation acquires a major gaming studio, such as Activision Blizzard or Ubisoft? The resolution will be based on announcements in financial news outlets regarding acquisitions by these companies.",0.15,"Will either Microsoft or Sony acquire a major gaming studio by 2027? Body: Will either of the following occur by December 31, 2027, as announced in financial news outlets: (a) Microsoft Corporation acquires a major gaming studio, such as Activision Blizzard or Ubisoft, or (b) Sony Corporation acquires a major gaming studio, such as Activision Blizzard or Ubisoft? The resolution criteria for each component are as follows: For (a), Microsoft must announce the acquisition of a major gaming studio in financial news outlets by the specified date. For (b), Sony must announce the acquisition of a major gaming studio in financial news outlets by the specified date.",0.75,0.21139344756234507
but,Will Spain win the UEFA European Championship in 2028?,0.15,Will Spain fail to win AND Italy win the UEFA European Championship in 2028?,0.15,"Will either Spain or Italy win the UEFA European Championship in 2028? Body: Will either of the following national football teams win the UEFA European Championship scheduled for 2028, with the final match taking place on July 12, 2028? (a) The Spanish national football team (b) The Italian national football team. The question will be resolved as YES if either Spain or Italy wins the championship, and NO if neither team wins.",0.25,0.07507981472727138
but,Will NASA successfully land humans on Mars by 2030?,0.15,"Will NASA fail to land humans on Mars by 2030 according to both given criteria? Body: Will NASA fail to successfully execute a manned mission that lands humans on the surface of Mars by December 31, 2030, as announced by NASA press releases, according to both of the following criteria: (a) Will NASA fail to land humans on Mars by 2030 as per the first criterion? (b) Will NASA not land humans on Mars by 2030 as per the second criterion? Both criteria must be met for a YES answer.",0.75,Will NASA either successfully land or fail to land humans on Mars by 2030?,1.0,0.17789201674120497
but,Will Apple release a foldable iPhone model by 2026?,0.55,"Will Apple both fail to release and refrain from releasing a foldable iPhone model by 2026? Body: Will both of the following occur: (a) Apple Inc. will not launch a foldable iPhone model to the consumer market by December 31, 2026, as announced in their official product releases, and (b) Apple Inc. will decide not to launch any foldable iPhone models to the consumer market by December 31, 2026, as announced in their official product releases? The resolution criteria for each component are based on Apple's official product releases by the specified date.",0.4,"Will Apple either release or refrain from releasing a foldable iPhone model by 2026? Body: Will either of the following occur by December 31, 2026, as announced in Apple's official product releases: (a) Apple Inc. launches a foldable iPhone model to the consumer market, or (b) Apple Inc. decides not to launch any foldable iPhone models to the consumer market? The resolution criteria are based on Apple's official product releases by the specified date.",0.95,1.51644909048885e-16
but,Will the Great Barrier Reef be declared fully recovered by 2035?,0.15,Will the Great Barrier Reef fail to be declared fully recovered by 2035 according to environmental assessments?,0.75,"Will the Great Barrier Reef's recovery status be definitively declared by 2035? Body: Will either of the following occur by December 31, 2035, as reported in environmental assessments: (a) Environmental organizations declare the Great Barrier Reef fully recovered from coral bleaching and environmental stressors. (b) The Great Barrier Reef is not declared fully recovered from coral bleaching and environmental stressors. Resolution criteria: The question will be resolved as YES if either (a) the Great Barrier Reef is declared fully recovered or (b) it is not declared fully recovered by the specified date.",1.0,0.17789201674120497
but,Will Elon Musk announce a successful human settlement on Mars by 2032?,0.15,"Will both of the following occur by 2032: (a) Elon Musk fails to announce a successful human settlement on Mars, and (b) Elon Musk announces the failure to establish a human settlement on Mars?",0.25,"Will Elon Musk announce either a successful or failed attempt to establish a human settlement on Mars by 2032? Body: Will either of the following occur by December 31, 2032, as reported in major news outlets: (a) Elon Musk publicly announces that SpaceX has established a successful human settlement on Mars, or (b) Elon Musk publicly announces that SpaceX has failed to establish a successful human settlement on Mars? The resolution criteria are based on public announcements by Elon Musk reported in major news outlets.",0.35,0.0678219434059487
but,Will the United Kingdom officially adopt a four-day workweek nationwide by 2027?,0.15,Will the United Kingdom both fail to officially adopt and decide against adopting a four-day workweek nationwide by 2027?,0.75,"Will the United Kingdom make a definitive decision regarding a four-day workweek nationwide by 2027? Body: Will either of the following occur by December 31, 2027: (a) The UK government implements a nationwide four-day workweek policy, as legislated and reported in government documents, or (b) The UK government decides against implementing a nationwide four-day workweek policy, as legislated and reported in government documents? The resolution criteria are based on official government documentation confirming either the implementation or the decision against the policy.",0.35,0.7460413774654356
but,Will SpaceX launch a fully reusable rocket successfully by 2025?,0.75,"Will SpaceX fail to launch a fully reusable rocket successfully by 2025? Body: Will SpaceX fail to successfully launch and land a fully reusable rocket model by December 31, 2025, as announced in their official releases? The resolution will be based on official announcements and verifiable reports confirming the successful launch and landing of a fully reusable rocket by the specified date.",0.25,Will SpaceX either successfully or unsuccessfully launch a fully reusable rocket by 2025?,1.0,0.0
but,Will Canada achieve a 50% reduction in greenhouse gas emissions by 2030?,0.35,"Will Canada fail to achieve a 50% reduction in greenhouse gas emissions by 2030? Body: Will the Canadian government fail to achieve a 50% reduction in national greenhouse gas emissions by December 31, 2030, as verified by Environment and Climate Change Canada? This question will be resolved based on the official reports from Environment and Climate Change Canada.",0.65,Will Canada either achieve or fail to achieve a 50% reduction in greenhouse gas emissions by 2030?,1.0,0.0
but,Will the Marvel Cinematic Universe release a new phase three movie by 2026?,0.0,"Will the Marvel Cinematic Universe fail to release a new phase three movie by 2026? Body: Will Marvel Studios fail to release the first movie of Phase Three in the Marvel Cinematic Universe by December 31, 2026, as announced in their official schedule? Resolution criteria: This question will be resolved as YES if Marvel Studios does not release the first movie of Phase Three in the Marvel Cinematic Universe by December 31, 2026, according to their official schedule. Otherwise, it will be resolved as NO.",0.01,Will the Marvel Cinematic Universe release or not release a new phase three movie by 2026?,0.0,0.09578262852211514
but,Will Amazon achieve net-zero carbon emissions by 2040?,0.65,"Will Amazon fail to achieve net-zero carbon emissions by 2040? Body: Will Amazon.com, Inc. fail to achieve net-zero carbon emissions across its global operations by December 31, 2040, as reported in their sustainability reports?",0.35,Will Amazon either achieve or fail to achieve net-zero carbon emissions by 2040?,1.0,0.0
but,Will Google launch a quantum computer accessible to the public by 2027?,0.25,"Will Google both fail to launch and refrain from launching a quantum computer accessible to the public by 2027? Body: Will both of the following occur by December 31, 2027: (a) Google fails to successfully develop and release a quantum computer accessible to the general public, as confirmed by official announcements or releases from Google, and (b) Google decides not to develop or release a quantum computer accessible to the general public, as announced in their official technology releases? The resolution will be based on official announcements or releases from Google confirming the availability or decision regarding such a quantum computer to the general public by the specified date.",0.25,"Will Google either launch or refrain from launching a quantum computer accessible to the public by 2027? Body: Will either of the following occur: (a) Google successfully develops and releases a quantum computer accessible to the general public by December 31, 2027, as announced in their official technology releases, or (b) Google decides not to develop or release a quantum computer accessible to the general public by December 31, 2027, as announced in their official technology releases? The resolution criteria are: (a) will be resolved as YES if Google officially announces and releases a quantum computer accessible to the public by the specified date, and (b) will be resolved as YES if Google officially announces a decision not to release such a quantum computer by the specified date.",0.85,0.49325137764547183
but,Will the European Union implement a universal basic income by 2035?,0.15,Will the European Union both fail to implement and decide against implementing a universal basic income by 2035?,0.65,"Will the European Union make a decision regarding the implementation of a universal basic income by 2035? Body: Will either of the following occur by December 31, 2035: (a) The European Union officially implements a universal basic income across its member states, as legislated and reported in EU documents, or (b) The European Union decides against implementing a universal basic income across its member states, as legislated and reported in EU documents? The resolution criteria for each component are as follows: (a) A ""Yes"" if the EU implements a universal basic income by the specified date, and (b) A ""Yes"" if the EU decides against implementing a universal basic income by the specified date.",0.75,0.06782194340594874
but,Will Tesla's Model Y become the best-selling electric SUV globally by 2026?,0.65,Will Tesla's Model Y fail to become the best-selling electric SUV globally by 2026 AND will another manufacturer surpass it as the best-selling electric SUV globally by 2026?,0.35,Will Tesla's Model Y or another manufacturer become the best-selling electric SUV globally by 2026?,0.75,0.3116489966694857
but,Will Facebook rebrand to Meta successfully by 2025?,0.85,"Will Facebook fail to successfully rebrand to Meta by 2025 in both specified contexts? Body: Will both of the following occur: (a) Facebook Inc. fails to successfully complete its rebranding to Meta Platforms, Inc. by December 31, 2025, as officially announced in their corporate communications? (b) Facebook Inc. fails to complete its rebranding to Meta Platforms, Inc. by December 31, 2025, as officially announced in their corporate communications? Resolution criteria: Both conditions must be met for a ""Yes"" answer.",0.01,Will Facebook's rebranding to Meta either succeed or fail by 2025?,0.85,0.019392813966684824
but,Will India achieve a GDP growth rate of 8% in 2026?,0.35,Will India achieve a GDP growth rate of exactly 8% in 2026?,0.05,Will India either achieve or fail to achieve a GDP growth rate of 8% in 2026?,1.0,1.1420804814403216
but,Will Netflix surpass 300 million global subscribers by 2027?,0.65,Will Netflix have 300 million or fewer global subscribers by 2027?,0.65,Will Netflix either surpass or not surpass 300 million global subscribers by 2027?,1.0,0.44426165831931935
but,"Will China achieve its target of 1,000 new electric vehicle manufacturers by 2030?",0.35,"Will China establish fewer than 1,000 new electric vehicle manufacturers by 2030 according to the Ministry of Industry and Information Technology?",0.85,"Will China either achieve or fail to achieve its target of 1,000 new electric vehicle manufacturers by 2030?",1.0,0.33520076157699535
but,Will Apple achieve a 30% market share in the global smartphone market by 2027?,0.15,"Will Apple fail to achieve a 30% market share in the global smartphone market by 2027 according to Gartner? Body: Will Apple Inc. fail to capture a 30% share of the global smartphone market by December 31, 2027, as reported by Gartner in their market analysis? The resolution will be based on Gartner's market analysis report for the year 2027.",0.85,"Will Apple either achieve or fail to achieve a 30% market share in the global smartphone market by 2027? Body: Will either of the following occur: (a) Apple Inc. captures a 30% share of the global smartphone market by December 31, 2027, as reported by Gartner in their market analysis, or (b) Apple Inc. does not capture a 30% share of the global smartphone market by December 31, 2027, as reported by Gartner in their market analysis? The resolution criteria are based on Gartner's market analysis report.",1.0,0.0
