check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
but,Will Lionel Messi win the 2025 FIFA Ballon d'Or?,0.15,"Will both Lionel Messi and Neymar Jr. fail to win the 2025 FIFA Ballon d'Or, with Neymar Jr. winning the 2025 UEFA Best Player in Europe Award? Body: Will both of the following occur: (a) Lionel Messi will not be awarded the FIFA Ballon d'Or for his performance in the 2024-2025 season by the official FIFA Ballon d'Or committee by December 15, 2025, and (b) Neymar Jr. will be awarded the UEFA Best Player in Europe Award for the 2024-2025 season by the official UEFA committee and not win the FIFA Ballon d'Or by December 15, 2025? Resolution criteria: Both conditions must be met for a ""Yes"" answer. If either Lionel Messi wins the FIFA Ballon d'Or or Neymar Jr. does not win the UEFA Best Player in Europe Award or wins the FIFA Ballon d'Or, the answer is ""No"".",0.15,Will either Lionel Messi win the 2025 FIFA Ballon d'Or or Neymar Jr. not win the 2025 FIFA Ballon d'Or and win the 2025 UEFA Best Player in Europe Award?,0.35,0.07190709851579097
but,"Will Bitcoin's price exceed $100,000 by January 1, 2026?",0.35,"Will both of the following occur by January 1, 2026: (a) Bitcoin's price remains $100,000 or less, and (b) Ethereum's price does not exceed $10,000 while Bitcoin remains below $90,000?",0.65,"Will either Bitcoin's price exceed $100,000 or will Ethereum not exceed $10,000 and Bitcoin remain below $90,000 by January 1, 2026?",0.75,0.3116489966694857
but,Will the Paris Agreement's 2030 climate targets be met?,0.35,Will the Paris Agreement's 2030 climate targets fail to be met and global temperatures not stabilize by 2030?,0.75,Will the Paris Agreement's 2030 climate targets be met or will they not be met and global temperatures not stabilize by 2030?,0.85,0.3391097170297434
but,Will the Tokyo 2026 Olympic Games proceed without any major postponements?,0.85,Will the Tokyo 2026 Olympic Games face major postponements and have no new host city selected by early 2026?,0.15,"Will either of the following occur regarding the Tokyo 2026 Olympic Games: (a) They proceed without major postponements, or (b) They are postponed with no new host city selected by early 2026?",0.85,0.24221920529946864
but,Will Tesla release a fully autonomous vehicle by 2027?,0.35,Will Tesla fail to release a fully autonomous vehicle by 2027 and focus on semi-autonomous technologies?,0.75,Will Tesla either release a fully autonomous vehicle by 2027 or not release one and focus on semi-autonomous technologies?,0.95,0.2203263246196159
but,Will the Amazon Rainforest see a significant decrease in deforestation rates by 2030?,0.55,"Will both the Amazon Rainforest fail to see a significant decrease in deforestation rates by 2030 and wildlife populations remain stagnant? Body: Will both of the following occur by December 31, 2030: (a) The deforestation rates in the Amazon Rainforest fail to decrease by at least 30% compared to 2020 levels, as reported by environmental organizations, and (b) Wildlife populations in the Amazon Rainforest do not show significant growth, as reported by environmental organizations?",0.65,Will either a significant decrease in deforestation rates or stagnant wildlife populations in the Amazon Rainforest occur by 2030?,0.75,0.5524488198631607
but,Will Apple launch a mixed reality headset by 2025?,0.75,Will Apple neither launch a mixed reality headset by 2025 nor focus solely on augmented reality applications?,0.25,Will Apple either launch a mixed reality headset by 2025 or not launch one and focus solely on augmented reality applications?,0.85,0.21139344756234513
but,Will the New York Yankees win the 2025 World Series?,0.1,Will the New York Yankees fail to win the 2025 World Series and the Boston Red Sox finish as runners-up?,0.1,"Will either of the following occur in the 2025 World Series: (a) The New York Yankees win, or (b) The New York Yankees do not win and the Boston Red Sox finish as runners-up?",0.25,0.08236662258223167
but,Will Netflix release a globally acclaimed original series in 2024?,0.75,"Will Netflix fail to release a globally acclaimed original series in 2024 and instead focus on international films? Body: Will both of the following occur in 2024: (a) Netflix will not premiere an original series that receives international acclaim and high ratings by December 31, 2024, as reviewed by major entertainment critics, and (b) Netflix will redirect its content strategy towards producing more international films, as outlined in their 2024 content plan?",0.15,Will Netflix either release a globally acclaimed original series in 2024 or focus on international films instead?,0.85,0.07507981472727142
but,Will the Global Economy enter a recession by mid-2026?,0.35,Will the Global Economy avoid a recession by mid-2026 and will inflation rates remain above 5%?,0.25,"Will either of the following occur by mid-2026: (a) The Global Economy enters a recession, or (b) The Global Economy does not enter a recession and inflation rates remain above 5%?",0.75,0.1930868163320824
