check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
andor,Will Lionel Messi win the Ballon d'Or in 2025?,0.15,Will Erling Haaland win the Golden Boot in the 2025 UEFA Champions League?,0.35,"Will both Lionel Messi win the Ballon d'Or in 2025 and Erling Haaland win the Golden Boot in the 2025 UEFA Champions League? Body: Will both of the following occur: (a) Lionel Messi be awarded the Ballon d'Or in the 2025 football season, with the decision confirmed by France Football by December 30, 2025, and (b) Erling Haaland secure the Golden Boot for the highest goal scorer in the 2025 UEFA Champions League, with the official statistics published by UEFA on June 1, 2025?",0.05,0.2517765718952203
andor,"Will Bitcoin surpass $100,000 by January 1, 2026?",0.35,"Will Ethereum implement its full Proof-of-Stake transition by December 31, 2025?",0.85,"Will Bitcoin surpass $100,000 by January 1, 2026, and will Ethereum implement its full Proof-of-Stake transition by December 31, 2025? Body: Will both of the following occur: (a) The price of Bitcoin will exceed $100,000 by January 1, 2026, as verified by Coinbase on the specified date. (b) Ethereum will complete its full transition to a Proof-of-Stake consensus mechanism by December 31, 2025, with the completion announced by the Ethereum Foundation on their official blog.",0.35,0.1138866480856819
andor,Will Netflix’s subscriber count exceed 250 million by mid-2026?,0.65,Will Disney+ launch at least three new streaming services internationally by March 2026?,0.65,"Will both Netflix’s subscriber count exceed 250 million by mid-2026 AND Disney+ launch at least three new streaming services internationally by March 2026? Body: Will both of the following occur: (a) Will Netflix report a subscriber base of over 250 million users by June 30, 2026? The numbers will be confirmed in Netflix's quarterly earnings report. (b) Will Disney+ introduce three or more new international streaming services by March 31, 2026? Official announcements will be made on Disney's corporate website.",0.45,0.10594028769395473
andor,Will Tesla release a fully autonomous vehicle by July 2025?,0.25,Will General Motors achieve carbon neutrality in its manufacturing plants by December 2025?,0.25,Will both Tesla release a fully autonomous vehicle by July 2025 and General Motors achieve carbon neutrality in its manufacturing plants by December 2025?,0.1,0.06004084166322101
andor,"Will the Tokyo 2026 Winter Olympics host over 3,000 athletes?",0.35,Will Norway win more than 50 medals in the Tokyo 2026 Winter Olympics?,0.05,"Will the Tokyo 2026 Winter Olympics host over 3,000 athletes AND will Norway win more than 50 medals?",0.15,0.12588828594761017
andor,Will Apple release a new AR headset by September 2025?,0.75,Will Microsoft release a competing AR headset by November 2025?,0.75,"Will both Apple and Microsoft release new AR headsets by November 2025? Body: Will both of the following occur: (a) Apple officially launches a new Augmented Reality (AR) headset by September 1, 2025, with the release date announced during Apple's annual product launch event, and (b) Microsoft unveils a competing Augmented Reality (AR) headset by November 1, 2025, with the announcement made through Microsoft's official press releases? Resolution criteria: Both events must occur within their respective timeframes and through the specified channels for the question to be answered YES.",0.65,0.11243764952899699
andor,Will Amazon achieve profitability in its drone delivery service by 2027?,0.35,Will Google acquire a major competitor in the autonomous drone sector by 2027?,0.35,"Will both Amazon achieve profitability in its drone delivery service and Google acquire a major competitor in the autonomous drone sector by 2027? Body: Will both of the following occur by December 31, 2027: (a) Amazon reports profitability in its drone delivery division, as verified in Amazon's annual financial statements, and (b) Google acquires a leading competitor in the autonomous drone industry, confirmed through official acquisition announcements?",0.15,9.134209774496161e-17
andor,Will the Great Barrier Reef see a 10% increase in coral cover by 2030?,0.35,Will Australia implement new marine conservation laws by 2030?,0.75,"Will both the Great Barrier Reef see a 10% increase in coral cover and Australia implement new marine conservation laws by 2030? Body: Will both of the following occur by December 31, 2030: (a) The Great Barrier Reef experiences a 10% increase in coral cover, as confirmed by environmental assessments from the Australian Institute of Marine Science. (b) Australia enacts new marine conservation legislation, with changes published in the Australian Government Gazette.",0.35,1.217894636599488e-16
andor,Will Samsung achieve a 25% market share in the global smartphone market by 2026?,0.25,Will Apple increase its global smartphone market share to 35% by 2026?,0.25,"Will both Samsung achieve a 25% market share and Apple increase its market share to 35% in the global smartphone market by 2026? Body: Will both of the following occur by December 31, 2026: (a) Samsung holds at least a 25% share of the global smartphone market, as verified by Gartner's annual report, and (b) Apple expands its global smartphone market share to 35%, as confirmed through Apple's annual financial disclosures?",0.15,3.2463216641072674e-17
andor,Will the World Health Organization declare a global eradication of malaria by 2030?,0.05,Will a vaccine for malaria be distributed globally by 2030?,0.75,"Will both the World Health Organization declare a global eradication of malaria and a malaria vaccine be distributed globally by 2030? Body: Will both of the following occur by December 31, 2030: (a) The World Health Organization officially declares malaria eradicated worldwide, as stated in WHO's annual report. (b) A globally approved malaria vaccine is distributed to all endemic regions, with distribution details confirmed by the Centers for Disease Control and Prevention (CDC).",0.05,0.1398909275981332
