check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
or,"Will Lionel Messi transfer to the Premier League by June 30, 2025?",0.15,Will Manchester City win the UEFA Champions League in the 2024-2025 season?,0.25,"Will either Lionel Messi transfer to the Premier League by June 30, 2025, or Manchester City win the UEFA Champions League in the 2024-2025 season?",0.65,0.33896191197256204
or,"Will Bitcoin's price exceed $100,000 by December 31, 2025?",0.35,"Will Ethereum transition fully to Proof of Stake by July 1, 2025?",1.0,"Will either Bitcoin's price exceed $100,000 by December 31, 2025, or will Ethereum transition fully to Proof of Stake by July 1, 2025?",0.85,0.41891084019538494
or,Will a solar flare with a strength of X-class hit Earth within the next five years?,0.65,Will the International Space Station experience a major structural failure before 2030?,0.15,Will either an X-class solar flare hit Earth or the ISS experience a major structural failure before 2030?,0.45,0.28977005745465195
or,"Will Lady Gaga release a new studio album by March 31, 2026?",0.75,Will Beyoncé perform at the 2026 Super Bowl halftime show?,0.25,"Will either Lady Gaga release a new studio album by March 31, 2026, or Beyoncé perform at the 2026 Super Bowl halftime show? Body: Will either of the following occur: (a) Lady Gaga launches a new studio album officially announced and available for purchase/download by March 31, 2026, as confirmed by her official website or major music platforms, or (b) Beyoncé is the lead performer for the Super Bowl halftime show scheduled for February 2026, as officially announced by the NFL? Resolution criteria: (a) For Lady Gaga's album, confirmation will be based on announcements from her official website or major music platforms. (b) For Beyoncé's performance, confirmation will be based on an official announcement by the NFL.",0.75,0.0
or,Will the Federal Reserve raise interest rates beyond 5% by the end of 2025?,0.45,Will the U.S. GDP growth rate fall below 1% in any quarter of 2025?,0.25,"Will either the Federal Reserve raise interest rates beyond 5% by the end of 2025 or the U.S. GDP growth rate fall below 1% in any quarter of 2025? Body: Will either of the following occur: (a) The Federal Reserve implements interest rate hikes resulting in nominal rates exceeding 5%, as officially announced in their monetary policy statements by December 31, 2025. (b) The U.S. Gross Domestic Product (GDP) exhibits a quarterly growth rate below 1%, as reported by the Bureau of Economic Analysis, in any quarter of the year 2025? Resolution criteria: The question will be resolved as ""Yes"" if either (a) or (b) occurs, and ""No"" if neither occurs.",0.65,0.0
or,Will Amazon acquire a major video game company by 2026?,0.35,Will Microsoft launch a new gaming console before 2026?,0.65,"Will Amazon acquire a major video game company or will Microsoft launch a new gaming console by 2026? Body: Will either of the following occur by December 31, 2026: (a) Amazon completes the acquisition of a leading video game development company, such as Ubisoft or EA, with public confirmation, or (b) Microsoft announces and releases a new gaming console, as reported on their official website or major tech news outlets? Resolution criteria: For (a), confirmation must come from a credible source indicating Amazon's acquisition of a major video game company. For (b), the announcement and release of the new gaming console must be reported by Microsoft's official channels or major tech news outlets.",0.65,0.0
or,Will the Paris Agreement's carbon emissions targets be met by 2030?,0.35,Will renewable energy constitute at least 50% of global energy production by 2030?,0.35,"Will either the Paris Agreement's carbon emissions targets be met or renewable energy constitute at least 50% of global energy production by 2030? Body: Will either of the following occur by December 31, 2030: (a) The global carbon emissions reduction targets set by the Paris Agreement be achieved, as verified by the United Nations Framework Convention on Climate Change (UNFCCC)? (b) Renewable energy sources (solar, wind, hydro, etc.) account for 50% or more of the total global energy production, as reported by the International Energy Agency (IEA)? Resolution criteria: (a) The Paris Agreement's targets are considered met if the UNFCCC verifies the achievement of the global carbon emissions reduction targets by the specified date. (b) Renewable energy is considered to constitute at least 50% of global energy production if the IEA reports that renewable sources account for 50% or more of the total global energy production by the specified date.",0.35,0.0
or,Will the first successful quantum computer surpassing classical computers be announced by 2027?,0.35,Will artificial general intelligence (AGI) be achieved by 2027?,0.15,"Will either a quantum computer surpassing classical computers or artificial general intelligence be announced by 2027? Body: Will either of the following occur by December 31, 2027: (a) Any research institution or company announces the development of a quantum computer that outperforms classical supercomputers in practical applications, as reported by reputable scientific journals. (b) Artificial general intelligence, defined as AI that can perform any intellectual task that a human can, is developed and publicly announced, as confirmed by leading AI research organizations? Resolution criteria: A ""Yes"" answer will be given if either (a) or (b) occurs by the specified date, according to the respective sources mentioned.",0.15,0.3351101070091179
or,Will the Tokyo Summer Olympics be held without any COVID-19 restrictions by August 2026?,0.85,Will any Olympic Games from 2025 onwards be canceled due to a global pandemic?,0.15,"Will either the Tokyo Summer Olympics be held without any COVID-19 restrictions by August 2026, or will any Olympic Games from 2025 onwards be canceled due to a global pandemic?",0.75,0.17785726558372916
or,Will Elon Musk's Neuralink achieve functional brain-machine interfaces in humans by 2026?,0.65,Will DARPA announce a successful AI-driven autonomous weapon system by 2026?,0.35,"Will either Neuralink achieve functional brain-machine interfaces in humans or DARPA announce a successful AI-driven autonomous weapon system by 2026? Body: Will either of the following occur by December 31, 2026: (a) Neuralink, a company founded by Elon Musk, successfully develops and publicly demonstrates functional brain-machine interfaces in human subjects, as verified by clinical trial results or official company announcements, or (b) the Defense Advanced Research Projects Agency (DARPA) officially announces the development of a fully functional AI-driven autonomous weapon system, as reported in official defense publications? Resolution criteria: The question will be resolved as ""Yes"" if either (a) Neuralink achieves the specified brain-machine interface milestone or (b) DARPA makes the specified announcement about an AI-driven autonomous weapon system by the given date. Otherwise, it will be resolved as ""No"".",0.55,0.14488502872732595
or,Will the New York Stock Exchange implement a fully automated trading system without human oversight by 2027?,0.15,Will any major stock exchange experience a complete halt due to technical failures in 2027?,0.15,"Will either the NYSE implement a fully automated trading system without human oversight by 2027, or will any major stock exchange experience a complete halt due to technical failures in 2027?",0.15,0.0
or,Will NASA successfully land humans on Mars by 2028?,0.1,Will SpaceX establish a fully operational Starship colony on Mars by 2028?,0.1,Will either NASA land humans on Mars or SpaceX establish a Starship colony on Mars by 2028?,0.05,0.1344773141458422
or,Will Netflix launch a major gaming division by 2026?,0.65,Will Disney acquire Pixar Animation Studios by 2026?,1.0,"Will either Netflix launch a major gaming division or Disney acquire Pixar Animation Studios by 2026? Body: Will either of the following occur by December 31, 2026: (a) Netflix officially announces and starts a major gaming division focused on developing and publishing video games, as referenced in their corporate communications, or (b) Disney completes the acquisition of Pixar Animation Studios, including all intellectual properties, as confirmed by official press releases from both companies? The resolution criteria are: (a) for Netflix, confirmation through their corporate communications, and (b) for Disney, confirmation through official press releases from both Disney and Pixar.",0.25,1.7280600238890047
or,Will the European Central Bank adopt a unified digital Euro by 2025?,0.35,Will China replace the Yuan with a fully digital currency by 2025?,0.25,Will either the European Central Bank adopt a unified digital Euro or China replace the Yuan with a fully digital currency by 2025?,0.35,0.0
or,Will Tesla achieve full self-driving (Level 5) capability in all its vehicles by 2026?,0.25,Will regulatory authorities ban manual driving in urban areas by 2026?,0.05,Will either Tesla achieve full self-driving capability in all its vehicles or regulatory authorities ban manual driving in urban areas by 2026?,0.1,0.2842078823577582
or,Will the World Health Organization declare eradication of malaria by 2030?,0.05,Will a universal malaria vaccine be approved by 2030?,0.35,Will either the World Health Organization declare eradication of malaria or a universal malaria vaccine be approved by 2030?,0.15,0.3351101070091179
or,Will renewable energy sources supply 70% of the EU's energy needs by 2030?,0.35,Will the EU achieve carbon neutrality by 2030?,0.15,"Will either renewable energy supply 70% of the EU's energy needs or the EU achieve carbon neutrality by 2030? Body: Will either of the following occur by December 31, 2030: (a) Renewable energy sources (solar, wind, hydro, etc.) account for 70% of the European Union's total energy consumption, as reported by the European Commission? (b) The European Union reaches carbon neutrality, meaning net-zero carbon emissions, as confirmed by official EU environmental policy reports? Resolution criteria: The question will be resolved as ""Yes"" if either (a) or (b) is confirmed to have occurred by the specified date.",0.1,0.4428922480694681
or,Will SpaceX launch a manned mission to the asteroid belt by 2027?,0.05,Will NASA establish a permanent lunar base by 2027?,0.15,"Will either SpaceX launch a manned mission to the asteroid belt or NASA establish a permanent lunar base by 2027? Body: Will either of the following occur by December 31, 2027: (a) SpaceX successfully launches and reaches the asteroid belt with a manned mission, as documented by NASA or SpaceX mission logs, or (b) NASA establishes and has operational a permanent lunar base on the Moon, as reported in official NASA mission statements? The resolution criteria are based on the respective documentation and reports from NASA and SpaceX.",0.15,0.0
or,Will the global average temperature increase by more than 2°C by 2030 compared to pre-industrial levels?,0.15,Will there be a global ban on single-use plastics implemented by 2030?,0.35,"Will either the global average temperature increase by more than 2°C by 2030 compared to pre-industrial levels, or will there be a global ban on single-use plastics implemented by 2030?",0.15,0.3351101070091179
or,Will the global population exceed 8 billion by 2030?,0.99,Will the global fertility rate drop below 2.1 children per woman by 2030?,0.75,"Will either the global population exceed 8 billion or the global fertility rate drop below 2.1 children per woman by 2030? Body: Will either of the following occur by December 31, 2030: (a) The world's population surpasses 8 billion people, as projected and confirmed by the United Nations Department of Economic and Social Affairs? (b) The global average fertility rate declines to below 2.1 children per woman, as reported by the World Bank or United Nations demographic studies? Resolution criteria: The question will be resolved as ""Yes"" if either (a) the global population exceeds 8 billion people or (b) the global fertility rate drops below 2.1 children per woman by the specified date, according to the respective sources.",1.0,0.0
or,Will a major breakthrough in fusion energy occur by 2026?,0.25,Will global oil consumption decrease by 10% by 2026?,0.25,Will either a major breakthrough in fusion energy occur or global oil consumption decrease by 10% by 2026?,0.35,0.0
or,Will the Amazon Rainforest see a reduction in deforestation rates by 50% by 2027?,0.35,Will a new international treaty on rainforest conservation be signed by major nations by 2027?,0.65,"Will either a 50% reduction in Amazon deforestation rates or a new international rainforest conservation treaty be achieved by 2027? Body: Will either of the following occur by December 31, 2027: (a) The deforestation rates in the Amazon Rainforest decrease by at least 50% compared to 2020 levels, as monitored and reported by the Brazilian Institute of Geography and Statistics (IBGE) or the World Wildlife Fund (WWF)? (b) A new international agreement focused on rainforest conservation and anti-deforestation measures be signed by the majority of major nations, as announced by the United Nations? Resolution criteria: For (a), confirmation will be based on reports from IBGE or WWF. For (b), confirmation will be based on an announcement by the United Nations.",0.45,0.28977005745465195
or,Will the global semiconductor shortage be resolved by the end of 2025?,0.75,Will electric vehicle production reach 50 million units globally by 2025?,0.35,"Will either the global semiconductor shortage be resolved or electric vehicle production reach 50 million units globally by 2025? Body: Will either of the following occur by December 31, 2025: (a) The worldwide shortage of semiconductors, affecting various industries, be fully resolved, as reported by major industry analysts and manufacturing companies? (b) The global production of electric vehicles (EVs) attain 50 million units, as documented by international automotive industry reports and manufacturing data? Resolution criteria: (a) The semiconductor shortage will be considered resolved if major industry analysts and manufacturing companies report that the shortage has been fully addressed by the end of 2025. (b) Electric vehicle production will be considered to have reached 50 million units if international automotive industry reports and manufacturing data confirm this production level by the end of 2025.",0.55,0.30278014336292536
or,Will the United Nations declare a global water crisis by 2026?,0.65,Will any major country implement mandatory water rationing policies by 2026?,0.65,"Will either the United Nations declare a global water crisis or any major country implement mandatory water rationing policies by 2026? Body: Will either of the following occur by December 31, 2026: (a) The United Nations officially declares that the world is experiencing a global water crisis, characterized by widespread scarcity and access issues, as stated in their environmental reports. (b) At least one major country enforces mandatory water rationing policies to address shortages, as announced by their respective governments? The resolution criteria are: (a) The occurrence of an official declaration by the United Nations regarding a global water crisis. (b) The enforcement of mandatory water rationing policies by at least one major country.",0.45,0.28977005745465195
or,Will CRISPR technology be used to create the first genetically modified humans by 2027?,0.25,Will the FDA approve the first gene therapy for Alzheimer's disease by 2027?,0.15,Will either CRISPR technology be used to create the first genetically modified humans or the FDA approve the first gene therapy for Alzheimer's disease by 2027?,0.35,0.0
or,Will the global average sea level rise exceed 1 meter by 2030?,0.01,Will coastal cities implement mandatory relocation plans due to sea-level rise by 2030?,0.25,"Will either the global average sea level rise exceed 1 meter or coastal cities implement mandatory relocation plans due to sea-level rise by 2030? Body: Will either of the following occur by December 31, 2030: (a) The global average sea level increases by more than 1 meter compared to 2000 levels, as measured by the Intergovernmental Panel on Climate Change (IPCC)? (b) Major coastal cities worldwide implement and initiate mandatory relocation plans for their populations due to projected sea-level rise, as reported by city governments and urban planning authorities? Resolution criteria: For (a), the resolution will be based on reports from the IPCC. For (b), the resolution will be based on reports from city governments and urban planning authorities.",0.05,0.4117191866702692
or,Will the International Monetary Fund (IMF) announce a global debt forgiveness plan by 2026?,0.15,Will the World Bank increase its lending to renewable energy projects by 200% by 2026?,0.35,"Will either the IMF announce a global debt forgiveness plan or the World Bank increase its lending to renewable energy projects by 200% by 2026? Body: Will either of the following occur by December 31, 2026: (a) The International Monetary Fund (IMF) officially announces a comprehensive global debt forgiveness initiative for developing countries, as stated in their policy announcements. (b) The World Bank triples its funding allocations to renewable energy projects worldwide, as reflected in their financial reports and project approvals? Resolution criteria: For (a), the resolution will be based on official policy announcements from the IMF. For (b), the resolution will be based on the World Bank's financial reports and project approvals indicating a tripling of funding allocations to renewable energy projects.",0.25,0.1549895147545551
or,Will Apple launch a foldable iPhone model by 2026?,0.45,Will Samsung achieve a 100% market share in the smartphone foldable market by 2026?,0.01,"Will either Apple launch a foldable iPhone model or Samsung achieve a 100% market share in the foldable smartphone market by 2026? Body: Will either of the following occur by December 31, 2026: (a) Apple officially releases a foldable iPhone model available for purchase, as announced on their official website or through major technology news outlets, or (b) Samsung captures and maintains a 100% market share in the global foldable smartphone segment, as reported by market research firms? Resolution criteria: For (a), confirmation will be based on announcements from Apple's official website or major technology news outlets. For (b), confirmation will be based on reports from market research firms indicating Samsung's 100% market share in the foldable smartphone segment.",0.35,0.14488502872732603
or,Will the World Health Organization declare COVID-19 eradicated by 2026?,0.05,Will global travel return to pre-pandemic levels by 2026?,0.75,"Will either the WHO declare COVID-19 eradicated or global travel return to pre-pandemic levels by 2026? Body: Will either of the following occur by December 31, 2026: (a) The World Health Organization officially declares that COVID-19 has been eradicated globally, based on infection and transmission data. (b) International travel volumes revert to pre-COVID-19 pandemic numbers, as reported by the International Air Transport Association (IATA) and global tourism boards? Resolution criteria: For (a), the resolution will be based on an official declaration from the World Health Organization. For (b), the resolution will be based on reports from the International Air Transport Association (IATA) and global tourism boards indicating that international travel volumes have returned to pre-pandemic levels.",0.65,0.1549895147545551
or,Will the United States legalize recreational marijuana nationwide by 2026?,0.15,Will the United States achieve full cannabis industry regulation by 2026?,0.35,Will the United States either legalize recreational marijuana nationwide or achieve full cannabis industry regulation by 2026?,0.25,0.1549895147545551
or,Will electric aviation become mainstream with commercial flights by 2030?,0.25,Will the first transatlantic electric passenger flight be completed by 2030?,0.15,"Will either electric aviation become mainstream with commercial flights or the first transatlantic electric passenger flight be completed by 2030? Body: Will either of the following occur by December 31, 2030: (a) Electric-powered commercial flights become a standard mode of transportation for airlines globally, as confirmed by major airline operational data and industry reports, or (b) An electric-powered passenger aircraft successfully completes a transatlantic flight, as documented by the operating airline and aviation authorities? Resolution criteria: (a) Electric aviation is considered mainstream if major airline operational data and industry reports confirm it as a standard mode of transportation globally. (b) A transatlantic electric passenger flight is considered completed if it is successfully documented by the operating airline and aviation authorities.",0.35,0.0
or,Will the global population of migratory birds decline by 30% by 2030?,0.35,Will the International Union for Conservation of Nature (IUCN) classify over 100 migratory bird species as endangered by 2030?,0.35,Will either the global population of migratory birds decline by 30% or the IUCN classify over 100 migratory bird species as endangered by 2030?,0.45,0.0
or,Will India achieve 100% electrification of its railway network by 2030?,0.75,Will China become the world's largest producer of electric trains by 2030?,0.75,Will either India achieve 100% electrification of its railway network or China become the world's largest producer of electric trains by 2030?,0.75,0.0
or,Will the first human mission to Jupiter's moon Europa land successfully by 2030?,0.01,Will NASA discover evidence of extraterrestrial life on Europa by 2030?,0.15,"Will either a human mission land on Europa or NASA discover extraterrestrial life there by 2030? Body: Will either of the following occur by December 31, 2030: (a) A human space mission successfully lands on Jupiter's moon Europa and conducts surface operations, as documented by space agency mission reports. (b) NASA announces the discovery of definitive evidence of extraterrestrial life forms on Europa, based on scientific research and exploration data? The resolution criteria are: (a) Successful landing and surface operations on Europa by a human mission as per space agency reports. (b) NASA's announcement of definitive evidence of extraterrestrial life on Europa.",0.05,0.2384756560134845
or,Will autonomous drones become the primary delivery method for e-commerce companies by 2027?,0.25,Will government regulations on drone usage be universally standardized by 2027?,0.35,Will either autonomous drones become the primary delivery method for e-commerce companies or government regulations on drone usage be universally standardized by 2027?,0.35,0.0
or,Will holographic displays become commonplace in personal consumer electronics by 2026?,0.15,Will augmented reality (AR) headsets outsell virtual reality (VR) headsets by 2026?,0.35,"Will either holographic displays become commonplace in personal consumer electronics or AR headsets outsell VR headsets by 2026? Body: Will either of the following occur by December 31, 2026: (a) Holographic display technology is integrated into mainstream personal consumer electronics, such as smartphones and laptops, becoming commonplace, as evidenced by product releases from major tech companies. (b) Augmented reality (AR) headsets achieve higher global sales figures than virtual reality (VR) headsets, as reported by market research firms? Resolution criteria: For (a), holographic displays must be present in mainstream consumer electronics with evidence from major tech company product releases. For (b), AR headsets must have higher global sales figures than VR headsets according to market research reports.",0.35,0.0
or,Will the first commercially viable space hotel open by 2028?,0.25,Will space tourism become a common vacation option for the average consumer by 2028?,0.15,Will either a commercially viable space hotel open or space tourism become a common vacation option by 2028?,0.15,0.17785726558372922
or,Will machine learning algorithms surpass human experts in medical diagnostics by 2027?,0.65,Will the majority of hospitals adopt AI-driven diagnostic tools by 2027?,0.65,"Will either machine learning algorithms surpass human experts in medical diagnostics or the majority of hospitals adopt AI-driven diagnostic tools by 2027? Body: Will either of the following occur by December 31, 2027: (a) Machine learning algorithms achieve a level of accuracy in medical diagnostics that consistently surpasses that of human medical experts, as validated by clinical studies and medical boards, or (b) Over 50% of hospitals globally implement AI-driven diagnostic tools as part of their standard medical procedures, as reported by healthcare industry surveys? Resolution criteria: (a) will be resolved based on clinical studies and validation by medical boards, and (b) will be resolved based on reports from healthcare industry surveys.",0.65,0.0
or,Will autonomous public transportation systems be operational in all major U.S. cities by 2028?,0.25,Will the use of autonomous public transportation reduce urban traffic congestion by 50% by 2028?,0.15,Will either autonomous public transportation systems be operational in all major U.S. cities or reduce urban traffic congestion by 50% by 2028?,0.15,0.17785726558372922
