check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
andor,Will Lionel Messi win the Ballon d'Or in 2025?,0.15,Will FC Barcelona win the UEFA Champions League in 2025?,0.15,Will both Lionel Messi win the Ballon d'Or in 2025 and FC Barcelona win the UEFA Champions League in 2025?,0.05,0.1372311615987697
andor,"Will Bitcoin reach $100,000 by December 31, 2025?",0.35,"Will Ethereum switch to proof-of-stake by July 1, 2025?",1.0,"Will Bitcoin reach $100,000 by December 31, 2025, and will Ethereum switch to proof-of-stake by July 1, 2025? Body: Will both of the following occur: (a) The price of Bitcoin will exceed $100,000 USD by December 31, 2025, as reported by major financial news outlets like Bloomberg and CNBC. (b) Ethereum will complete its transition to a proof-of-stake consensus mechanism by July 1, 2025, as confirmed by the Ethereum Foundation.",0.4,0.07304915670714016
andor,Will Australia host the FIFA Women's World Cup in 2027?,0.15,Will the Australian men's national soccer team qualify for the 2026 FIFA World Cup?,0.85,"Will Australia host the FIFA Women's World Cup in 2027 and the Australian men's national soccer team qualify for the 2026 FIFA World Cup? Body: Will both of the following occur: (a) Australia will be one of the host nations for the FIFA Women's World Cup in 2027, as officially announced by FIFA by May 1, 2026, and (b) the Australian men's national soccer team will successfully qualify for the 2026 FIFA World Cup by securing their spot through the AFC qualification rounds, with the qualification period ending on September 15, 2025? Resolution criteria: Both conditions must be met for a ""Yes"" answer. If either condition is not met, the answer is ""No"".",0.35,0.25586412105876005
andor,Will Tesla unveil a fully autonomous vehicle by June 2026?,0.35,Will the U.S. federal government approve self-driving cars for public roads by December 2026?,0.25,"Will both Tesla unveil a fully autonomous vehicle by June 2026 AND the U.S. federal government approve self-driving cars for public roads by December 2026? Body: Will both of the following occur: (a) Tesla officially unveils a fully autonomous (Level 5) vehicle to the public by June 2026, as reported in their annual shareholder meeting, AND (b) the U.S. federal government issues comprehensive regulations permitting Level 5 autonomous vehicles to operate on all public roads by December 2026, as announced by the Department of Transportation? Resolution criteria: For (a), confirmation must come from Tesla's annual shareholder meeting report. For (b), confirmation must come from an official announcement by the U.S. Department of Transportation.",0.25,0.11243764952899699
andor,Will Beyoncé release a new album by March 2025?,0.65,Will Beyoncé star in a major Hollywood film by December 2025?,0.25,"Will Beyoncé release a new album by March 2025 and star in a major Hollywood film by December 2025? Body: Will both of the following occur: (a) Beyoncé releases a new studio album by March 31, 2025, as indicated by official announcements on her website and social media channels, and (b) Beyoncé secures a leading role in a major Hollywood film, with production announcements made by major studios by December 31, 2025? Resolution criteria: For (a), confirmation will be based on official announcements on Beyoncé's website and social media channels. For (b), confirmation will be based on production announcements made by major Hollywood studios.",0.25,0.11243764952899699
andor,Will the Amazon Rainforest see a 10% reduction in deforestation by 2027?,0.65,Will Brazil implement and enforce new environmental protection laws for the Amazon by 2026?,0.65,"Will both a 10% reduction in Amazon deforestation by 2027 occur and Brazil implement new environmental laws by 2026? Body: Will both of the following occur: (a) Will satellite data and reports from environmental organizations indicate a 10% reduction in deforestation rates in the Amazon Rainforest by December 31, 2027? (b) Will the Brazilian government implement and enforce new environmental protection laws aimed at preserving the Amazon Rainforest by June 30, 2026, as documented in official government publications?",0.45,0.20727892860286048
andor,Will the Tokyo Metropolitan Government ban gasoline cars by 2030?,0.35,Will electric vehicle sales in Tokyo exceed 50% of total car sales by 2030?,0.65,Will both a ban on gasoline cars and a majority of electric vehicle sales occur in Tokyo by 2030?,0.45,0.10363946430143027
andor,Will the European Space Agency launch a manned mission to Mars by 2035?,0.15,Will NASA establish a permanent lunar base by 2035?,0.35,"Will both the European Space Agency launch a manned mission to Mars and NASA establish a permanent lunar base by 2035? Body: Will both of the following occur: (a) The European Space Agency successfully launches a manned mission to Mars by October 1, 2035, as outlined in their official space exploration plan. (b) NASA announces the establishment of a permanent lunar base by December 31, 2035, as documented in their long-term space infrastructure projects. Resolution criteria: Both events must occur within their respective timeframes for the answer to be YES. If either or both events do not occur within the specified timeframes, the answer will be NO.",0.1,0.06004084166322101
andor,Will India achieve a population of 1.5 billion by 2030?,0.75,Will India have more than 10 major metropolitan cities with populations exceeding 25 million by 2030?,0.05,"Will India both achieve a population of 1.5 billion and have more than 10 major metropolitan cities with populations exceeding 25 million by 2030? Body: Will both of the following occur: (a) India's population reaches or exceeds 1.5 billion people by July 1, 2030, according to projections from the United Nations Department of Economic and Social Affairs, and (b) India has at least 10 metropolitan cities, each with a population over 25 million, by December 31, 2030, as reported by the Indian government’s urban development statistics?",0.05,0.5595637103925328
andor,Will Netflix acquire a major live sports broadcasting rights by 2026?,0.35,Will Disney launch a competing streaming service for live sports by 2026?,0.35,"Will both Netflix acquire major live sports broadcasting rights and Disney launch a competing streaming service for live sports by 2026? Body: Will both of the following occur: (a) Netflix secures exclusive broadcasting rights for at least one major live sports league (e.g., NFL, NBA, Premier League) by August 1, 2026, as announced in their official press releases, and (b) Disney introduces a new streaming platform dedicated to live sports content by November 30, 2026, as detailed in their corporate strategy communications? Resolution criteria: Both conditions must be met for the question to be answered ""Yes."" If either condition is not met, the answer will be ""No.""",0.35,0.3143127990952363
andor,Will a single scientist discover a unified theory of quantum gravity by 2030?,0.05,Will the number of Nobel Prizes in Physics awarded annually increase to three by 2030?,0.1,Will both a unified theory of quantum gravity be discovered by a single scientist and the number of Nobel Prizes in Physics awarded annually increase to three by 2030?,0.01,0.20334115751605575
andor,Will Japan achieve carbon neutrality by 2050?,0.65,Will China reduce its carbon emissions by 50% from 2020 levels by 2050?,0.65,"Will both Japan achieve carbon neutrality by 2050 and China reduce its carbon emissions by 50% from 2020 levels by 2050? Body: Will both of the following occur: (a) Japan will officially declare and meet its goal of achieving carbon neutrality by the year 2050, as outlined in its national environmental policy documents, and (b) China will implement and successfully achieve a 50% reduction in carbon emissions from its 2020 levels by December 31, 2050, according to reports from the Chinese Ministry of Ecology and Environment? Resolution criteria: For Japan, the resolution will be based on official declarations and assessments of carbon neutrality achievement by 2050. For China, the resolution will be based on reports from the Chinese Ministry of Ecology and Environment confirming a 50% reduction in carbon emissions from 2020 levels by the end of 2050.",0.35,0.21429938177396285
