check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
or,"Will an AI-Generated Film Win the Palme d'Or at Cannes by 2030?

Will a feature-length film primarily created using artificial intelligence (AI) in writing, directing, and production win the Palme d'Or award at the Cannes Film Festival by the end of 2030, as announced by the festival organizers?",0.15,"Or If an AI-Generated Film Wins the Palme d'Or by 2030, Will the Academy Exclude AI Films from Oscar Consideration Thereafter?

In the event that an AI-generated film wins the Palme d'Or at Cannes by 2030, will the Academy of Motion Picture Arts and Sciences implement new rules excluding AI-generated films from Oscar eligibility in subsequent years, as confirmed by official Academy announcements?",0.15,"Will Either an AI-Generated Film Win the Palme d'Or at Cannes by 2030, or Will the Academy Exclude AI Films from Oscar Consideration Thereafter if Such a Film Wins?

Will either of the following occur:  
(a) A feature-length film primarily created using artificial intelligence (AI) in writing, directing, and production wins the Palme d'Or award at the Cannes Film Festival by the end of 2030, as announced by the festival organizers.  
(b) In the event that an AI-generated film wins the Palme d'Or at Cannes by 2030, the Academy of Motion Picture Arts and Sciences implements new rules excluding AI-generated films from Oscar eligibility in subsequent years, as confirmed by official Academy announcements.  

Resolution Criteria:  
- For part (a), the resolution will be based on official announcements from the Cannes Film Festival organizers regarding the winner of the Palme d'Or by the end of 2030.  
- For part (b), the resolution will depend on official announcements from the Academy of Motion Picture Arts and Sciences regarding any new rules excluding AI-generated films from Oscar eligibility, contingent upon an AI-generated film winning the Palme d'Or by 2030.",0.15,,,0.0
or,"Will a Single Musical Work Achieve Over 100 Billion Streams on a Single Platform by 2035?

Will any individual song accumulate over 100 billion streams on a single music streaming platform (e.g., Spotify, Apple Music) by December 31, 2035, as confirmed by official platform statistics?",0.05,"Or If a Song Reaches 100 Billion Streams by 2035, Will Traditional Music Albums Become Obsolete by 2040?

In the event that a single song surpasses 100 billion streams by 2035, will the production of traditional full-length music albums significantly decline, with less than 10% of artists releasing albums in favor of singles or EPs by December 31, 2040, according to industry reports?",0.25,"Will Either a Single Musical Work Achieve Over 100 Billion Streams by 2035, or Will Traditional Music Albums Become Obsolete by 2040 Given a Song Reaches 100 Billion Streams?

Will either of the following occur:  
(a) Any individual song accumulates over 100 billion streams on a single music streaming platform (e.g., Spotify, Apple Music) by December 31, 2035, as confirmed by official platform statistics?  
(b) In the event that a single song surpasses 100 billion streams by 2035, will the production of traditional full-length music albums significantly decline, with less than 10% of artists releasing albums in favor of singles or EPs by December 31, 2040, according to industry reports?  

Resolution Criteria:  
- For (a), the question resolves to ""Yes"" if any song is reported to have over 100 billion streams on a single platform by the specified date, based on official statistics from the platform.  
- For (b), the question resolves to ""Yes"" if, given a song reaches 100 billion streams by 2035, industry reports confirm that by 2040, less than 10% of artists are releasing traditional full-length albums.",0.15,,,0.17785726558372922
or,"Will a Previously Unknown Language Influence Global Pop Music Trends by 2030?

Will a language that is currently not among the top 50 most spoken languages in the world become a significant influence in global pop music, with multiple chart-topping songs featuring it by December 31, 2030, as reflected in international music charts?",0.05,"Or If Such a Language Influences Pop Music by 2030, Will Language Learning Apps See a Surge in Its Study by 2031?

In the event that this lesser-known language significantly influences global pop music by 2030, will language learning applications report a tenfold increase in users studying it by December 31, 2031, compared to 2020 levels, as confirmed by app usage statistics?",0.35,"Will Either a Previously Unknown Language Influence Global Pop Music Trends by 2030, or Will Language Learning Apps See a Surge in Its Study by 2031?

Will either of the following occur:  
(a) A language that is currently not among the top 50 most spoken languages in the world becomes a significant influence in global pop music, with multiple chart-topping songs featuring it by December 31, 2030, as reflected in international music charts.  
(b) In the event that this lesser-known language significantly influences global pop music by 2030, language learning applications report a tenfold increase in users studying it by December 31, 2031, compared to 2020 levels, as confirmed by app usage statistics.  

Resolution Criteria:  
- For part (a), the resolution will be based on the presence of multiple chart-topping songs featuring the language in international music charts by the end of 2030.  
- For part (b), the resolution will depend on language learning applications reporting a tenfold increase in users studying the language by the end of 2031, compared to 2020 levels, as confirmed by app usage statistics, contingent on the language having influenced global pop music by 2030.",0.05,,,0.5709887207790674
or,"Will a Global Artistic Movement Emerge that Rejects Digital Technology by 2035?

Will a new global artistic movement gain prominence by December 31, 2035, explicitly rejecting digital technology in both creation and dissemination, as recognized by major art institutions and critics?",0.25,"Or If Such a Movement Emerges by 2035, Will Digital Art Markets Shrink in Response by 2040?

In the event that an anti-digital artistic movement gains prominence by 2035, will the market for digital art (including NFTs and digital galleries) experience a significant decline, losing at least 50% of its market value by December 31, 2040, according to industry market reports?",0.25,"Will Either a Global Artistic Movement Emerge that Rejects Digital Technology by 2035, or Will Digital Art Markets Shrink in Response by 2040?

Will either of the following occur: (a) A new global artistic movement gains prominence by December 31, 2035, explicitly rejecting digital technology in both creation and dissemination, as recognized by major art institutions and critics; (b) In the event that such an anti-digital artistic movement gains prominence by 2035, the market for digital art (including NFTs and digital galleries) experiences a significant decline, losing at least 50% of its market value by December 31, 2040, according to industry market reports? 

Resolution Criteria:  
- For part (a), the question resolves to ""Yes"" if a global artistic movement that explicitly rejects digital technology gains prominence by the specified date, as recognized by major art institutions and critics.  
- For part (b), the question resolves to ""Yes"" if, given the emergence of such a movement by 2035, the digital art market loses at least 50% of its market value by December 31, 2040, according to industry market reports. If part (a) does not occur, part (b) is not applicable.  
- The overall question resolves to ""Yes"" if either part (a) or part (b) resolves to ""Yes"".",0.15,,,0.17785726558372922
or,"Will a Global Cultural Festival Be Held Simultaneously Across All Continents by 2032?

Will there be an officially coordinated global cultural festival featuring simultaneous events on all seven continents (including Antarctica) by December 31, 2032, as confirmed by international cultural organizations?",0.35,"Or If Such a Festival Occurs by 2032, Will It Lead to the Establishment of an Annual Global Holiday by 2035?

In the event that a simultaneous global cultural festival is held by 2032, will an official global holiday be established and recognized by the United Nations by December 31, 2035, as confirmed by UN resolutions?",0.15,"Will Either a Global Cultural Festival Be Held Simultaneously Across All Continents by 2032, or Will It Lead to the Establishment of an Annual Global Holiday by 2035?

Will either of the following occur:  
(a) An officially coordinated global cultural festival featuring simultaneous events on all seven continents (including Antarctica) by December 31, 2032, as confirmed by international cultural organizations?  
(b) In the event that such a simultaneous global cultural festival is held by 2032, will an official global holiday be established and recognized by the United Nations by December 31, 2035, as confirmed by UN resolutions?  

Resolution Criteria:  
- For part (a), the question will resolve to ""Yes"" if there is confirmation from international cultural organizations that a global cultural festival featuring simultaneous events on all seven continents, including Antarctica, is held by December 31, 2032.  
- For part (b), the question will resolve to ""Yes"" if, following the occurrence of the festival described in part (a) by 2032, an official global holiday is established and recognized by the United Nations by December 31, 2035, as confirmed by UN resolutions.  
- The overall question will resolve to ""Yes"" if either part (a) or part (b) resolves to ""Yes"". If neither part resolves to ""Yes"", the overall question will resolve to ""No"".",0.05,,,0.5709887207790674
or,"Will a Global Pandemic Inspire a New Genre That Dominates Literature and Film by 2035?

Will a global pandemic occurring after 2023 give rise to a new genre in literature and film that becomes the most popular genre worldwide by December 31, 2035, as indicated by sales figures and box office statistics?",0.25,"Or If Such a Genre Dominates by 2035, Will There Be a Backlash Leading to Its Decline by 2040?

In the event that a pandemic-inspired genre dominates literature and film by 2035, will consumer fatigue lead to a significant decline in its popularity by December 31, 2040, as reflected in reduced sales and viewership?",0.65,"Will Either a Pandemic-Inspired Genre Dominate Literature and Film by 2035 or Will There Be a Backlash Leading to Its Decline by 2040?

Will either of the following occur:  
(a) A global pandemic occurring after 2023 gives rise to a new genre in literature and film that becomes the most popular genre worldwide by December 31, 2035, as indicated by sales figures and box office statistics.  
(b) In the event that a pandemic-inspired genre dominates literature and film by 2035, will consumer fatigue lead to a significant decline in its popularity by December 31, 2040, as reflected in reduced sales and viewership?  

Resolution Criteria:  
- For part (a), the question resolves to ""Yes"" if a new genre inspired by a global pandemic occurring after 2023 becomes the most popular genre worldwide by December 31, 2035, based on sales figures and box office statistics.  
- For part (b), the question resolves to ""Yes"" if, given that a pandemic-inspired genre dominates by 2035, there is a significant decline in its popularity by December 31, 2040, as shown by reduced sales and viewership.  
- The overall question resolves to ""Yes"" if either part (a) or part (b) resolves to ""Yes"".",0.25,,,0.6199580590182205
or,"Will a Cross-Cultural Event Create a New Global Holiday Celebrated by Over 100 Countries by 2050?

Will an event or movement lead to the establishment of a new global holiday, officially recognized and celebrated by the governments of at least 100 countries by December 31, 2050, as confirmed by international treaties or agreements?",0.15,"Or If Such a Global Holiday Is Established by 2050, Will It Become Commercialized and Lose Cultural Significance by 2060?

In the event that a new global holiday is established by 2050, will it become heavily commercialized and lose its original cultural significance by December 31, 2060, as analyzed by cultural commentators and economists?",0.75,"Will Either a New Global Holiday Be Established by 2050 or Will Such a Holiday Become Commercialized and Lose Cultural Significance by 2060?

Will either of the following occur:  
(a) An event or movement leads to the establishment of a new global holiday, officially recognized and celebrated by the governments of at least 100 countries by December 31, 2050, as confirmed by international treaties or agreements.  
(b) In the event that a new global holiday is established by 2050, it becomes heavily commercialized and loses its original cultural significance by December 31, 2060, as analyzed by cultural commentators and economists.  

Resolution Criteria:  
- For part (a), the resolution will be based on the official recognition and celebration of a new global holiday by at least 100 countries, confirmed through international treaties or agreements by the end of 2050.  
- For part (b), the resolution will depend on analyses by cultural commentators and economists indicating that the holiday has become heavily commercialized and lost its original cultural significance by the end of 2060.",0.15,,,1.0671435935023752
but,"Will a Virtual Reality Concert Attract Over 1 Billion Concurrent Viewers by 2035?

Will a single virtual reality (VR) concert event, featuring one or more artists, attract over 1 billion concurrent global viewers by December 31, 2035, as verified by official event statistics and leading technology news outlets?",0.15,"Will No VR Concert Attract Over 1 Billion Viewers by 2035 AND Will Traditional Live Concert Attendance Decline by More Than 50% by 2040? Body: Will both of the following occur: (a) No single virtual reality (VR) concert event, featuring one or more artists, attracts over 1 billion concurrent global viewers by December 31, 2035, as verified by official event statistics and leading technology news outlets, AND (b) Global attendance at traditional live concerts decreases by more than 50% compared to 2022 levels by December 31, 2040, according to industry reports and concert ticket sales data? Resolution criteria: Part (a) will be resolved based on official event statistics and leading technology news outlets confirming that no VR concert reached over 1 billion concurrent viewers by the specified date. Part (b) will be resolved based on industry reports and concert ticket sales data showing a decline of more than 50% in traditional live concert attendance by the specified date.

Will both of the following occur: (a) No single virtual reality (VR) concert event, featuring one or more artists, attracts over 1 billion concurrent global viewers by December 31, 2035, as verified by official event statistics and leading technology news outlets, AND (b) Global attendance at traditional live concerts decreases by more than 50% compared to 2022 levels by December 31, 2040, according to industry reports and concert ticket sales data? Resolution criteria: Part (a) will be resolved based on official event statistics and leading technology news outlets confirming that no VR concert reached over 1 billion concurrent viewers by the specified date. Part (b) will be resolved based on industry reports and concert ticket sales data showing a decline of more than 50% in traditional live concert attendance by the specified date.",0.15,"Will Either a VR Concert Attract Over 1 Billion Viewers by 2035 or Will Traditional Live Concert Attendance Decline by More Than 50% by 2040?

Will either of the following occur:  
(a) A single virtual reality (VR) concert event, featuring one or more artists, attracts over 1 billion concurrent global viewers by December 31, 2035, as verified by official event statistics and leading technology news outlets.  
(b) Despite the success of a VR concert attracting over 1 billion concurrent viewers by December 31, 2035, global attendance at traditional live concerts decreases by more than 50% compared to 2022 levels by December 31, 2040, according to industry reports and concert ticket sales data?  

Resolution Criteria:  
- For part (a), the occurrence will be confirmed if official event statistics and leading technology news outlets verify that a VR concert has attracted over 1 billion concurrent viewers by the specified date.  
- For part (b), the occurrence will be confirmed if industry reports and concert ticket sales data show a decrease of more than 50% in global attendance at traditional live concerts compared to 2022 levels by the specified date.",0.25,,,0.07507981472727138
but,"Will an Athlete Break the 9-Second Barrier in the 100-Meter Dash by 2040?

Will any male athlete officially record a time under 9.00 seconds in the 100-meter dash in an IAAF-sanctioned event by December 31, 2040, as recognized by the International Association of Athletics Federations?",0.05,"Will No Athlete Break the 9-Second Barrier in the 100-Meter Dash by 2040 AND Will Anti-Doping Agencies Fail to Detect Any Performance-Enhancing Drug Use Related to Such an Achievement?

Will both of the following occur: (a) No male athlete officially records a time under 9.00 seconds in the 100-meter dash in an IAAF-sanctioned event by December 31, 2040, as recognized by the International Association of Athletics Federations, AND (b) Despite an athlete breaking the 9-second barrier in the 100-meter dash by 2040, anti-doping agencies report that they have not detected any performance-enhancing drug use associated with this record by December 31, 2041, according to official reports? 

Resolution Criteria: 
- For part (a), the resolution will be based on official records from the International Association of Athletics Federations by December 31, 2040.
- For part (b), the resolution will be based on official reports from anti-doping agencies regarding the detection of performance-enhancing drug use associated with any record-breaking achievement by December 31, 2041.",0.15,"Will Either a Male Athlete Break the 9-Second Barrier in the 100-Meter Dash by 2040 or Will Anti-Doping Agencies Fail to Detect Drug Use if This Happens?

Will either of the following occur:  
(a) Any male athlete officially records a time under 9.00 seconds in the 100-meter dash in an IAAF-sanctioned event by December 31, 2040, as recognized by the International Association of Athletics Federations.  
(b) Despite an athlete breaking the 9-second barrier in the 100-meter dash by 2040, anti-doping agencies report that they have not detected any performance-enhancing drug use associated with this record by December 31, 2041, according to official reports.  

Resolution Criteria:  
- For part (a), the resolution will be based on official records from the International Association of Athletics Federations confirming a sub-9.00 second time in the 100-meter dash by a male athlete by the specified date.  
- For part (b), the resolution will depend on official reports from anti-doping agencies indicating that no performance-enhancing drug use was detected in relation to the record-breaking achievement by the specified date.",0.05,,,0.3172871584851762
but,"Will a Virtual Athlete Be Allowed to Compete in Professional Sports by 2035?

Will any professional sports league officially allow a virtual or AI-controlled athlete to compete alongside human athletes by December 31, 2035, as confirmed by league regulations and official game records?",0.15,"Will No Professional Sports League Allow a Virtual Athlete to Compete by 2035 AND Will Traditional Viewership Decline by 2040 If They Do?

Will both of the following occur:  
(a) All professional sports leagues will fail to officially allow a virtual or AI-controlled athlete to compete alongside human athletes by December 31, 2035, as confirmed by league regulations and official game records.  
(b) If virtual athletes are included in professional sports by 2035, the overall viewership of these sports will decline by at least 30% by 2040 compared to 2025 levels, according to official broadcast ratings and viewership statistics.  

Resolution Criteria:  
- For part (a), confirmation is required that no professional sports league has officially allowed a virtual or AI-controlled athlete to compete by the specified date, based on league regulations and official game records.  
- For part (b), if virtual athletes are included by 2035, viewership must decline by at least 30% by 2040 compared to 2025 levels, as evidenced by official broadcast ratings and viewership statistics. Both conditions must be met for a ""Yes"" answer.",0.15,"Will Either Virtual Athletes Compete in Professional Sports by 2035 or Will Traditional Viewership Decline by 2040 as a Result?

Will either of the following occur:  
(a) Any professional sports league officially allows a virtual or AI-controlled athlete to compete alongside human athletes by December 31, 2035, as confirmed by league regulations and official game records.  
(b) Despite the inclusion of virtual athletes in professional sports by 2035, overall viewership of these sports declines by at least 30% by 2040 compared to 2025 levels, according to official broadcast ratings and viewership statistics.  

Resolution criteria:  
- For (a), confirmation will be based on official league regulations and game records indicating the participation of virtual or AI-controlled athletes.  
- For (b), confirmation will be based on a comparison of official broadcast ratings and viewership statistics from 2025 and 2040, showing a decline of at least 30%.",0.35,,,0.07190709851579097
