check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
and,Will Lionel Messi Win the 2025 Ballon d'Or?,0.1,Will Kylian Mbappé Win the 2025 Ballon d'Or?,0.35,Will Both Lionel Messi and Kylian Mbappé Win the 2025 Ballon d'Or?,0.0,0.0
and,"Will Bitcoin Reach $100,000 by December 31, 2025?",0.35,"Will Ethereum Transition Fully to Proof-of-Stake by December 31, 2025?",0.95,"Will Both Bitcoin Reach $100,000 and Ethereum Fully Transition to Proof-of-Stake by December 31, 2025? Body: Will both of the following occur by December 31, 2025: (a) The price of Bitcoin reaches or exceeds $100,000 USD by the close of trading, as reported by major cryptocurrency exchanges like Coinbase and Binance. (b) Ethereum completes its transition to a fully Proof-of-Stake consensus mechanism by the close of development, as announced on the official Ethereum Foundation website? Resolution criteria: Both conditions must be met for a ""Yes"" answer. If either condition is not met, the answer is ""No"".",0.55,0.28977005745465206
and,Will Taylor Swift Release a New Album in 2026?,0.85,Will Beyoncé Announce a North American Tour in 2026?,0.65,"Will Both Taylor Swift Release a New Album and Beyoncé Announce a North American Tour in 2026? Body: Will both of the following occur: (a) Taylor Swift releases a new studio album by October 1, 2026, as announced on her official website or verified social media accounts, and (b) Beyoncé officially announces a new North American concert tour by September 1, 2026, through her official channels and press releases? Resolution criteria: For Taylor Swift, confirmation must come from her official website or verified social media accounts. For Beyoncé, the announcement must be made through her official channels and press releases.",0.65,0.0
and,Will Tokyo Host the 2030 Summer Olympics?,0.05,Will Paris Host the 2030 Summer Olympics?,0.01,Will both Tokyo and Paris Host the 2030 Summer Olympics?,0.0,0.0
and,Will Apple Achieve 50% Market Share in the Smartphone Industry by 2027?,0.15,Will Samsung Maintain the Largest Market Share in the Smartphone Industry by 2027?,0.65,"Will Both Apple Achieve 50% Market Share and Samsung Maintain the Largest Market Share in the Smartphone Industry by 2027? Body: Will both of the following occur by December 31, 2027, as reported by Gartner or IDC: (a) Apple Inc. achieves at least a 50% market share in the global smartphone industry, and (b) Samsung Electronics retains its position as the company with the largest market share in the global smartphone industry?",0.01,0.0
and,Will Elon Musk Launch a Manned Mission to Mars by 2028?,0.25,Will NASA Land Astronauts on Mars by 2028?,0.15,"Will Both SpaceX and NASA Successfully Send Humans to Mars by 2028? Body: Will both of the following occur: (a) SpaceX, led by Elon Musk, successfully launches a manned mission to Mars by November 30, 2028, as announced through official SpaceX press releases, and (b) NASA successfully lands astronauts on Mars by November 30, 2028, as confirmed by NASA's official communications? Resolution criteria: Both events must occur as specified for the answer to be YES.",0.05,0.0
and,Will the Next FIFA World Cup Be Won by Brazil in 2026?,0.18,Will Germany Win the Next FIFA World Cup in 2026?,0.1,"Will Both Brazil and Germany Win the FIFA World Cup in 2026? Body: Will both of the following occur: (a) The Brazilian national football team wins the FIFA World Cup held in 2026, as determined by the final match results published by FIFA on July 15, 2026, and (b) The German national football team wins the FIFA World Cup held in 2026, as determined by the final match results published by FIFA on July 15, 2026?",0.0,0.0
and,Will Tesla Achieve Carbon Neutrality by 2025?,0.45,Will General Motors Achieve Carbon Neutrality by 2025?,0.15,Will Both Tesla and General Motors Achieve Carbon Neutrality by 2025?,0.1,0.0
and,Will Netflix Release More Than 50 Original Movies in 2026?,0.85,Will Amazon Prime Video Release More Than 50 Original Movies in 2026?,0.65,"Will Both Netflix and Amazon Prime Video Release More Than 50 Original Movies in 2026? Body: Will both of the following occur: (a) Netflix distributes more than 50 original movies on its platform by December 31, 2026, as reported in its annual content release summary, and (b) Amazon Prime Video distributes more than 50 original movies on its platform by December 31, 2026, as reported in its annual content release summary? The resolution criteria for each component are based on the respective annual content release summaries of Netflix and Amazon Prime Video for the year 2026.",0.75,0.1549895147545551
and,Will Canada Legalize Recreational Cannabis Nationwide by 2025?,1.0,Will Germany Legalize Recreational Cannabis Nationwide by 2025?,0.65,"Will Both Canada and Germany Legalize Recreational Cannabis Nationwide by 2025? Body: Will both of the following occur: (a) The Canadian government enacts nationwide legalization of recreational cannabis by April 1, 2025, as documented in federal legislative records. (b) The German government enacts nationwide legalization of recreational cannabis by April 1, 2025, as documented in federal legislative records?",0.65,0.0
and,Will the Kyoto Protocol's Emission Targets Be Met Globally by 2026?,0.15,Will the Paris Agreement's Emission Targets Be Surpassed Globally by 2026?,0.75,"Will both the Kyoto Protocol's Emission Targets Be Met and the Paris Agreement's Emission Targets Be Surpassed Globally by 2026? Body: Will both of the following occur by December 31, 2026, as reported by the United Nations Framework Convention on Climate Change (UNFCCC): (a) Global greenhouse gas emissions meet or fall below the Kyoto Protocol's targets? (b) Global greenhouse gas emissions exceed the Paris Agreement's targets?",0.15,0.0
and,Will Apple Launch Its AR Glasses to the Public by 2027?,0.75,Will Google Launch Its AR Glasses to the Public by 2027?,0.65,"Will Both Apple and Google Launch Their AR Glasses to the Public by 2027? Body: Will both of the following occur: (a) Apple Inc. officially launches its augmented reality (AR) glasses to the consumer market by September 1, 2027, as announced through official Apple events or press releases, and (b) Google LLC officially launches its augmented reality (AR) glasses to the consumer market by September 1, 2027, as announced through official Google events or press releases? Resolution criteria: Both companies must make official announcements through their respective events or press releases confirming the launch of their AR glasses to the consumer market by the specified date.",0.65,0.0
