check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
andor,"Will a major nation-state fragment into multiple sovereign states by 2030?

Will any of the current G20 countries officially fragment into two or more independent sovereign states recognized by the United Nations by December 31, 2030? Resolution will be based on official UN membership records.",0.15,"Will a new global governance structure replace the United Nations by 2030?

Will an international agreement lead to the replacement of the United Nations with a new global governance organization by December 31, 2030? Resolution will be determined by official international treaties and the dissolution or replacement announcements from the UN.",0.05,"Will both a major nation-state fragment into multiple sovereign states and a new global governance structure replace the United Nations by 2030? Body: Will both of the following occur by December 31, 2030: (a) Any of the current G20 countries officially fragment into two or more independent sovereign states recognized by the United Nations? Resolution will be based on official UN membership records. (b) An international agreement lead to the replacement of the United Nations with a new global governance organization? Resolution will be determined by official international treaties and the dissolution or replacement announcements from the UN.

Will both of the following occur by December 31, 2030: (a) Any of the current G20 countries officially fragment into two or more independent sovereign states recognized by the United Nations? Resolution will be based on official UN membership records. (b) An international agreement lead to the replacement of the United Nations with a new global governance organization? Resolution will be determined by official international treaties and the dissolution or replacement announcements from the UN.",0.05,"Will either a major nation-state fragment or a new global governance structure replace the United Nations by 2030? Body: Will either of the following occur by December 31, 2030: (a) Any of the current G20 countries officially fragment into two or more independent sovereign states recognized by the United Nations? Resolution will be based on official UN membership records. (b) An international agreement lead to the replacement of the United Nations with a new global governance organization? Resolution will be determined by official international treaties and the dissolution or replacement announcements from the UN.

Will either of the following occur by December 31, 2030: (a) Any of the current G20 countries officially fragment into two or more independent sovereign states recognized by the United Nations? Resolution will be based on official UN membership records. (b) An international agreement lead to the replacement of the United Nations with a new global governance organization? Resolution will be determined by official international treaties and the dissolution or replacement announcements from the UN.",0.1,0.08929995329613664
andor,"Will the first human expedition set foot on Mars by 2035?

Will astronauts land on the surface of Mars as part of an official space mission by any nation or private entity by December 31, 2035? Resolution will be based on official space agency or company announcements and confirmation from reputable news sources.",0.35,"Will a permanent human settlement be established on the Moon by 2035?

Will there be a continuous human presence on the Moon, with at least one inhabited lunar base operational for more than one year, by December 31, 2035? Resolution will be based on official announcements from space agencies and verification from reputable news sources.",0.35,"Will both a human expedition land on Mars and a permanent settlement be established on the Moon by 2035? Body: Will both of the following occur by December 31, 2035: (a) Astronauts land on the surface of Mars as part of an official space mission by any nation or private entity, with resolution based on official space agency or company announcements and confirmation from reputable news sources. (b) A continuous human presence is established on the Moon, with at least one inhabited lunar base operational for more than one year, with resolution based on official announcements from space agencies and verification from reputable news sources.

Will both of the following occur by December 31, 2035: (a) Astronauts land on the surface of Mars as part of an official space mission by any nation or private entity, with resolution based on official space agency or company announcements and confirmation from reputable news sources. (b) A continuous human presence is established on the Moon, with at least one inhabited lunar base operational for more than one year, with resolution based on official announcements from space agencies and verification from reputable news sources.",0.25,"Will either a human expedition land on Mars or a permanent settlement be established on the Moon by 2035? Body: Will either of the following occur by December 31, 2035: (a) Astronauts land on the surface of Mars as part of an official space mission by any nation or private entity, with resolution based on official space agency or company announcements and confirmation from reputable news sources. (b) A continuous human presence is established on the Moon, with at least one inhabited lunar base operational for more than one year, with resolution based on official announcements from space agencies and verification from reputable news sources.

Will either of the following occur by December 31, 2035: (a) Astronauts land on the surface of Mars as part of an official space mission by any nation or private entity, with resolution based on official space agency or company announcements and confirmation from reputable news sources. (b) A continuous human presence is established on the Moon, with at least one inhabited lunar base operational for more than one year, with resolution based on official announcements from space agencies and verification from reputable news sources.",0.55,0.1059402876939548
andor,"Will a significant shift in global economic dominance favor Africa by 2050?

Will African nations collectively surpass the GDP of current G7 countries by December 31, 2050, as reported by the World Bank or International Monetary Fund? Resolution will be based on official economic data.",0.1,"Will a single African currency be adopted by a majority of African Union members by 2050?

Will more than 50% of the African Union member countries officially adopt a single shared currency by December 31, 2050? Resolution will be determined by official government and African Union announcements.",0.25,"Will both a significant shift in global economic dominance favor Africa and a single African currency be adopted by a majority of African Union members by 2050? Body: Will both of the following occur by December 31, 2050: (a) African nations collectively surpass the GDP of current G7 countries, as reported by the World Bank or International Monetary Fund, based on official economic data? (b) More than 50% of the African Union member countries officially adopt a single shared currency, as determined by official government and African Union announcements?

Will both of the following occur by December 31, 2050: (a) African nations collectively surpass the GDP of current G7 countries, as reported by the World Bank or International Monetary Fund, based on official economic data? (b) More than 50% of the African Union member countries officially adopt a single shared currency, as determined by official government and African Union announcements?",0.1,"Will either a significant shift in global economic dominance favor Africa or a single African currency be adopted by a majority of African Union members by 2050? Body: Will either of the following occur by December 31, 2050: (a) African nations collectively surpass the GDP of current G7 countries, as reported by the World Bank or International Monetary Fund? Resolution will be based on official economic data. (b) More than 50% of the African Union member countries officially adopt a single shared currency? Resolution will be determined by official government and African Union announcements.

Will either of the following occur by December 31, 2050: (a) African nations collectively surpass the GDP of current G7 countries, as reported by the World Bank or International Monetary Fund? Resolution will be based on official economic data. (b) More than 50% of the African Union member countries officially adopt a single shared currency? Resolution will be determined by official government and African Union announcements.",0.15,0.14199045856176615
andor,"Will a new global philosophy of 'digital ethics' emerge as the dominant ethical framework by 2035?

Will 'digital ethics' become the primary ethical framework taught in over 70% of philosophy departments worldwide by December 31, 2035? Resolution will be based on academic curriculum surveys and educational reports.",0.25,"Will there be a globally ratified 'Digital Bill of Rights' by 2035?

Will a majority of UN member states ratify an international agreement constituting a 'Digital Bill of Rights' protecting digital privacy and data ownership by December 31, 2035? Resolution will be based on official UN records and international law documentation.",0.35,"Will both a new global philosophy of 'digital ethics' emerge as the dominant ethical framework and a 'Digital Bill of Rights' be globally ratified by 2035? Body: Will both of the following occur by December 31, 2035: (a) 'Digital ethics' becomes the primary ethical framework taught in over 70% of philosophy departments worldwide, as determined by academic curriculum surveys and educational reports. (b) A majority of UN member states ratify an international agreement constituting a 'Digital Bill of Rights' protecting digital privacy and data ownership, as verified by official UN records and international law documentation.

Will both of the following occur by December 31, 2035: (a) 'Digital ethics' becomes the primary ethical framework taught in over 70% of philosophy departments worldwide, as determined by academic curriculum surveys and educational reports. (b) A majority of UN member states ratify an international agreement constituting a 'Digital Bill of Rights' protecting digital privacy and data ownership, as verified by official UN records and international law documentation.",0.15,"Will either a new global philosophy of 'digital ethics' emerge as the dominant ethical framework or a 'Digital Bill of Rights' be globally ratified by 2035?

Will either of the following occur by December 31, 2035: 

(a) 'Digital ethics' becomes the primary ethical framework taught in over 70% of philosophy departments worldwide. This will be resolved based on academic curriculum surveys and educational reports.

(b) A majority of UN member states ratify an international agreement constituting a 'Digital Bill of Rights' protecting digital privacy and data ownership. This will be resolved based on official UN records and international law documentation.",0.35,0.11388664808568193
andor,"Will a new religious movement surpass 100 million global adherents by 2035?

Will a religious movement established after 2020 have over 100 million followers worldwide by December 31, 2035? Resolution will be based on demographic studies and reports from reputable research institutions.",0.05,"Will secularism become the majority stance in over 50% of countries by 2035?

Will surveys and studies show that more than half of the population in over 50% of countries identify as non-religious or secular by December 31, 2035? Resolution will be based on global surveys and research data.",0.35,,0.5,,0.5,0.6811149137797498
but,"Will a human brain be successfully uploaded and emulated digitally by 2040?

Will neuroscientists and technologists successfully create a digital emulation of a human brain that demonstrates consciousness by December 31, 2040? Resolution will be based on publications in peer-reviewed scientific journals confirming such an achievement.",0.15,"Will both a human brain fail to be successfully uploaded and emulated digitally by 2040 AND global bioethics regulations be established restricting human cognitive enhancement by 2040? Body: Will both of the following occur by December 31, 2040: (a) Neuroscientists and technologists fail to create a digital emulation of a human brain that demonstrates consciousness, with resolution based on the absence of publications in peer-reviewed scientific journals confirming such an achievement. (b) An international treaty or agreement is ratified by major world powers establishing regulations that restrict human cognitive enhancement technologies, with resolution based on official treaty documents and government records.

Will both of the following occur by December 31, 2040: (a) Neuroscientists and technologists fail to create a digital emulation of a human brain that demonstrates consciousness, with resolution based on the absence of publications in peer-reviewed scientific journals confirming such an achievement. (b) An international treaty or agreement is ratified by major world powers establishing regulations that restrict human cognitive enhancement technologies, with resolution based on official treaty documents and government records.",0.65,"Will either a human brain be successfully uploaded and emulated digitally or global bioethics regulations be established restricting human cognitive enhancement by 2040?

Will either of the following occur by December 31, 2040: 

(a) Neuroscientists and technologists successfully create a digital emulation of a human brain that demonstrates consciousness, as confirmed by publications in peer-reviewed scientific journals. 

(b) An international treaty or agreement is ratified by major world powers establishing regulations that restrict human cognitive enhancement technologies, as confirmed by official treaty documents and government records.",0.35,,,0.5891041519116005
but,"Will a universal basic income (UBI) program be implemented nationwide in any G7 country by 2030?

Will any G7 member country officially implement a nationwide universal basic income program available to all citizens by December 31, 2030? Resolution will be based on official government policy announcements and legislation.",0.25,"Will all G7 countries fail to implement a nationwide UBI program and will global unemployment rates exceed 25% due to automation by 2030?

Will both of the following occur by December 31, 2030: (a) All G7 member countries fail to officially implement a nationwide universal basic income program available to all citizens, with resolution based on the absence of official government policy announcements and legislation regarding such a program in any G7 country; and (b) The International Labour Organization reports that the global unemployment rate has surpassed 25%, primarily attributed to automation and AI technologies, with resolution based on official ILO reports.",0.15,"Will either a G7 country implement a nationwide UBI program or global unemployment rates exceed 25% due to automation by 2030?

Will either of the following occur by December 31, 2030: (a) Any G7 member country officially implements a nationwide universal basic income program available to all citizens, based on official government policy announcements and legislation, or (b) The International Labour Organization reports that the global unemployment rate has surpassed 25%, primarily attributed to automation and AI technologies, based on official ILO reports?",0.15,,,0.375399073636357
but,"Will there be a globally binding agreement to phase out coal power by 2040?

Will an international treaty be ratified by countries accounting for over 80% of current coal consumption, committing to a complete phase-out of coal power generation by December 31, 2040? Resolution will be based on official treaty documents and ratification records.",0.25,"Will there fail to be a globally binding agreement to phase out coal power by 2040 AND will global energy demands outpace renewable energy capacity by 2040?

Will both of the following occur by December 31, 2040: (a) No international treaty is ratified by countries accounting for over 80% of current coal consumption, committing to a complete phase-out of coal power generation. Resolution will be based on official treaty documents and ratification records. (b) Reports from the International Energy Agency indicate that, despite growth in renewables, global energy demand has outpaced renewable capacity, leading to increased use of fossil fuels. Resolution will be based on official IEA reports.",0.65,"Will either a globally binding agreement to phase out coal power be ratified or will global energy demands outpace renewable energy capacity by 2040?

Will either of the following occur by December 31, 2040: (a) An international treaty be ratified by countries accounting for over 80% of current coal consumption, committing to a complete phase-out of coal power generation? Resolution will be based on official treaty documents and ratification records. (b) Reports from the International Energy Agency indicate that, despite growth in renewables, global energy demand has outpaced renewable capacity, leading to increased use of fossil fuels? Resolution will be based on official IEA reports.",0.75,,,0.1930868163320824
but,"Will English lose its status as the most commonly spoken second language by 2050?

Will statistical reports indicate that another language has surpassed English as the most commonly spoken second language globally by December 31, 2050? Resolution will be based on data from UNESCO or other linguistic research organizations.",0.15,,0.5,"Will either English lose its status as the most commonly spoken second language or universal translation technology render language learning obsolete by 2050?

Will either of the following occur by December 31, 2050: 

(a) Statistical reports indicate that another language has surpassed English as the most commonly spoken second language globally. Resolution will be based on data from UNESCO or other linguistic research organizations.

(b) Widely adopted technology provides real-time, seamless translation across all major languages, leading to a significant decline in language learning enrollment worldwide. Resolution will be based on educational statistics and technology adoption reports.",0.25,,,0.5316817773513507
but,"Will global population peak and start to decline by 2040?

Will the United Nations report that the global human population has peaked and begun declining before December 31, 2040? Resolution will be based on official UN population reports.",0.15,,0.5,"Will either the global population peak and start to decline by 2040, or will policies incentivizing childbirth be implemented in over 50% of countries by 2040?

Will either of the following occur by December 31, 2040: (a) The United Nations reports that the global human population has peaked and begun declining, based on official UN population reports, or (b) More than half of the world's countries enact national policies offering significant incentives for childbirth (e.g., financial bonuses, tax breaks), based on government policy records and reports from international organizations?",0.35,,,0.38537624665403103
but,"Will a worldwide ban on autonomous lethal weapons be enacted by 2035?

Will a majority of UN member states ratify a binding international treaty banning the development, deployment, and use of autonomous lethal weapons systems by December 31, 2035? Resolution will be based on official UN treaty records.",0.25,,0.5,,0.5,,,0.3012923025259114
cond,"Will a globally recognized AI achieve artificial general intelligence (AGI) by 2035?

Will any artificial intelligence system be officially recognized by leading AI research institutions (e.g., MIT, Stanford AI Lab) as having achieved artificial general intelligence (AGI) by December 31, 2035? Resolution will be based on consensus statements or publications from at least three of such institutions.",0.25,"Given that a globally recognized AI achieves artificial general intelligence (AGI) by 2035, will international law be amended to grant legal personhood to AI entities by 2035?

Given that any artificial intelligence system is officially recognized by leading AI research institutions (e.g., MIT, Stanford AI Lab) as having achieved artificial general intelligence (AGI) by December 31, 2035, this question asks if any major international legal body, such as the United Nations, will officially amend international law to grant legal personhood status to artificial intelligence entities by December 31, 2035. Resolution will be based on official legal documents published by the respective body.",0.25,"Will both a globally recognized AI achieve AGI and international law grant legal personhood to AI entities by 2035?

Will both of the following occur by December 31, 2035: (a) Any artificial intelligence system is officially recognized by leading AI research institutions (e.g., MIT, Stanford AI Lab) as having achieved artificial general intelligence (AGI), with resolution based on consensus statements or publications from at least three such institutions; and (b) Any major international legal body, such as the United Nations, officially amends international law to grant legal personhood status to artificial intelligence entities, with resolution based on official legal documents published by the respective body.",0.05,,,0.0466049817795529
