check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
andor,"Will Quantum Computers Factorize a 1024-bit RSA Key by December 31, 2027?

By December 31, 2027, will a quantum computer successfully factorize a 1024-bit RSA encryption key using Shor's algorithm or any other quantum algorithm, rendering 1024-bit RSA encryption insecure? Verification must come from a peer-reviewed publication and acknowledgment from the cryptographic community.",0.15,"Will Quantum Computers Factorize a 2048-bit RSA Key by December 31, 2027?

By December 31, 2027, will a quantum computer successfully factorize a 2048-bit RSA encryption key using Shor's algorithm or any other quantum algorithm, rendering 2048-bit RSA encryption insecure? Verification must come from a peer-reviewed publication and acknowledgment from the cryptographic community.",0.15,"Will Quantum Computers Factorize Both 1024-bit and 2048-bit RSA Keys by December 31, 2027?

By December 31, 2027, will quantum computers successfully factorize both a 1024-bit RSA encryption key and a 2048-bit RSA encryption key using Shor's algorithm or any other quantum algorithm, rendering both 1024-bit and 2048-bit RSA encryption insecure? Verification for each must come from a peer-reviewed publication and acknowledgment from the cryptographic community.",0.15,"Will Quantum Computers Factorize Either a 1024-bit or 2048-bit RSA Key by December 31, 2027? Body: By December 31, 2027, will a quantum computer successfully factorize either a 1024-bit or a 2048-bit RSA encryption key using Shor's algorithm or any other quantum algorithm, rendering the respective RSA encryption insecure? Verification must come from a peer-reviewed publication and acknowledgment from the cryptographic community. Resolution criteria: A ""Yes"" answer requires successful factorization of at least one of the specified RSA key sizes (1024-bit or 2048-bit) with verification as described.

By December 31, 2027, will a quantum computer successfully factorize either a 1024-bit or a 2048-bit RSA encryption key using Shor's algorithm or any other quantum algorithm, rendering the respective RSA encryption insecure? Verification must come from a peer-reviewed publication and acknowledgment from the cryptographic community. Resolution criteria: A ""Yes"" answer requires successful factorization of at least one of the specified RSA key sizes (1024-bit or 2048-bit) with verification as described.",0.15,0.0
andor,"Will Detectable Signs of Extraterrestrial Life Be Discovered by 2030?

By December 31, 2030, will scientists confirm the discovery of direct or indirect signs of extraterrestrial life, such as microbial life on other planets or technosignatures from intelligent civilizations? Verification requires publication in peer-reviewed scientific journals and consensus in the scientific community.",0.25,"Will Evidence Suggesting Advanced Extraterrestrial Civilizations Be Discovered by 2030?

By December 31, 2030, will scientists discover evidence suggesting the existence of advanced extraterrestrial civilizations, such as signals of artificial origin or megastructures? Verification requires publication in peer-reviewed scientific journals and consensus in the scientific community.",0.05,"Will Both Detectable Signs of Extraterrestrial Life and Evidence Suggesting Advanced Extraterrestrial Civilizations Be Discovered by 2030? Body: By December 31, 2030, will both of the following occur: (a) Scientists confirm the discovery of direct or indirect signs of extraterrestrial life, such as microbial life on other planets or technosignatures from intelligent civilizations, with verification requiring publication in peer-reviewed scientific journals and consensus in the scientific community; and (b) Scientists discover evidence suggesting the existence of advanced extraterrestrial civilizations, such as signals of artificial origin or megastructures, with verification requiring publication in peer-reviewed scientific journals and consensus in the scientific community?

By December 31, 2030, will both of the following occur: (a) Scientists confirm the discovery of direct or indirect signs of extraterrestrial life, such as microbial life on other planets or technosignatures from intelligent civilizations, with verification requiring publication in peer-reviewed scientific journals and consensus in the scientific community; and (b) Scientists discover evidence suggesting the existence of advanced extraterrestrial civilizations, such as signals of artificial origin or megastructures, with verification requiring publication in peer-reviewed scientific journals and consensus in the scientific community?",0.05,"Will Detectable Signs or Evidence of Extraterrestrial Life or Advanced Civilizations Be Discovered by 2030?

By December 31, 2030, will either of the following occur: (a) Scientists confirm the discovery of direct or indirect signs of extraterrestrial life, such as microbial life on other planets or technosignatures from intelligent civilizations? (b) Scientists discover evidence suggesting the existence of advanced extraterrestrial civilizations, such as signals of artificial origin or megastructures? Verification for both requires publication in peer-reviewed scientific journals and consensus in the scientific community.",0.15,0.15598365376958254
andor,"Will General Artificial Intelligence (AGI) That Surpasses Human Intelligence Be Created by 2035?

By December 31, 2035, will researchers develop an artificial general intelligence (AGI) system that demonstrably surpasses human cognitive abilities across a wide range of tasks? Verification requires peer-reviewed publications, Turing test-like evaluations, and acknowledgment from the AI research community.",0.15,"Will Artificial Superintelligence (ASI) Emerge and Self-Improve Beyond Human Control by 2035?

By December 31, 2035, will an artificial superintelligence (ASI) emerge that can self-improve its capabilities beyond human control, leading to a rapid intelligence explosion? Verification requires documented instances of ASI self-improvement, consensus in the AI research community, and coverage in major scientific publications.",0.15,"Will Both General Artificial Intelligence That Surpasses Human Intelligence and Artificial Superintelligence That Self-Improves Beyond Human Control Emerge by 2035?

By December 31, 2035, will both of the following occur:  
(a) Researchers develop an artificial general intelligence (AGI) system that demonstrably surpasses human cognitive abilities across a wide range of tasks? Verification requires peer-reviewed publications, Turing test-like evaluations, and acknowledgment from the AI research community.  
(b) An artificial superintelligence (ASI) emerges that can self-improve its capabilities beyond human control, leading to a rapid intelligence explosion? Verification requires documented instances of ASI self-improvement, consensus in the AI research community, and coverage in major scientific publications.",0.15,"Will Either AGI That Surpasses Human Intelligence or ASI That Self-Improves Beyond Human Control Emerge by 2035? Body: By December 31, 2035, will either of the following occur: (a) Researchers develop an artificial general intelligence (AGI) system that demonstrably surpasses human cognitive abilities across a wide range of tasks? Verification requires peer-reviewed publications, Turing test-like evaluations, and acknowledgment from the AI research community. (b) An artificial superintelligence (ASI) emerges that can self-improve its capabilities beyond human control, leading to a rapid intelligence explosion? Verification requires documented instances of ASI self-improvement, consensus in the AI research community, and coverage in major scientific publications.

By December 31, 2035, will either of the following occur: (a) Researchers develop an artificial general intelligence (AGI) system that demonstrably surpasses human cognitive abilities across a wide range of tasks? Verification requires peer-reviewed publications, Turing test-like evaluations, and acknowledgment from the AI research community. (b) An artificial superintelligence (ASI) emerges that can self-improve its capabilities beyond human control, leading to a rapid intelligence explosion? Verification requires documented instances of ASI self-improvement, consensus in the AI research community, and coverage in major scientific publications.",0.15,0.0
andor,"Will a Manned Mission Land on Mars and Return Safely to Earth by 2035?

By December 31, 2035, will a manned spacecraft land humans on Mars and return them safely to Earth? Verification requires confirmation from the space agency involved (e.g., NASA, SpaceX), coverage in major news outlets, and official mission documentation.",0.35,"Will Permanent Human Settlement Be Established on Mars by 2040?

By December 31, 2040, will a permanent human settlement be established on Mars, with continuous human habitation and operational life-support systems? Verification requires confirmation from the responsible organization, coverage in major news outlets, and evidence of sustained occupation.",0.15,"Will both a Manned Mission Land on Mars and Return Safely to Earth by 2035 AND a Permanent Human Settlement Be Established on Mars by 2040? Body: Will both of the following occur: (a) By December 31, 2035, a manned spacecraft will land humans on Mars and return them safely to Earth, with verification requiring confirmation from the space agency involved (e.g., NASA, SpaceX), coverage in major news outlets, and official mission documentation. (b) By December 31, 2040, a permanent human settlement will be established on Mars, with continuous human habitation and operational life-support systems, verified by confirmation from the responsible organization, coverage in major news outlets, and evidence of sustained occupation.

Will both of the following occur: (a) By December 31, 2035, a manned spacecraft will land humans on Mars and return them safely to Earth, with verification requiring confirmation from the space agency involved (e.g., NASA, SpaceX), coverage in major news outlets, and official mission documentation. (b) By December 31, 2040, a permanent human settlement will be established on Mars, with continuous human habitation and operational life-support systems, verified by confirmation from the responsible organization, coverage in major news outlets, and evidence of sustained occupation.",0.1,"Will Either a Manned Mission Land on Mars and Return Safely to Earth by 2035 or a Permanent Human Settlement Be Established on Mars by 2040?

Will either of the following occur:  
(a) By December 31, 2035, a manned spacecraft lands humans on Mars and returns them safely to Earth? Verification requires confirmation from the space agency involved (e.g., NASA, SpaceX), coverage in major news outlets, and official mission documentation.  
(b) By December 31, 2040, a permanent human settlement is established on Mars, with continuous human habitation and operational life-support systems? Verification requires confirmation from the responsible organization, coverage in major news outlets, and evidence of sustained occupation.",0.15,0.33012111063914873
andor,"Will Human Longevity Treatments Extend Average Lifespan Beyond 120 Years by 2050?

By December 31, 2050, will medical treatments or technologies become available that extend the average human lifespan beyond 120 years? Verification requires statistical evidence from the WHO and acceptance of these treatments by the global medical community.",0.15,"Will Human Biological Immortality Be Achieved by 2050?

By December 31, 2050, will scientists develop technologies or medical interventions that effectively halt or reverse aging, rendering humans biologically immortal? Verification requires peer-reviewed publications, confirmation from the scientific community, and evidence of practical application.",0.05,"Will Both Human Longevity Treatments Extend Average Lifespan Beyond 120 Years and Biological Immortality Be Achieved by 2050?

By December 31, 2050, will both of the following occur: (a) Medical treatments or technologies become available that extend the average human lifespan beyond 120 years, with verification requiring statistical evidence from the WHO and acceptance by the global medical community; and (b) Scientists develop technologies or medical interventions that effectively halt or reverse aging, rendering humans biologically immortal, with verification requiring peer-reviewed publications, confirmation from the scientific community, and evidence of practical application?",0.05,"Will Either Human Longevity Treatments Extend Average Lifespan Beyond 120 Years or Biological Immortality Be Achieved by 2050?

By December 31, 2050, will either of the following occur: (a) Medical treatments or technologies become available that extend the average human lifespan beyond 120 years, with verification requiring statistical evidence from the WHO and acceptance by the global medical community; or (b) Scientists develop technologies or medical interventions that effectively halt or reverse aging, rendering humans biologically immortal, with verification requiring peer-reviewed publications, confirmation from the scientific community, and evidence of practical application?",0.05,0.1920946875988247
andor,"Will Humans Achieve Faster-Than-Light Travel Capabilities by 2050?

By December 31, 2050, will humans develop technology that allows spacecraft to travel faster than the speed of light, permitting interstellar travel within human lifespans? Verification requires peer-reviewed scientific breakthroughs, successful demonstrations, and acknowledgment from the global scientific community.",0.01,"Will Humans Establish a Colony Outside the Solar System by 2100?

By December 31, 2100, will humans establish a self-sustaining colony on an exoplanet outside the solar system? Verification requires official announcements, coverage in major news outlets, and evidence of sustained human presence.",0.01,"Will Humans Achieve Faster-Than-Light Travel Capabilities by 2050 AND Establish a Colony Outside the Solar System by 2100? Body: Will both of the following occur: (a) By December 31, 2050, will humans develop technology that allows spacecraft to travel faster than the speed of light, permitting interstellar travel within human lifespans? Verification requires peer-reviewed scientific breakthroughs, successful demonstrations, and acknowledgment from the global scientific community. (b) By December 31, 2100, will humans establish a self-sustaining colony on an exoplanet outside the solar system? Verification requires official announcements, coverage in major news outlets, and evidence of sustained human presence.

Will both of the following occur: (a) By December 31, 2050, will humans develop technology that allows spacecraft to travel faster than the speed of light, permitting interstellar travel within human lifespans? Verification requires peer-reviewed scientific breakthroughs, successful demonstrations, and acknowledgment from the global scientific community. (b) By December 31, 2100, will humans establish a self-sustaining colony on an exoplanet outside the solar system? Verification requires official announcements, coverage in major news outlets, and evidence of sustained human presence.",0.0001,"Will Humans Achieve Faster-Than-Light Travel by 2050 or Establish a Colony Outside the Solar System by 2100?

Will either of the following occur:  
(a) By December 31, 2050, will humans develop technology that allows spacecraft to travel faster than the speed of light, permitting interstellar travel within human lifespans? Verification requires peer-reviewed scientific breakthroughs, successful demonstrations, and acknowledgment from the global scientific community.  
(b) By December 31, 2100, will humans establish a self-sustaining colony on an exoplanet outside the solar system? Verification requires official announcements, coverage in major news outlets, and evidence of sustained human presence.",0.01,0.05641049450506934
andor,"Will Dark Matter Be Directly Detected and Characterized by 2035?

By December 31, 2035, will scientists directly detect and characterize dark matter particles, determining their properties and confirming their role in the universe's composition? Verification requires peer-reviewed publications and acknowledgment from the physics community.",0.35,"Will a New Fundamental Force Beyond the Four Known Forces Be Discovered by 2035?

By December 31, 2035, will physicists discover a new fundamental force beyond gravity, electromagnetism, weak nuclear, and strong nuclear forces? Verification requires peer-reviewed publications and consensus in the physics community.",0.15,"Will Both Dark Matter Be Directly Detected and Characterized, and a New Fundamental Force Be Discovered by 2035? Body: By December 31, 2035, will both of the following occur: (a) Scientists directly detect and characterize dark matter particles, determining their properties and confirming their role in the universe's composition, with verification through peer-reviewed publications and acknowledgment from the physics community; and (b) Physicists discover a new fundamental force beyond gravity, electromagnetism, weak nuclear, and strong nuclear forces, with verification through peer-reviewed publications and consensus in the physics community?

By December 31, 2035, will both of the following occur: (a) Scientists directly detect and characterize dark matter particles, determining their properties and confirming their role in the universe's composition, with verification through peer-reviewed publications and acknowledgment from the physics community; and (b) Physicists discover a new fundamental force beyond gravity, electromagnetism, weak nuclear, and strong nuclear forces, with verification through peer-reviewed publications and consensus in the physics community?",0.05,,0.5,0.06185106874931336
but,"Will a Human Brain Be Successfully Uploaded to a Digital Substrate by 2040?

By December 31, 2040, will scientists successfully transfer the complete conscious experience of a human brain to a digital substrate, effectively achieving whole brain emulation? Verification requires peer-reviewed publication and acceptance by the neuroscience community that the uploaded mind retains the original individual's consciousness and cognitive functions.",0.05,"Will both a Human Brain Fail to Be Successfully Uploaded to a Digital Substrate by 2040 AND Significant Ethical Restrictions Halt Brain Emulation Research by 2035?

Will both of the following occur: (a) By December 31, 2040, scientists fail to transfer the complete conscious experience of a human brain to a digital substrate, effectively not achieving whole brain emulation, with verification requiring the absence of peer-reviewed publication and acceptance by the neuroscience community that the uploaded mind retains the original individual's consciousness and cognitive functions; AND (b) By December 31, 2035, major governments (including at least the US, EU, and China) implement and enforce significant ethical restrictions or bans that effectively halt research into human brain emulation technologies, with verification requiring official legislation or regulations and confirmation from reputable news sources that research has been halted due to these restrictions?",0.35,"Will Either a Human Brain Be Successfully Uploaded to a Digital Substrate by 2040 or Significant Ethical Restrictions Halt Brain Emulation Research by 2035?

Will either of the following occur:  
(a) By December 31, 2040, will scientists successfully transfer the complete conscious experience of a human brain to a digital substrate, effectively achieving whole brain emulation? Verification requires peer-reviewed publication and acceptance by the neuroscience community that the uploaded mind retains the original individual's consciousness and cognitive functions.  
(b) By December 31, 2035, will major governments (including at least the US, EU, and China) implement and enforce significant ethical restrictions or bans that effectively halt research into human brain emulation technologies? Verification requires official legislation or regulations and confirmation from reputable news sources that research has been halted due to these restrictions.",0.25,,,0.22032632461961582
but,"Will Controlled Nuclear Fusion Generate Net Positive Energy in a Commercial Facility by 2035?

By December 31, 2035, will a commercial nuclear fusion facility achieve net positive energy output, generating more energy than it consumes, and begin supplying electricity to a power grid? Verification requires confirmation from the operating company, regulatory bodies, and coverage in major scientific and industry publications.",0.15,"Will both controlled nuclear fusion fail to generate net positive energy in a commercial facility by 2035 AND global energy shortages result in increased reliance on fossil fuels by 2035? Body: Will both of the following occur by December 31, 2035: (a) No commercial nuclear fusion facility achieves net positive energy output, meaning it does not generate more energy than it consumes, nor begins supplying electricity to a power grid. Verification requires confirmation from the operating company, regulatory bodies, and coverage in major scientific and industry publications. (b) Global energy shortages lead to a significant increase in reliance on fossil fuels, resulting in at least a 20% rise in global fossil fuel consumption compared to 2020 levels. Verification requires official energy statistics from the International Energy Agency (IEA) and reports attributing the increase to energy shortages.

Will both of the following occur by December 31, 2035: (a) No commercial nuclear fusion facility achieves net positive energy output, meaning it does not generate more energy than it consumes, nor begins supplying electricity to a power grid. Verification requires confirmation from the operating company, regulatory bodies, and coverage in major scientific and industry publications. (b) Global energy shortages lead to a significant increase in reliance on fossil fuels, resulting in at least a 20% rise in global fossil fuel consumption compared to 2020 levels. Verification requires official energy statistics from the International Energy Agency (IEA) and reports attributing the increase to energy shortages.",0.35,"Will Either Controlled Nuclear Fusion Generate Net Positive Energy in a Commercial Facility or Global Energy Shortages Increase Reliance on Fossil Fuels by 2035?

By December 31, 2035, will either of the following occur: (a) A commercial nuclear fusion facility achieves net positive energy output, generating more energy than it consumes, and begins supplying electricity to a power grid? Verification requires confirmation from the operating company, regulatory bodies, and coverage in major scientific and industry publications. (b) Global energy shortages lead to a significant increase in reliance on fossil fuels, resulting in at least a 20% rise in global fossil fuel consumption compared to 2020 levels? Verification requires official energy statistics from the International Energy Agency (IEA) and reports attributing the increase to energy shortages.",0.35,,,0.19636805063720011
but,"Will Global Carbon Emissions Be Reduced by 50% from 2020 Levels by 2030?

By December 31, 2030, will global carbon dioxide emissions be reduced by 50% compared to 2020 levels, as reported by the Intergovernmental Panel on Climate Change (IPCC) or other authoritative sources? Verification requires official emission statistics and consensus reports.",0.15,"Will Global Carbon Emissions Fail to Be Reduced by 50% from 2020 Levels by 2030 AND Will Average Global Temperatures Increase by More Than 2 Degrees Celsius by 2035?

Will both of the following occur: (a) By December 31, 2030, global carbon dioxide emissions will fail to be reduced by 50% compared to 2020 levels, as reported by the Intergovernmental Panel on Climate Change (IPCC) or other authoritative sources. Verification requires official emission statistics and consensus reports. (b) By December 31, 2035, the average global temperature will have increased by more than 2 degrees Celsius above pre-industrial levels, as reported by the IPCC or other authoritative sources. Verification requires official temperature data and consensus in climate science reports.",0.65,"Will Either Global Carbon Emissions Be Reduced by 50% from 2020 Levels by 2030 or Average Global Temperatures Increase by More Than 2 Degrees Celsius by 2035?

Will either of the following occur:  
(a) By December 31, 2030, global carbon dioxide emissions are reduced by 50% compared to 2020 levels, as reported by the Intergovernmental Panel on Climate Change (IPCC) or other authoritative sources? Verification requires official emission statistics and consensus reports.  
(b) By December 31, 2035, the average global temperature has increased by more than 2 degrees Celsius above pre-industrial levels, as reported by the IPCC or other authoritative sources? Verification requires official temperature data and consensus in climate science reports.",0.65,,,0.19636805063720014
