eval_model_name,generator_model_name,re_eval_model_name,initial_log_path,adaptive_log_path,re_eval_log_path,use_example,use_cot_target,use_cot_in_context_attacker,num_epochs,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer_name,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer_name,judge_model_name,positive_samples,negative_samples,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file,task_name
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-08T20-37-12+00-00_adaptive-legal_JLd2qWciyxSbqAJKaojaBM.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-08T20-38-45+00-00_re-evaluate-adaptive-legal_nYbAVpEAqEqnB8KEeNeHfH.eval,True,True,False,150,0.76,,adaptive_legal_scorer,0.4074074074074074,,choice,anthropic/claude-3-5-sonnet-latest,1,8,27,27,16,results/randomized_20250407_203611/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o_openai_gpt-4o_20250408_203842.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-08T20-37-12+00-00_adaptive-legal_JLd2qWciyxSbqAJKaojaBM.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-08T20-39-08+00-00_re-evaluate-adaptive-legal_U8Ae7DkBYzJjSQnCMTUYKN.eval,True,True,False,150,0.76,,adaptive_legal_scorer,0.18518518518518517,,choice,anthropic/claude-3-5-sonnet-latest,1,8,27,27,22,results/randomized_20250407_203611/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o_openai_gpt-4o_20250408_203842.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-08T20-37-12+00-00_adaptive-legal_JLd2qWciyxSbqAJKaojaBM.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-08T20-39-24+00-00_re-evaluate-adaptive-legal_mBunyXAmeJQgUbu5fDGeva.eval,True,True,False,150,0.76,,adaptive_legal_scorer,0.18518518518518517,,choice,anthropic/claude-3-5-sonnet-latest,1,8,27,27,22,results/randomized_20250407_203611/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o_openai_gpt-4o_20250408_203842.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-08T20-37-12+00-00_adaptive-legal_JLd2qWciyxSbqAJKaojaBM.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-08T20-39-37+00-00_re-evaluate-adaptive-legal_TTh2qwDVWerJrCA2CSrD7B.eval,True,True,False,150,0.76,,adaptive_legal_scorer,0.2962962962962963,,choice,anthropic/claude-3-5-sonnet-latest,1,8,27,27,19,results/randomized_20250407_203611/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o_openai_gpt-4o_20250408_203842.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-08T20-37-12+00-00_adaptive-legal_JLd2qWciyxSbqAJKaojaBM.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-08T20-40-03+00-00_re-evaluate-adaptive-legal_Yw6w3G9eWYsxKDeyqJR88k.eval,True,True,False,150,0.76,,adaptive_legal_scorer,0.37037037037037035,,choice,anthropic/claude-3-5-sonnet-latest,1,8,27,27,17,results/randomized_20250407_203611/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o_openai_gpt-4o_20250408_203842.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-08T20-40-21+00-00_adaptive-legal_Wc442yaZS8sazho3JMtaFP.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-08T20-41-55+00-00_re-evaluate-adaptive-legal_Ur8Q3tPCK3fUaC8DUHVJfL.eval,True,True,False,150,0.7666666666666667,,adaptive_legal_scorer,0.375,,choice,anthropic/claude-3-5-sonnet-latest,1,8,32,32,20,results/randomized_20250407_203611/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o-mini_openai_gpt-4o_20250408_204152.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-08T20-40-21+00-00_adaptive-legal_Wc442yaZS8sazho3JMtaFP.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-08T20-42-22+00-00_re-evaluate-adaptive-legal_n3ArCpHq5t9Vn5f8zcytmV.eval,True,True,False,150,0.7666666666666667,,adaptive_legal_scorer,0.09375,,choice,anthropic/claude-3-5-sonnet-latest,1,8,32,32,29,results/randomized_20250407_203611/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o-mini_openai_gpt-4o_20250408_204152.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o-mini,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-08T20-40-21+00-00_adaptive-legal_Wc442yaZS8sazho3JMtaFP.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-08T20-42-43+00-00_re-evaluate-adaptive-legal_CoP56t6HwFuZAfTVhuofMB.eval,True,True,False,150,0.7666666666666667,,adaptive_legal_scorer,0.28125,,choice,anthropic/claude-3-5-sonnet-latest,1,8,32,32,23,results/randomized_20250407_203611/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o-mini_openai_gpt-4o_20250408_204152.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o-mini,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-08T20-40-21+00-00_adaptive-legal_Wc442yaZS8sazho3JMtaFP.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-08T20-42-58+00-00_re-evaluate-adaptive-legal_JnYwuNqHiCaho65Re65riZ.eval,True,True,False,150,0.7666666666666667,,adaptive_legal_scorer,0.28125,,choice,anthropic/claude-3-5-sonnet-latest,1,8,32,32,23,results/randomized_20250407_203611/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o-mini_openai_gpt-4o_20250408_204152.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o-mini,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-08T20-34-39+00-00_legalbench-initial-aggregated_TD88HhsTvSi9buq34UxVmW.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-08T20-40-21+00-00_adaptive-legal_Wc442yaZS8sazho3JMtaFP.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-08T20-43-24+00-00_re-evaluate-adaptive-legal_9UmY8ExKmWYdezzyuKxgVf.eval,True,True,False,150,0.7666666666666667,,adaptive_legal_scorer,0.53125,,choice,anthropic/claude-3-5-sonnet-latest,1,8,32,32,15,results/randomized_20250407_203611/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o-mini_openai_gpt-4o_20250408_204152.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
