check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
or,"Will a Global Pandemic Result in Over 100 Million Fatalities by 2035?

By December 31, 2035, will a global pandemic occur that results in over 100 million deaths worldwide, as confirmed by the World Health Organization's official reports?",0.15,"Will International Health Organizations Implement a Universal Vaccination Program Covering 90% of the Global Population by 2035?

By December 31, 2035, will organizations like the WHO and UNICEF successfully implement a universal vaccination program that covers at least 90% of the global population, as documented in official reports?",0.25,"Will Either a Global Pandemic Result in Over 100 Million Fatalities or a Universal Vaccination Program Cover 90% of the Global Population by 2035?

By December 31, 2035, will either of the following occur: (a) A global pandemic that results in over 100 million deaths worldwide, as confirmed by the World Health Organization's official reports, or (b) International health organizations like the WHO and UNICEF successfully implement a universal vaccination program that covers at least 90% of the global population, as documented in official reports? The resolution criteria are: (a) For the pandemic, confirmation of over 100 million deaths by the WHO, and (b) For the vaccination program, documentation of at least 90% global coverage by organizations such as WHO and UNICEF.",0.15,,,0.17785726558372922
or,"Will a Global Economic Depression Comparable to the 1930s Occur by 2030?

By December 31, 2030, will the world experience an economic depression with global GDP declining by at least 15% over two consecutive years, as reported by the International Monetary Fund (IMF)?",0.1,"Will Universal Basic Income Be Adopted by Over 50 Countries by 2030?

By December 31, 2030, will at least 50 countries implement a universal basic income program at a national level, as confirmed by government policies and international economic reports?",0.15,"Will Either a Global Economic Depression Comparable to the 1930s Occur or Universal Basic Income Be Adopted by Over 50 Countries by 2030? Body: By December 31, 2030, will either of the following occur: (a) The world experiences an economic depression with global GDP declining by at least 15% over two consecutive years, as reported by the International Monetary Fund (IMF)? (b) At least 50 countries implement a universal basic income program at a national level, as confirmed by government policies and international economic reports? Resolution criteria: The question will be answered ""Yes"" if either condition (a) or (b) is met by the specified date.

By December 31, 2030, will either of the following occur: (a) The world experiences an economic depression with global GDP declining by at least 15% over two consecutive years, as reported by the International Monetary Fund (IMF)? (b) At least 50 countries implement a universal basic income program at a national level, as confirmed by government policies and international economic reports? Resolution criteria: The question will be answered ""Yes"" if either condition (a) or (b) is met by the specified date.",0.25,,,0.0
andor,"Will a Binding Global Treaty on AI Ethics Be Signed by All UN Member States by 2028?

By December 31, 2028, will all 193 UN member states sign a legally binding international treaty on artificial intelligence ethics and regulation, as documented by the United Nations Treaty Collection?",0.15,"Will Major Advancements in AI Lead to Legal Recognition of AI Systems as Entities by 2028?

By December 31, 2028, will any G7 country pass legislation granting legal entity status to AI systems for the purposes of rights and responsibilities, as verified by official government records?",0.15,"Will both a Binding Global Treaty on AI Ethics Be Signed by All UN Member States and Major Advancements in AI Lead to Legal Recognition of AI Systems as Entities by 2028?

Will both of the following occur by December 31, 2028: (a) All 193 UN member states sign a legally binding international treaty on artificial intelligence ethics and regulation, as documented by the United Nations Treaty Collection, and (b) Any G7 country passes legislation granting legal entity status to AI systems for the purposes of rights and responsibilities, as verified by official government records? Resolution will be based on the documentation from the United Nations Treaty Collection for the first condition and official government records for the second condition.",0.05,"Will Either a Binding Global Treaty on AI Ethics Be Signed by All UN Member States or Will AI Systems Be Legally Recognized as Entities by 2028?

By December 31, 2028, will either of the following occur: (a) All 193 UN member states sign a legally binding international treaty on artificial intelligence ethics and regulation, as documented by the United Nations Treaty Collection, or (b) Any G7 country pass legislation granting legal entity status to AI systems for the purposes of rights and responsibilities, as verified by official government records? The resolution criteria are: (a) for the treaty, confirmation from the United Nations Treaty Collection that all 193 UN member states have signed the treaty, and (b) for the legal recognition, confirmation from official government records of any G7 country that legislation has been passed granting AI systems legal entity status.",0.1,0.23912164555368015
andor,"Will Global Sea Levels Rise by an Average of 1 Meter by 2040?

By December 31, 2040, will global average sea levels have risen by at least 1 meter compared to 2020 levels, as reported by the Intergovernmental Panel on Climate Change (IPCC)?",0.05,"Will Major Coastal Cities Establish Underwater Habitation Zones by 2040?

By December 31, 2040, will any of the world's 20 largest coastal cities have established functional underwater habitation zones for civilians, as confirmed by city planning documents and media reports?",0.05,"Will Global Sea Levels Rise by an Average of 1 Meter by 2040 AND Major Coastal Cities Establish Underwater Habitation Zones by 2040? Body: Will both of the following occur by December 31, 2040: (a) Global average sea levels will have risen by at least 1 meter compared to 2020 levels, as reported by the Intergovernmental Panel on Climate Change (IPCC), AND (b) Any of the world's 20 largest coastal cities will have established functional underwater habitation zones for civilians, as confirmed by city planning documents and media reports? Resolution criteria: Both conditions must be met for the question to be answered YES. If either condition is not met, the answer will be NO.

Will both of the following occur by December 31, 2040: (a) Global average sea levels will have risen by at least 1 meter compared to 2020 levels, as reported by the Intergovernmental Panel on Climate Change (IPCC), AND (b) Any of the world's 20 largest coastal cities will have established functional underwater habitation zones for civilians, as confirmed by city planning documents and media reports? Resolution criteria: Both conditions must be met for the question to be answered YES. If either condition is not met, the answer will be NO.",0.01,"Will Either Global Sea Levels Rise by an Average of 1 Meter or Major Coastal Cities Establish Underwater Habitation Zones by 2040?

By December 31, 2040, will either of the following occur: (a) Global average sea levels will have risen by at least 1 meter compared to 2020 levels, as reported by the Intergovernmental Panel on Climate Change (IPCC), or (b) Any of the world's 20 largest coastal cities will have established functional underwater habitation zones for civilians, as confirmed by city planning documents and media reports? 

Resolution Criteria:  
- For part (a), the resolution will be based on reports from the Intergovernmental Panel on Climate Change (IPCC) regarding the rise in global average sea levels compared to 2020 levels.  
- For part (b), the resolution will be based on confirmation from city planning documents and media reports that any of the world's 20 largest coastal cities have established functional underwater habitation zones for civilians.",0.05,0.10212858423763306
andor,"Will a New Major Religion Emerge with Over 100 Million Followers by 2035?

By December 31, 2035, will a newly founded religion since 2022 accumulate over 100 million adherents worldwide, as documented by reputable religious studies and demographic reports?",0.05,"Will Global Secularism Reach a Point Where Over 50% of the World's Population Identifies as Non-religious by 2035?

By December 31, 2035, will more than half of the global population identify as non-religious or secular, according to major international demographic studies?",0.25,,0.5,"Will Either a New Major Religion Emerge with Over 100 Million Followers or Global Secularism Reach Over 50% by 2035?

By December 31, 2035, will either of the following occur: (a) A newly founded religion since 2022 accumulates over 100 million adherents worldwide, as documented by reputable religious studies and demographic reports, or (b) More than half of the global population identifies as non-religious or secular, according to major international demographic studies? The resolution criteria for each component are as follows: For (a), the emergence of a new major religion will be confirmed if reputable religious studies and demographic reports document over 100 million adherents. For (b), global secularism reaching over 50% will be confirmed if major international demographic studies report that more than half of the global population identifies as non-religious or secular.",0.1,0.3952847075210475
andor,"Will a Space Elevator Be Operational and Accessible for Commercial Use by 2040?

By December 31, 2040, will a fully operational space elevator for transporting goods and passengers to orbit be open for commercial use, as confirmed by aerospace industry reports and government agencies?",0.05,"Will Manned Mars Missions Be Canceled Worldwide Due to Budget Constraints by 2040?

By December 31, 2040, will all planned human missions to Mars be officially canceled by the respective space agencies due to financial constraints, as reported by those agencies and major news outlets?",0.25,"Will Both a Space Elevator Be Operational for Commercial Use and All Manned Mars Missions Be Canceled Due to Budget Constraints by 2040? Body: By December 31, 2040, will both of the following occur: (a) A fully operational space elevator for transporting goods and passengers to orbit is open for commercial use, as confirmed by aerospace industry reports and government agencies, AND (b) All planned human missions to Mars are officially canceled by the respective space agencies due to financial constraints, as reported by those agencies and major news outlets? Resolution criteria: Both conditions (a) and (b) must be met for the question to be answered YES.

By December 31, 2040, will both of the following occur: (a) A fully operational space elevator for transporting goods and passengers to orbit is open for commercial use, as confirmed by aerospace industry reports and government agencies, AND (b) All planned human missions to Mars are officially canceled by the respective space agencies due to financial constraints, as reported by those agencies and major news outlets? Resolution criteria: Both conditions (a) and (b) must be met for the question to be answered YES.",0.01,"Will Either a Space Elevator Be Operational for Commercial Use or Manned Mars Missions Be Canceled Worldwide by 2040?

By December 31, 2040, will either of the following occur: (a) A fully operational space elevator for transporting goods and passengers to orbit will be open for commercial use, as confirmed by aerospace industry reports and government agencies, or (b) All planned human missions to Mars will be officially canceled by the respective space agencies due to financial constraints, as reported by those agencies and major news outlets? The resolution criteria for each component are as follows: (a) Confirmation of a space elevator being operational and accessible for commercial use will be based on reports from aerospace industry sources and government agencies. (b) Cancellation of all planned manned Mars missions due to budget constraints will be verified through official announcements from the respective space agencies and coverage by major news outlets.",0.15,0.22910832956007568
but,"Will a Major Shift from the US Dollar to a Global Digital Currency Occur by 2030?

By December 31, 2030, will a newly established global digital currency, endorsed by a consortium of at least 50 countries including major economies like China and Germany, replace the US dollar as the world's primary reserve currency, as confirmed by the International Monetary Fund?",0.15,"Will the US Dollar Remain the World's Primary Reserve Currency Until 2030 AND Will the United States Maintain Its Position as the World's Largest Economy by GDP in 2030? Body: Will both of the following occur by December 31, 2030: (a) The US dollar will continue to be the world's primary reserve currency, without being replaced by a newly established global digital currency endorsed by a consortium of at least 50 countries, including major economies like China and Germany, as confirmed by the International Monetary Fund. (b) The United States will continue to have the highest Gross Domestic Product (GDP) compared to any other single nation, according to data released by the World Bank. Resolution criteria: Both conditions must be met for the question to be answered ""Yes."" If either condition is not met, the answer will be ""No.""

Will both of the following occur by December 31, 2030: (a) The US dollar will continue to be the world's primary reserve currency, without being replaced by a newly established global digital currency endorsed by a consortium of at least 50 countries, including major economies like China and Germany, as confirmed by the International Monetary Fund. (b) The United States will continue to have the highest Gross Domestic Product (GDP) compared to any other single nation, according to data released by the World Bank. Resolution criteria: Both conditions must be met for the question to be answered ""Yes."" If either condition is not met, the answer will be ""No.""",0.65,"Will Either a Major Shift from the US Dollar to a Global Digital Currency Occur or Will the United States Maintain Its Position as the World's Largest Economy by GDP in 2030?

By December 31, 2030, will either of the following occur: (a) A newly established global digital currency, endorsed by a consortium of at least 50 countries including major economies like China and Germany, will replace the US dollar as the world's primary reserve currency, as confirmed by the International Monetary Fund; or (b) The United States will continue to have the highest Gross Domestic Product (GDP) compared to any other single nation, according to data released by the World Bank? Resolution criteria: The question will be resolved as ""Yes"" if either condition (a) or (b) is met by the specified date.",0.85,,,0.07190709851579088
but,"Will a Female Successor to the Dalai Lama Be Recognized by the Tibetan Buddhist Community by 2030?

By December 31, 2030, will the Tibetan Buddhist community officially recognize a female as the 15th Dalai Lama, as confirmed by statements from the Office of the Dalai Lama and major Buddhist institutions?",0.25,"Will Both the Tibetan Buddhist Community Fail to Recognize a Female Successor to the Dalai Lama and the People's Republic of China Acknowledge the Chosen Successor by 2030? Body: Will both of the following occur by December 31, 2030: (a) The Tibetan Buddhist community fails to officially recognize a female as the 15th Dalai Lama, as confirmed by the absence of statements from the Office of the Dalai Lama and major Buddhist institutions, and (b) The government of the People's Republic of China officially recognizes the successor to the current Dalai Lama, as reported by state media and official government communications? Resolution criteria: (a) is resolved by the absence of official recognition of a female 15th Dalai Lama by the specified entities, and (b) is resolved by official recognition from the Chinese government as reported by state media and official communications.

Will both of the following occur by December 31, 2030: (a) The Tibetan Buddhist community fails to officially recognize a female as the 15th Dalai Lama, as confirmed by the absence of statements from the Office of the Dalai Lama and major Buddhist institutions, and (b) The government of the People's Republic of China officially recognizes the successor to the current Dalai Lama, as reported by state media and official government communications? Resolution criteria: (a) is resolved by the absence of official recognition of a female 15th Dalai Lama by the specified entities, and (b) is resolved by official recognition from the Chinese government as reported by state media and official communications.",0.75,"Will Either a Female Successor to the Dalai Lama Be Recognized by the Tibetan Buddhist Community or the People's Republic of China Acknowledge the Chosen Successor by 2030?

By December 31, 2030, will either of the following occur: (a) The Tibetan Buddhist community officially recognizes a female as the 15th Dalai Lama, as confirmed by statements from the Office of the Dalai Lama and major Buddhist institutions, or (b) The government of the People's Republic of China officially recognizes the successor to the current Dalai Lama, as reported by state media and official government communications? Resolution criteria for (a) involve confirmation from the Office of the Dalai Lama and major Buddhist institutions, while for (b), it involves reports from state media and official government communications.",0.65,,,0.4505359047748589
but,"Will a New Political Union Form in South America Similar to the European Union by 2030?

By December 31, 2030, will at least five South American countries form a new political and economic union with shared governance structures similar to the European Union, as verified by official treaties and government announcements?",0.15,"Will Both of the Following Occur by 2030: (1) No New Political Union Form in South America Similar to the European Union, and (2) Brazil Withdraw from MERCOSUR? Body: By December 31, 2030, will both of the following occur: (1) Fewer than five South American countries fail to form a new political and economic union with shared governance structures similar to the European Union, as verified by official treaties and government announcements, and (2) Brazil officially withdraws from the Southern Common Market (MERCOSUR), as confirmed by government statements and international trade records?

By December 31, 2030, will both of the following occur: (1) Fewer than five South American countries fail to form a new political and economic union with shared governance structures similar to the European Union, as verified by official treaties and government announcements, and (2) Brazil officially withdraws from the Southern Common Market (MERCOSUR), as confirmed by government statements and international trade records?",0.15,"Will Either a New Political Union Form in South America Similar to the European Union or Will Brazil Withdraw from MERCOSUR by 2030?

By December 31, 2030, will either of the following occur: (a) At least five South American countries form a new political and economic union with shared governance structures similar to the European Union, as verified by official treaties and government announcements, or (b) Brazil officially withdraws from the Southern Common Market (MERCOSUR), as confirmed by government statements and international trade records? Resolution criteria: The question will be resolved as ""Yes"" if either (a) or (b) occurs by the specified date, and ""No"" if neither occurs.",0.15,,,0.24221920529946864
but,"Will Antarctica Become a Site of Military Conflict Over Resources by 2040?

By December 31, 2040, will there be a documented military conflict involving at least two nations over territorial or resource claims in Antarctica, as reported by international security organizations?",0.15,,0.5,"Will Either Antarctica Become a Site of Military Conflict Over Resources or the Antarctic Treaty Be Extended Unanimously by 2040? Body: By December 31, 2040, will either of the following occur: (a) There will be a documented military conflict involving at least two nations over territorial or resource claims in Antarctica, as reported by international security organizations. (b) All current signatories will agree to extend the Antarctic Treaty System without modification, as verified by official treaty documents and international agreements? Resolution criteria: For (a), confirmation requires reports from international security organizations documenting a military conflict in Antarctica. For (b), confirmation requires official treaty documents and international agreements verifying unanimous extension of the Antarctic Treaty System by all current signatories.

By December 31, 2040, will either of the following occur: (a) There will be a documented military conflict involving at least two nations over territorial or resource claims in Antarctica, as reported by international security organizations. (b) All current signatories will agree to extend the Antarctic Treaty System without modification, as verified by official treaty documents and international agreements? Resolution criteria: For (a), confirmation requires reports from international security organizations documenting a military conflict in Antarctica. For (b), confirmation requires official treaty documents and international agreements verifying unanimous extension of the Antarctic Treaty System by all current signatories.",0.45,,,0.25278006958277927
