check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
paraphrase,"Will Lionel Messi sign with Inter Miami before July 1, 2025?",1.0,"Is Lionel Messi expected to become a member of Inter Miami by July 1, 2025?",0.95,,,0.22703830459325003
paraphrase,"Will Bitcoin surpass $100,000 in value by December 31, 2025?",0.35,Is Bitcoin's price predicted to go beyond $100K by the end of 2025?,0.35,,,0.0
paraphrase,Will the UK host the FIFA Women's World Cup in 2031?,0.25,Is the United Kingdom set to host the 2031 FIFA Women's World Cup?,0.25,,,0.0
paraphrase,Will Amazon achieve carbon neutrality by 2030?,0.25,Is Amazon expected to become carbon neutral by the year 2030?,0.25,,,0.0
paraphrase,Will Elon Musk launch a manned mission to Mars by 2028?,0.25,Is SpaceX slated to conduct a crewed Mars mission under Elon Musk by 2028?,0.25,,,0.0
paraphrase,Will the global average temperature increase by 2 degrees Celsius by 2050?,0.65,Is a 2°C rise in global average temperatures by 2050 considered likely?,0.65,,,0.0
paraphrase,Will Netflix release a season of 'Stranger Things' in 2026?,0.4,Is a new season of 'Stranger Things' expected to premiere on Netflix in 2026?,0.65,,,0.36524578353570125
paraphrase,Will Apple achieve a market valuation of $3 trillion by 2027?,0.85,Is Apple's market cap projected to hit three trillion dollars by 2027?,0.75,,,0.17789201674120497
paraphrase,Will Japan introduce a nationwide digital currency by 2026?,0.35,Is Japan expected to launch a digital national currency across the country by 2026?,0.45,,,0.14494275891311215
paraphrase,Will the European Union ban single-use plastics by 2029?,0.65,Is the EU planning to outlaw single-use plastics throughout member countries by 2029?,0.65,,,0.0
paraphrase,Will Tesla release a fully autonomous vehicle model by 2027?,0.35,Is Tesla expected to introduce a completely self-driving car model by 2027?,0.35,,,0.0
paraphrase,Will the Global Health Organization declare a pandemic by 2025?,0.25,Is a pandemic declaration by the World Health Organization expected by 2025?,0.25,,,0.0
paraphrase,Will India become the world's most populous country by 2027?,0.95,Is India projected to overtake China as the most populous nation by 2027?,0.85,,,0.23836564731139798
paraphrase,Will Canada legalize recreational cannabis nationwide by 2026?,1.0,Is recreational cannabis legalization expected to be enacted across Canada by 2026?,1.0,,,0.0
paraphrase,Will Facebook rebrand to Meta Platforms by 2025?,1.0,Is Facebook anticipated to change its name to Meta Platforms by 2025?,1.0,,,0.0
paraphrase,Will the Tokyo Metropolitan Government ban gasoline-powered cars by 2030?,0.35,Is Tokyo planning to outlaw gasoline-fueled vehicles in its metro area by 2030?,0.35,,,0.0
paraphrase,Will NASA discover microbial life on Mars by 2035?,0.25,Is NASA expected to find microbial organisms on Mars by 2035?,0.25,,,0.0
paraphrase,Will Google achieve quantum supremacy with its new processor by 2027?,0.65,Is Google's new quantum processor expected to attain quantum supremacy by 2027?,0.65,,,0.0
paraphrase,Will the Great Barrier Reef recover to pre-2020 conditions by 2040?,0.25,Is the restoration of the Great Barrier Reef to its state before 2020 expected by 2040?,0.15,,,0.17789201674120503
paraphrase,Will Samsung unveil a foldable smartphone with a transparent display by 2026?,0.25,Is Samsung expected to launch a transparent display foldable phone by 2026?,0.35,,,0.15504341823651052
paraphrase,Will renewable energy sources constitute 50% of the EU's energy mix by 2030?,0.65,Is the European Union projected to derive half of its energy from renewables by 2030?,0.35,,,0.44426165831931935
paraphrase,Will Disney launch a streaming service in Africa by 2025?,0.65,Is Disney expected to introduce an African-focused streaming service by 2025?,0.15,,,0.8380019039424886
