target_model_name,P,Q_given_P,P_and_Q
DeepSeek-V3,"Title: Will IBM develop a quantum computer capable of simulating complex chemical reactions by 2028?
Body: This question resolves as YES if IBM develops a quantum computer capable of simulating complex chemical reactions by 2028, as reported by IBM on their official website (ibm.com) by December 31, 2028. Resolution source: IBM's official press releases.","Title: Given that IBM develops a quantum computer capable of simulating complex chemical reactions by 2028, will the US Department of Energy invest more than $1 billion in quantum computing research for cybersecurity applications by 2030?
Body: This question resolves as YES if the US Department of Energy invests more than $1 billion in quantum computing research for cybersecurity applications by 2030, given that IBM develops a quantum computer capable of simulating complex chemical reactions by 2028 (as reported by IBM on their official website ibm.com), as reported by the US Department of Energy on their official website (energy.gov) by December 31, 2030. Resolution source: US Department of Energy's official budget reports.","Title: Will both IBM develop a quantum computer and the US Department of Energy invest more than $1 billion in quantum computing research by 2030?
Body: This question resolves as YES if both IBM develops a quantum computer capable of simulating complex chemical reactions by 2028 and the US Department of Energy invests more than $1 billion in quantum computing research for cybersecurity applications by 2030, as reported by IBM and the US Department of Energy on their official websites by December 31, 2030. Resolution source: IBM's official press releases and US Department of Energy's official budget reports."
DeepSeek-V3,"Title: Will Eliud Kipchoge win the 2027 London Marathon?
Body: This question resolves as YES if Eliud Kipchoge wins the 2027 London Marathon, as announced by the London Marathon organizers on their official website (londonmarathon.com) by May 31, 2027. Resolution source: London Marathon's official website.","Title: Given that Eliud Kipchoge wins the 2027 London Marathon, will Kenya win at least 9 gold medals in track and field events at the 2027 World Championships?
Body: This question resolves as YES if Kenya wins at least 9 gold medals in track and field events at the 2027 World Championships, given that Eliud Kipchoge wins the 2027 London Marathon (as announced by the London Marathon organizers on their official website londonmarathon.com), as reported by World Athletics on their official website (worldathletics.org) by August 31, 2027. Resolution source: World Athletics' official website.","Title: Will both Eliud Kipchoge win the 2027 London Marathon and Kenya win at least 9 gold medals in track and field events at the 2027 World Championships?
Body: This question resolves as YES if both Eliud Kipchoge wins the 2027 London Marathon and Kenya wins at least 9 gold medals in track and field events at the 2027 World Championships, as announced by the London Marathon organizers and reported by World Athletics on their official websites by August 31, 2027. Resolution source: London Marathon's official website and World Athletics' official website."
DeepSeek-V3,"Title: Will Eliud Kipchoge win the 2026 London Marathon?
Body: This question resolves as YES if Eliud Kipchoge wins the 2026 London Marathon, as announced by the London Marathon organizers on their official website (londonmarathon.com) by May 31, 2026. Resolution source: London Marathon's official website.","Title: Given that Eliud Kipchoge wins the 2026 London Marathon, will Kenya win at least 7 gold medals in track and field events at the 2026 World Championships?
Body: This question resolves as YES if Kenya wins at least 7 gold medals in track and field events at the 2026 World Championships, given that Eliud Kipchoge wins the 2026 London Marathon (as announced by the London Marathon organizers on their official website londonmarathon.com), as reported by World Athletics on their official website (worldathletics.org) by August 31, 2026. Resolution source: World Athletics' official website.","Title: Will both Eliud Kipchoge win the 2026 London Marathon and Kenya win at least 7 gold medals in track and field events at the 2026 World Championships?
Body: This question resolves as YES if both Eliud Kipchoge wins the 2026 London Marathon and Kenya wins at least 7 gold medals in track and field events at the 2026 World Championships, as announced by the London Marathon organizers and reported by World Athletics on their official websites by August 31, 2026. Resolution source: London Marathon's official website and World Athletics' official website."
DeepSeek-V3,"Title: Will the European Central Bank raise interest rates by more than 1% in 2024?
Body: The ECB has been monitoring inflation and economic growth in the EU, and a rate hike is possible. Resolution date: December 31, 2024. Resolution criteria: Official ECB press release. Resolution source: ECB.eu","Title: Given that the ECB raises interest rates by more than 1% in 2024, will the euro appreciate against the US dollar by more than 5% in 2024?
Body: The ECB's monetary policy decisions can impact currency markets, but the relationship is complex. This question resolves as YES if, given that the ECB raises interest rates by more than 1% as reported in an official ECB Press Release, the euro appreciates against the US dollar by more than 5% from January 1, 2024 to December 31, 2024. Resolution date: December 31, 2024. Resolution criteria: Official exchange rate data from the ECB showing the percentage change between the EUR/USD exchange rate on January 1, 2024 and December 31, 2024. Resolution source: ECB.eu","Title: Will both the ECB raise interest rates by more than 1% and the euro appreciate against the US dollar by more than 5% in 2024?
Body: The ECB's decisions can have far-reaching effects on the economy and financial markets. Resolution date: December 31, 2024. Resolution criteria: Official ECB press release indicating a greater than 1% interest rate increase AND Official ECB exchange rate data showing a greater than 5% appreciation of the EUR against the USD. Resolution source: ECB.eu"
DeepSeek-V3,"Title: Will LeBron James win the NBA MVP award in 2025?
Body: This question resolves as YES if LeBron James wins the NBA MVP award in 2025, as announced by the National Basketball Association (NBA) on their official website (NBA.com) by May 31, 2025.","Title: Given that LeBron James wins the NBA MVP award in 2025, will the Los Angeles Lakers win the NBA championship in 2025?
Body: This question resolves as YES if the Los Angeles Lakers win the NBA championship in 2025, given that LeBron James wins the NBA MVP award in 2025 (as announced by the NBA on NBA.com), as announced by the National Basketball Association (NBA) on their official website (NBA.com) by July 31, 2025.","Title: Will both LeBron James win the NBA MVP award and the Los Angeles Lakers win the NBA championship in 2025?
Body: This question resolves as YES if both LeBron James wins the NBA MVP award and the Los Angeles Lakers win the NBA championship in 2025, as announced by the National Basketball Association (NBA) on their official website (NBA.com) by July 31, 2025."
DeepSeek-V3,"Title: Will Eliud Kipchoge win the 2025 London Marathon?
Body: This question resolves as YES if Eliud Kipchoge wins the 2025 London Marathon, as announced by the London Marathon organizers on their official website (londonmarathon.com) by May 31, 2025.","Title: Given that Eliud Kipchoge wins the 2025 London Marathon, will Kenya win at least 5 gold medals in track and field events at the 2025 World Championships?
Body: This question resolves as YES if Kenya wins at least 5 gold medals in track and field events at the 2025 World Championships, given that Eliud Kipchoge wins the 2025 London Marathon (as announced by the London Marathon organizers on their official website londonmarathon.com), as reported by World Athletics on their official website (worldathletics.org) by August 31, 2025.","Title: Will both Eliud Kipchoge win the 2025 London Marathon and Kenya win at least 5 gold medals in track and field events at the 2025 World Championships?
Body: This question resolves as YES if both Eliud Kipchoge wins the 2025 London Marathon and Kenya wins at least 5 gold medals in track and field events at the 2025 World Championships, as announced by the London Marathon organizers and reported by World Athletics on their official websites by August 31, 2025."
DeepSeek-V3,"Title: Will Tesla achieve level 5 autonomy in its vehicles by 2025?
Body: This question resolves as YES if Tesla achieves level 5 autonomy in its vehicles by 2025, as announced by Tesla on their official website (Tesla.com) by December 31, 2025.","Title: Given that Tesla achieves level 5 autonomy in its vehicles by 2025, will Waymo also achieve level 5 autonomy in its vehicles by 2025?
Body: This question resolves as YES if Waymo achieves level 5 autonomy in its vehicles by 2025, given that Tesla achieves level 5 autonomy in its vehicles by 2025 (as announced by Tesla on their official website Tesla.com), as reported by Waymo on their official website (Waymo.com) by December 31, 2025.","Title: Will both Tesla and Waymo achieve level 5 autonomy in their vehicles by 2025?
Body: This question resolves as YES if both Tesla and Waymo achieve level 5 autonomy in their vehicles by 2025, as announced by Tesla and reported by Waymo on their official websites by December 31, 2025."
DeepSeek-V3,"Title: Will Google announce a functional quantum computer capable of breaking current encryption standards by 2027?
Body: This question resolves as YES if Google announces a functional quantum computer capable of breaking current encryption standards by 2027, as reported by Google on their official blog (blog.google) by December 31, 2027. Resolution source: Google's official blog posts.","Title: Given that Google announces a functional quantum computer capable of breaking current encryption standards by 2027, will the NSA develop and implement new quantum-resistant encryption standards for US government communications by 2029?
Body: This question resolves as YES if the NSA develops and implements new quantum-resistant encryption standards for US government communications by 2029, given that Google announces a functional quantum computer capable of breaking current encryption standards by 2027 (as reported by Google on their official blog blog.google), as reported by the NSA on their official website (nsa.gov) by December 31, 2029. Resolution source: NSA's official press releases.","Title: Will both Google announce a functional quantum computer and the NSA develop and implement new quantum-resistant encryption standards by 2029?
Body: This question resolves as YES if both Google announces a functional quantum computer capable of breaking current encryption standards by 2027 and the NSA develops and implements new quantum-resistant encryption standards for US government communications by 2029, as reported by Google and the NSA on their official websites by December 31, 2029. Resolution source: Google's official blog posts and NSA's official press releases."
DeepSeek-V3,"Title: Will the Federal Reserve raise interest rates by more than 1% in 2025?
Body: This question resolves as YES if the Federal Reserve raises interest rates by more than 1% in 2025, as announced by the Federal Reserve on their official website (federalreserve.gov) by December 31, 2025.","Title: Given that the Federal Reserve raises interest rates by more than 1% in 2025, will the S&P 500 decline by more than 10% in 2025?
Body: This question resolves as YES if the S&P 500 declines by more than 10% from its opening value on January 1, 2025 to its closing value on December 31, 2025, given that the Federal Reserve raises interest rates by more than 1% in 2025 (as announced by the Federal Reserve on their official website federalreserve.gov), as reported by S&P Dow Jones Indices on their official website (spglobal.com) by December 31, 2025.","Title: Will both the Federal Reserve raise interest rates by more than 1% and the S&P 500 decline by more than 10% in 2025?
Body: This question resolves as YES if both the Federal Reserve raises interest rates by more than 1% and the S&P 500 declines by more than 10% from its opening value on January 1, 2025 to its closing value on December 31, 2025, as announced by the Federal Reserve and reported by S&P Dow Jones Indices on their official websites by December 31, 2025."
DeepSeek-V3,"Title: Will Google comply with the EU's Digital Services Act by 2025?
Body: This question resolves as YES if Google complies with the EU's Digital Services Act by 2025, as reported by the European Commission on their official website (Ec.europa.eu) by December 31, 2025.","Title: Given that Google complies with the EU's Digital Services Act by 2025, will Amazon also comply with the regulation by 2025?
Body: This question resolves as YES if Amazon complies with the EU's Digital Services Act by 2025, given that Google complies with the regulation by 2025 (as reported by the European Commission on their official website Ec.europa.eu), as reported by the European Commission on their official website (Ec.europa.eu) by December 31, 2025.","Title: Will both Google and Amazon comply with the EU's Digital Services Act by 2025?
Body: This question resolves as YES if both Google and Amazon comply with the EU's Digital Services Act by 2025, as reported by the European Commission on their official website (Ec.europa.eu) by December 31, 2025."
