check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
but,"Will a Team from Africa Win the FIFA World Cup by 2030?

Will any national football team representing an African country win the FIFA World Cup by December 31, 2030, as confirmed by FIFA's official records?",0.15,"Will No African Team Win or Reach the Semi-Finals of the FIFA World Cup by 2030? Body: Will both of the following occur: (a) No national football team representing an African country wins the FIFA World Cup by December 31, 2030, as confirmed by FIFA's official records, and (b) No national football team representing an African country reaches the semi-finals of the FIFA World Cup tournaments held before December 31, 2030, as confirmed by FIFA's official records?

Will both of the following occur: (a) No national football team representing an African country wins the FIFA World Cup by December 31, 2030, as confirmed by FIFA's official records, and (b) No national football team representing an African country reaches the semi-finals of the FIFA World Cup tournaments held before December 31, 2030, as confirmed by FIFA's official records?",0.75,"Will Either an African Team Win the FIFA World Cup or No African Team Reach the Semi-Finals by 2030?

Will either of the following occur by December 31, 2030, as confirmed by FIFA's official records: (a) Any national football team representing an African country wins the FIFA World Cup, or (b) No national football team representing an African country reaches the semi-finals of the FIFA World Cup tournaments held before this date? 

Resolution Criteria:  
- For part (a), the question resolves to ""Yes"" if any African national team wins the FIFA World Cup by December 31, 2030, according to FIFA's official records.  
- For part (b), the question resolves to ""Yes"" if no African national team reaches the semi-finals of any FIFA World Cup tournament held before December 31, 2030, according to FIFA's official records.  
- The combined question resolves to ""Yes"" if either part (a) or part (b) is true.",0.75,,,0.21139344756234513
but,"Will a Non-English Language Film Win the Best Picture Oscar by 2025?

Will a feature film not primarily in English win the Oscar for Best Picture at the Academy Awards ceremonies held by March 31, 2025, as announced by the Academy of Motion Picture Arts and Sciences?",0.25,"Will No Non-English Language Film Be Nominated for or Win the Best Picture Oscar by 2025?

Will no feature film that is not primarily in English receive a nomination for or win the Oscar for Best Picture at the Academy Awards ceremonies held by March 31, 2025, as announced by the Academy of Motion Picture Arts and Sciences? For this question to be answered YES, both of the following must occur: (a) No non-English language film receives a nomination for Best Picture, and (b) No non-English language film wins the Best Picture Oscar.",0.25,"Will Either a Non-English Language Film Win or No Non-English Film Be Nominated for Best Picture by 2025?

Will either of the following occur by March 31, 2025, as announced by the Academy of Motion Picture Arts and Sciences: (a) A feature film not primarily in English wins the Oscar for Best Picture at the Academy Awards ceremonies. (b) No feature film not primarily in English receives a nomination for Best Picture at the Academy Awards ceremonies? 

Resolution Criteria:  
- For part (a), the question resolves to YES if a feature film not primarily in English wins the Oscar for Best Picture at any Academy Awards ceremony held by March 31, 2025.  
- For part (b), the question resolves to YES if no feature film not primarily in English receives a nomination for Best Picture at any Academy Awards ceremony held by March 31, 2025.  
- The overall question resolves to YES if either part (a) or part (b) resolves to YES.",0.35,,,0.1930868163320824
but,"Will a Virtual Artist Have a Number-One Hit on the Billboard Hot 100 by 2026?

Will a song performed by a virtual artist (an AI-generated or virtual character with no human performer) reach number one on the Billboard Hot 100 chart by December 31, 2026, as reported by Billboard?",0.35,"Will No Virtual Artist Have a Number-One Hit or Break into the Top 40 of the Billboard Hot 100 by 2026? Body: Will both of the following occur: (a) No song performed by a virtual artist (an AI-generated or virtual character with no human performer) will reach number one on the Billboard Hot 100 chart by December 31, 2026, as reported by Billboard. (b) No song performed by a virtual artist (an AI-generated or virtual character with no human performer) will reach the top 40 positions on the Billboard Hot 100 chart by December 31, 2026, as reported by Billboard? For this question to be answered YES, both conditions (a) and (b) must be met.

Will both of the following occur: (a) No song performed by a virtual artist (an AI-generated or virtual character with no human performer) will reach number one on the Billboard Hot 100 chart by December 31, 2026, as reported by Billboard. (b) No song performed by a virtual artist (an AI-generated or virtual character with no human performer) will reach the top 40 positions on the Billboard Hot 100 chart by December 31, 2026, as reported by Billboard? For this question to be answered YES, both conditions (a) and (b) must be met.",0.35,"Will a Virtual Artist Have a Number-One Hit or Fail to Break into the Top 40 on the Billboard Hot 100 by 2026? Body: Will either of the following occur by December 31, 2026, as reported by Billboard: (a) A song performed by a virtual artist (an AI-generated or virtual character with no human performer) reaches number one on the Billboard Hot 100 chart. (b) No song performed by a virtual artist reaches the top 40 positions on the Billboard Hot 100 chart? Resolution criteria: For (a), a song must be reported by Billboard as reaching number one on the Billboard Hot 100 chart. For (b), no song performed by a virtual artist should be reported by Billboard as reaching any of the top 40 positions on the Billboard Hot 100 chart.

Will either of the following occur by December 31, 2026, as reported by Billboard: (a) A song performed by a virtual artist (an AI-generated or virtual character with no human performer) reaches number one on the Billboard Hot 100 chart. (b) No song performed by a virtual artist reaches the top 40 positions on the Billboard Hot 100 chart? Resolution criteria: For (a), a song must be reported by Billboard as reaching number one on the Billboard Hot 100 chart. For (b), no song performed by a virtual artist should be reported by Billboard as reaching any of the top 40 positions on the Billboard Hot 100 chart.",0.25,,,0.5609681940050742
but,"Will an Artist Win Both the Nobel Prize in Literature and an Oscar by 2030?

Will any individual artist be awarded the Nobel Prize in Literature and an Academy Award (Oscar) in any category by December 31, 2030, as confirmed by the Nobel Committee and the Academy of Motion Picture Arts and Sciences respectively?",0.02,"Will No Artist Both Win and Be Considered for Both the Nobel Prize in Literature and an Oscar by 2030?

Will it be the case that no individual artist is both (a) awarded both the Nobel Prize in Literature and an Academy Award (Oscar) in any category by December 31, 2030, as confirmed by the Nobel Committee and the Academy of Motion Picture Arts and Sciences respectively, and (b) simultaneously considered (nominated or shortlisted) for both the Nobel Prize in Literature and any category of the Academy Awards by December 31, 2030? Both conditions must be met for the question to be resolved as YES.",0.95,"Will Either an Artist Win Both the Nobel Prize in Literature and an Oscar, or No Artist Be Considered for Both by 2030?

Will either of the following occur by December 31, 2030:  
(a) Any individual artist is awarded both the Nobel Prize in Literature and an Academy Award (Oscar) in any category, as confirmed by the Nobel Committee and the Academy of Motion Picture Arts and Sciences respectively?  
(b) No individual artist is simultaneously considered (nominated or shortlisted) for both the Nobel Prize in Literature and any category of the Academy Awards?  

Resolution Criteria:  
- For part (a), the resolution will be based on official announcements from the Nobel Committee and the Academy of Motion Picture Arts and Sciences confirming the awarding of both honors to the same individual artist by the specified date.  
- For part (b), the resolution will be based on official nomination or shortlisting announcements from both the Nobel Committee and the Academy of Motion Picture Arts and Sciences, confirming that no individual artist was considered for both awards by the specified date.",0.75,,,0.43515327467107945
but,"Will a Team Win Both the Super Bowl and FIFA World Cup in the Same Year by 2030?

Will any organization own teams that win both the Super Bowl (NFL championship) and the FIFA World Cup (national team) in the same calendar year by December 31, 2030, as confirmed by NFL and FIFA records?",0.01,"Will No Organization Both Win the Super Bowl and FIFA World Cup and Have Teams in Both Finals in the Same Year by 2030?

Will no single sports organization both (a) own teams that win both the Super Bowl (NFL championship) and the FIFA World Cup (national team) in the same calendar year by December 31, 2030, as confirmed by NFL and FIFA records, and (b) own teams that reach the finals of both the Super Bowl and the FIFA World Cup in the same calendar year by December 31, 2030? Both conditions must be met for the answer to be YES.",0.01,"Will Either a Team Win Both the Super Bowl and FIFA World Cup in the Same Year or No Organization Have Teams in Both Finals by 2030?

Will either of the following occur by December 31, 2030:  
(a) Any organization owns teams that win both the Super Bowl (NFL championship) and the FIFA World Cup (national team) in the same calendar year, as confirmed by NFL and FIFA records?  
(b) No single sports organization owns teams that both reach the finals of the Super Bowl and the FIFA World Cup in the same calendar year?  

Resolution Criteria:  
- For part (a), the question resolves to ""Yes"" if any organization owns teams that win both the Super Bowl and the FIFA World Cup in the same calendar year by December 31, 2030, as confirmed by official NFL and FIFA records.  
- For part (b), the question resolves to ""Yes"" if no single sports organization owns teams that both reach the finals of the Super Bowl and the FIFA World Cup in the same calendar year by December 31, 2030.  
- The overall question resolves to ""Yes"" if either part (a) or part (b) is true.",0.95,,,3.55854610283922
but,"Will an AI-Generated Painting Sell for Over $100 Million at Auction by 2025?

Will a painting created entirely by artificial intelligence without human artistic input sell for more than $100 million USD at a public auction by December 31, 2025, as reported by major auction houses like Christie's or Sotheby's?",0.05,"Will No AI-Generated Painting Sell for Over $100 Million AND No AI Artwork Sell for Over $1 Million at Auction by 2025?

Will both of the following occur by December 31, 2025:  
(a) No painting created entirely by artificial intelligence without human artistic input will sell for more than $100 million USD at a public auction, as reported by major auction houses like Christie's or Sotheby's.  
(b) No artwork created entirely by artificial intelligence without human artistic input will sell for over $1 million USD at any public auction, as reported by major auction houses.  

Resolution Criteria: Both conditions must be met for the question to be answered YES. If either condition is not met, the answer will be NO.",0.75,"Will either an AI-generated painting sell for over $100 million or will no AI artwork sell for over $1 million at auction by 2025? Body: Will either of the following occur by December 31, 2025: (a) A painting created entirely by artificial intelligence without human artistic input sells for more than $100 million USD at a public auction, as reported by major auction houses like Christie's or Sotheby's. (b) No artwork created entirely by artificial intelligence without human artistic input sells for over $1 million USD at any public auction, as reported by major auction houses. Resolution criteria: The question will be resolved as ""Yes"" if either condition (a) or condition (b) is met by the specified date.

Will either of the following occur by December 31, 2025: (a) A painting created entirely by artificial intelligence without human artistic input sells for more than $100 million USD at a public auction, as reported by major auction houses like Christie's or Sotheby's. (b) No artwork created entirely by artificial intelligence without human artistic input sells for over $1 million USD at any public auction, as reported by major auction houses. Resolution criteria: The question will be resolved as ""Yes"" if either condition (a) or condition (b) is met by the specified date.",0.85,,,0.08293117081145993
but,"Will an Esports Player Earn More Than the Top Traditional Athlete by 2027?

Will any individual esports player earn more in official prize money than the highest-earning traditional athlete (from sports like football, basketball, etc.) in any calendar year before December 31, 2027, as reported by Forbes or other reputable financial publications?",0.05,"Will Esports Players Earn Less Than Half of Top Traditional Athletes by 2027? Body: Will both of the following occur in every calendar year before December 31, 2027: (a) Every individual esports player fails to earn more in official prize money than the highest-earning traditional athlete (from sports like football, basketball, etc.), and (b) The highest prize money earned by an individual esports player remains less than half of the earnings of the top-paid traditional athlete, as reported by Forbes or other reputable financial publications? Resolution criteria: Both conditions must be met in every calendar year before December 31, 2027, for the question to be answered YES. If either condition is not met in any year, the answer is NO.

Will both of the following occur in every calendar year before December 31, 2027: (a) Every individual esports player fails to earn more in official prize money than the highest-earning traditional athlete (from sports like football, basketball, etc.), and (b) The highest prize money earned by an individual esports player remains less than half of the earnings of the top-paid traditional athlete, as reported by Forbes or other reputable financial publications? Resolution criteria: Both conditions must be met in every calendar year before December 31, 2027, for the question to be answered YES. If either condition is not met in any year, the answer is NO.",0.85,"Will Esports Earnings Surpass or Remain Below Half of Top Athletes' Earnings by 2027? Body: Will either of the following occur before December 31, 2027, as reported by Forbes or other reputable financial publications: (a) Any individual esports player earns more in official prize money than the highest-earning traditional athlete (from sports like football, basketball, etc.) in any calendar year. (b) The highest prize money earned by an individual esports player remains less than half of the earnings of the top-paid traditional athlete in any calendar year? Resolution criteria: For (a), the question resolves to YES if any esports player earns more than the top traditional athlete in any calendar year before the deadline. For (b), the question resolves to YES if the highest prize money for an esports player remains less than half of the top traditional athlete's earnings in any calendar year before the deadline.

Will either of the following occur before December 31, 2027, as reported by Forbes or other reputable financial publications: (a) Any individual esports player earns more in official prize money than the highest-earning traditional athlete (from sports like football, basketball, etc.) in any calendar year. (b) The highest prize money earned by an individual esports player remains less than half of the earnings of the top-paid traditional athlete in any calendar year? Resolution criteria: For (a), the question resolves to YES if any esports player earns more than the top traditional athlete in any calendar year before the deadline. For (b), the question resolves to YES if the highest prize money for an esports player remains less than half of the top traditional athlete's earnings in any calendar year before the deadline.",0.85,,,0.09075919947834815
but,"Will a Non-English Song Stay at Number One on Billboard Hot 100 for 20+ Weeks by 2026?

Will a song performed primarily in a language other than English remain at the number one position on the Billboard Hot 100 chart for more than 20 consecutive weeks by December 31, 2026, as reported by Billboard?",0.15,"Will No Non-English Song Reach or Stay at Number One on Billboard Hot 100 for 20+ Weeks by 2026?

Will both of the following occur by December 31, 2026, as reported by Billboard: (a) No song performed primarily in a language other than English will remain at the number one position on the Billboard Hot 100 chart for more than 20 consecutive weeks, and (b) No song performed primarily in a language other than English will reach the number one position on the Billboard Hot 100 chart? For this question to be answered YES, both conditions (a) and (b) must be met.",0.15,"Will Either a Non-English Song Stay at Number One on Billboard Hot 100 for 20+ Weeks or Will No Non-English Song Reach Number One by 2026?

Will either of the following occur by December 31, 2026, as reported by Billboard: (a) A song performed primarily in a language other than English remains at the number one position on the Billboard Hot 100 chart for more than 20 consecutive weeks. (b) No song performed primarily in a language other than English reaches the number one position on the Billboard Hot 100 chart? 

Resolution Criteria:  
- For part (a), the question resolves to ""Yes"" if any non-English song stays at number one on the Billboard Hot 100 for more than 20 consecutive weeks by the end of 2026.  
- For part (b), the question resolves to ""Yes"" if no non-English song reaches the number one position on the Billboard Hot 100 at any point by the end of 2026.  
- The combined question resolves to ""Yes"" if either part (a) or part (b) is true.",0.25,,,0.07507981472727138
but,"Will a Female Director Win Best Director Oscar Three Times by 2030?

Will any female film director be awarded the Academy Award for Best Director three times by December 31, 2030, as announced by the Academy of Motion Picture Arts and Sciences?",0.1,"Will No Female Director Win Best Director Oscar by 2030, and No Female Director Win It Three Times by 2030?

Will both of the following occur: (a) No female film director is awarded the Academy Award for Best Director by December 31, 2030, as announced by the Academy of Motion Picture Arts and Sciences, and (b) No female film director is awarded the Academy Award for Best Director three times by December 31, 2030, as announced by the Academy of Motion Picture Arts and Sciences? The resolution criteria for each component are based on the official announcements by the Academy of Motion Picture Arts and Sciences.",0.15,"Will Either a Female Director Win Best Director Oscar Three Times or No Female Director Win by 2030?

Will either of the following occur by December 31, 2030, as announced by the Academy of Motion Picture Arts and Sciences: (a) Any female film director is awarded the Academy Award for Best Director three times, or (b) No female film director is awarded the Academy Award for Best Director at all? 

Resolution Criteria:  
- For part (a), the question resolves to ""Yes"" if any female director wins the Best Director Oscar three times by the specified date.  
- For part (b), the question resolves to ""Yes"" if no female director wins the Best Director Oscar at all by the specified date.  
- The combined question resolves to ""Yes"" if either part (a) or part (b) is true.",0.15,,,0.17000510022951149
but,"Will a Virtual Sports Event Surpass FIFA World Cup Final Viewership by 2030?

Will the championship match of a virtual sports league (e.g., simulated sports using AI or virtual environments) attract more global live viewers than the FIFA World Cup final by December 31, 2030, as reported by reputable global audience measurement organizations?",0.15,"Will No Virtual Sports Event Surpass FIFA World Cup Final Viewership AND Fail to Exceed 10 Million Viewers by 2030? Body: Will both of the following occur by December 31, 2030: (a) The championship match of any virtual sports league (e.g., simulated sports using AI or virtual environments) fails to attract more global live viewers than the FIFA World Cup final, as reported by reputable global audience measurement organizations, AND (b) Virtual sports leagues fail to attract a global live audience exceeding 10 million viewers for any single event, as reported by reputable audience measurement organizations? Resolution criteria: Both conditions must be met for the question to be answered ""Yes."" If either condition is not met, the answer will be ""No.""

Will both of the following occur by December 31, 2030: (a) The championship match of any virtual sports league (e.g., simulated sports using AI or virtual environments) fails to attract more global live viewers than the FIFA World Cup final, as reported by reputable global audience measurement organizations, AND (b) Virtual sports leagues fail to attract a global live audience exceeding 10 million viewers for any single event, as reported by reputable audience measurement organizations? Resolution criteria: Both conditions must be met for the question to be answered ""Yes."" If either condition is not met, the answer will be ""No.""",0.25,"Will Either a Virtual Sports Event Surpass FIFA World Cup Final Viewership or Fail to Achieve Significant Global Viewership by 2030?

Will either of the following occur by December 31, 2030:  
(a) The championship match of a virtual sports league (e.g., simulated sports using AI or virtual environments) attracts more global live viewers than the FIFA World Cup final, as reported by reputable global audience measurement organizations.  
(b) Virtual sports leagues fail to attract a global live audience exceeding 10 million viewers for any single event, as reported by reputable audience measurement organizations.  

Resolution Criteria:  
- For (a), the event will be considered to have occurred if a virtual sports championship match surpasses the FIFA World Cup final in global live viewership according to reputable global audience measurement organizations.  
- For (b), the event will be considered to have occurred if no single virtual sports event attracts a global live audience exceeding 10 million viewers according to reputable audience measurement organizations.",0.35,,,0.0678219434059487
