check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
andor,"Will a new global language surpass English in the number of native speakers by 2050?

Will a language not currently among the top three most spoken native languages become the most widely spoken native language globally by December 31, 2050? Resolution criteria: Language speaker statistics published by UNESCO or Ethnologue.",0.05,"Will translation technology render language learning obsolete for international communication by 2050?

Will advancements in real-time translation technologies be widely adopted to the extent that learning new languages is no longer considered necessary for international communication by December 31, 2050? Resolution criteria: Surveys from major educational institutions indicating a significant decline in language learning enrollment and official policy changes.",0.25,"Will both a new global language surpass English in native speakers and translation technology render language learning obsolete for international communication by 2050?

Will both of the following occur by December 31, 2050: (a) A language not currently among the top three most spoken native languages becomes the most widely spoken native language globally, as determined by language speaker statistics published by UNESCO or Ethnologue. (b) Advancements in real-time translation technologies are widely adopted to the extent that learning new languages is no longer considered necessary for international communication, as evidenced by surveys from major educational institutions indicating a significant decline in language learning enrollment and official policy changes.",0.05,"Will either a new global language surpass English in native speakers or translation technology render language learning obsolete by 2050?

Will either of the following occur by December 31, 2050:  
(a) A language not currently among the top three most spoken native languages becomes the most widely spoken native language globally? Resolution criteria: Language speaker statistics published by UNESCO or Ethnologue.  
(b) Advancements in real-time translation technologies are widely adopted to the extent that learning new languages is no longer considered necessary for international communication? Resolution criteria: Surveys from major educational institutions indicating a significant decline in language learning enrollment and official policy changes.",0.15,0.15598365376958254
andor,"Will a major cultural shift eliminate traditional university degrees in favor of skill-based certifications by 2035?

Will more than 50% of the Fortune 500 companies no longer require traditional university degrees, instead preferring skill-based certifications for employment by December 31, 2035? Resolution criteria: Official hiring policies published by Fortune 500 companies and verified surveys.",0.35,"Will global literacy rates reach 99% by 2035?

Will the global adult literacy rate reach or exceed 99% by December 31, 2035, as reported by UNESCO? Resolution criteria: Official UNESCO statistics on global literacy rates.",0.35,"Will both a major cultural shift eliminate traditional university degrees in favor of skill-based certifications and global literacy rates reach 99% by 2035? Body: Will both of the following occur by December 31, 2035: (a) More than 50% of the Fortune 500 companies no longer require traditional university degrees, instead preferring skill-based certifications for employment, as determined by official hiring policies published by Fortune 500 companies and verified surveys. (b) The global adult literacy rate reaches or exceeds 99%, as reported by official UNESCO statistics on global literacy rates.

Will both of the following occur by December 31, 2035: (a) More than 50% of the Fortune 500 companies no longer require traditional university degrees, instead preferring skill-based certifications for employment, as determined by official hiring policies published by Fortune 500 companies and verified surveys. (b) The global adult literacy rate reaches or exceeds 99%, as reported by official UNESCO statistics on global literacy rates.",0.1,"Will either a major cultural shift eliminate traditional university degrees in favor of skill-based certifications, or will global literacy rates reach 99% by 2035?

Will either of the following occur by December 31, 2035: (a) More than 50% of the Fortune 500 companies no longer require traditional university degrees, instead preferring skill-based certifications for employment? Resolution criteria: Official hiring policies published by Fortune 500 companies and verified surveys. (b) The global adult literacy rate reach or exceed 99%, as reported by UNESCO? Resolution criteria: Official UNESCO statistics on global literacy rates.",0.25,0.4086655090607009
andor,"Will quantum computing break current encryption standards leading to a global cybersecurity crisis by 2030?

Will advancements in quantum computing render current encryption methods obsolete, resulting in widespread security breaches affecting critical infrastructures globally by December 31, 2030? Resolution criteria: Confirmed incidents reported by international cybersecurity agencies and organizations.",0.15,"Will a new unbreakable encryption method be universally adopted by 2030?

Will there be development and global adoption of new encryption standards proven to be secure against quantum computing attacks by December 31, 2030? Resolution criteria: Official standards published by international bodies like ISO and widespread implementation confirmed by industry reports.",0.65,"Will both quantum computing break current encryption standards leading to a global cybersecurity crisis AND a new unbreakable encryption method be universally adopted by 2030? Body: Will both of the following occur by December 31, 2030: (a) Advancements in quantum computing render current encryption methods obsolete, resulting in widespread security breaches affecting critical infrastructures globally, with confirmed incidents reported by international cybersecurity agencies and organizations. (b) Development and global adoption of new encryption standards proven to be secure against quantum computing attacks, with official standards published by international bodies like ISO and widespread implementation confirmed by industry reports.

Will both of the following occur by December 31, 2030: (a) Advancements in quantum computing render current encryption methods obsolete, resulting in widespread security breaches affecting critical infrastructures globally, with confirmed incidents reported by international cybersecurity agencies and organizations. (b) Development and global adoption of new encryption standards proven to be secure against quantum computing attacks, with official standards published by international bodies like ISO and widespread implementation confirmed by industry reports.",0.1,"Will either quantum computing break current encryption standards or a new unbreakable encryption method be universally adopted by 2030? Body: Will either of the following occur by December 31, 2030: (a) Advancements in quantum computing render current encryption methods obsolete, resulting in widespread security breaches affecting critical infrastructures globally? Resolution criteria: Confirmed incidents reported by international cybersecurity agencies and organizations. (b) Development and global adoption of new encryption standards proven to be secure against quantum computing attacks? Resolution criteria: Official standards published by international bodies like ISO and widespread implementation confirmed by industry reports.

Will either of the following occur by December 31, 2030: (a) Advancements in quantum computing render current encryption methods obsolete, resulting in widespread security breaches affecting critical infrastructures globally? Resolution criteria: Confirmed incidents reported by international cybersecurity agencies and organizations. (b) Development and global adoption of new encryption standards proven to be secure against quantum computing attacks? Resolution criteria: Official standards published by international bodies like ISO and widespread implementation confirmed by industry reports.",0.35,0.4264805644615007
andor,"Will major religions converge towards a unified global faith by 2060?

Will the world's major religions (Christianity, Islam, Hinduism, Buddhism) experience doctrinal convergence leading to the formation of a unified global religion officially recognized by religious authorities by December 31, 2060? Resolution criteria: Official statements from religious organizations and global religious councils.",0.01,"Will secularism become the predominant belief system globally by 2060?

Will over 50% of the global population identify as secular, non-religious, or atheist by December 31, 2060? Resolution criteria: Global surveys and reports from research organizations like Pew Research Center.",0.25,"Will both a unified global religion form and secularism become predominant by 2060? Body: Will both of the following occur by December 31, 2060: (a) The world's major religions (Christianity, Islam, Hinduism, Buddhism) experience doctrinal convergence leading to the formation of a unified global religion officially recognized by religious authorities? Resolution criteria: Official statements from religious organizations and global religious councils. (b) Over 50% of the global population identify as secular, non-religious, or atheist? Resolution criteria: Global surveys and reports from research organizations like Pew Research Center.

Will both of the following occur by December 31, 2060: (a) The world's major religions (Christianity, Islam, Hinduism, Buddhism) experience doctrinal convergence leading to the formation of a unified global religion officially recognized by religious authorities? Resolution criteria: Official statements from religious organizations and global religious councils. (b) Over 50% of the global population identify as secular, non-religious, or atheist? Resolution criteria: Global surveys and reports from research organizations like Pew Research Center.",0.01,"Will either a unified global religion form or secularism become predominant by 2060?

Will either of the following occur by December 31, 2060: (a) The world's major religions (Christianity, Islam, Hinduism, Buddhism) experience doctrinal convergence leading to the formation of a unified global religion officially recognized by religious authorities? Resolution criteria: Official statements from religious organizations and global religious councils. (b) Over 50% of the global population identify as secular, non-religious, or atheist? Resolution criteria: Global surveys and reports from research organizations like Pew Research Center.",0.25,1.378676475452931e-17
andor,"Will there be a global ban on fossil fuels, with complete transition to renewable energy by 2040?

Will all countries collectively cease the use of fossil fuels, achieving 100% reliance on renewable energy sources by December 31, 2040? Resolution criteria: Energy consumption reports from the International Energy Agency confirming zero fossil fuel usage.",0.05,"Will a breakthrough in fusion energy render other energy sources obsolete by 2040?

Will controlled nuclear fusion become a commercially viable and widely adopted energy source, leading to the obsolescence of other energy forms by December 31, 2040? Resolution criteria: Reports from the IAEA and widespread adoption data.",0.15,"Will both a global ban on fossil fuels with a complete transition to renewable energy and a breakthrough in fusion energy rendering other sources obsolete occur by 2040?

Will both of the following occur by December 31, 2040: (a) All countries collectively cease the use of fossil fuels, achieving 100% reliance on renewable energy sources, as confirmed by energy consumption reports from the International Energy Agency indicating zero fossil fuel usage; and (b) Controlled nuclear fusion becomes a commercially viable and widely adopted energy source, leading to the obsolescence of other energy forms, as confirmed by reports from the IAEA and widespread adoption data?",0.01,"Will either a global ban on fossil fuels with a complete transition to renewable energy or a breakthrough in fusion energy rendering other sources obsolete occur by 2040? Body: Will either of the following occur by December 31, 2040: (a) All countries collectively cease the use of fossil fuels, achieving 100% reliance on renewable energy sources? Resolution criteria: Energy consumption reports from the International Energy Agency confirming zero fossil fuel usage. (b) Controlled nuclear fusion becomes a commercially viable and widely adopted energy source, leading to the obsolescence of other energy forms? Resolution criteria: Reports from the IAEA and widespread adoption data.

Will either of the following occur by December 31, 2040: (a) All countries collectively cease the use of fossil fuels, achieving 100% reliance on renewable energy sources? Resolution criteria: Energy consumption reports from the International Energy Agency confirming zero fossil fuel usage. (b) Controlled nuclear fusion becomes a commercially viable and widely adopted energy source, leading to the obsolescence of other energy forms? Resolution criteria: Reports from the IAEA and widespread adoption data.",0.05,0.2897861398603878
but,"Will an international treaty banning autonomous lethal weapons be ratified by all UN Security Council permanent members by 2030?

Will all five permanent members of the United Nations Security Council (China, France, Russia, the United Kingdom, and the United States) ratify a binding international treaty that prohibits the development, deployment, or use of autonomous lethal weapons by December 31, 2030? Resolution criteria: Official ratification documents and confirmation from the United Nations.",0.15,"Will both of the following occur by 2030: (1) At least one UN Security Council permanent member fails to ratify an international treaty banning autonomous lethal weapons, AND (2) Autonomous lethal weapons are used in an international conflict? Body: Will both of the following occur by December 31, 2030: (1) At least one of the five permanent members of the United Nations Security Council (China, France, Russia, the United Kingdom, or the United States) fails to ratify a binding international treaty that prohibits the development, deployment, or use of autonomous lethal weapons? Resolution criteria: Official ratification documents and confirmation from the United Nations. AND (2) There are verified instances where autonomous lethal weapons are deployed and used by any nation-state during an international armed conflict? Resolution criteria: Confirmed reports from reputable international organizations such as the United Nations or Amnesty International.

Will both of the following occur by December 31, 2030: (1) At least one of the five permanent members of the United Nations Security Council (China, France, Russia, the United Kingdom, or the United States) fails to ratify a binding international treaty that prohibits the development, deployment, or use of autonomous lethal weapons? Resolution criteria: Official ratification documents and confirmation from the United Nations. AND (2) There are verified instances where autonomous lethal weapons are deployed and used by any nation-state during an international armed conflict? Resolution criteria: Confirmed reports from reputable international organizations such as the United Nations or Amnesty International.",0.65,"Will either an international treaty banning autonomous lethal weapons be ratified by all UN Security Council permanent members or will autonomous lethal weapons be used in an international conflict by 2030?

Will either of the following occur by December 31, 2030: 

(a) All five permanent members of the United Nations Security Council (China, France, Russia, the United Kingdom, and the United States) ratify a binding international treaty that prohibits the development, deployment, or use of autonomous lethal weapons? Resolution criteria: Official ratification documents and confirmation from the United Nations.

(b) There are verified instances where autonomous lethal weapons are deployed and used by any nation-state during an international armed conflict? Resolution criteria: Confirmed reports from reputable international organizations such as the United Nations or Amnesty International.",0.75,,,0.06782194340594874
but,"Will human lifespan be extended beyond 150 years through biotechnology by 2045?

Will advancements in biotechnology result in verified cases of humans living beyond 150 years of age by December 31, 2045? Resolution criteria: Official records confirmed by global health organizations like WHO.",0.05,"Will both human lifespan fail to be extended beyond 150 years through biotechnology and global population decline due to decreased birth rates by 2045?

Will both of the following occur by December 31, 2045: (a) Advancements in biotechnology will not result in verified cases of humans living beyond 150 years of age, with no official records confirmed by global health organizations like WHO, and (b) The global population will enter a sustained decline, with global annual birth rates falling below death rates, as confirmed by population data from the United Nations Department of Economic and Social Affairs?",0.15,"Will either human lifespan be extended beyond 150 years through biotechnology or global population decline due to decreased birth rates by 2045? Body: Will either of the following occur by December 31, 2045: (a) Advancements in biotechnology result in verified cases of humans living beyond 150 years of age, with official records confirmed by global health organizations like WHO. (b) The global population enters a sustained decline, with global annual birth rates falling below death rates, as per population data from the United Nations Department of Economic and Social Affairs?

Will either of the following occur by December 31, 2045: (a) Advancements in biotechnology result in verified cases of humans living beyond 150 years of age, with official records confirmed by global health organizations like WHO. (b) The global population enters a sustained decline, with global annual birth rates falling below death rates, as per population data from the United Nations Department of Economic and Social Affairs?",0.25,,,0.08293117081146006
but,"Will climate change result in the permanent submergence of a capital city by 2050?

Will rising sea levels or climate-related events cause a national capital city to become uninhabitable and be officially abandoned by its government by December 31, 2050? Resolution criteria: Official government relocation announcements and environmental reports.",0.15,"Will both no capital city become permanently submerged due to climate change and international laws be enacted to designate climate refugees by 2050?

Will both of the following occur by December 31, 2050: (a) No national capital city becomes uninhabitable and is officially abandoned by its government due to rising sea levels or climate-related events, as evidenced by the absence of official government relocation announcements and environmental reports indicating such abandonment. (b) New international legal frameworks are established recognizing the status of 'climate refugees' with specific rights and protections, as evidenced by the adoption of treaties or agreements acknowledged by the United Nations.",0.35,"Will either a capital city be permanently submerged or international laws for climate refugees be enacted by 2050?

Will either of the following occur by December 31, 2050: (a) Rising sea levels or climate-related events cause a national capital city to become uninhabitable and be officially abandoned by its government, as evidenced by official government relocation announcements and environmental reports, or (b) New international legal frameworks are established recognizing the status of 'climate refugees' with specific rights and protections, as evidenced by the adoption of treaties or agreements acknowledged by the United Nations?",0.45,,,0.06436227211069405
but,"Will artificial intelligence receive legal personhood status in any country by 2038?

Will any nation officially recognize an AI system as a legal person with rights and responsibilities under their jurisdiction by December 31, 2038? Resolution criteria: Legislation passed and documented in official government records.",0.15,"Will no country grant legal personhood status to AI and will there be a global consensus against AI personhood through international agreements by 2038?

Will both of the following occur by December 31, 2038: (a) No nation will officially recognize any AI system as a legal person with rights and responsibilities under their jurisdiction, with no legislation passed and documented in official government records. (b) An international treaty or agreement will be ratified by at least 75% of UN member states declaring that AI systems cannot be granted legal personhood, with official treaty documents deposited with the United Nations.",0.25,"Will either AI receive legal personhood in any country or a global consensus against AI personhood be solidified by 2038?

Will either of the following occur by December 31, 2038: (a) Any nation officially recognizes an AI system as a legal person with rights and responsibilities under their jurisdiction, with legislation passed and documented in official government records, or (b) An international treaty or agreement is ratified by at least 75% of UN member states declaring that AI systems cannot be granted legal personhood, with official treaty documents deposited with the United Nations?",0.25,,,0.21139344756234507
but,"Will a new renaissance in arts and humanities emerge, significantly increasing global funding by 2035?

Will there be a documented surge in global funding for arts and humanities, increasing by over 200% compared to 2025 levels by December 31, 2035? Resolution criteria: Funding data from UNESCO and global arts councils.",0.15,"Will both global funding for arts and humanities fail to increase by over 200% and digital media completely replace traditional art mediums by 2035?

Will both of the following occur by December 31, 2035: (a) There is a failure to document a surge in global funding for arts and humanities, such that the increase is not over 200% compared to 2025 levels. Resolution criteria: Funding data from UNESCO and global arts councils. (b) Traditional art mediums (painting, sculpture, etc.) see a decline in practice and sales by over 80%, supplanted by digital media art forms. Resolution criteria: Market reports from art industry analysts and sales data from major auction houses.",0.15,"Will either a new renaissance in arts and humanities emerge or will digital media completely replace traditional art mediums by 2035?

Will either of the following occur by December 31, 2035:  
(a) A documented surge in global funding for arts and humanities, increasing by over 200% compared to 2025 levels? Resolution criteria: Funding data from UNESCO and global arts councils.  
(b) Traditional art mediums (painting, sculpture, etc.) see a decline in practice and sales by over 80%, supplanted by digital media art forms? Resolution criteria: Market reports from art industry analysts and sales data from major auction houses.",0.15,,,0.24221920529946864
