,question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score,generation_reasoning
219,iter4_h2_q1,4,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Sustainable Fashion,,P,Will Patagonia's sales of environmentally-friendly clothing increase by more than 30% in 2028?,"This question resolves as YES if Patagonia's sales of environmentally-friendly clothing increase by more than 30% in 2028, as reported by Patagonia's official website or reputable outdoor industry sources like Outdoor Industry Association.",0.51,"[0.55, 0.65, 0.45, 0.45, 0.45]",0.5978673183356049,
220,iter4_h2_q1,4,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Sustainable Fashion,,Q_given_P,"Given that Patagonia's sales of environmentally-friendly clothing increase, will the company's overall revenue exceed $1 billion by 2030?","This question resolves as YES if Patagonia's overall revenue exceeds $1 billion by December 31, 2030, as reported by Patagonia's official website or reputable financial sources like Forbes.",0.75,"[0.75, 0.75, 0.75, 0.75, 0.75]",0.5978673183356049,
221,iter4_h2_q1,4,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Sustainable Fashion,,P_and_Q,Will Patagonia's sales of environmentally-friendly clothing increase and the company's overall revenue exceed $1 billion by 2030?,"This question resolves as YES if both conditions are met: Patagonia's sales of environmentally-friendly clothing increase by more than 30% in 2028, and the company's overall revenue exceeds $1 billion by December 31, 2030, as reported by Patagonia's official website and reputable financial sources like Forbes.",0.75,"[0.75, 0.75, 0.75, 0.75, 0.75]",0.5978673183356049,
488,iter13_h2_q0,13,"The model underestimates the impact of geopolitics on global energy markets, specifically in the context of renewable energy investments",Energy and Geopolitics,,P_and_Q,Will China increase its investment in renewable energy by more than 120% in 2029 and the global demand for fossil fuels decrease by more than 30% by 2035?,"This question resolves as YES if both conditions are met: China increases its investment in renewable energy by more than 120% in 2029, and the global demand for fossil fuels decreases by more than 30% by December 31, 2035, as reported by China's official website, reputable sources like the National Bureau of Statistics of China or the IEA, and reputable sources like the IEA or the EIA.",0.41,"[0.45, 0.35, 0.35, 0.45, 0.45]",0.5589417724400506,
487,iter13_h2_q0,13,"The model underestimates the impact of geopolitics on global energy markets, specifically in the context of renewable energy investments",Energy and Geopolitics,,Q_given_P,"Given an increase in China's investment in renewable energy, will the global demand for fossil fuels decrease by more than 30% by 2035?","This question resolves as YES if the global demand for fossil fuels decreases by more than 30% by December 31, 2035, as reported by reputable sources like the IEA or the Energy Information Administration (EIA).",0.35,"[0.35, 0.35, 0.35, 0.35, 0.35]",0.5589417724400506,
486,iter13_h2_q0,13,"The model underestimates the impact of geopolitics on global energy markets, specifically in the context of renewable energy investments",Energy and Geopolitics,,P,Will China increase its investment in renewable energy by more than 120% in 2029?,"This question resolves as YES if China increases its investment in renewable energy by more than 120% in 2029, as reported by China's official website or reputable sources like the National Bureau of Statistics of China or the International Energy Agency (IEA).",0.3099999999999999,"[0.3, 0.25, 0.35, 0.3, 0.35]",0.5589417724400506,
320,iter7_h4_q0,7,The model underestimates the impact of geopolitics on global energy markets,Global Energy Markets,,P_and_Q,Will China increase its investment in renewable energy by more than 50% in 2027 and the global demand for fossil fuels decrease by more than 15% by 2030?,"This question resolves as YES if both conditions are met: China increases its investment in renewable energy by more than 50% in 2027, and the global demand for fossil fuels decreases by more than 15% by December 31, 2030, as reported by China's official website, reputable sources like the National Bureau of Statistics of China or the IEA, and reputable sources like the IEA or the EIA.",0.45,"[0.45, 0.45, 0.45, 0.45, 0.45]",0.5449153683827513,
319,iter7_h4_q0,7,The model underestimates the impact of geopolitics on global energy markets,Global Energy Markets,,Q_given_P,"Given an increase in China's investment in renewable energy, will the global demand for fossil fuels decrease by more than 15% by 2030?","This question resolves as YES if the global demand for fossil fuels decreases by more than 15% by December 31, 2030, as reported by reputable sources like the IEA or the Energy Information Administration (EIA).",0.35,"[0.35, 0.35, 0.35, 0.35, 0.35]",0.5449153683827513,
318,iter7_h4_q0,7,The model underestimates the impact of geopolitics on global energy markets,Global Energy Markets,,P,Will China increase its investment in renewable energy by more than 50% in 2027?,"This question resolves as YES if China increases its investment in renewable energy by more than 50% in 2027, as reported by China's official website or reputable sources like the National Bureau of Statistics of China or the International Energy Agency (IEA).",0.41,"[0.45, 0.35, 0.35, 0.45, 0.45]",0.5449153683827513,
304,iter7_h1_q1,7,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Sustainable Fashion,,Q_given_P,"Given an increase in Patagonia's sales of environmentally-friendly clothing, will the company's overall revenue exceed $3 billion by 2030?","This question resolves as YES if Patagonia's overall revenue exceeds $3 billion by December 31, 2030, as reported by Patagonia's official website or reputable financial sources like Forbes.",0.6799999999999999,"[0.65, 0.65, 0.7, 0.75, 0.65]",0.5400323292203595,
305,iter7_h1_q1,7,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Sustainable Fashion,,P_and_Q,Will Patagonia's sales of environmentally-friendly clothing increase by more than 40% in 2027 and the company's overall revenue exceed $3 billion by 2030?,"This question resolves as YES if both conditions are met: Patagonia's sales of environmentally-friendly clothing increase by more than 40% in 2027, and the company's overall revenue exceeds $3 billion by December 31, 2030, as reported by Patagonia's official website, reputable outdoor industry sources like the Outdoor Industry Association, and reputable financial sources like Forbes.",0.5700000000000001,"[0.55, 0.55, 0.65, 0.45, 0.65]",0.5400323292203595,
