model_name,log_path
openai/gpt-4o_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T21-49-45+00-00_legalbench-initial-aggregated_MWMpWtXdf2pnJhkHHTbBdD.eval
openai/gpt-4o-mini_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T21-50-13+00-00_legalbench-initial-aggregated_3QNK7fmoBiU8QmcWyXdAkL.eval
openai/o3-mini_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T21-50-24+00-00_legalbench-initial-aggregated_jKAtUDBwh4ZF2QUNgQ7J82.eval
together/meta-llama/Llama-3.3-70B-Instruct-Turbo_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T21-50-47+00-00_legalbench-initial-aggregated_HsGGaQNEPrqMbBQY8XvXsC.eval
anthropic/claude-3-5-sonnet-latest_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-04T21-50-55+00-00_legalbench-initial-aggregated_WTeZ42NSNoefcv2x3TrECU.eval
openai/gpt-4o_maud_financial_point_of_view_is_the_sole_consideration,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T22-02-06+00-00_legalbench-initial-aggregated_2C7AfxFs3gV6cS9NGuMQGX.eval
openai/gpt-4o-mini_maud_financial_point_of_view_is_the_sole_consideration,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T22-02-29+00-00_legalbench-initial-aggregated_Ua5CgywKBFdXnLpPTpWixy.eval
openai/o3-mini_maud_financial_point_of_view_is_the_sole_consideration,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T22-02-44+00-00_legalbench-initial-aggregated_bmjK6j4B2Vj2rLnssLtd4h.eval
together/meta-llama/Llama-3.3-70B-Instruct-Turbo_maud_financial_point_of_view_is_the_sole_consideration,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T22-03-09+00-00_legalbench-initial-aggregated_gRJeKX8wwanDudFb5vnyXJ.eval
anthropic/claude-3-5-sonnet-latest_maud_financial_point_of_view_is_the_sole_consideration,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T22-03-17+00-00_legalbench-initial-aggregated_B34YgLW7Hd46yDb8ior9MZ.eval
openai/gpt-4o_maud_accuracy_of_fundamental_target_rws_bringdown_standard,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T22-03-42+00-00_legalbench-initial-aggregated_mq2UHmH2pWLGmS7WjLAQLs.eval
openai/gpt-4o-mini_maud_accuracy_of_fundamental_target_rws_bringdown_standard,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T22-04-15+00-00_legalbench-initial-aggregated_ipoWR6ULevjoKJDCuuGPum.eval
openai/o3-mini_maud_accuracy_of_fundamental_target_rws_bringdown_standard,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T22-04-39+00-00_legalbench-initial-aggregated_QKVep54NB2BvyRtGnWdRuR.eval
together/meta-llama/Llama-3.3-70B-Instruct-Turbo_maud_accuracy_of_fundamental_target_rws_bringdown_standard,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T22-05-45+00-00_legalbench-initial-aggregated_6APmX6WBXwsvK9rVARwBPQ.eval
anthropic/claude-3-5-sonnet-latest_maud_accuracy_of_fundamental_target_rws_bringdown_standard,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T22-06-06+00-00_legalbench-initial-aggregated_dZoqFRdJVsD5cnVUiMLsxK.eval
openai/gpt-4o_maud_accuracy_of_target_general_rw_bringdown_timing_answer,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T22-06-44+00-00_legalbench-initial-aggregated_eP56YyAHYJexauybbZyN4k.eval
openai/gpt-4o-mini_maud_accuracy_of_target_general_rw_bringdown_timing_answer,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T22-07-11+00-00_legalbench-initial-aggregated_gWu5eCgw6xPx3E7LpXFtM7.eval
openai/o3-mini_maud_accuracy_of_target_general_rw_bringdown_timing_answer,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T22-07-31+00-00_legalbench-initial-aggregated_a29Lx7etCvn6v5WoBHLDYC.eval
together/meta-llama/Llama-3.3-70B-Instruct-Turbo_maud_accuracy_of_target_general_rw_bringdown_timing_answer,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T22-08-14+00-00_legalbench-initial-aggregated_Wf3E5mhTsK2PmBwLfHSxHz.eval
anthropic/claude-3-5-sonnet-latest_maud_accuracy_of_target_general_rw_bringdown_timing_answer,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_2/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T22-08-31+00-00_legalbench-initial-aggregated_d9UEwQugWsz9HhihwC7HXE.eval
