question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score,generation_reasoning
iter1_h0_q0,1,The model overestimates conditional probabilities when the conditioned event is highly dependent on the conditioning event,Politics,Overestimation of conditional probability,P,Will Joe Biden be the Democratic Presidential nominee in 2024?,"This question resolves as YES if Joe Biden is the Democratic Presidential nominee in 2024, according to CNN (cnn.com) on August 1, 2024.",0.75,"[0.75, 0.75, 0.75, 0.75, 0.75]",0.5425254314756646,
iter1_h0_q0,1,The model overestimates conditional probabilities when the conditioned event is highly dependent on the conditioning event,Politics,Overestimation of conditional probability,Q_given_P,"Given that Joe Biden is the Democratic Presidential nominee, will the 2024 Democratic National Convention be held virtually due to COVID-19?","This question resolves as YES if, given that Joe Biden is the Democratic Presidential nominee, the 2024 Democratic National Convention is held virtually due to COVID-19, according to the Democratic National Committee (dnc.org) on August 1, 2024.",0.16,"[0.15, 0.15, 0.2, 0.15, 0.15]",0.5425254314756646,
iter1_h0_q0,1,The model overestimates conditional probabilities when the conditioned event is highly dependent on the conditioning event,Politics,Overestimation of conditional probability,P_and_Q,Will Joe Biden be the Democratic Presidential nominee and the 2024 Democratic National Convention be held virtually due to COVID-19?,"This question resolves as YES if both conditions are met: Joe Biden is the Democratic Presidential nominee and the 2024 Democratic National Convention is held virtually due to COVID-19, according to CNN (cnn.com) and the Democratic National Committee (dnc.org) on August 1, 2024.",0.43,"[0.3, 0.3, 0.6, 0.3, 0.65]",0.5425254314756646,
iter1_h0_q1,1,The model overestimates conditional probabilities when the conditioned event is highly dependent on the conditioning event,Sports,Overestimation of conditional probability,P,Will LeBron James win the NBA MVP award in 2025?,"This question resolves as YES if LeBron James wins the NBA MVP award in 2025, according to the official NBA website (nba.com) on June 1, 2025.",0.28,"[0.25, 0.25, 0.3, 0.3, 0.3]",0.0826406668265954,
iter1_h0_q1,1,The model overestimates conditional probabilities when the conditioned event is highly dependent on the conditioning event,Sports,Overestimation of conditional probability,Q_given_P,"Given that LeBron James wins the NBA MVP award, will the Los Angeles Lakers win the NBA championship in 2025?","This question resolves as YES if, given that LeBron James wins the NBA MVP award, the Los Angeles Lakers win the NBA championship in 2025, according to the official NBA website (nba.com) on June 30, 2025.",0.6,"[0.65, 0.65, 0.65, 0.65, 0.4]",0.0826406668265954,
iter1_h0_q1,1,The model overestimates conditional probabilities when the conditioned event is highly dependent on the conditioning event,Sports,Overestimation of conditional probability,P_and_Q,Will LeBron James win the NBA MVP award and the Los Angeles Lakers win the NBA championship in 2025?,"This question resolves as YES if both conditions are met: LeBron James wins the NBA MVP award and the Los Angeles Lakers win the NBA championship in 2025, according to the official NBA website (nba.com) on June 30, 2025.",0.20999999999999996,"[0.25, 0.2, 0.25, 0.2, 0.15]",0.0826406668265954,
iter1_h0_q2,1,The model overestimates conditional probabilities when the conditioned event is highly dependent on the conditioning event,Technology,Overestimation of conditional probability,P,Will Apple release a new iPhone model in 2025?,"This question resolves as YES if Apple releases a new iPhone model in 2025, according to Apple's official website (apple.com) on September 1, 2025.",0.85,"[0.85, 0.85, 0.85, 0.85, 0.85]",0.1965737244658179,
iter1_h0_q2,1,The model overestimates conditional probabilities when the conditioned event is highly dependent on the conditioning event,Technology,Overestimation of conditional probability,Q_given_P,"Given that Apple releases a new iPhone model, will the new iPhone have a 5G connectivity feature?","This question resolves as YES if, given that Apple releases a new iPhone model, the new iPhone has a 5G connectivity feature, according to Apple's official website (apple.com) on September 1, 2025.",0.9299999999999999,"[0.95, 0.95, 0.9, 0.9, 0.95]",0.1965737244658179,
iter1_h0_q2,1,The model overestimates conditional probabilities when the conditioned event is highly dependent on the conditioning event,Technology,Overestimation of conditional probability,P_and_Q,Will Apple release a new iPhone model and the new iPhone have a 5G connectivity feature in 2025?,"This question resolves as YES if both conditions are met: Apple releases a new iPhone model and the new iPhone has a 5G connectivity feature in 2025, according to Apple's official website (apple.com) on September 1, 2025.",0.89,"[0.9, 0.9, 0.9, 0.9, 0.85]",0.1965737244658179,
iter1_h1_q0,1,The model underestimates the impact of climate change on global food production,Environment,Underestimation of climate change impact,P,Will the number of category 4 and 5 hurricanes in the Atlantic increase by more than 25% by 2032?,"This question resolves as YES if the number of category 4 and 5 hurricanes in the Atlantic increases by more than 25% by 2032, as reported by the National Hurricane Center (nhc.noaa.gov) on December 31, 2032.",0.71,"[0.7, 0.7, 0.7, 0.75, 0.7]",0.728504767531493,
