"target_model_name","P","Q"
"DeepSeek-V3","Title: Will IBM develop a quantum computer capable of simulating complex chemical reactions by 2028?
Body: This question resolves as YES if IBM develops a quantum computer capable of simulating complex chemical reactions by 2028, as reported by IBM on their official website (ibm.com) by December 31, 2028. Resolution source: IBM's official press releases.","Title: Will the US Department of Energy invest more than $1 billion in quantum computing research for cybersecurity applications by 2030?
Body: This question resolves as YES if the US Department of Energy invests more than $1 billion in quantum computing research for cybersecurity applications by 2030, as reported by the US Department of Energy on their official website (energy.gov) by December 31, 2030. Resolution source: US Department of Energy's official budget reports."
"DeepSeek-V3","Title: Will Eliud Kipchoge win the 2027 London Marathon?
Body: This question resolves as YES if Eliud Kipchoge wins the 2027 London Marathon, as announced by the London Marathon organizers on their official website (londonmarathon.com) by May 31, 2027. Resolution source: London Marathon's official website.","Title: Will Kenya win at least 9 gold medals in track and field events at the 2027 World Championships?
Body: This question resolves as YES if Kenya wins at least 9 gold medals in track and field events at the 2027 World Championships, as reported by World Athletics on their official website (worldathletics.org) by August 31, 2027. Resolution source: World Athletics' official website."
"DeepSeek-V3","Title: Will Eliud Kipchoge win the 2026 London Marathon?
Body: This question resolves as YES if Eliud Kipchoge wins the 2026 London Marathon, as announced by the London Marathon organizers on their official website (londonmarathon.com) by May 31, 2026. Resolution source: London Marathon's official website.","Title: Will Kenya win at least 7 gold medals in track and field events at the 2026 World Championships?
Body: This question resolves as YES if Kenya wins at least 7 gold medals in track and field events at the 2026 World Championships, as reported by World Athletics on their official website (worldathletics.org) by August 31, 2026. Resolution source: World Athletics' official website."
"DeepSeek-V3","Title: Will the European Central Bank raise interest rates by more than 1% in 2024?
Body: The ECB has been monitoring inflation and economic growth in the EU, and a rate hike is possible. Resolution date: December 31, 2024. Resolution criteria: Official ECB press release. Resolution source: ECB.eu","Title: Will the euro appreciate against the US dollar by more than 5% in 2024?
Body: This question resolves as YES if the euro appreciates against the US dollar by more than 5% from January 1, 2024 to December 31, 2024. Resolution date: December 31, 2024. Resolution criteria: Official exchange rate data from the ECB showing the percentage change between the EUR/USD exchange rate on January 1, 2024 and December 31, 2024. Resolution source: ECB.eu"
"DeepSeek-V3","Title: Will LeBron James win the NBA MVP award in 2025?
Body: This question resolves as YES if LeBron James wins the NBA MVP award in 2025, as announced by the National Basketball Association (NBA) on their official website (NBA.com) by May 31, 2025.","Title: Will the Los Angeles Lakers win the NBA championship in 2025?
Body: This question resolves as YES if the Los Angeles Lakers win the NBA championship in 2025, as announced by the National Basketball Association (NBA) on their official website (NBA.com) by July 31, 2025."
"DeepSeek-V3","Title: Will Eliud Kipchoge win the 2025 London Marathon?
Body: This question resolves as YES if Eliud Kipchoge wins the 2025 London Marathon, as announced by the London Marathon organizers on their official website (londonmarathon.com) by May 31, 2025.","Title: Will Kenya win at least 5 gold medals in track and field events at the 2025 World Championships?
Body: This question resolves as YES if Kenya wins at least 5 gold medals in track and field events at the 2025 World Championships, as reported by World Athletics on their official website (worldathletics.org) by August 31, 2025."
"DeepSeek-V3","Title: Will Tesla achieve level 5 autonomy in its vehicles by 2025?
Body: This question resolves as YES if Tesla achieves level 5 autonomy in its vehicles by 2025, as announced by Tesla on their official website (Tesla.com) by December 31, 2025.","Title: Will Waymo also achieve level 5 autonomy in its vehicles by 2025?
Body: This question resolves as YES if Waymo achieves level 5 autonomy in its vehicles by 2025, as reported by Waymo on their official website (Waymo.com) by December 31, 2025."
"DeepSeek-V3","Title: Will Google announce a functional quantum computer capable of breaking current encryption standards by 2027?
Body: This question resolves as YES if Google announces a functional quantum computer capable of breaking current encryption standards by 2027, as reported by Google on their official blog (blog.google) by December 31, 2027. Resolution source: Google's official blog posts.","Title: Will the NSA develop and implement new quantum-resistant encryption standards for US government communications by 2029?
Body: This question resolves as YES if the NSA develops and implements new quantum-resistant encryption standards for US government communications by 2029, as reported by the NSA on their official website (nsa.gov) by December 31, 2029. Resolution source: NSA's official press releases."
"DeepSeek-V3","Title: Will the Federal Reserve raise interest rates by more than 1% in 2025?
Body: This question resolves as YES if the Federal Reserve raises interest rates by more than 1% in 2025, as announced by the Federal Reserve on their official website (federalreserve.gov) by December 31, 2025.","Title: Will the S&P 500 decline by more than 10% in 2025?
Body: This question resolves as YES if the S&P 500 declines by more than 10% from its opening value on January 1, 2025 to its closing value on December 31, 2025, as reported by S&P Dow Jones Indices on their official website (spglobal.com) by December 31, 2025."
"DeepSeek-V3","Title: Will Google comply with the EU's Digital Services Act by 2025?
Body: This question resolves as YES if Google complies with the EU's Digital Services Act by 2025, as reported by the European Commission on their official website (Ec.europa.eu) by December 31, 2025.","Title: Will Amazon also comply with the EU's Digital Services Act by 2025?
Body: This question resolves as YES if Amazon complies with the EU's Digital Services Act by 2025, as reported by the European Commission on their official website (Ec.europa.eu) by December 31, 2025."
