eval_model_name,generator_model_name,re_eval_model_name,initial_log_path,adaptive_log_path,re_eval_log_path,use_example,use_cot_target,use_cot_in_context_attacker,num_epochs,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer_name,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer_name,judge_model_name,positive_samples,negative_samples,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file
openai/gpt-4o,openai/gpt-4o-mini,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T01-37-52+00-00_legalbench-initial-aggregated_V5nhKAGpkovAnkV77nAgkf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-38-35+00-00_adaptive-legal_N3rbkpiL5Cm83NAUvWAaCV.eval,,True,True,True,10,0.8,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o-mini_20250404_013918.csv
openai/gpt-4o,openai/gpt-4o-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T01-37-52+00-00_legalbench-initial-aggregated_V5nhKAGpkovAnkV77nAgkf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-38-35+00-00_adaptive-legal_N3rbkpiL5Cm83NAUvWAaCV.eval,,True,True,True,10,0.8,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o-mini_20250404_013918.csv
openai/gpt-4o,openai/gpt-4o-mini,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T01-37-52+00-00_legalbench-initial-aggregated_V5nhKAGpkovAnkV77nAgkf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-38-35+00-00_adaptive-legal_N3rbkpiL5Cm83NAUvWAaCV.eval,,True,True,True,10,0.8,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o-mini_20250404_013918.csv
openai/gpt-4o-mini,openai/gpt-4o-mini,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T01-37-52+00-00_legalbench-initial-aggregated_V5nhKAGpkovAnkV77nAgkf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-39-19+00-00_adaptive-legal_jmvtY7DBmQqK8G3xwpEaQY.eval,,True,True,True,10,1.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o-mini_20250404_013942.csv
openai/gpt-4o-mini,openai/gpt-4o-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T01-37-52+00-00_legalbench-initial-aggregated_V5nhKAGpkovAnkV77nAgkf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-39-19+00-00_adaptive-legal_jmvtY7DBmQqK8G3xwpEaQY.eval,,True,True,True,10,1.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o-mini_20250404_013942.csv
openai/gpt-4o-mini,openai/gpt-4o-mini,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T01-37-52+00-00_legalbench-initial-aggregated_V5nhKAGpkovAnkV77nAgkf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-39-19+00-00_adaptive-legal_jmvtY7DBmQqK8G3xwpEaQY.eval,,True,True,True,10,1.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o-mini_20250404_013942.csv
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o-mini,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T01-37-52+00-00_legalbench-initial-aggregated_V5nhKAGpkovAnkV77nAgkf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-39-45+00-00_adaptive-legal_etK47NdLBn4yKuY5Wzeytm.eval,,True,True,True,10,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_20250404_015444.csv
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o-mini,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T01-37-52+00-00_legalbench-initial-aggregated_V5nhKAGpkovAnkV77nAgkf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-39-45+00-00_adaptive-legal_etK47NdLBn4yKuY5Wzeytm.eval,,True,True,True,10,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_20250404_015444.csv
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o-mini,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T01-37-52+00-00_legalbench-initial-aggregated_V5nhKAGpkovAnkV77nAgkf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_pos1_neg8/2025-04-04T01-39-45+00-00_adaptive-legal_etK47NdLBn4yKuY5Wzeytm.eval,,True,True,True,10,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_openai_gpt-4o-mini_20250404_015444.csv
openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T01-37-52+00-00_legalbench-initial-aggregated_V5nhKAGpkovAnkV77nAgkf.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_target_cot_attacker_num_epochs_10/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_pos1_neg8/2025-04-04T01-54-44+00-00_adaptive-legal_BUyBoCMhnTqFMyUWBZq2HS.eval,,True,True,True,10,0.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_together_meta-llama_Llama-3.3-70B-Instruct-Turbo_20250404_015451.csv
