question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
iter1_h0_q0,1,The model assumes strong correlation between individual and national sports performance,,,P,Faith Kipyegon breaks the 1500m world record in 2025,"Faith Kipyegon, the current world champion in the 1500m, will attempt to break the world record at the 2025 World Athletics Championships. The current world record is 3:51.95, set by Genzebe Dibaba in 2015. Will Faith Kipyegon break the 1500m world record in 2025? Resolution criteria: Official results from the 2025 World Athletics Championships, as reported by World Athletics. Resolution date: August 15, 2025.",0.4,"[0.42, 0.32, 0.32, 0.62, 0.32]",0.11734791693156431
iter1_h0_q0,1,The model assumes strong correlation between individual and national sports performance,,,Q_given_P,Kenya wins at least 3 medals in women's middle-distance events at the 2025 World Championships,"Given that Faith Kipyegon breaks the 1500m world record, will Kenya win at least 3 medals in women's middle-distance events (800m, 1500m, 5000m, 10,000m) at the 2025 World Athletics Championships? Resolution criteria: Official results from the 2025 World Athletics Championships, as reported by World Athletics. Resolution date: August 15, 2025.",0.82,"[0.82, 0.82, 0.82, 0.82, 0.82]",0.11734791693156431
iter1_h0_q0,1,The model assumes strong correlation between individual and national sports performance,,,P_and_Q,Faith Kipyegon breaks the 1500m world record and Kenya wins at least 3 medals in women's middle-distance events,"Will both Faith Kipyegon break the 1500m world record and Kenya win at least 3 medals in women's middle-distance events at the 2025 World Athletics Championships? Resolution criteria: Official results from the 2025 World Athletics Championships, as reported by World Athletics. Resolution date: August 15, 2025.",0.256,"[0.25, 0.18, 0.18, 0.25, 0.42]",0.11734791693156431
iter1_h0_q1,1,The model assumes strong correlation between individual and national sports performance,,,P,Eliud Kipchoge wins the 2025 London Marathon,"Eliud Kipchoge, the current world record holder in the marathon, will attempt to win the 2025 London Marathon. Will Eliud Kipchoge win the 2025 London Marathon? Resolution criteria: Official results from the 2025 London Marathon, as reported by the London Marathon organizers. Resolution date: April 21, 2025.",0.58,"[0.55, 0.6, 0.55, 0.6, 0.6]",0.25630828304190045
iter1_h0_q1,1,The model assumes strong correlation between individual and national sports performance,,,Q_given_P,Kenya wins at least 2 medals in men's distance events at the 2025 World Championships,"Given that Eliud Kipchoge wins the 2025 London Marathon, will Kenya win at least 2 medals in men's distance events (5000m, 10,000m, marathon) at the 2025 World Athletics Championships? Resolution criteria: Official results from the 2025 World Athletics Championships, as reported by World Athletics. Resolution date: August 15, 2025.",0.82,"[0.82, 0.82, 0.82, 0.82, 0.82]",0.25630828304190045
iter1_h0_q1,1,The model assumes strong correlation between individual and national sports performance,,,P_and_Q,Eliud Kipchoge wins the 2025 London Marathon and Kenya wins at least 2 medals in men's distance events,"Will both Eliud Kipchoge win the 2025 London Marathon and Kenya win at least 2 medals in men's distance events at the 2025 World Athletics Championships? Resolution criteria: Official results from the 2025 World Athletics Championships, as reported by World Athletics. Resolution date: August 15, 2025.",0.30799999999999994,"[0.24, 0.42, 0.25, 0.35, 0.28]",0.25630828304190045
iter1_h0_q2,1,The model assumes strong correlation between individual and national sports performance,,,P,Noah Lyles breaks the 200m world record in 2025,"Noah Lyles, the current world champion in the 200m, will attempt to break the world record at the 2025 World Athletics Championships. The current world record is 19.19, set by Erriyon Knighton in 2022. Will Noah Lyles break the 200m world record in 2025? Resolution criteria: Official results from the 2025 World Athletics Championships, as reported by World Athletics. Resolution date: August 15, 2025.",0.258,"[0.35, 0.23, 0.23, 0.25, 0.23]",0.3824011349360963
iter1_h0_q2,1,The model assumes strong correlation between individual and national sports performance,,,Q_given_P,The United States wins at least 4 medals in men's sprint events at the 2025 World Championships,"Given that Noah Lyles breaks the 200m world record, will the United States win at least 4 medals in men's sprint events (100m, 200m, 4x100m relay) at the 2025 World Athletics Championships? Resolution criteria: Official results from the 2025 World Athletics Championships, as reported by World Athletics. Resolution date: August 15, 2025.",0.85,"[0.85, 0.85, 0.85, 0.85, 0.85]",0.3824011349360963
iter1_h0_q2,1,The model assumes strong correlation between individual and national sports performance,,,P_and_Q,Noah Lyles breaks the 200m world record and the United States wins at least 4 medals in men's sprint events,"Will both Noah Lyles break the 200m world record and the United States win at least 4 medals in men's sprint events at the 2025 World Athletics Championships? Resolution criteria: Official results from the 2025 World Athletics Championships, as reported by World Athletics. Resolution date: August 15, 2025.",0.45999999999999996,"[0.42, 0.42, 0.42, 0.62, 0.42]",0.3824011349360963
iter1_h0_q3,1,The model assumes strong correlation between individual and national sports performance,,,P,Sifan Hassan wins the 2025 World Cross Country Championships,"Sifan Hassan, the current world champion in the 5000m and 10,000m, will attempt to win the 2025 World Cross Country Championships. Will Sifan Hassan win the 2025 World Cross Country Championships? Resolution criteria: Official results from the 2025 World Cross Country Championships, as reported by World Athletics. Resolution date: February 20, 2025.",0.35,"[0.35, 0.35, 0.35, 0.35, 0.35]",0.05077197632891379
