question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
iter1_h0_q0,1,The model assumes a strong correlation between a company's research and development expenses and its innovation output,AI and Computing,Overestimates correlation,P,Will Amazon increase its research and development expenses by at least 20% in 2026,"Will Amazon increase its research and development expenses by at least 20% in 2026, with the expenses being officially reported by Amazon by November 30, 2026, and the report being published by CNBC?",0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.2827478835906322
iter1_h0_q0,1,The model assumes a strong correlation between a company's research and development expenses and its innovation output,AI and Computing,Overestimates correlation,Q_given_P,"Given that Amazon increases its research and development expenses, will Amazon release at least 4 new major products or services by the end of 2027","Given that Amazon increases its research and development expenses by at least 20% in 2026, will Amazon release at least 4 new major products or services by the end of 2027, with the product releases being officially reported by Amazon by January 15, 2028, and the report being published by The Verge?",0.8099999999999999,"[0.75, 0.85, 0.85, 0.75, 0.85]",0.2827478835906322
iter1_h0_q0,1,The model assumes a strong correlation between a company's research and development expenses and its innovation output,AI and Computing,Overestimates correlation,P_and_Q,Will Amazon increase its research and development expenses and release new products,"Will both Amazon increase its research and development expenses by at least 20% in 2026 and release at least 4 new major products or services by the end of 2027, with the expenses and product releases being officially reported by Amazon by January 15, 2028, and the report being published by CNBC and The Verge?",0.71,"[0.65, 0.75, 0.65, 0.75, 0.75]",0.2827478835906322
iter1_h0_q1,1,The model assumes a strong correlation between a company's research and development expenses and its innovation output,AI and Computing,Overestimates correlation,P,Will Google increase its research and development expenses by at least 30% in 2027,"Will Google increase its research and development expenses by at least 30% in 2027, with the expenses being officially reported by Google by November 30, 2027, and the report being published by Bloomberg?",0.37,"[0.35, 0.35, 0.35, 0.35, 0.45]",0.2881828510163185
iter1_h0_q1,1,The model assumes a strong correlation between a company's research and development expenses and its innovation output,AI and Computing,Overestimates correlation,Q_given_P,"Given that Google increases its research and development expenses, will Google release at least 5 new major products or services by the end of 2028","Given that Google increases its research and development expenses by at least 30% in 2027, will Google release at least 5 new major products or services by the end of 2028, with the product releases being officially reported by Google by January 15, 2029, and the report being published by TechCrunch?",0.77,"[0.75, 0.75, 0.85, 0.75, 0.75]",0.2881828510163185
iter1_h0_q1,1,The model assumes a strong correlation between a company's research and development expenses and its innovation output,AI and Computing,Overestimates correlation,P_and_Q,Will Google increase its research and development expenses and release new products,"Will both Google increase its research and development expenses by at least 30% in 2027 and release at least 5 new major products or services by the end of 2028, with the expenses and product releases being officially reported by Google by January 15, 2029, and the report being published by Bloomberg and TechCrunch?",0.47000000000000003,"[0.45, 0.45, 0.35, 0.45, 0.65]",0.2881828510163185
iter1_h0_q2,1,The model assumes a strong correlation between a company's research and development expenses and its innovation output,AI and Computing,Overestimates correlation,P,Will Facebook increase its research and development expenses by at least 25% in 2028,"Will Facebook increase its research and development expenses by at least 25% in 2028, with the expenses being officially reported by Facebook by November 30, 2028, and the report being published by Reuters?",0.63,"[0.6, 0.65, 0.65, 0.65, 0.6]",0.31861393399825494
iter1_h0_q2,1,The model assumes a strong correlation between a company's research and development expenses and its innovation output,AI and Computing,Overestimates correlation,Q_given_P,"Given that Facebook increases its research and development expenses, will Facebook release at least 3 new major products or services by the end of 2029","Given that Facebook increases its research and development expenses by at least 25% in 2028, will Facebook release at least 3 new major products or services by the end of 2029, with the product releases being officially reported by Facebook by January 15, 2030, and the report being published by CNET?",0.75,"[0.75, 0.75, 0.75, 0.75, 0.75]",0.31861393399825494
iter1_h0_q2,1,The model assumes a strong correlation between a company's research and development expenses and its innovation output,AI and Computing,Overestimates correlation,P_and_Q,Will Facebook increase its research and development expenses and release new products,"Will both Facebook increase its research and development expenses by at least 25% in 2028 and release at least 3 new major products or services by the end of 2029, with the expenses and product releases being officially reported by Facebook by January 15, 2030, and the report being published by Reuters and CNET?",0.6799999999999999,"[0.75, 0.7, 0.65, 0.65, 0.65]",0.31861393399825494
iter1_h1_q0,1,"The model overestimates the correlation between a company's commitment to environmental sustainability and its stock performance, neglecting the impact of industry trends and global economic conditions",Environmental Sustainability,Overestimates correlation,P,Will Apple's investment in renewable energy exceed $2.5 billion in 2026,"Will Apple's investment in renewable energy exceed $2.5 billion in 2026, according to Apple's official website by December 31, 2026, and verified by Apple's annual report?",0.73,"[0.75, 0.75, 0.75, 0.75, 0.65]",0.3410871107784555
