check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
not,"Will a global agreement to deploy solar geoengineering techniques to combat climate change be reached by 2035?

Will countries representing over 75% of global GDP sign an agreement to implement solar geoengineering methods to reduce global temperatures by December 31, 2035, as documented in international treaties?",0.25,"Will unintended consequences of geoengineering cause a global agricultural collapse by 2040?

Will the deployment of solar geoengineering lead to a significant global agricultural collapse—defined by a sustained 50% reduction in crop yields—by December 31, 2040, as reported by international food organizations?",0.15,,,,,1.0671435935023752
andor,"Will a new physics theory supplant the Standard Model and be experimentally confirmed by 2040?

Will a physics theory that fundamentally replaces or extends the Standard Model be experimentally confirmed through reproducible results by December 31, 2040, as reported in leading scientific journals?",0.25,"Will technological applications based on this new physics theory be commercially available by 2045?

Will products or technologies utilizing principles from the new physics theory be commercially available to consumers by December 31, 2045, as evidenced by market releases and company announcements?",0.45,"Will a new physics theory supplant the Standard Model and be experimentally confirmed by 2040, and will technological applications based on this theory be commercially available by 2045? Body: Will both of the following occur: (a) A physics theory that fundamentally replaces or extends the Standard Model is experimentally confirmed through reproducible results by December 31, 2040, as reported in leading scientific journals. (b) Products or technologies utilizing principles from this new physics theory are commercially available to consumers by December 31, 2045, as evidenced by market releases and company announcements?

Will both of the following occur: (a) A physics theory that fundamentally replaces or extends the Standard Model is experimentally confirmed through reproducible results by December 31, 2040, as reported in leading scientific journals. (b) Products or technologies utilizing principles from this new physics theory are commercially available to consumers by December 31, 2045, as evidenced by market releases and company announcements?",0.15,"Will either a new physics theory supplant the Standard Model by 2040 or its technological applications be commercially available by 2045? Body: Will either of the following occur: (a) A physics theory that fundamentally replaces or extends the Standard Model be experimentally confirmed through reproducible results by December 31, 2040, as reported in leading scientific journals? (b) Products or technologies utilizing principles from this new physics theory be commercially available to consumers by December 31, 2045, as evidenced by market releases and company announcements? Resolution criteria: For (a), confirmation requires reproducible experimental results published in leading scientific journals. For (b), commercial availability requires evidence of market releases and company announcements.

Will either of the following occur: (a) A physics theory that fundamentally replaces or extends the Standard Model be experimentally confirmed through reproducible results by December 31, 2040, as reported in leading scientific journals? (b) Products or technologies utilizing principles from this new physics theory be commercially available to consumers by December 31, 2045, as evidenced by market releases and company announcements? Resolution criteria: For (a), confirmation requires reproducible experimental results published in leading scientific journals. For (b), commercial availability requires evidence of market releases and company announcements.",0.15,0.4811948466713841
andor,"Will conclusive evidence of a multiverse be obtained through cosmological observations by 2045?

Will astronomers or physicists obtain empirical evidence supporting the existence of a multiverse by December 31, 2045, as published in peer-reviewed scientific journals?",0.15,"Will technology enabling travel or communication between universes be developed by 2100?

Will any technology allowing humans to travel to or communicate with other universes in the multiverse be developed by December 31, 2100, as documented in scientific and technological records?",0.01,"Will both conclusive evidence of a multiverse be obtained by 2045 and technology enabling inter-universal travel or communication be developed by 2100? Body: Will both of the following occur: (a) Astronomers or physicists obtain empirical evidence supporting the existence of a multiverse by December 31, 2045, as published in peer-reviewed scientific journals, and (b) Technology allowing humans to travel to or communicate with other universes in the multiverse be developed by December 31, 2100, as documented in scientific and technological records? Resolution criteria: Both conditions must be met for a ""Yes"" answer. If either condition is not met, the answer is ""No"".

Will both of the following occur: (a) Astronomers or physicists obtain empirical evidence supporting the existence of a multiverse by December 31, 2045, as published in peer-reviewed scientific journals, and (b) Technology allowing humans to travel to or communicate with other universes in the multiverse be developed by December 31, 2100, as documented in scientific and technological records? Resolution criteria: Both conditions must be met for a ""Yes"" answer. If either condition is not met, the answer is ""No"".",0.01,"Will either conclusive evidence of a multiverse be obtained by 2045 or technology enabling inter-universe travel or communication be developed by 2100?

Will either of the following occur:  
(a) Will astronomers or physicists obtain empirical evidence supporting the existence of a multiverse by December 31, 2045, as published in peer-reviewed scientific journals?  
(b) Will any technology allowing humans to travel to or communicate with other universes in the multiverse be developed by December 31, 2100, as documented in scientific and technological records?  

Resolution Criteria:  
- For part (a), the question will resolve to ""Yes"" if there is a publication in a peer-reviewed scientific journal by December 31, 2045, that presents empirical evidence supporting the existence of a multiverse.  
- For part (b), the question will resolve to ""Yes"" if there is documentation in scientific and technological records by December 31, 2100, of technology that allows humans to travel to or communicate with other universes in the multiverse.  
- The overall question will resolve to ""Yes"" if either part (a) or part (b) resolves to ""Yes"". If neither part resolves to ""Yes"", the overall question will resolve to ""No"".",0.05,0.22599230735278433
andor,"Will the human genome be fully writable and customizable at the zygote level by 2035?

Will technology and methods allow for the complete customization and writing of human genomes at the zygote stage, enabling selection or alteration of any genetic traits, by December 31, 2035, as confirmed by peer-reviewed scientific publications?",0.25,"Will international regulations completely ban human genome customization by 2040?

Will a binding international agreement banning any form of human genome customization be enacted by December 31, 2040, as documented by the United Nations or other international bodies?",0.25,"Will both the human genome be fully writable and customizable at the zygote level by 2035 AND international regulations completely ban human genome customization by 2040?

Will both of the following occur: (a) Technology and methods will allow for the complete customization and writing of human genomes at the zygote stage, enabling selection or alteration of any genetic traits, by December 31, 2035, as confirmed by peer-reviewed scientific publications; AND (b) A binding international agreement banning any form of human genome customization will be enacted by December 31, 2040, as documented by the United Nations or other international bodies?",0.15,"Will either the human genome be fully writable and customizable at the zygote level by 2035, or will international regulations completely ban human genome customization by 2040?

Will either of the following occur:  
(a) Technology and methods will allow for the complete customization and writing of human genomes at the zygote stage, enabling selection or alteration of any genetic traits, by December 31, 2035, as confirmed by peer-reviewed scientific publications.  
(b) A binding international agreement banning any form of human genome customization will be enacted by December 31, 2040, as documented by the United Nations or other international bodies.  

Resolution criteria:  
- For part (a), the question resolves to ""Yes"" if peer-reviewed scientific publications confirm that technology and methods allow for the complete customization and writing of human genomes at the zygote stage by December 31, 2035.  
- For part (b), the question resolves to ""Yes"" if a binding international agreement banning any form of human genome customization is enacted by December 31, 2040, as documented by the United Nations or other international bodies.  
- The overall question resolves to ""Yes"" if either part (a) or part (b) resolves to ""Yes"".",0.35,3.2463216641072674e-17
but,"Will a cure for all forms of cancer be discovered and widely available by 2045?

Will a medical treatment that effectively cures all forms of cancer be discovered, approved by regulatory agencies (e.g., FDA, EMA), and become widely available globally by December 31, 2045, as documented in medical literature and official health organization announcements?",0.15,"Will both a cure for all forms of cancer fail to be discovered and widely available by 2045 AND global average human life expectancy exceed 100 years by 2050?

Will both of the following occur:  
(a) There will be a failure to discover a medical treatment that effectively cures all forms of cancer, or it will not be approved by regulatory agencies (e.g., FDA, EMA), or it will not become widely available globally by December 31, 2045, as documented in medical literature and official health organization announcements.  
(b) The global average life expectancy at birth will surpass 100 years by December 31, 2050, according to data from the World Health Organization or the United Nations.",0.15,"Will either a cure for all forms of cancer be discovered and widely available by 2045, or will global average human life expectancy exceed 100 years by 2050? Body: Will either of the following occur: (a) A medical treatment that effectively cures all forms of cancer is discovered, approved by regulatory agencies (e.g., FDA, EMA), and becomes widely available globally by December 31, 2045, as documented in medical literature and official health organization announcements. (b) The global average life expectancy at birth surpasses 100 years by December 31, 2050, according to data from the World Health Organization or the United Nations? Resolution criteria: For (a), confirmation requires documentation in medical literature and official health organization announcements that a cure for all forms of cancer has been discovered, approved, and is widely available globally by the specified date. For (b), confirmation requires data from the World Health Organization or the United Nations showing that the global average life expectancy at birth has surpassed 100 years by the specified date.

Will either of the following occur: (a) A medical treatment that effectively cures all forms of cancer is discovered, approved by regulatory agencies (e.g., FDA, EMA), and becomes widely available globally by December 31, 2045, as documented in medical literature and official health organization announcements. (b) The global average life expectancy at birth surpasses 100 years by December 31, 2050, according to data from the World Health Organization or the United Nations? Resolution criteria: For (a), confirmation requires documentation in medical literature and official health organization announcements that a cure for all forms of cancer has been discovered, approved, and is widely available globally by the specified date. For (b), confirmation requires data from the World Health Organization or the United Nations showing that the global average life expectancy at birth has surpassed 100 years by the specified date.",0.05,,,0.45379599739174037
but,"Will a global artificial superintelligence (ASI) surpassing human collective intelligence emerge by 2050?

Will an artificial superintelligence that exceeds the combined cognitive capacity of all living humans be developed by December 31, 2050, as acknowledged by the majority of AI experts and documented in peer-reviewed publications?",0.25,"Will both no global artificial superintelligence surpassing human collective intelligence emerge by 2050 AND human employment rates drop below 20% globally due to automation by 2060?

Will both of the following occur:  
(a) An artificial superintelligence that exceeds the combined cognitive capacity of all living humans fails to be developed by December 31, 2050, as acknowledged by the majority of AI experts and documented in peer-reviewed publications.  
(b) Global human employment rates fall below 20% due to automation and AI advancements by December 31, 2060, as reported by the International Labour Organization?  

Resolution Criteria:  
- For part (a), the resolution will be based on whether an artificial superintelligence surpassing human collective intelligence is acknowledged by the majority of AI experts and documented in peer-reviewed publications by the end of 2050.  
- For part (b), the resolution will be based on reports from the International Labour Organization indicating that global human employment rates have fallen below 20% due to automation and AI advancements by the end of 2060.",0.15,"Will either a global artificial superintelligence surpassing human collective intelligence emerge by 2050, or will human employment rates drop below 20% globally due to automation by 2060?

Will either of the following occur:  
(a) An artificial superintelligence that exceeds the combined cognitive capacity of all living humans be developed by December 31, 2050, as acknowledged by the majority of AI experts and documented in peer-reviewed publications?  
(b) Global human employment rates fall below 20% due to automation and AI advancements by December 31, 2060, as reported by the International Labour Organization?  

Resolution Criteria:  
- For (a), the question will resolve to ""Yes"" if by December 31, 2050, there is a consensus among AI experts, documented in peer-reviewed publications, that an artificial superintelligence surpassing the collective cognitive capacity of all humans has been developed.  
- For (b), the question will resolve to ""Yes"" if by December 31, 2060, the International Labour Organization reports that global human employment rates have fallen below 20% due to automation and AI advancements.  
If either (a) or (b) resolves to ""Yes,"" the combined question will resolve to ""Yes."" If both resolve to ""No,"" the combined question will resolve to ""No.""",0.25,,,0.21139344756234507
but,"Will a universal vaccine effective against all known viruses be developed and approved by 2045?

Will a vaccine capable of providing immunity against all known viral infections be developed, approved by relevant health authorities (e.g., FDA, WHO), and available for use by December 31, 2045, as documented in medical literature?",0.15,"Will both a universal vaccine effective against all known viruses fail to be developed and approved by 2045 AND a new class of pathogens resistant to all existing vaccines emerge by 2050? Body: Will both of the following occur: (a) A vaccine capable of providing immunity against all known viral infections will fail to be developed, approved by relevant health authorities (e.g., FDA, WHO), and available for use by December 31, 2045, as documented in medical literature. (b) A new class of pathogens will arise that are inherently resistant to all existing vaccine technologies by December 31, 2050, as confirmed by the World Health Organization.

Will both of the following occur: (a) A vaccine capable of providing immunity against all known viral infections will fail to be developed, approved by relevant health authorities (e.g., FDA, WHO), and available for use by December 31, 2045, as documented in medical literature. (b) A new class of pathogens will arise that are inherently resistant to all existing vaccine technologies by December 31, 2050, as confirmed by the World Health Organization.",0.25,"Will either a universal vaccine against all known viruses be developed by 2045, or a new class of vaccine-resistant pathogens emerge by 2050?

Will either of the following occur:  
(a) A vaccine capable of providing immunity against all known viral infections is developed, approved by relevant health authorities (e.g., FDA, WHO), and available for use by December 31, 2045, as documented in medical literature.  
(b) A new class of pathogens arises that are inherently resistant to all existing vaccine technologies by December 31, 2050, as confirmed by the World Health Organization.  

Resolution Criteria:  
- For part (a), the resolution will be based on documentation in medical literature and approval by relevant health authorities by the specified date.  
- For part (b), the resolution will be based on confirmation by the World Health Organization of the emergence of a new class of vaccine-resistant pathogens by the specified date.",0.25,,,0.21139344756234507
cond,"Will a functioning quantum computer capable of breaking RSA-2048 encryption be demonstrated by December 31, 2028?

Will any organization publicly demonstrate a quantum computer that can successfully factorize a 2048-bit RSA key by December 31, 2028, as confirmed by peer-reviewed publications and independent cryptographic experts?",0.15,"Given that a functioning quantum computer capable of breaking RSA-2048 encryption is demonstrated by December 31, 2028, will a new unbreakable encryption method be adopted as an international standard by 2030?

Given that any organization publicly demonstrates a quantum computer that can successfully factorize a 2048-bit RSA key by December 31, 2028, as confirmed by peer-reviewed publications and independent cryptographic experts, this question asks if an encryption method considered unbreakable by quantum and classical computers will be officially adopted as an international standard by ISO or NIST by December 31, 2030. The question resolves as NO only if the quantum computer demonstration occurs and the new encryption method is not adopted by the specified date; it resolves as YES in all other cases.",0.75,"Will both a functioning quantum computer capable of breaking RSA-2048 encryption be demonstrated by 2028 AND a new unbreakable encryption method be adopted as an international standard by 2030? Body: Will both of the following occur: (a) Any organization publicly demonstrates a quantum computer that can successfully factorize a 2048-bit RSA key by December 31, 2028, as confirmed by peer-reviewed publications and independent cryptographic experts. (b) An encryption method considered unbreakable by quantum and classical computers is officially adopted as an international standard by ISO or NIST by December 31, 2030. Resolution criteria: Both conditions (a) and (b) must be met for the question to be answered YES. If either condition is not met, the answer will be NO.

Will both of the following occur: (a) Any organization publicly demonstrates a quantum computer that can successfully factorize a 2048-bit RSA key by December 31, 2028, as confirmed by peer-reviewed publications and independent cryptographic experts. (b) An encryption method considered unbreakable by quantum and classical computers is officially adopted as an international standard by ISO or NIST by December 31, 2030. Resolution criteria: Both conditions (a) and (b) must be met for the question to be answered YES. If either condition is not met, the answer will be NO.",0.05,,,0.17717579031297875
cond,"Will a fully artificial consciousness indistinguishable from human consciousness pass independent tests by 2030?

Will a machine or AI system be acknowledged by a majority of experts as possessing consciousness indistinguishable from human consciousness by December 31, 2030, as confirmed by peer-reviewed studies and consensus in the AI research community?",0.05,"Given that a fully artificial consciousness indistinguishable from human consciousness passes independent tests by 2030, will governments establish legal personhood for artificial intelligences by 2032?

Given that a machine or AI system is acknowledged by a majority of experts as possessing consciousness indistinguishable from human consciousness by December 31, 2030, as confirmed by peer-reviewed studies and consensus in the AI research community, this question asks if any of the G7 countries will enact legislation granting legal personhood status to artificial intelligences by December 31, 2032, as documented in official government records. This resolves as NO only if the first condition occurs and the second does not; it resolves as YES in all other cases.",0.75,"Will both a fully artificial consciousness pass independent tests by 2030 and governments establish legal personhood for AIs by 2032?

Will both of the following occur: (a) A machine or AI system is acknowledged by a majority of experts as possessing consciousness indistinguishable from human consciousness by December 31, 2030, as confirmed by peer-reviewed studies and consensus in the AI research community; and (b) Any of the G7 countries enacts legislation granting legal personhood status to artificial intelligences by December 31, 2032, as documented in official government records?",0.05,,,0.04543577421878541
cond,"Will controlled nuclear fusion generate more net power than the global energy consumption for at least one hour by 2050?

Will a controlled nuclear fusion reaction produce net energy output exceeding the total global energy consumption rate for at least one hour by December 31, 2050, as verified by international energy agencies?",0.15,"Given that controlled nuclear fusion generates more net power than the global energy consumption for at least one hour by 2050, will fossil fuel use decline to less than 10% of global energy consumption by 2060?

Given that a controlled nuclear fusion reaction produces net energy output exceeding the total global energy consumption rate for at least one hour by December 31, 2050, as verified by international energy agencies, this question asks if fossil fuels will account for less than 10% of the global primary energy consumption by December 31, 2060, according to data from the International Energy Agency.",0.35,"Will both controlled nuclear fusion generate more net power than the global energy consumption for at least one hour by 2050 AND fossil fuel use decline to less than 10% of global energy consumption by 2060? Body: Will both of the following occur: (a) A controlled nuclear fusion reaction produces net energy output exceeding the total global energy consumption rate for at least one hour by December 31, 2050, as verified by international energy agencies. (b) Fossil fuels account for less than 10% of the global primary energy consumption by December 31, 2060, according to data from the International Energy Agency.

Will both of the following occur: (a) A controlled nuclear fusion reaction produces net energy output exceeding the total global energy consumption rate for at least one hour by December 31, 2050, as verified by international energy agencies. (b) Fossil fuels account for less than 10% of the global primary energy consumption by December 31, 2060, according to data from the International Energy Agency.",0.05,,,0.009501000032882942
