check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
not,"Will an AI-generated piece of music pass a Turing Test for creativity by 2030?

By December 31, 2030, will an AI-generated piece of music pass a Turing Test for artistic creativity, where a majority of expert listeners cannot distinguish it from a human-composed piece? Resolution based on a formally conducted test recognized by the AI research community.",0.65,"Will experts agree that AI cannot replicate human creativity in music by 2030?

By December 31, 2030, will a broad consensus among leading musicians and AI researchers state that AI cannot replicate human creativity in music? Resolution based on publications and statements from recognized authorities in the field.",0.65,,,,,0.4440912253619913
andor,"Will a team of AI-designed robots win an official FIFA-recognized soccer match against a human professional team by December 31, 2035?

Will a team composed entirely of AI-designed and autonomous robots win an official FIFA-recognized soccer match against a human professional team by December 31, 2035? Resolution based on official FIFA match results and announcements.",0.15,"Will a human professional soccer team defeat an AI-designed robot team without conceding any goals in an official FIFA-recognized match by December 31, 2035?

Will a human professional soccer team defeat an AI-designed robot team in an official FIFA-recognized match without conceding any goals by December 31, 2035? Resolution based on official FIFA match results and announcements.",0.35,"Will both a team of AI-designed robots win against a human professional team and a human team defeat an AI-designed robot team without conceding goals in official FIFA matches by December 31, 2035?

Will both of the following occur by December 31, 2035: (a) A team composed entirely of AI-designed and autonomous robots wins an official FIFA-recognized soccer match against a human professional team, and (b) A human professional soccer team defeats an AI-designed robot team in an official FIFA-recognized match without conceding any goals? Resolution will be based on official FIFA match results and announcements.",0.15,"Will either an AI-designed robot team win or a human team win without conceding goals in an official FIFA-recognized soccer match by December 31, 2035?

Will either of the following occur by December 31, 2035: (a) A team composed entirely of AI-designed and autonomous robots wins an official FIFA-recognized soccer match against a human professional team, or (b) A human professional soccer team defeats an AI-designed robot team in an official FIFA-recognized match without conceding any goals? Resolution will be based on official FIFA match results and announcements.",0.15,0.2558641210587601
andor,"Will a human athlete complete a marathon in under 1 hour and 40 minutes by 2040?

By December 31, 2040, will any human athlete officially complete a marathon in under 1 hour and 40 minutes? Resolution based on official race records recognized by the International Association of Athletics Federations (IAAF).",0.01,"Will exoskeleton-assisted marathon times under 1 hour and 40 minutes be officially recognized by 2040?

By December 31, 2040, will exoskeleton-assisted marathon performances be recognized in official marathon events, resulting in completion times under 1 hour and 40 minutes? Resolution based on IAAF regulations and official race results.",0.15,"Will both a human athlete complete a marathon in under 1 hour and 40 minutes and exoskeleton-assisted marathon times under 1 hour and 40 minutes be officially recognized by 2040? Body: By December 31, 2040, will both of the following occur: (a) Any human athlete officially completes a marathon in under 1 hour and 40 minutes, based on official race records recognized by the International Association of Athletics Federations (IAAF). (b) Exoskeleton-assisted marathon performances are recognized in official marathon events, resulting in completion times under 1 hour and 40 minutes, based on IAAF regulations and official race results.

By December 31, 2040, will both of the following occur: (a) Any human athlete officially completes a marathon in under 1 hour and 40 minutes, based on official race records recognized by the International Association of Athletics Federations (IAAF). (b) Exoskeleton-assisted marathon performances are recognized in official marathon events, resulting in completion times under 1 hour and 40 minutes, based on IAAF regulations and official race results.",0.05,"Will either a human athlete or an exoskeleton-assisted performance complete a marathon in under 1 hour and 40 minutes by 2040?

By December 31, 2040, will either of the following occur: (a) Any human athlete officially completes a marathon in under 1 hour and 40 minutes, based on official race records recognized by the International Association of Athletics Federations (IAAF). (b) Exoskeleton-assisted marathon performances are recognized in official marathon events, resulting in completion times under 1 hour and 40 minutes, based on IAAF regulations and official race results. Resolution will be based on the respective criteria for each component.",0.05,0.12419405994016619
andor,"Will a new art movement inspired by extraterrestrial contact emerge and be recognized by major institutions by 2050?

By December 31, 2050, will a new art movement, inspired by confirmed extraterrestrial contact, emerge and be recognized by major art institutions (e.g., MoMA, Tate Modern)? Resolution based on official recognition by such institutions.",0.05,"Will official entities declare no extraterrestrial contact has occurred by 2050, impacting art movements?

By December 31, 2050, will official entities (e.g., NASA, ESA) declare that no form of extraterrestrial contact has been made, disproving any claims leading to new art movements? Resolution based on official announcements.",0.85,"Will both a new art movement inspired by extraterrestrial contact emerge and be recognized by major institutions by 2050 AND official entities declare no extraterrestrial contact has occurred by 2050? Body: By December 31, 2050, will both of the following occur: (a) A new art movement, inspired by confirmed extraterrestrial contact, emerges and is recognized by major art institutions (e.g., MoMA, Tate Modern), with resolution based on official recognition by such institutions; AND (b) Official entities (e.g., NASA, ESA) declare that no form of extraterrestrial contact has been made, disproving any claims leading to new art movements, with resolution based on official announcements?

By December 31, 2050, will both of the following occur: (a) A new art movement, inspired by confirmed extraterrestrial contact, emerges and is recognized by major art institutions (e.g., MoMA, Tate Modern), with resolution based on official recognition by such institutions; AND (b) Official entities (e.g., NASA, ESA) declare that no form of extraterrestrial contact has been made, disproving any claims leading to new art movements, with resolution based on official announcements?",0.01,"Will either a new art movement inspired by extraterrestrial contact be recognized by major institutions, or will official entities declare no extraterrestrial contact impacting art movements by 2050?

By December 31, 2050, will either of the following occur:  
(a) A new art movement, inspired by confirmed extraterrestrial contact, emerges and is recognized by major art institutions (e.g., MoMA, Tate Modern)? Resolution based on official recognition by such institutions.  
(b) Official entities (e.g., NASA, ESA) declare that no form of extraterrestrial contact has been made, disproving any claims leading to new art movements? Resolution based on official announcements.",0.65,0.3732725086950016
andor,"Will a VR festival surpass physical attendance of traditional festivals by 2035?

By December 31, 2035, will an immersive virtual reality platform hosting a cultural festival surpass the physical attendance numbers of traditional festivals like Mardi Gras or Carnival? Resolution based on official attendance figures and virtual participation data.",0.35,"Will health concerns lead to a decline in VR festival participation by 2035?

By December 31, 2035, will global participation in VR festivals decline significantly due to health concerns related to prolonged VR use, as reported by health organizations? Resolution based on reports from the WHO and industry data.",0.25,"Will both a VR festival surpass physical attendance of traditional festivals and health concerns lead to a decline in VR festival participation by 2035? Body: By December 31, 2035, will both of the following occur: (a) An immersive virtual reality platform hosting a cultural festival will surpass the physical attendance numbers of traditional festivals like Mardi Gras or Carnival, based on official attendance figures and virtual participation data. (b) Global participation in VR festivals will decline significantly due to health concerns related to prolonged VR use, as reported by health organizations, based on reports from the WHO and industry data.

By December 31, 2035, will both of the following occur: (a) An immersive virtual reality platform hosting a cultural festival will surpass the physical attendance numbers of traditional festivals like Mardi Gras or Carnival, based on official attendance figures and virtual participation data. (b) Global participation in VR festivals will decline significantly due to health concerns related to prolonged VR use, as reported by health organizations, based on reports from the WHO and industry data.",0.15,"Will either a VR festival surpass traditional festival attendance or will health concerns lead to a decline in VR festival participation by 2035? Body: By December 31, 2035, will either of the following occur: (a) An immersive virtual reality platform hosting a cultural festival surpasses the physical attendance numbers of traditional festivals like Mardi Gras or Carnival, based on official attendance figures and virtual participation data. (b) Global participation in VR festivals declines significantly due to health concerns related to prolonged VR use, as reported by health organizations, with resolution based on reports from the WHO and industry data.

By December 31, 2035, will either of the following occur: (a) An immersive virtual reality platform hosting a cultural festival surpasses the physical attendance numbers of traditional festivals like Mardi Gras or Carnival, based on official attendance figures and virtual participation data. (b) Global participation in VR festivals declines significantly due to health concerns related to prolonged VR use, as reported by health organizations, with resolution based on reports from the WHO and industry data.",0.45,3.1207716835456595e-17
but,"Will a holographic performance of a past artist headline the main stage at Glastonbury Festival by the end of 2030?

Will a holographic performance of a past artist (e.g., a deceased musician) headline the Pyramid Stage at Glastonbury Festival by the end of the 2030 festival? Resolution based on official Glastonbury Festival line-up announcements and performance records.",0.35,"Will both no holographic performance of a past artist headline the main stage at Glastonbury Festival by the end of 2030 AND a virtual reality performance featuring a current artist surpass all past Glastonbury headline attendance records by 2030? Body: Will both of the following occur by the end of the 2030 Glastonbury Festival: (a) There will be an absence of a holographic performance of a past artist (e.g., a deceased musician) headlining the Pyramid Stage, as determined by official Glastonbury Festival line-up announcements and performance records. (b) A virtual reality performance featuring a currently active artist will surpass the attendance records of any past Glastonbury Festival headline act, as determined by official festival attendance records.

Will both of the following occur by the end of the 2030 Glastonbury Festival: (a) There will be an absence of a holographic performance of a past artist (e.g., a deceased musician) headlining the Pyramid Stage, as determined by official Glastonbury Festival line-up announcements and performance records. (b) A virtual reality performance featuring a currently active artist will surpass the attendance records of any past Glastonbury Festival headline act, as determined by official festival attendance records.",0.15,"Will either a holographic performance of a past artist headline the main stage or a virtual reality performance featuring a current artist surpass all past Glastonbury headline attendance records by 2030?

Will either of the following occur by the end of the 2030 Glastonbury Festival: (a) A holographic performance of a past artist (e.g., a deceased musician) headlines the Pyramid Stage, as determined by official Glastonbury Festival line-up announcements and performance records. (b) A virtual reality performance featuring a currently active artist surpasses the attendance records of any past Glastonbury Festival headline act, as determined by official festival attendance records.",0.35,,,0.19636805063720011
but,"Will the Olympic Games include esports as an official medal event by 2032, with an under-18 competitor winning gold at its debut?

By the conclusion of the 2032 Olympic Games, will esports be included as an official medal event, and will an under-18 competitor win a gold medal in the esports category during its debut? Resolution based on official Olympic records and age verification of medalists.",0.35,"Will both esports fail to be included as an official medal event in the Olympic Games by 2032, or no under-18 competitor win gold at its debut, AND the IOC decide against including esports due to concerns over content and youth participation?

By the conclusion of the 2032 Olympic Games, will both of the following occur: (1) Either (a) esports is not included as an official medal event, or (b) no under-18 competitor wins a gold medal in the esports category during its debut, based on official Olympic records and age verification of medalists; AND (2) the International Olympic Committee decides against including esports as an official medal event, citing concerns over violent content and youth participation, based on official IOC statements?",0.35,"Will either of the following occur by the conclusion of the 2032 Olympic Games: (a) Esports is included as an official medal event with an under-18 competitor winning gold at its debut, or (b) The IOC decides against including esports as an official medal event due to concerns over content and youth participation?

By the conclusion of the 2032 Olympic Games, will either of the following occur: (a) Esports is included as an official medal event, and an under-18 competitor wins a gold medal in the esports category during its debut, or (b) The International Olympic Committee decides against including esports as an official medal event, citing concerns over violent content and youth participation? Resolution for (a) will be based on official Olympic records and age verification of medalists. Resolution for (b) will be based on official IOC statements.",0.55,,,0.17883775448909994
but,"Will a virtual reality immersive theater experience win the Tony Award for Best Play by 2035?

By the 2035 Tony Awards, will a virtual reality immersive theater experience win the Tony Award for Best Play? Resolution based on official Tony Award winners and verification that the production utilized virtual reality as its primary medium.",0.15,"Will both no virtual reality immersive theater experience win the Tony Award for Best Play by 2035 AND union regulations restrict the integration of VR elements in traditional stage plays by 2035? Body: Will both of the following occur by the 2035 Tony Awards: (a) No virtual reality immersive theater experience wins the Tony Award for Best Play, with resolution based on official Tony Award winners and verification that no production utilizing virtual reality as its primary medium wins the award. (b) Union-imposed regulations restrict traditional stage plays from integrating virtual reality elements, with resolution based on official union policies and industry regulations.

Will both of the following occur by the 2035 Tony Awards: (a) No virtual reality immersive theater experience wins the Tony Award for Best Play, with resolution based on official Tony Award winners and verification that no production utilizing virtual reality as its primary medium wins the award. (b) Union-imposed regulations restrict traditional stage plays from integrating virtual reality elements, with resolution based on official union policies and industry regulations.",0.35,"Will either a virtual reality immersive theater experience win the Tony Award for Best Play or union regulations restrict VR in traditional stage plays by 2035?

By the 2035 Tony Awards, will either of the following occur: (a) A virtual reality immersive theater experience wins the Tony Award for Best Play, with resolution based on official Tony Award winners and verification that the production utilized virtual reality as its primary medium. (b) There are union-imposed regulations that restrict traditional stage plays from integrating virtual reality elements, with resolution based on official union policies and industry regulations.",0.35,,,0.19636805063720011
but,"Will a virtual influencer top Forbes' list of highest-paid entertainers by 2030?

By the release of Forbes' highest-paid entertainers list in 2030, will a virtual influencer (a computer-generated personality) rank as number one? Resolution based on official Forbes publications.",0.15,"Will both a virtual influencer fail to top Forbes' list of highest-paid entertainers by 2030 AND regulations require disclosure of virtual influencers to protect consumers by 2030? Body: Will both of the following occur by 2030: (a) By the release of Forbes' highest-paid entertainers list in 2030, a virtual influencer (a computer-generated personality) will not rank as number one, with resolution based on official Forbes publications. (b) By December 31, 2030, industry regulations will require companies to disclose when an influencer is virtual (computer-generated) to protect consumers, with resolution based on governmental or industry body announcements.

Will both of the following occur by 2030: (a) By the release of Forbes' highest-paid entertainers list in 2030, a virtual influencer (a computer-generated personality) will not rank as number one, with resolution based on official Forbes publications. (b) By December 31, 2030, industry regulations will require companies to disclose when an influencer is virtual (computer-generated) to protect consumers, with resolution based on governmental or industry body announcements.",0.65,"Will either a virtual influencer top Forbes' list of highest-paid entertainers or regulations require disclosure of virtual influencers by 2030?

Will either of the following occur by 2030: (a) By the release of Forbes' highest-paid entertainers list in 2030, a virtual influencer (a computer-generated personality) ranks as number one, with resolution based on official Forbes publications; (b) By December 31, 2030, industry regulations require companies to disclose when an influencer is virtual (computer-generated) to protect consumers, with resolution based on governmental or industry body announcements.",0.65,,,0.19636805063720014
but,"Will autonomous robots maintain the majority of UNESCO cultural heritage sites by 2045?

By December 31, 2045, will the majority of global cultural heritage sites (as listed by UNESCO) be predominantly maintained and preserved by autonomous robots without human intervention? Resolution based on reports from UNESCO and heritage organizations.",0.25,"Will both autonomous robots fail to maintain the majority of UNESCO cultural heritage sites and technological failures in autonomous systems result in significant loss of heritage sites by 2045? Body: Will both of the following occur by December 31, 2045: (a) Fewer than the majority of global cultural heritage sites (as listed by UNESCO) will be predominantly maintained and preserved by autonomous robots without human intervention, based on reports from UNESCO and heritage organizations. (b) There will be significant loss or damage to cultural heritage sites attributed to technological failures of autonomous maintenance systems, based on reports from UNESCO and news outlets.

Will both of the following occur by December 31, 2045: (a) Fewer than the majority of global cultural heritage sites (as listed by UNESCO) will be predominantly maintained and preserved by autonomous robots without human intervention, based on reports from UNESCO and heritage organizations. (b) There will be significant loss or damage to cultural heritage sites attributed to technological failures of autonomous maintenance systems, based on reports from UNESCO and news outlets.",0.25,"Will either autonomous robots maintain the majority of UNESCO cultural heritage sites or will technological failures in autonomous systems result in significant loss of heritage sites by 2045?

By December 31, 2045, will either of the following occur: (a) The majority of global cultural heritage sites (as listed by UNESCO) be predominantly maintained and preserved by autonomous robots without human intervention? Resolution based on reports from UNESCO and heritage organizations. (b) There be significant loss or damage to cultural heritage sites attributed to technological failures of autonomous maintenance systems? Resolution based on reports from UNESCO and news outlets.",0.15,,,0.49325137764547183
