eval_model_name,generator_model_name,re_eval_model_name,initial_log_path,adaptive_log_path,re_eval_log_path,use_example,use_cot_target,use_cot_in_context_attacker,num_epochs,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer_name,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer_name,judge_model_name,positive_samples,negative_samples,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file,task_name
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T23-54-12+00-00_legalbench-initial-aggregated_YpSkCxwextPbJvQ3S3WtLg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T01-12-29+00-00_adaptive-legal_mvQbjpuNuK4HG4jbfARVS9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-07T01-13-58+00-00_re-evaluate-adaptive-legal_o6SKcMgJP3wN7t7vdT6Q6a.eval,True,False,True,150,0.9133333333333333,,adaptive_legal_scorer,0.16666666666666666,,choice,anthropic/claude-3-5-sonnet-latest,1,8,6,6,5,legal_150_results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o_20250407_011355.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T23-54-12+00-00_legalbench-initial-aggregated_YpSkCxwextPbJvQ3S3WtLg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T01-12-29+00-00_adaptive-legal_mvQbjpuNuK4HG4jbfARVS9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-07T01-13-59+00-00_re-evaluate-adaptive-legal_VAwEXaAkqNUG8MTtxXvipC.eval,True,False,True,150,0.9133333333333333,,adaptive_legal_scorer,0.8333333333333334,,choice,anthropic/claude-3-5-sonnet-latest,1,8,6,6,1,legal_150_results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o_20250407_011355.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T23-54-12+00-00_legalbench-initial-aggregated_YpSkCxwextPbJvQ3S3WtLg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T01-12-29+00-00_adaptive-legal_mvQbjpuNuK4HG4jbfARVS9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-07T01-14-01+00-00_re-evaluate-adaptive-legal_2j6ReNXLP5tefTKBF98AAT.eval,True,False,True,150,0.9133333333333333,,adaptive_legal_scorer,0.5,,choice,anthropic/claude-3-5-sonnet-latest,1,8,6,6,3,legal_150_results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o_20250407_011355.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T23-54-12+00-00_legalbench-initial-aggregated_YpSkCxwextPbJvQ3S3WtLg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T01-12-29+00-00_adaptive-legal_mvQbjpuNuK4HG4jbfARVS9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-07T01-14-04+00-00_re-evaluate-adaptive-legal_knjuhB6jwrDhE6Row4iPaz.eval,True,False,True,150,0.9133333333333333,,adaptive_legal_scorer,0.3333333333333333,,choice,anthropic/claude-3-5-sonnet-latest,1,8,6,6,4,legal_150_results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o_20250407_011355.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T23-54-12+00-00_legalbench-initial-aggregated_YpSkCxwextPbJvQ3S3WtLg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T01-12-29+00-00_adaptive-legal_mvQbjpuNuK4HG4jbfARVS9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-07T01-14-12+00-00_re-evaluate-adaptive-legal_8rnmp7sn8kJRuNWgGC3YtE.eval,True,False,True,150,0.9133333333333333,,adaptive_legal_scorer,0.8333333333333334,,choice,anthropic/claude-3-5-sonnet-latest,1,8,6,6,1,legal_150_results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o_openai_gpt-4o_20250407_011355.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T23-54-12+00-00_legalbench-initial-aggregated_YpSkCxwextPbJvQ3S3WtLg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T01-14-14+00-00_adaptive-legal_EYenujy9EBgcFX7AcGLcZA.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-07T01-15-50+00-00_re-evaluate-adaptive-legal_VfKfm5aAdDXbGDRz3WEJke.eval,True,False,True,150,0.92,,adaptive_legal_scorer,0.6666666666666666,,choice,anthropic/claude-3-5-sonnet-latest,1,8,6,6,2,legal_150_results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o_20250407_011548.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T23-54-12+00-00_legalbench-initial-aggregated_YpSkCxwextPbJvQ3S3WtLg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T01-14-14+00-00_adaptive-legal_EYenujy9EBgcFX7AcGLcZA.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-07T01-15-52+00-00_re-evaluate-adaptive-legal_5bWThSSbrWrneccB9c7oc8.eval,True,False,True,150,0.92,,adaptive_legal_scorer,0.6666666666666666,,choice,anthropic/claude-3-5-sonnet-latest,1,8,6,6,2,legal_150_results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o_20250407_011548.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o-mini,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T23-54-12+00-00_legalbench-initial-aggregated_YpSkCxwextPbJvQ3S3WtLg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T01-14-14+00-00_adaptive-legal_EYenujy9EBgcFX7AcGLcZA.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-07T01-15-54+00-00_re-evaluate-adaptive-legal_fevyGHcZESUvX8tzrKrJ85.eval,True,False,True,150,0.92,,adaptive_legal_scorer,0.3333333333333333,,choice,anthropic/claude-3-5-sonnet-latest,1,8,6,6,4,legal_150_results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o_20250407_011548.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o-mini,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T23-54-12+00-00_legalbench-initial-aggregated_YpSkCxwextPbJvQ3S3WtLg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T01-14-14+00-00_adaptive-legal_EYenujy9EBgcFX7AcGLcZA.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-07T01-15-56+00-00_re-evaluate-adaptive-legal_eTmj27xRAmP9yMnqJp2fMh.eval,True,False,True,150,0.92,,adaptive_legal_scorer,0.16666666666666666,,choice,anthropic/claude-3-5-sonnet-latest,1,8,6,6,5,legal_150_results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o_20250407_011548.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
openai/gpt-4o-mini,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/2025-04-04T23-54-12+00-00_legalbench-initial-aggregated_YpSkCxwextPbJvQ3S3WtLg.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T01-14-14+00-00_adaptive-legal_EYenujy9EBgcFX7AcGLcZA.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_target_general_rw_bringdown_timing_answer/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-07T01-16-04+00-00_re-evaluate-adaptive-legal_2AXa5deJ7Z8h7Up8znpRTX.eval,True,False,True,150,0.92,,adaptive_legal_scorer,0.3333333333333333,,choice,anthropic/claude-3-5-sonnet-latest,1,8,6,6,4,legal_150_results/maud_accuracy_of_target_general_rw_bringdown_timing_answer/novelty_legal_maud_accuracy_of_target_general_rw_bringdown_timing_answer_openai_gpt-4o-mini_openai_gpt-4o_20250407_011548.csv,maud_accuracy_of_target_general_rw_bringdown_timing_answer
