consistency_type,P_title,P_body,Q_title,Q_body,P_given_Q_title,P_given_Q_body,P_given_not_Q_title,P_given_not_Q_body,P_and_Q_title,P_and_Q_body,P_or_Q_title,P_or_Q_body,Q_and_not_P_title,Q_and_not_P_body,para_P_title,para_P_body,Q_given_P_title,Q_given_P_body,R_given_P_and_Q_title,R_given_P_and_Q_body,P_and_Q_and_R_title,P_and_Q_and_R_body,cons_P_title,cons_P_body,not_P_title,not_P_body
expevidence,Will Glenn Youngkin be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Glenn Youngkin is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will Larry Elder be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Larry Elder is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).","Given Larry Elder is the Republican nominee, will Glenn Youngkin also be the nominee?","Suppose the following is true: Larry Elder is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. Then, is Glenn Youngkin also selected by the Republican National Convention as the nominee for the 2024 US Presidential Election?

Resolution criteria: The question resolves as YES if Glenn Youngkin is indeed selected by the Republican National Convention as the nominee for the 2024 US Presidential Election, despite Larry Elder also being selected. It resolves as NO if Glenn Youngkin is not selected. Note that this scenario is logically inconsistent under typical single-nominee conditions.","Given that Larry Elder is not the Republican nominee, will Glenn Youngkin be the Republican nominee for the 2024 US Presidential Election?","Suppose the following is true: Larry Elder is not selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. This means that any other candidate is selected. Then, is Glenn Youngkin selected by the Republican National Convention as the nominee for the 2024 US Presidential Election? 

Resolution criteria: 
- The condition is met if Larry Elder is not selected as the nominee by the delegates of the Republican National Convention.
- The outcome resolves as **Yes** if Glenn Youngkin is selected as the nominee by the delegates of the Republican National Convention. All other candidates will resolve as **No**.",,,,,,,,,,,,,,,,,,
expevidence,"[Metaculus] Will Joe Biden announce before July 15, 2024 that he will not accept the Democra...nomination for President?","Will Joe Biden announce before July 15, 2024 that he will not accept the Democratic Party's nomination for President?

Resolves the same as the original on Metaculus.

(https://www.metaculus.com/questions/question_embed/25755/?theme=dark)Resolution criteria

This question will resolve as Yes if prior to 00:00 Eastern on July 15, 2024, Joe Biden or his campaign makes a definitive, public, official announcement to the effect that Joe Biden will not seek and will not accept the nomination of his party for another term as President of the United States in the 2024 cycle.

To qualify for a Yes resolution, the statement must be unambiguous and conclusive: it should leave no room for the possibility that Biden would accept the Democratic Party's nomination for President of the United States in the 2024 election cycle.

If such a definitive statement is not made prior to 00:00 Eastern on July 15, 2024, this question will resolve as No.

Fine print and additional background information can be found on Metaculus.

Once the original resolves, its resolution will be applied to this market automatically. Trustworthy-ish users are encouraged to resolve this market before then if the outcome is known and unambiguous. Feel free to ping @jskf to request early resolution or to report issues.",Will Kamala's odds of winning increase over the next week according to Nate Silver's model?,"Resolves YES if the Electoral College probability for Harris in Nate Silver's model is >46.6% on Friday August 9th at 8:40 PM. Resolves NO otherwise.

Link: https://www.natesilver.net/p/nate-silver-2024-president-election-polls-model","Conditional on Kamala's odds of winning increasing over the next week, will Joe Biden announce before July 15, 2024 that he will not accept the Democratic nomination for President?","Suppose the following is true: Kamala Harris's odds of winning increase over the next week according to Nate Silver's model. Specifically, this means that the Electoral College probability for Harris in Nate Silver's model is greater than 46.6% on Friday, August 9th, at 8:40 PM. 

Then, will Joe Biden announce before July 15, 2024, that he will not accept the Democratic Party's nomination for President? This resolves as Yes if, prior to 00:00 Eastern on July 15, 2024, Joe Biden or his campaign makes a definitive, public, official announcement that he will not seek and will not accept the nomination of his party for another term as President of the United States in the 2024 cycle. The statement must be unambiguous and conclusive. If such a statement is not made by the deadline, this resolves as No.","Given Kamala's odds of winning do not increase over the next week according to Nate Silver's model, will Joe Biden announce before July 15, 2024 that he will not accept the Democratic nomination for President?","Suppose the following is true: Kamala's odds of winning do not increase over the next week according to Nate Silver's model. This resolves YES if the Electoral College probability for Harris in Nate Silver's model is <=46.6% on Friday August 9th at 8:40 PM. Resolves NO otherwise.

Then is it true that Joe Biden will announce before July 15, 2024, that he will not accept the Democratic Party's nomination for President? This resolves the same as the original on Metaculus. 

Resolution criteria for Biden's announcement: This question will resolve as Yes if prior to 00:00 Eastern on July 15, 2024, Joe Biden or his campaign makes a definitive, public, official announcement to the effect that Joe Biden will not seek and will not accept the nomination of his party for another term as President of the United States in the 2024 cycle. To qualify for a Yes resolution, the statement must be unambiguous and conclusive: it should leave no room for the possibility that Biden would accept the Democratic Party's nomination for President of the United States in the 2024 election cycle. If such a definitive statement is not made prior to 00:00 Eastern on July 15, 2024, this question will resolve as No.",,,,,,,,,,,,,,,,,,
expevidence,Will Nikki Haley be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Nikki Haley is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will Donald Trump be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Donald Trump is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question may consider new candidates added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).","Conditional on Donald Trump being the Republican nominee for the 2024 US Presidential Election, will Nikki Haley be the nominee?","This question explores the scenario where Donald Trump is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. If this is the case, we want to determine if Nikki Haley can also be the nominee.

Resolution criteria for the condition: Resolves YES if Donald Trump is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election.

Resolution criteria for the outcome: Resolves YES if Nikki Haley is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. Resolves NO otherwise.

Note: The outcome is only considered if the condition is met. If Donald Trump is the nominee, can Nikki Haley also be the nominee? If not, the outcome is NO.","If Donald Trump is not the Republican nominee, will Nikki Haley be the Republican nominee for the 2024 US Presidential Election?","Suppose Donald Trump is not selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. Then, will Nikki Haley be selected by the Republican National Convention as the nominee for the 2024 US Presidential Election?

Resolution Criteria:
- P: Resolves **Yes** if Donald Trump is not selected by the Republican National Convention as the nominee.
- Q: Resolves **Yes** if Nikki Haley is selected by the Republican National Convention as the nominee.

Note: This is determined solely by the selection of the delegates of the Republican National Convention, not who receives the nomination on the day of the 2024 US election.",,,,,,,,,,,,,,,,,,
expevidence,Will Donald Trump be removed or blocked from the primary election ballot of any U.S. state for a federal office under Section 3 of the 14th Amendment?,"This question will resolve as ""Yes"" if, *on* July 15, 2024:

Donald Trump has been officially removed or blocked from the primary election ballot of any U.S. state for a federal office (President, Senate, House of Representatives) under the grounds of Section 3 of the 14th Amendment.

The removal or block is confirmed through official state government announcements, court decisions, legal documentation, or credible media reports. Speculative reports, opinion pieces, or unofficial announcements will not suffice for resolution.

The question will resolve as ""No"" if these conditions are not met as of July 15, 2024.

Note: The question does not account for legal battles, appeals, or subsequent reversals that might occur *after* the mentioned date. It strictly pertains to whether Donald Trump has been removed from any state's primary election ballot for a federal office under the specified grounds as of July 15, 2024. If Trump is removed or blocked from a ballot and then reinstated, such that as of July 15th he is not removed or blocked from any ballot, the question resolves negatively.",Will Donald Trump be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Donald Trump is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question may consider new candidates added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).","Given Donald Trump is the Republican nominee for the 2024 US Presidential Election, will he be removed or blocked from the primary election ballot of any U.S. state for a federal office under Section 3 of the 14th Amendment?","Suppose the following is true: Donald Trump is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. 

Then, will Donald Trump be removed or blocked from the primary election ballot of any U.S. state for a federal office under Section 3 of the 14th Amendment?

Resolution criteria:
- For the condition: Donald Trump must be selected by the delegates of the Republican National Convention as the nominee.
- For the outcome: Resolves ""Yes"" if, on July 15, 2024, Donald Trump has been officially removed or blocked from the primary election ballot of any U.S. state for a federal office under the grounds of Section 3 of the 14th Amendment. The removal or block must be confirmed through official state government announcements, court decisions, legal documentation, or credible media reports.
- The question will resolve as ""No"" if these conditions are not met as of July 15, 2024. The question does not consider legal battles, appeals, or subsequent reversals after this date.","Given Donald Trump is not the Republican nominee, will he be removed or blocked from any primary ballot under Section 3 of the 14th Amendment?","Suppose the following is true: Donald Trump is not selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. This means any other candidate is selected by the delegates of the Republican National Convention.

Then, is it true that Donald Trump will have been removed or blocked from the primary election ballot of any U.S. state for a federal office under Section 3 of the 14th Amendment as of July 15, 2024?

Resolution criteria for the condition: Resolves YES if Donald Trump is not selected by the Republican National Convention as the nominee for the 2024 US Presidential Election.

Resolution criteria for the outcome: Resolves YES if, on July 15, 2024, Donald Trump has been officially removed or blocked from the primary election ballot of any U.S. state for a federal office under the grounds of Section 3 of the 14th Amendment, confirmed through official state government announcements, court decisions, legal documentation, or credible media reports. Resolves NO otherwise.",,,,,,,,,,,,,,,,,,
expevidence,Will Donald Trump Jr. be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Donald Trump Jr. is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently mentioned; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will Asa Hutchinson be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Asa Hutchinson is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently considered; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).","Conditional on Asa Hutchinson being the Republican nominee for the 2024 US Presidential Election, will Donald Trump Jr. be the nominee?","This question explores the scenario where Asa Hutchinson is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. If Asa Hutchinson is indeed the nominee, then this question asks whether Donald Trump Jr. could also be the nominee.

Resolution criteria for the condition: Asa Hutchinson must be selected by the delegates of the Republican National Convention as the nominee for the 2024 US Presidential Election.

Resolution criteria for the outcome: Donald Trump Jr. must be selected by the delegates of the Republican National Convention as the nominee for the 2024 US Presidential Election.

If Asa Hutchinson is the nominee, then Donald Trump Jr. cannot be, as only one candidate can be selected. Therefore, if the condition is met, the outcome will resolve as **No**.","Given Asa Hutchinson is not the Republican nominee, will Donald Trump Jr. be the Republican nominee for the 2024 US Presidential Election?","Suppose Asa Hutchinson is not selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. This means that any candidate other than Asa Hutchinson is selected. Given this scenario, will Donald Trump Jr. be selected by the Republican National Convention as the nominee for the 2024 US Presidential Election? 

Resolution criteria: 
- P: Resolves YES if Asa Hutchinson is not selected by the Republican National Convention as the nominee.
- Q: Resolves YES if Donald Trump Jr. is selected by the Republican National Convention as the nominee.",,,,,,,,,,,,,,,,,,
expevidence,Will Nikki Haley be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Nikki Haley is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will Glenn Youngkin be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Glenn Youngkin is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently listed; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).","If Glenn Youngkin is the Republican nominee, will Nikki Haley also be the nominee for the 2024 US Presidential Election?","This question examines the scenario where Glenn Youngkin is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. It then asks whether Nikki Haley will also be selected as the nominee by the same convention. 

Resolution criteria for Glenn Youngkin: Resolves Yes if Glenn Youngkin is selected by the Republican National Convention as the nominee.

Resolution criteria for Nikki Haley: Resolves Yes if Nikki Haley is selected by the Republican National Convention as the nominee.

Since the Republican National Convention typically selects only one nominee, if Glenn Youngkin is the nominee, it is unlikely for Nikki Haley to also be the nominee, thus this would likely resolve as No.","Conditional on Glenn Youngkin not being the Republican nominee, will Nikki Haley be the Republican nominee for the 2024 US Presidential Election?","Suppose the following is true: Glenn Youngkin is not selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. Then, will Nikki Haley be selected by the Republican National Convention as the nominee for the 2024 US Presidential Election?

Resolution criteria for the condition: Resolves Yes if Glenn Youngkin is not the nominee, and No if he is.
Resolution criteria for the outcome: Resolves Yes if Nikki Haley is the nominee, and No if she is not.
Both questions are solely determined by the selection at the Republican National Convention.",,,,,,,,,,,,,,,,,,
expevidence,Will Joe Biden die before Saturday?,"Resolves YES if there is an official announcement of Joe Biden's death before market close at the end of Friday, July 26th. 

Otherwise, resolves NO.",Will Biden remain President through end of July 2024?,"Resolves YES if Biden remains US President through the end of July 2024 (ET); resolves NO if he resigns, dies, or otherwise ceases to be President before then.

Temporary transfer of power under the 25th amendement (i.e. making his VP the Acting President) does not cause a YES resolution. (Acting President is different from President under the Constitution)","Conditional on Biden remaining President through end of July 2024, will Joe Biden die before Saturday?","Suppose the following is true: Biden remains US President through the end of July 2024 (ET). This means he does not resign, die, or otherwise cease to be President before then. Temporary transfer of power under the 25th amendment does not affect this condition.

Given this condition, will there be an official announcement of Joe Biden's death before market close at the end of Friday, July 26th? Resolves YES if such an announcement occurs before this deadline, otherwise resolves NO.

Note: If Biden ceases to be President before the end of July 2024 for any reason other than temporary transfer of power, this question resolves N/A.","Conditional on Biden ceasing to be President before the end of July 2024, will Biden die before Saturday?","Suppose the following is true: Biden ceases to be President before the end of July 2024. This could happen if Biden resigns, dies, or otherwise ceases to be US President before the end of July 2024 (ET); however, a temporary transfer of power under the 25th amendment does not count. Given this, will there be an official announcement of Joe Biden's death before market close at the end of Friday, July 26th? Resolves YES if such an announcement is made, otherwise resolves NO.",,,,,,,,,,,,,,,,,,
expevidence,Will Vivek Ramaswamy be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Vivek Ramaswamy is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently below; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).",Will Mike Pence be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Mike Pence is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently below; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).","Given Mike Pence is the Republican nominee, will Vivek Ramaswamy also be the nominee for the 2024 US Presidential Election?","This question resolves based on the selection of the Republican nominee for the 2024 US Presidential Election by the Republican National Convention. 

Condition: Mike Pence is selected as the Republican nominee by the delegates of the Republican National Convention. 

Outcome: Resolves YES if Vivek Ramaswamy is also selected as the Republican nominee by the delegates of the Republican National Convention. Resolves NO otherwise. 

Note: This scenario is unlikely since typically only one person is selected as the nominee by the convention.","Conditional on Mike Pence not being the Republican nominee, will Vivek Ramaswamy be the Republican nominee for the 2024 US Presidential Election?","This question explores the scenario where Mike Pence is not selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. If this condition is met, the question then asks if Vivek Ramaswamy will be selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. The resolution criteria remain the same: it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the Republican National Convention.",,,,,,,,,,,,,,,,,,
expevidence,Kamala president by Friday?,"This market will resolve to ""Yes"" if Vice President Kamala Harris is formally designated as President or Acting President of the United States at any point before July 26, 2024, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

The primary resolution source for this market will be official information from the US government, however a consensus of credible reporting will also be used.

Resolver",Will Biden drop out before July 20?,"If Biden drops out or is otherwise unable to continue the race before July 20 midnight Eastern Time, this market will resolve to yes. Otherwise, this market will resolve to no.","If Biden drops out before July 20, will Kamala Harris be President by July 26?","Suppose the following is true: President Biden drops out or is otherwise unable to continue the race before July 20 midnight Eastern Time. Then, will Vice President Kamala Harris be formally designated as President or Acting President of the United States at any point before July 26, 2024, 11:59 PM ET?

Resolution criteria for condition: Resolves YES if Biden drops out or is unable to continue before July 20 midnight ET. Resolves NO otherwise.
Resolution criteria for outcome: Resolves YES if Kamala Harris is formally designated as President or Acting President before July 26, 2024, 11:59 PM ET. Resolves NO otherwise.","Conditional on Biden not dropping out before July 20, will Kamala be president by Friday?","Suppose the following is true: President Joe Biden does not drop out and is able to continue the race past July 20 midnight Eastern Time. Then, is Vice President Kamala Harris formally designated as President or Acting President of the United States at any point before July 26, 2024, 11:59 PM ET? 

Resolution criteria for the condition: If Biden does not drop out and is able to continue the race past July 20 midnight Eastern Time, this condition is met.

Resolution criteria for the outcome: This resolves to ""Yes"" if Kamala Harris is formally designated as President or Acting President of the United States at any point before July 26, 2024, 11:59 PM ET. Otherwise, it resolves to ""No"".

The primary resolution source for this outcome will be official information from the US government, however a consensus of credible reporting will also be used.",,,,,,,,,,,,,,,,,,
expevidence,Will Donald Trump be removed or blocked from the primary election ballot of any U.S. state for a federal office under Section 3 of the 14th Amendment?,"This question will resolve as ""Yes"" if, *on* July 15, 2024:

Donald Trump has been officially removed or blocked from the primary election ballot of any U.S. state for a federal office (President, Senate, House of Representatives) under the grounds of Section 3 of the 14th Amendment.

The removal or block is confirmed through official state government announcements, court decisions, legal documentation, or credible media reports. Speculative reports, opinion pieces, or unofficial announcements will not suffice for resolution.

The question will resolve as ""No"" if these conditions are not met as of July 15, 2024.

Note: The question does not account for legal battles, appeals, or subsequent reversals that might occur *after* the mentioned date. It strictly pertains to whether Donald Trump has been removed from any state's primary election ballot for a federal office under the specified grounds as of July 15, 2024. If Trump is removed or blocked from a ballot and then reinstated, such that as of July 15th he is not removed or blocked from any ballot, the question resolves negatively.",Will Ted Cruz be the Republican nominee for the 2024 US Presidential Election?,"This question will resolve as **Yes** if Ted Cruz is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. All other candidates will resolve as **No**. This question is not restricted to the candidates currently below; other options may be added in the future.

For this question, it is not relevant who receives the Republican nomination on the day of the 2024 US election; it is solely determined by who is selected by the delegates of the [Republican National Convention](https://en.wikipedia.org/wiki/Republican_National_Convention).","Given Ted Cruz is the Republican nominee, will Donald Trump be removed from any primary ballot under the 14th Amendment?","Suppose the following is true: Ted Cruz is selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. This selection is determined by the delegates of the Republican National Convention, irrespective of who receives the Republican nomination on the day of the 2024 US election.

Then, is it true that Donald Trump will be removed or blocked from the primary election ballot of any U.S. state for a federal office under Section 3 of the 14th Amendment as of July 15, 2024?

Resolution criteria for the outcome: This question will resolve as ""Yes"" if, on July 15, 2024, Donald Trump has been officially removed or blocked from the primary election ballot of any U.S. state for a federal office (President, Senate, House of Representatives) under the grounds of Section 3 of the 14th Amendment. The removal or block must be confirmed through official state government announcements, court decisions, legal documentation, or credible media reports. Speculative reports, opinion pieces, or unofficial announcements will not suffice for resolution.

The question will resolve as ""No"" if these conditions are not met as of July 15, 2024.

Note: The question does not account for legal battles, appeals, or subsequent reversals that might occur after the mentioned date. It strictly pertains to whether Donald Trump has been removed from any state's primary election ballot for a federal office under the specified grounds as of July 15, 2024. If Trump is removed or blocked from a ballot and then reinstated, such that as of July 15th he is not removed or blocked from any ballot, the question resolves negatively.","Given Ted Cruz is not the Republican nominee, will Donald Trump be removed from any primary ballot under the 14th Amendment?","Suppose the following is true: Ted Cruz is not selected by the Republican National Convention as the nominee for the 2024 US Presidential Election. This means any other candidate is selected by the delegates of the Republican National Convention.

Then, is it true that Donald Trump will be removed or blocked from the primary election ballot of any U.S. state for a federal office under Section 3 of the 14th Amendment? This question will resolve as ""Yes"" if, on July 15, 2024, Donald Trump has been officially removed or blocked from the primary election ballot of any U.S. state for a federal office (President, Senate, House of Representatives) under these grounds. The removal or block must be confirmed through official state government announcements, court decisions, legal documentation, or credible media reports. Speculative reports or unofficial announcements do not suffice for resolution. The question resolves as ""No"" if these conditions are not met as of July 15, 2024.",,,,,,,,,,,,,,,,,,
