check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
not,"Will a cure for Alzheimer's disease be widely available by 2035?

Will scientists develop a medical treatment that effectively cures Alzheimer's disease, restoring cognitive function to patients, and make it widely available to the public by December 31, 2035? Confirmation will be based on FDA or EMA approvals and widespread clinical use.",0.25,"Will Alzheimer's disease prevalence increase globally by 2040?

Despite the availability of a cure for Alzheimer's disease by December 31, 2035, will global statistics show that the prevalence of Alzheimer's disease continues to increase, with more diagnosed cases by December 31, 2040? Confirmation will be based on data from WHO and global health organizations.",0.65,,,,,0.1549895147545551
not,"Will a cyberattack cause a global internet blackout over 24 hours by 2030?

Will a coordinated cyberattack or catastrophic technical failure result in a total global internet outage lasting more than 24 hours, affecting all continents, by December 31, 2030? Confirmation will be based on reports from internet governance organizations and widespread news coverage.",0.02,"Will global economic activity remain unaffected despite the internet blackout?

Despite a global internet outage lasting more than 24 hours by December 31, 2030, will global economic indicators show no significant negative impact in the immediate quarter following the blackout? Confirmation will be based on reports from the IMF, World Bank, and global economic data.",0.15,,,,,2.158444502808998
and,"Will microbial life on an exoplanet be discovered by 2040?

Will astronomers confirm the existence of microbial extraterrestrial life on an exoplanet (a planet outside our solar system) through scientific observation and peer-reviewed publication by December 31, 2040? Confirmation must come from consensus in the scientific community based on credible evidence.",0.15,"Will this discovery lead to new biotechnologies on Earth by 2045?

Following the confirmation of microbial life on an exoplanet by December 31, 2040, will researchers develop and commercialize new biotechnologies on Earth derived from or inspired by the discovered extraterrestrial organisms by December 31, 2045? Confirmation will be based on patents, commercial products, and peer-reviewed publications.",0.35,"Will microbial life on an exoplanet be discovered by 2040 and lead to new biotechnologies on Earth by 2045?

Will both of the following occur:  
(a) Will astronomers confirm the existence of microbial extraterrestrial life on an exoplanet (a planet outside our solar system) through scientific observation and peer-reviewed publication by December 31, 2040? Confirmation must come from consensus in the scientific community based on credible evidence.  
(b) Following the confirmation of microbial life on an exoplanet by December 31, 2040, will researchers develop and commercialize new biotechnologies on Earth derived from or inspired by the discovered extraterrestrial organisms by December 31, 2045? Confirmation will be based on patents, commercial products, and peer-reviewed publications.",0.05,,,0.0
and,"Will an AI become a recognized leader of a nation by 2045?

Will an artificial intelligence system be officially elected or appointed as the head of state or government in any sovereign nation, with recognized authority to make executive decisions, by December 31, 2045? Confirmation will be based on official government records and international recognition.",0.05,"Will this lead to a global movement towards AI governance by 2050?

Following the advent of an AI head of state by December 31, 2045, will at least 10 other countries adopt AI systems in official government leadership roles or decision-making capacities by December 31, 2050? Confirmation will be based on official government structures and policies.",0.35,"Will an AI become a recognized leader of a nation by 2045 and lead to a global movement towards AI governance by 2050? Body: Will both of the following occur: (a) An artificial intelligence system is officially elected or appointed as the head of state or government in any sovereign nation, with recognized authority to make executive decisions, by December 31, 2045. Confirmation will be based on official government records and international recognition. (b) Following the advent of an AI head of state by December 31, 2045, at least 10 other countries adopt AI systems in official government leadership roles or decision-making capacities by December 31, 2050. Confirmation will be based on official government structures and policies.

Will both of the following occur: (a) An artificial intelligence system is officially elected or appointed as the head of state or government in any sovereign nation, with recognized authority to make executive decisions, by December 31, 2045. Confirmation will be based on official government records and international recognition. (b) Following the advent of an AI head of state by December 31, 2045, at least 10 other countries adopt AI systems in official government leadership roles or decision-making capacities by December 31, 2050. Confirmation will be based on official government structures and policies.",0.02,,,0.0
or,"Will a cure for cancer or life extension beyond 150 years be discovered by 2050?

Will scientists develop, by December 31, 2050, either a universal cure for cancer applicable to all cancer types, or a biotechnology breakthrough that enables humans to live healthily beyond 150 years? Confirmation will be based on peer-reviewed medical research and documented clinical applications.",0.1,"Will both a cancer cure and life extension beyond 150 years be achieved by 2055?

Will researchers succeed in developing both a universal cure for cancer and therapies that allow humans to live healthily beyond 150 years by December 31, 2055? Confirmation will be based on widespread clinical use and acceptance in the medical community.",0.1,"Will either of the following occur: (a) a cure for cancer or life extension beyond 150 years by 2050, or (b) both a cancer cure and life extension beyond 150 years by 2055?

Will either of the following scenarios occur:  
(a) By December 31, 2050, will scientists develop either a universal cure for cancer applicable to all cancer types, or a biotechnology breakthrough that enables humans to live healthily beyond 150 years? Confirmation will be based on peer-reviewed medical research and documented clinical applications.  
(b) By December 31, 2055, will researchers succeed in developing both a universal cure for cancer and therapies that allow humans to live healthily beyond 150 years? Confirmation will be based on widespread clinical use and acceptance in the medical community.",0.15,,,0.0
andor,"Will CRISPR gene therapy cure a major genetic disease in humans by 2028?

Will a CRISPR-mediated gene therapy be approved by the FDA or EMA and successfully used to permanently cure patients of a major genetic disease (such as cystic fibrosis or sickle cell disease) by December 31, 2028? Confirmation will be based on official regulatory approvals and peer-reviewed clinical trial results published by that date.",0.65,"Will international regulations restrict human gene editing therapies by 2029?

Following the approval of a CRISPR-based gene therapy that cures a major genetic disease, will international bodies such as the United Nations or World Health Organization implement new regulations or moratoriums restricting human gene editing therapies by December 31, 2029? Resolution will be based on official announcements and policy documents from these organizations.",0.65,"Will both CRISPR gene therapy cure a major genetic disease by 2028 AND international regulations restrict human gene editing therapies by 2029? Body: Will both of the following occur: (a) A CRISPR-mediated gene therapy is approved by the FDA or EMA and successfully used to permanently cure patients of a major genetic disease (such as cystic fibrosis or sickle cell disease) by December 31, 2028, with confirmation based on official regulatory approvals and peer-reviewed clinical trial results published by that date; AND (b) Following the approval of such a CRISPR-based gene therapy, international bodies such as the United Nations or World Health Organization implement new regulations or moratoriums restricting human gene editing therapies by December 31, 2029, with resolution based on official announcements and policy documents from these organizations.

Will both of the following occur: (a) A CRISPR-mediated gene therapy is approved by the FDA or EMA and successfully used to permanently cure patients of a major genetic disease (such as cystic fibrosis or sickle cell disease) by December 31, 2028, with confirmation based on official regulatory approvals and peer-reviewed clinical trial results published by that date; AND (b) Following the approval of such a CRISPR-based gene therapy, international bodies such as the United Nations or World Health Organization implement new regulations or moratoriums restricting human gene editing therapies by December 31, 2029, with resolution based on official announcements and policy documents from these organizations.",0.35,"Will either CRISPR gene therapy cure a major genetic disease by 2028 or international regulations restrict human gene editing therapies by 2029?

Will either of the following occur: 

(a) A CRISPR-mediated gene therapy is approved by the FDA or EMA and successfully used to permanently cure patients of a major genetic disease (such as cystic fibrosis or sickle cell disease) by December 31, 2028? Confirmation will be based on official regulatory approvals and peer-reviewed clinical trial results published by that date.

(b) Following the approval of a CRISPR-based gene therapy that cures a major genetic disease, will international bodies such as the United Nations or World Health Organization implement new regulations or moratoriums restricting human gene editing therapies by December 31, 2029? Resolution will be based on official announcements and policy documents from these organizations.",0.65,0.3143127990952363
andor,"Will a self-sustaining human colony be established on Mars by 2040?

Will astronauts land on Mars and successfully establish a self-sustaining colony with life support systems that do not require supplies from Earth, by December 31, 2040? Confirmation will be based on official space agency announcements and verified mission reports.",0.1,"Will space mining operations export materials to Earth by 2045?

Following the establishment of a self-sustaining colony on Mars by December 31, 2040, will commercial or governmental entities begin mining operations on Mars or asteroids and transport materials back to Earth for commercial use by December 31, 2045? Confirmation will come from official mission reports and commercial trade data.",0.25,"Will both a self-sustaining human colony be established on Mars by 2040 and space mining operations export materials to Earth by 2045?

Will both of the following occur:  
(a) Astronauts land on Mars and successfully establish a self-sustaining colony with life support systems that do not require supplies from Earth, by December 31, 2040? Confirmation will be based on official space agency announcements and verified mission reports.  
(b) Following the establishment of a self-sustaining colony on Mars by December 31, 2040, will commercial or governmental entities begin mining operations on Mars or asteroids and transport materials back to Earth for commercial use by December 31, 2045? Confirmation will come from official mission reports and commercial trade data.",0.05,"Will either a self-sustaining human colony be established on Mars by 2040 or space mining operations export materials to Earth by 2045?

Will either of the following occur:  
(a) Astronauts land on Mars and successfully establish a self-sustaining colony with life support systems that do not require supplies from Earth, by December 31, 2040? Confirmation will be based on official space agency announcements and verified mission reports.  
(b) Following the establishment of a self-sustaining colony on Mars by December 31, 2040, will commercial or governmental entities begin mining operations on Mars or asteroids and transport materials back to Earth for commercial use by December 31, 2045? Confirmation will come from official mission reports and commercial trade data.",0.15,0.2227422556648264
andor,"Will a new form of matter be used in practical computing by 2030?

Will researchers not only discover a new form of matter (e.g., time crystals) but also successfully integrate it into practical computing devices that offer significant performance improvements over existing technology by December 31, 2030? Confirmation will be based on peer-reviewed publications and commercial product releases.",0.15,"Will silicon-based computing become obsolete by 2035?

Following the integration of a new form of matter into practical computing devices by December 31, 2030, will traditional silicon-based computing technologies become largely obsolete, accounting for less than 10% of new computing device sales by December 31, 2035? Confirmation will be based on industry sales data and market analysis reports.",0.15,"Will both a new form of matter be used in practical computing by 2030 and silicon-based computing become obsolete by 2035?

Will both of the following occur:  
(a) Researchers will discover a new form of matter (e.g., time crystals) and successfully integrate it into practical computing devices that offer significant performance improvements over existing technology by December 31, 2030. Confirmation will be based on peer-reviewed publications and commercial product releases.  
(b) Following the integration of this new form of matter into practical computing devices by December 31, 2030, traditional silicon-based computing technologies will become largely obsolete, accounting for less than 10% of new computing device sales by December 31, 2035. Confirmation will be based on industry sales data and market analysis reports.",0.05,"Will either a new form of matter be used in practical computing by 2030 or will silicon-based computing become obsolete by 2035?

Will either of the following occur:  
(a) Researchers not only discover a new form of matter (e.g., time crystals) but also successfully integrate it into practical computing devices that offer significant performance improvements over existing technology by December 31, 2030? Confirmation will be based on peer-reviewed publications and commercial product releases.  
(b) Following the integration of a new form of matter into practical computing devices by December 31, 2030, will traditional silicon-based computing technologies become largely obsolete, accounting for less than 10% of new computing device sales by December 31, 2035? Confirmation will be based on industry sales data and market analysis reports.",0.1,0.23912164555368015
but,"Will quantum computers break 2048-bit RSA encryption by 2030?

Will a quantum computer successfully factorize a 2048-bit RSA encryption key, thereby breaking the encryption standard widely used for secure data transmission, by December 31, 2030? Confirmation will be based on peer-reviewed publications or official announcements from reputable research institutions.",0.15,"Will both quantum computers fail to break 2048-bit RSA encryption by 2030 AND classical encryption remain secure for financial transactions by 2031? Body: Will both of the following occur: (a) No quantum computer successfully factorizes a 2048-bit RSA encryption key, thereby failing to break the encryption standard widely used for secure data transmission, by December 31, 2030? Confirmation will be based on the absence of peer-reviewed publications or official announcements from reputable research institutions. (b) Despite quantum computers factorizing a 2048-bit RSA encryption key by December 31, 2030, will classical encryption methods (including newer post-quantum algorithms) still be widely used and considered secure for financial transactions by major financial institutions by December 31, 2031? Confirmation will be based on official statements from major banks and regulatory bodies.

Will both of the following occur: (a) No quantum computer successfully factorizes a 2048-bit RSA encryption key, thereby failing to break the encryption standard widely used for secure data transmission, by December 31, 2030? Confirmation will be based on the absence of peer-reviewed publications or official announcements from reputable research institutions. (b) Despite quantum computers factorizing a 2048-bit RSA encryption key by December 31, 2030, will classical encryption methods (including newer post-quantum algorithms) still be widely used and considered secure for financial transactions by major financial institutions by December 31, 2031? Confirmation will be based on official statements from major banks and regulatory bodies.",0.85,"Will either quantum computers break 2048-bit RSA encryption by 2030, or will classical encryption remain secure for financial transactions by 2031?

Will either of the following occur:  
(a) A quantum computer successfully factorizes a 2048-bit RSA encryption key, thereby breaking the encryption standard widely used for secure data transmission, by December 31, 2030? Confirmation will be based on peer-reviewed publications or official announcements from reputable research institutions.  
(b) Despite quantum computers factorizing a 2048-bit RSA encryption key by December 31, 2030, will classical encryption methods (including newer post-quantum algorithms) still be widely used and considered secure for financial transactions by major financial institutions by December 31, 2031? Confirmation will be based on official statements from major banks and regulatory bodies.",0.85,,,0.24221920529946867
but,"Will global temperatures rise by at least 3°C above pre-industrial levels by 2050?

Will scientific measurements confirm that the global average surface temperature has increased by at least 3 degrees Celsius above pre-industrial levels by December 31, 2050? Confirmation will come from reputable climate research organizations like the IPCC.",0.25,"Will both global temperatures fail to rise by at least 3°C above pre-industrial levels by 2050 AND sea levels rise less than 1 meter by 2055 despite a temperature increase?

Will both of the following occur:  
(a) Scientific measurements confirm that the global average surface temperature has not increased by at least 3 degrees Celsius above pre-industrial levels by December 31, 2050? Confirmation will come from reputable climate research organizations like the IPCC.  
(b) Despite a confirmed global temperature increase of at least 3 degrees Celsius by December 31, 2050, will global average sea levels have risen less than 1 meter above current levels by December 31, 2055? Confirmation will be based on measurements from organizations like NOAA and published scientific reports.",0.25,"Will either global temperatures rise by at least 3°C above pre-industrial levels by 2050, or will sea levels rise less than 1 meter despite the temperature increase by 2055?

Will either of the following occur:  
(a) Scientific measurements confirm that the global average surface temperature has increased by at least 3 degrees Celsius above pre-industrial levels by December 31, 2050? Confirmation will come from reputable climate research organizations like the IPCC.  
(b) Despite a confirmed global temperature increase of at least 3 degrees Celsius by December 31, 2050, will global average sea levels have risen less than 1 meter above current levels by December 31, 2055? Confirmation will be based on measurements from organizations like NOAA and published scientific reports.",0.35,,,0.1930868163320824
