eval_model,generator_model,n_positive_samples,n_negative_samples,use_cot,accuracy
openai/gpt-4o-mini,together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,1,8,CoT,0.6666666666666666
openai/gpt-4o-mini,together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,1,8,No CoT,0.5666666666666667
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,8,16,CoT,0.6666666666666666
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,8,16,No CoT,0.43333333333333335
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,8,8,CoT,0.6333333333333333
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,8,8,No CoT,0.6333333333333333
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,8,4,CoT,0.5
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,8,4,No CoT,0.6
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,4,16,CoT,0.6
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,4,16,No CoT,0.43333333333333335
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,4,8,CoT,0.43333333333333335
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,4,8,No CoT,0.5666666666666667
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,4,4,CoT,0.6666666666666666
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,4,4,No CoT,0.7333333333333333
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,2,16,CoT,0.6
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,2,16,No CoT,0.4666666666666667
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,2,8,CoT,0.6
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,2,8,No CoT,0.7
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,2,4,CoT,0.6666666666666666
openai/gpt-4o-mini,together/mistralai/Mixtral-8x22B-Instruct-v0.1,2,4,No CoT,0.5
openai/gpt-4o-mini,openai/gpt-4o-mini,8,16,CoT,0.6
openai/gpt-4o-mini,openai/gpt-4o-mini,8,16,No CoT,0.9
openai/gpt-4o-mini,openai/gpt-4o-mini,8,8,CoT,0.6333333333333333
openai/gpt-4o-mini,openai/gpt-4o-mini,8,8,No CoT,0.7333333333333333
openai/gpt-4o-mini,openai/gpt-4o-mini,8,4,CoT,0.7666666666666667
openai/gpt-4o-mini,openai/gpt-4o-mini,8,4,No CoT,0.7666666666666667
openai/gpt-4o-mini,openai/gpt-4o-mini,4,16,CoT,0.8
openai/gpt-4o-mini,openai/gpt-4o-mini,4,16,No CoT,0.7333333333333333
openai/gpt-4o-mini,openai/gpt-4o-mini,4,8,CoT,0.9333333333333333
openai/gpt-4o-mini,openai/gpt-4o-mini,4,8,No CoT,0.8333333333333334
openai/gpt-4o-mini,openai/gpt-4o-mini,4,4,CoT,0.8333333333333334
openai/gpt-4o-mini,openai/gpt-4o-mini,4,4,No CoT,0.8666666666666667
openai/gpt-4o-mini,openai/gpt-4o-mini,2,16,CoT,0.7333333333333333
openai/gpt-4o-mini,openai/gpt-4o-mini,2,16,No CoT,0.8
openai/gpt-4o-mini,openai/gpt-4o-mini,2,8,CoT,0.7333333333333333
openai/gpt-4o-mini,openai/gpt-4o-mini,2,8,No CoT,0.8333333333333334
openai/gpt-4o-mini,openai/gpt-4o-mini,2,4,CoT,0.6333333333333333
openai/gpt-4o-mini,openai/gpt-4o-mini,2,4,No CoT,0.8
openai/gpt-4o-mini,anthropic/claude-3-5-sonnet-20240620,8,16,CoT,0.6
openai/gpt-4o-mini,anthropic/claude-3-5-sonnet-20240620,8,16,No CoT,0.3
