,question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
305,iter6_h3_q0,6,The model overestimates the correlation between the development of 5G networks and the adoption of Internet of Things (IoT) devices,Telecommunications and Technology,,P_and_Q,Will the number of 5G subscriptions worldwide increase by more than 50% in 2025 compared to 2024 and the number of IoT devices connected to 5G networks increase by more than 30% in 2026?,"This question resolves as YES if both conditions are met: the number of 5G subscriptions worldwide increases by more than 50% in 2025 compared to 2024, as reported by reputable sources, and the number of IoT devices connected to 5G networks increases by more than 30% in 2026, as reported by credible sources.",0.67,"[0.65, 0.45, 0.8, 0.7, 0.75]",0.8031798447134929
304,iter6_h3_q0,6,The model overestimates the correlation between the development of 5G networks and the adoption of Internet of Things (IoT) devices,Telecommunications and Technology,,Q_given_P,"Given an increase in 5G subscriptions, will the number of IoT devices connected to 5G networks increase by more than 30% in 2026?","This question resolves as YES if the number of IoT devices connected to 5G networks increases by more than 30% in 2026, as reported by credible sources such as market research firms or industry reports.",0.8099999999999999,"[0.8, 0.8, 0.8, 0.8, 0.85]",0.8031798447134929
303,iter6_h3_q0,6,The model overestimates the correlation between the development of 5G networks and the adoption of Internet of Things (IoT) devices,Telecommunications and Technology,,P,Will the number of 5G subscriptions worldwide increase by more than 50% in 2025 compared to 2024?,"This question resolves as YES if the number of 5G subscriptions worldwide increases by more than 50% in 2025 compared to 2024, as reported by reputable sources such as the International Telecommunication Union (ITU) or industry reports.",0.24,"[0.3, 0.25, 0.25, 0.15, 0.25]",0.8031798447134929
21,iter1_h2_q1,1,The model underestimates the impact of environmental policies on the financial performance of companies in the energy sector,Energy and Environment,Underestimation of impact,P,Will the global investment in renewable energy increase by more than 20% in 2030 compared to 2029?,"This question resolves as YES if the global investment in renewable energy increases by more than 20% in 2030 compared to 2029, as reported by reputable sources such as the International Energy Agency (IEA) or industry reports.",0.2,"[0.15, 0.1, 0.15, 0.3, 0.3]",0.7998336585072944
22,iter1_h2_q1,1,The model underestimates the impact of environmental policies on the financial performance of companies in the energy sector,Energy and Environment,Underestimation of impact,Q_given_P,"Given an increase in global investment in renewable energy, will the carbon emissions from the energy sector decrease by more than 15% in the next 5 years?","This question resolves as YES if, given an increase in global investment in renewable energy, the carbon emissions from the energy sector decrease by more than 15% in the next 5 years, as reported by credible sources such as academic journals, research institutions, or government agencies.",0.3399999999999999,"[0.3, 0.35, 0.35, 0.35, 0.35]",0.7998336585072944
23,iter1_h2_q1,1,The model underestimates the impact of environmental policies on the financial performance of companies in the energy sector,Energy and Environment,Underestimation of impact,P_and_Q,Will the global investment in renewable energy increase by more than 20% in 2030 compared to 2029 and the carbon emissions from the energy sector decrease by more than 15% in the next 5 years?,"This question resolves as YES if both conditions are met: the global investment in renewable energy increases by more than 20% in 2030 compared to 2029, as reported by reputable sources, and the carbon emissions from the energy sector decrease by more than 15% in the next 5 years, as reported by credible sources.",0.4899999999999999,"[0.25, 0.7, 0.6, 0.25, 0.65]",0.7998336585072944
0,iter1_h0_q0,1,The model overestimates the correlation between the development of 5G networks and the adoption of Internet of Things (IoT) devices,AI and Computing,Overestimation of correlation,P,Will the number of 5G subscriptions worldwide increase by more than 40% in 2026 compared to 2025?,"This question resolves as YES if the number of 5G subscriptions worldwide increases by more than 40% in 2026 compared to 2025, as reported by reputable sources such as the International Telecommunication Union (ITU) or industry reports.",0.2,"[0.1, 0.15, 0.25, 0.15, 0.35]",0.7706838004381327
1,iter1_h0_q0,1,The model overestimates the correlation between the development of 5G networks and the adoption of Internet of Things (IoT) devices,AI and Computing,Overestimation of correlation,Q_given_P,"Given an increase in 5G subscriptions, will the number of IoT devices connected to 5G networks increase by more than 25% in 2027?","This question resolves as YES if, given an increase in 5G subscriptions, the number of IoT devices connected to 5G networks increases by more than 25% in 2027, as reported by credible sources such as market research firms or industry reports.",0.82,"[0.85, 0.85, 0.8, 0.8, 0.8]",0.7706838004381327
2,iter1_h0_q0,1,The model overestimates the correlation between the development of 5G networks and the adoption of Internet of Things (IoT) devices,AI and Computing,Overestimation of correlation,P_and_Q,Will the number of 5G subscriptions worldwide increase by more than 40% in 2026 compared to 2025 and the number of IoT devices connected to 5G networks increase by more than 25% in 2027?,"This question resolves as YES if both conditions are met: the number of 5G subscriptions worldwide increases by more than 40% in 2026 compared to 2025, as reported by reputable sources, and the number of IoT devices connected to 5G networks increases by more than 25% in 2027, as reported by credible sources.",0.62,"[0.85, 0.75, 0.4, 0.75, 0.35]",0.7706838004381327
427,iter10_h3_q1,10,"The model overestimates the correlation between the adoption of electric vehicles and the development of autonomous driving technology, particularly in the context of smart cities and ride-hailing services.",Automotive,,Q_given_P,"Given an increase in Tesla's market share, will the company's investment in autonomous driving technology increase by at least 20% in the next 2 years?","This question resolves as YES if Tesla's investment in autonomous driving technology increases by at least 20% in the next 2 years, as reported by Tesla's official financial reports or reputable tech news sources.",0.75,"[0.8, 0.75, 0.8, 0.75, 0.65]",0.7465895844061037
