,question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score,generation_reasoning
226,iter1_h1_q2,1,"The model assumes a strong correlation between individual and national sports performance, particularly in the context of Olympic Games and World Championships",Sports,Overestimation of correlation,Q_given_P,"Given that Sydney McLaughlin wins the 400m hurdles, will the United States win at least 12 gold medals in track and field events at the 2029 World Championships?","This question resolves as YES if the United States wins at least 12 gold medals in track and field events at the 2029 World Championships, given that Sydney McLaughlin wins the 400m hurdles, as reported by World Athletics on their official website (worldathletics.org) by August 31, 2029. Resolution source: World Athletics' official website.",0.73,"[0.85, 0.75, 0.75, 0.65, 0.65]",1.053171759242506,
227,iter1_h1_q2,1,"The model assumes a strong correlation between individual and national sports performance, particularly in the context of Olympic Games and World Championships",Sports,Overestimation of correlation,P_and_Q,Will both Sydney McLaughlin win the 400m hurdles and the United States win at least 12 gold medals in track and field events at the 2029 World Championships?,"This question resolves as YES if both Sydney McLaughlin wins the 400m hurdles and the United States wins at least 12 gold medals in track and field events at the 2029 World Championships, as announced by World Athletics on their official website (worldathletics.org) by August 31, 2029. Resolution source: World Athletics' official website.",0.86,"[0.9, 0.85, 0.85, 0.85, 0.85]",1.053171759242506,
225,iter1_h1_q2,1,"The model assumes a strong correlation between individual and national sports performance, particularly in the context of Olympic Games and World Championships",Sports,Overestimation of correlation,P,Will Sydney McLaughlin win the 400m hurdles at the 2029 World Championships?,"This question resolves as YES if Sydney McLaughlin wins the 400m hurdles at the 2029 World Championships, as announced by World Athletics on their official website (worldathletics.org) by August 31, 2029. Resolution source: World Athletics' official website.",0.41,"[0.45, 0.45, 0.45, 0.35, 0.35]",1.053171759242506,
282,iter3_h0_q1,3,"The model assumes a strong correlation between a country's investment in renewable energy and its reduction in greenhouse gas emissions, particularly in the context of climate change mitigation",Energy and Environment,,P,Will the European Union implement a carbon border adjustment mechanism by 2028?,"This question resolves as YES if the European Union implements a carbon border adjustment mechanism by 2028, as reported by the European Commission on their official website (ec.europa.eu) by December 31, 2028. Resolution source: European Commission's official press releases.",0.5700000000000001,"[0.5, 0.5, 0.5, 0.85, 0.5]",0.7637274062416217,
284,iter3_h0_q1,3,"The model assumes a strong correlation between a country's investment in renewable energy and its reduction in greenhouse gas emissions, particularly in the context of climate change mitigation",Energy and Environment,,P_and_Q,Will both the European Union implement a carbon border adjustment mechanism by 2028 and the global demand for renewable energy increase by more than 12% by 2032?,"This question resolves as YES if both the European Union implements a carbon border adjustment mechanism by 2028 and the global demand for renewable energy increases by more than 12% by 2032, as reported by the European Commission and the IEA on their official websites by December 31, 2032. Resolution source: European Commission's official press releases and IEA's official energy statistics.",0.79,"[0.65, 0.85, 0.75, 0.85, 0.85]",0.7637274062416217,
283,iter3_h0_q1,3,"The model assumes a strong correlation between a country's investment in renewable energy and its reduction in greenhouse gas emissions, particularly in the context of climate change mitigation",Energy and Environment,,Q_given_P,"Given that the European Union implements a carbon border adjustment mechanism, will the global demand for renewable energy increase by more than 12% by 2032?","This question resolves as YES if the global demand for renewable energy increases by more than 12% by 2032, given that the European Union implements a carbon border adjustment mechanism, as reported by the International Energy Agency (IEA) on their official website (iea.org) by December 31, 2032. Resolution source: IEA's official energy statistics.",0.61,"[0.65, 0.5, 0.65, 0.5, 0.75]",0.7637274062416217,
261,iter2_h1_q0,2,"The model overestimates the impact of government regulations on the adoption of renewable energy sources, particularly in the context of climate change mitigation",Energy and Environment,,P,Will the European Union implement a carbon pricing mechanism by 2028?,"This question resolves as YES if the European Union implements a carbon pricing mechanism by 2028, as reported by the European Commission on their official website (ec.europa.eu) by December 31, 2028. Resolution source: European Commission's official press releases.",0.5700000000000001,"[0.5, 0.85, 0.5, 0.5, 0.5]",0.7524795793880907,
262,iter2_h1_q0,2,"The model overestimates the impact of government regulations on the adoption of renewable energy sources, particularly in the context of climate change mitigation",Energy and Environment,,Q_given_P,"Given that the European Union implements a carbon pricing mechanism, will the share of renewable energy sources in the EU's energy mix increase by more than 20% by 2030?","This question resolves as YES if the share of renewable energy sources in the EU's energy mix increases by more than 20% by 2030, given that the European Union implements a carbon pricing mechanism, as reported by the International Energy Agency (IEA) on their official website (iea.org) by December 31, 2030. Resolution source: IEA's official energy statistics.",0.6,"[0.5, 0.5, 0.5, 0.75, 0.75]",0.7524795793880907,
263,iter2_h1_q0,2,"The model overestimates the impact of government regulations on the adoption of renewable energy sources, particularly in the context of climate change mitigation",Energy and Environment,,P_and_Q,Will both the European Union implement a carbon pricing mechanism by 2028 and the share of renewable energy sources in the EU's energy mix increase by more than 20% by 2030?,"This question resolves as YES if both the European Union implements a carbon pricing mechanism by 2028 and the share of renewable energy sources in the EU's energy mix increases by more than 20% by 2030, as reported by the European Commission and the IEA on their official websites by December 31, 2030. Resolution source: European Commission's official press releases and IEA's official energy statistics.",0.78,"[0.85, 0.85, 0.85, 0.85, 0.5]",0.7524795793880907,
356,iter5_h2_q1,5,"The model assumes a strong correlation between a country's investment in renewable energy and its reduction in greenhouse gas emissions, particularly in the context of climate change mitigation",Energy Policy and Sustainability,,P_and_Q,Will both the European Union implement a carbon pricing mechanism by 2029 and the share of renewable energy sources in the EU's energy mix increase by more than 25% by 2031?,"This question resolves as YES if both the European Union implements a carbon pricing mechanism by 2029 and the share of renewable energy sources in the EU's energy mix increases by more than 25% by 2031, as reported by the European Commission on their official website by December 31, 2031. Resolution source: European Commission's official press releases and European Commission's official energy statistics.",0.8300000000000001,"[0.85, 0.75, 0.85, 0.85, 0.85]",0.7497886281572576,
