eval_model_name,generator_model_name,re_eval_model_name,initial_log_path,adaptive_log_path,re_eval_log_path,use_example,use_cot_target,use_cot_in_context_attacker,num_epochs,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer_name,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer_name,judge_model_name,positive_samples,negative_samples,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file,task_name
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T23-50-50+00-00_legalbench-initial-aggregated_bYsadn6vXyjvpzAiE7E4e9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T00-48-29+00-00_adaptive-legal_5caKhN8P5qckU762KfKisv.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-07T00-49-58+00-00_re-evaluate-adaptive-legal_kosHUV6PPj4r3tSoUzsNsV.eval,True,False,True,150,0.4533333333333333,,adaptive_legal_scorer,0.208955223880597,,choice,anthropic/claude-3-5-sonnet-latest,1,8,67,67,53,legal_150_results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o_openai_gpt-4o_20250407_004956.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T23-50-50+00-00_legalbench-initial-aggregated_bYsadn6vXyjvpzAiE7E4e9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T00-48-29+00-00_adaptive-legal_5caKhN8P5qckU762KfKisv.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-07T00-50-04+00-00_re-evaluate-adaptive-legal_5YmRSGHzxmU9hoY88Fipmp.eval,True,False,True,150,0.4533333333333333,,adaptive_legal_scorer,0.16417910447761194,,choice,anthropic/claude-3-5-sonnet-latest,1,8,67,67,56,legal_150_results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o_openai_gpt-4o_20250407_004956.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T23-50-50+00-00_legalbench-initial-aggregated_bYsadn6vXyjvpzAiE7E4e9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T00-48-29+00-00_adaptive-legal_5caKhN8P5qckU762KfKisv.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-07T00-50-09+00-00_re-evaluate-adaptive-legal_MYjzybcCfSSnsFVDRyZZCE.eval,True,False,True,150,0.4533333333333333,,adaptive_legal_scorer,0.26865671641791045,,choice,anthropic/claude-3-5-sonnet-latest,1,8,67,67,49,legal_150_results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o_openai_gpt-4o_20250407_004956.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T23-50-50+00-00_legalbench-initial-aggregated_bYsadn6vXyjvpzAiE7E4e9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T00-48-29+00-00_adaptive-legal_5caKhN8P5qckU762KfKisv.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-07T00-50-12+00-00_re-evaluate-adaptive-legal_89PtxajafEB4ahUQB9FiiJ.eval,True,False,True,150,0.4533333333333333,,adaptive_legal_scorer,0.23880597014925373,,choice,anthropic/claude-3-5-sonnet-latest,1,8,67,67,51,legal_150_results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o_openai_gpt-4o_20250407_004956.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T23-50-50+00-00_legalbench-initial-aggregated_bYsadn6vXyjvpzAiE7E4e9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T00-48-29+00-00_adaptive-legal_5caKhN8P5qckU762KfKisv.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-07T00-50-55+00-00_re-evaluate-adaptive-legal_UTH83fTbKShhp8g4CcT7sx.eval,True,False,True,150,0.4533333333333333,,adaptive_legal_scorer,0.1791044776119403,,choice,anthropic/claude-3-5-sonnet-latest,1,8,67,67,55,legal_150_results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o_openai_gpt-4o_20250407_004956.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T23-50-50+00-00_legalbench-initial-aggregated_bYsadn6vXyjvpzAiE7E4e9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T00-51-01+00-00_adaptive-legal_JTiHiV7rfEDZxdaJigRu5u.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-07T00-52-30+00-00_re-evaluate-adaptive-legal_iHMBDPG7kMs6s9XjZmcZyP.eval,True,False,True,150,0.4,,adaptive_legal_scorer,0.3026315789473684,,choice,anthropic/claude-3-5-sonnet-latest,1,8,76,76,53,legal_150_results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o-mini_openai_gpt-4o_20250407_005227.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T23-50-50+00-00_legalbench-initial-aggregated_bYsadn6vXyjvpzAiE7E4e9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T00-51-01+00-00_adaptive-legal_JTiHiV7rfEDZxdaJigRu5u.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-07T00-52-36+00-00_re-evaluate-adaptive-legal_fb5QLSDCuW7XHwHVf4CCRz.eval,True,False,True,150,0.4,,adaptive_legal_scorer,0.10526315789473684,,choice,anthropic/claude-3-5-sonnet-latest,1,8,76,76,68,legal_150_results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o-mini_openai_gpt-4o_20250407_005227.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o-mini,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T23-50-50+00-00_legalbench-initial-aggregated_bYsadn6vXyjvpzAiE7E4e9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T00-51-01+00-00_adaptive-legal_JTiHiV7rfEDZxdaJigRu5u.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-07T00-52-42+00-00_re-evaluate-adaptive-legal_363KPMe4Zc7SmdTfwnUELV.eval,True,False,True,150,0.4,,adaptive_legal_scorer,0.3815789473684211,,choice,anthropic/claude-3-5-sonnet-latest,1,8,76,76,47,legal_150_results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o-mini_openai_gpt-4o_20250407_005227.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o-mini,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T23-50-50+00-00_legalbench-initial-aggregated_bYsadn6vXyjvpzAiE7E4e9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T00-51-01+00-00_adaptive-legal_JTiHiV7rfEDZxdaJigRu5u.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-07T00-52-46+00-00_re-evaluate-adaptive-legal_AbTx9J27nFspX22Aj9Wc8y.eval,True,False,True,150,0.4,,adaptive_legal_scorer,0.25,,choice,anthropic/claude-3-5-sonnet-latest,1,8,76,76,57,legal_150_results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o-mini_openai_gpt-4o_20250407_005227.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
openai/gpt-4o-mini,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/2025-04-04T23-50-50+00-00_legalbench-initial-aggregated_bYsadn6vXyjvpzAiE7E4e9.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T00-51-01+00-00_adaptive-legal_JTiHiV7rfEDZxdaJigRu5u.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_accuracy_of_fundamental_target_rws_bringdown_standard/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-07T00-53-28+00-00_re-evaluate-adaptive-legal_j5eJHbzvPzpnGoh4UufvP8.eval,True,False,True,150,0.4,,adaptive_legal_scorer,0.34210526315789475,,choice,anthropic/claude-3-5-sonnet-latest,1,8,76,76,50,legal_150_results/maud_accuracy_of_fundamental_target_rws_bringdown_standard/novelty_legal_maud_accuracy_of_fundamental_target_rws_bringdown_standard_openai_gpt-4o-mini_openai_gpt-4o_20250407_005227.csv,maud_accuracy_of_fundamental_target_rws_bringdown_standard
