question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score,generation_reasoning
iter1_h0_q0,1,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Sustainable Fashion,Overestimation of social media impact,P,Will Patagonia's sales of environmentally-friendly clothing increase by more than 25% in 2026?,"This question resolves as YES if Patagonia's sales of environmentally-friendly clothing increase by more than 25% in 2026, as reported by Patagonia's official website or reputable outdoor industry sources like the Outdoor Industry Association.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.40770504565840143,
iter1_h0_q0,1,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Sustainable Fashion,Overestimation of social media impact,Q_given_P,"Given an increase in Patagonia's sales of environmentally-friendly clothing, will the company's overall revenue exceed $900 million by 2028?","This question resolves as YES if, given that Patagonia's sales of environmentally-friendly clothing increase, the company's overall revenue exceeds $900 million by December 31, 2028, as reported by Patagonia's official website or reputable financial sources like Forbes.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.40770504565840143,
iter1_h0_q0,1,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Sustainable Fashion,Overestimation of social media impact,P_and_Q,Will Patagonia's sales of environmentally-friendly clothing increase by more than 25% in 2026 and the company's overall revenue exceed $900 million by 2028?,"This question resolves as YES if both conditions are met: Patagonia's sales of environmentally-friendly clothing increase by more than 25% in 2026, and the company's overall revenue exceeds $900 million by December 31, 2028, as reported by Patagonia's official website, reputable outdoor industry sources like the Outdoor Industry Association, and reputable financial sources like Forbes.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.40770504565840143,
iter1_h0_q1,1,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Sustainable Fashion,Overestimation of social media impact,P,Will Reformation's sales of sustainable clothing increase by more than 30% in 2027?,"This question resolves as YES if Reformation's sales of sustainable clothing increase by more than 30% in 2027, as reported by Reformation's official website or reputable fashion industry sources like Fashion United.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.40770504565840143,
iter1_h0_q1,1,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Sustainable Fashion,Overestimation of social media impact,Q_given_P,"Given an increase in Reformation's sales of sustainable clothing, will the company expand its store count to more than 50 locations by 2030?","This question resolves as YES if, given that Reformation's sales of sustainable clothing increase, the company expands its store count to more than 50 locations by December 31, 2030, as reported by Reformation's official website or reputable retail industry sources like the National Retail Federation.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.40770504565840143,
iter1_h0_q1,1,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Sustainable Fashion,Overestimation of social media impact,P_and_Q,Will Reformation's sales of sustainable clothing increase by more than 30% in 2027 and the company expand its store count to more than 50 locations by 2030?,"This question resolves as YES if both conditions are met: Reformation's sales of sustainable clothing increase by more than 30% in 2027, and the company expands its store count to more than 50 locations by December 31, 2030, as reported by Reformation's official website, reputable fashion industry sources like Fashion United, and reputable retail industry sources like the National Retail Federation.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.40770504565840143,
iter1_h0_q2,1,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Sustainable Fashion,Overestimation of social media impact,P,Will Everlane's sales of environmentally-friendly clothing increase by more than 20% in 2025?,"This question resolves as YES if Everlane's sales of environmentally-friendly clothing increase by more than 20% in 2025, as reported by Everlane's official website or reputable fashion industry sources like Vogue Business.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.40770504565840143,
iter1_h0_q2,1,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Sustainable Fashion,Overestimation of social media impact,Q_given_P,"Given an increase in Everlane's sales of environmentally-friendly clothing, will the company reduce its carbon footprint by more than 15% by 2029?","This question resolves as YES if, given that Everlane's sales of environmentally-friendly clothing increase, the company reduces its carbon footprint by more than 15% by December 31, 2029, as reported by Everlane's official website or reputable sustainability sources like the Carbon Disclosure Project.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.40770504565840143,
iter1_h0_q2,1,The model overestimates the impact of social media trends on consumer behavior in the context of sustainable fashion,Sustainable Fashion,Overestimation of social media impact,P_and_Q,Will Everlane's sales of environmentally-friendly clothing increase by more than 20% in 2025 and the company reduce its carbon footprint by more than 15% by 2029?,"This question resolves as YES if both conditions are met: Everlane's sales of environmentally-friendly clothing increase by more than 20% in 2025, and the company reduces its carbon footprint by more than 15% by December 31, 2029, as reported by Everlane's official website, reputable fashion industry sources like Vogue Business, and reputable sustainability sources like the Carbon Disclosure Project.",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.40770504565840143,
iter1_h1_q0,1,"The model underestimates the impact of geopolitics on global energy markets, specifically in the context of renewable energy investments",Global Energy Markets,Underestimation of geopolitics impact,P,Will the United States increase its investment in renewable energy by more than 100% in 2028?,"This question resolves as YES if the United States increases its investment in renewable energy by more than 100% in 2028, as reported by the U.S. Department of Energy or reputable sources like the International Energy Agency (IEA).",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.40770504565840143,
iter1_h1_q0,1,"The model underestimates the impact of geopolitics on global energy markets, specifically in the context of renewable energy investments",Global Energy Markets,Underestimation of geopolitics impact,Q_given_P,"Given an increase in the United States' investment in renewable energy, will the global demand for fossil fuels decrease by more than 20% by 2032?","This question resolves as YES if, given that the United States increases its investment in renewable energy, the global demand for fossil fuels decreases by more than 20% by December 31, 2032, as reported by reputable sources like the IEA or the Energy Information Administration (EIA).",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.40770504565840143,
