check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
consequence,Will the New York Yankees win the 2025 World Series?,0.1,Will any Major League Baseball team win the World Series in 2025?,0.99,,,0.0
consequence,"Will Bitcoin's price exceed $100,000 by December 31, 2026?",0.35,"Will Bitcoin's price exceed $50,000 by December 31, 2026?",0.65,,,0.0
consequence,"Will Taylor Swift release a new album by July 1, 2025?",0.85,"Will Taylor Swift release any new music project by July 1, 2025?",0.95,,,0.0
consequence,Will climate change cause the Arctic sea ice extent to drop below 3 million square kilometers in September 2027?,0.65,Will climate change cause the Arctic sea ice extent to drop below 4 million square kilometers in September 2027?,0.7,,,0.0
consequence,"Will the United Kingdom officially adopt the Euro as its currency by January 1, 2026?",0.01,"Will the United Kingdom make any changes to its currency regime by January 1, 2026?",0.15,,,0.0
consequence,"Will NASA land humans on Mars by July 4, 2030?",0.15,"Will any space agency land humans on Mars by July 4, 2030?",0.25,,,0.0
consequence,Will the Tokyo 2028 Olympics include beach soccer as an official sport?,0.15,Will the Tokyo 2028 Olympics include any new sports not previously featured?,0.75,,,0.0
consequence,"Will Elon Musk announce the development of a humanoid robot by March 1, 2025?",0.75,"Will Elon Musk make any new technological announcements by March 1, 2025?",0.85,,,0.0
consequence,"Will the Amazon rainforest lose more than 10,000 square kilometers of tree cover by 2027?",0.75,Will the Amazon rainforest lose any tree cover by 2027?,0.95,,,0.0
consequence,Will Australia experience a Category 5 tropical cyclone in the 2025 cyclone season?,0.15,Will Australia experience any tropical cyclones in the 2025 cyclone season?,0.95,,,0.0
consequence,"Will the European Union implement a ban on single-use plastics by January 1, 2026?",0.65,"Will the European Union implement any new environmental regulations by January 1, 2026?",0.85,,,0.0
consequence,"Will Netflix release a sequel to 'Stranger Things' Season 5 by November 1, 2025?",0.55,"Will Netflix release any new content in the 'Stranger Things' series by November 1, 2025?",0.85,,,0.0
consequence,Will Tesla increase its vehicle production capacity by 25% by the end of 2025?,0.75,Will Tesla adjust its vehicle production capacity in any capacity by the end of 2025?,0.95,,,0.0
consequence,"Will the Tokyo Stock Exchange experience a daily trading volume exceeding 10 billion shares on May 1, 2025?",0.05,"Will the Tokyo Stock Exchange experience any trading volume on May 1, 2025?",0.99,,,0.0
consequence,Will India achieve a GDP growth rate exceeding 8% in the fiscal year 2025-2026?,0.35,Will India achieve a GDP growth rate above 7% in the fiscal year 2025-2026?,0.65,,,0.0
consequence,Will Apple release a foldable iPhone model by September 2026?,0.65,Will Apple release any new iPhone models by September 2026?,0.95,,,0.0
consequence,Will the Great Barrier Reef experience a bleaching event covering more than 50% of its area by 2027?,0.65,Will the Great Barrier Reef experience any coral bleaching events by 2027?,0.85,,,0.0
consequence,"Will Microsoft achieve carbon neutrality across all its operations by December 31, 2025?",0.75,"Will Microsoft implement any carbon reduction initiatives by December 31, 2025?",0.95,,,0.0
consequence,"Will Facebook rebrand and change its corporate name to 'Meta Platforms' by January 1, 2024?",1.0,"Will Facebook make any significant branding changes by January 1, 2024?",0.15,,,2.3711954987696005
consequence,Will India's national cricket team win the ICC Cricket World Cup in 2027?,0.2,Will any national cricket team win the ICC Cricket World Cup in 2027?,1.0,,,0.0
consequence,Will the European Space Agency launch a crewed mission to Jupiter's moon Europa by 2032?,0.01,Will the European Space Agency launch any crewed deep-space missions by 2032?,0.15,,,0.0
consequence,"Will the United States implement a federal universal basic income by January 1, 2030?",0.15,"Will the United States implement any new social welfare programs by January 1, 2030?",0.65,,,0.0
consequence,Will Amazon achieve annual revenue exceeding $600 billion by the end of 2025?,0.65,Will Amazon achieve any record annual revenue milestones by the end of 2025?,0.85,,,0.0
consequence,Will the FIFA World Cup 2030 be hosted jointly by three countries?,0.65,Will the FIFA World Cup 2030 feature any joint hosting arrangements?,0.85,,,0.0
consequence,Will the first human colony on Mars be established by SpaceX by 2040?,0.25,Will any private company establish a human colony on Mars by 2040?,0.15,,,0.17789201674120503
consequence,Will China develop and deploy a fully operational quantum computer by 2035?,0.75,Will any country develop and deploy a fully operational quantum computer by 2035?,0.75,,,0.0
consequence,Will the Broadway musical 'Hamilton' win a Tony Award for Best Musical in 2025?,0.01,Will any Broadway musical win a Tony Award for Best Musical in 2025?,0.99,,,0.0
consequence,Will Saudi Arabia achieve a female representation of at least 30% in its cabinet by 2028?,0.25,Will Saudi Arabia achieve any increase in female representation in its cabinet by 2028?,0.45,,,0.0
consequence,"Will Netflix achieve over 300 million global subscribers by December 31, 2025?",0.35,"Will Netflix achieve any global subscriber milestones by December 31, 2025?",0.65,,,0.0
consequence,"Will the European Central Bank reduce interest rates below 0% by June 1, 2026?",0.15,"Will the European Central Bank adjust interest rates by June 1, 2026?",0.85,,,0.0
consequence,Will the Marvel Cinematic Universe release a 'Spider-Man' film directed by Kevin Feige by 2027?,0.05,Will the Marvel Cinematic Universe release any 'Spider-Man' films by 2027?,0.85,,,0.0
consequence,Will Bitcoin's annual transaction volume exceed $1 trillion in 2026?,0.65,Will Bitcoin's annual transaction volume exceed $500 billion in 2026?,0.85,,,0.0
consequence,Will renewable energy sources account for over 50% of the global energy mix by 2030?,0.35,Will renewable energy sources constitute any significant portion of the global energy mix by 2030?,0.95,,,0.0
consequence,Will the UK achieve a net-zero carbon emission target by 2050?,0.65,Will the UK implement any carbon reduction strategies by 2050?,0.95,,,0.0
consequence,Will Quantum Computing surpass classical computing in solving complex problems by 2035?,0.45,Will Quantum Computing achieve any significant advancements by 2035?,0.85,,,0.0
consequence,Will the FIFA introduce Video Assistant Referee (VAR) technology in all professional leagues by 2025?,0.35,Will FIFA implement any technological advancements in officiating by 2025?,0.85,,,0.0
consequence,Will the International Space Station be decommissioned by 2030?,0.65,Will the International Space Station undergo any operational changes by 2030?,0.85,,,0.0
consequence,Will Facebook implement a decentralized social media platform by 2028?,0.25,Will Facebook develop any new social media platforms by 2028?,0.65,,,0.0
consequence,Will the Nobel Prize in Physics 2026 be awarded for advancements in quantum mechanics?,0.35,Will the Nobel Prize in Physics 2026 be awarded for any specific scientific advancements?,0.95,,,0.0
consequence,Will the Sahara Desert expand by more than 100 kilometers in diameter by 2040?,0.65,Will the Sahara Desert experience any expansion in its area by 2040?,0.75,,,0.0
consequence,Will the global population exceed 9 billion by the year 2050?,0.95,Will the global population change by the year 2050?,1.0,,,0.0
consequence,Will the Chicago Bulls secure the NBA championship in the 2029 season?,0.05,Will any NBA team win the championship in the 2029 season?,0.99,,,0.0
consequence,"Will Tesla's stock price surpass $2,000 per share by January 1, 2026?",0.25,"Will Tesla's stock price experience any significant movement by January 1, 2026?",0.85,,,0.0
consequence,Will Spotify acquire a major podcast network by 2027?,0.75,Will Spotify make any acquisitions in the podcasting industry by 2027?,0.75,,,0.0
consequence,Will the Louvre Museum inaugurate a permanent exhibit dedicated to virtual reality art by 2025?,0.25,Will the Louvre Museum introduce any new exhibits by 2025?,0.85,,,0.0
consequence,Will the European Union pass legislation banning single-use batteries by 2029?,0.35,Will the European Union implement any new environmental regulations regarding batteries by 2029?,0.85,,,0.0
consequence,Will the Boeing 787 Dreamliner experience a major safety incident by 2030?,0.15,Will the Boeing 787 Dreamliner have any safety incidents by 2030?,0.85,,,0.0
