check_type,P_title,P_forecast,Q_title,Q_forecast,R_title,R_forecast,score
cond,Will Team USA win the gold medal in Men's Basketball at the 2026 FIBA World Cup?,0.65,"Given that Team USA wins the gold medal in Men's Basketball at the 2026 FIBA World Cup, will Spain win the bronze medal in the same tournament?",0.65,Will Team USA win the gold medal and Spain win the bronze medal in Men's Basketball at the 2026 FIBA World Cup?,0.15,0.48116234935652114
cond,"Will Bitcoin exceed $100,000 by December 31, 2025?",0.4,"Given that Bitcoin exceeds $100,000 by December 31, 2025, will Ethereum exceed $10,000 by the same date? Body: Given that Bitcoin surpasses $100,000 by December 31, 2025, this question asks if Ethereum's price will exceed $10,000 by December 31, 2025, as reported by major financial news outlets like Bloomberg or Reuters. This resolves as NO only if Bitcoin exceeds $100,000 and Ethereum does not exceed $10,000 by the specified date; it resolves as YES in all other cases.",0.75,"Will both Bitcoin exceed $100,000 and, given this, will Ethereum exceed $10,000 by December 31, 2025?",0.35,0.07970721518455998
cond,Will the movie 'Avatar 5' gross over $1 billion worldwide by its theatrical release date in December 2026?,0.85,"Given that the movie 'Avatar 5' grosses over $1 billion worldwide by its theatrical release date in December 2026, will 'Avatar 6' also gross over $1 billion by its release in December 2028?",0.85,Will 'Avatar 5' and 'Avatar 6' both gross over $1 billion worldwide by their respective release dates?,0.75,0.04504339844400178
cond,"Will Germany adopt a nationwide ban on single-use plastics by January 1, 2027?",0.75,"Given that Germany adopts a nationwide ban on single-use plastics by January 1, 2027, will France implement a similar ban by January 1, 2028?",0.75,"Will Germany adopt a nationwide ban on single-use plastics by January 1, 2027, and, if so, will France implement a similar ban by January 1, 2028? Body: Will both of the following occur: (a) The German government implements a nationwide ban on single-use plastics effective January 1, 2027, as declared in official EU environmental policy documents. (b) Given that Germany implements this ban, France adopts a similar ban by January 1, 2028, as declared in official EU environmental policy documents. Resolution criteria: The question will be resolved as ""Yes"" if both conditions (a) and (b) are met. If either condition is not met, the question will be resolved as ""No"".",0.45,0.16597371020717314
cond,"Will Tesla release a fully autonomous vehicle model by July 1, 2025?",0.25,"Given that Tesla releases a fully autonomous vehicle model by July 1, 2025, will Alphabet's Waymo launch a competing Level 5 autonomous vehicle by the same date?",0.65,"Will Tesla release a fully autonomous vehicle model by July 1, 2025, and, if so, will Waymo launch a competing model by the same date? Body: Will both of the following occur: (a) Tesla Motors officially releases a fully autonomous (Level 5) vehicle model by July 1, 2025, as announced in their corporate press releases, and (b) Given that Tesla releases a fully autonomous vehicle model by July 1, 2025, Alphabet Inc.'s Waymo division launches a competing Level 5 autonomous vehicle by July 1, 2025, as announced in their corporate press releases? Resolution criteria: Both conditions must be met for a ""Yes"" answer. If Tesla does not release a fully autonomous vehicle by the specified date, the answer is ""No"" regardless of Waymo's actions. If Tesla does release such a vehicle, then Waymo must also launch a competing model by the same date for the answer to be ""Yes.""",0.15,0.026533507771083174
cond,Will Japan host the Summer Olympics in 2030?,0.05,"Given that Japan hosts the Summer Olympics in 2030, will South Korea host the Winter Olympics in 2032?",0.85,"Will Japan host the Summer Olympics in 2030 and, given this, will South Korea host the Winter Olympics in 2032?",0.15,0.266153120811541
cond,"Will the European Union implement a universal digital identity system by January 1, 2027?",0.65,"Given that the European Union implements a universal digital identity system by January 1, 2027, will the United Kingdom establish a similar system by January 1, 2028?",0.65,"Will both the EU implement a universal digital identity system by January 1, 2027, and the UK establish a similar system by January 1, 2028, given the EU's implementation?",0.45,0.0414231090245302
cond,Will Amazon achieve carbon neutrality for its global operations by 2035?,0.35,"Given that Amazon achieves carbon neutrality for its global operations by 2035, will Microsoft achieve carbon neutrality by 2040?",0.85,"Will Amazon achieve carbon neutrality by 2035 and, if so, will Microsoft achieve the same by 2040? Body: Will both of the following occur: (a) Amazon.com Inc. achieves carbon neutrality across all its global operations by the year 2035, as stated in their sustainability reports, and (b) Given that Amazon achieves carbon neutrality by 2035, Microsoft Corporation achieves carbon neutrality across its global operations by 2040, as stated in their respective sustainability reports? Resolution criteria: The question will be resolved as ""Yes"" if both conditions (a) and (b) are met. Condition (a) is met if Amazon achieves carbon neutrality across all its global operations by 2035. Condition (b) is met if, given Amazon achieves carbon neutrality by 2035, Microsoft achieves carbon neutrality across all its global operations by 2040. If either condition is not met, the question will be resolved as ""No"".",0.45,0.23297041062989424
cond,Will Nigeria discover commercially viable oil reserves by 2026?,0.65,"Given that Nigeria discovers commercially viable oil reserves by 2026, will Kenya discover commercially viable geothermal energy sources by 2026? Body: Given that the Nigerian government announces the discovery of commercially viable oil reserves by 2026, this question asks if Kenya will discover commercially viable geothermal energy sources by 2026, as reported by the Kenya Ministry of Energy. This resolves as NO only if Nigeria discovers oil reserves and Kenya does not discover geothermal energy sources; it resolves as YES in all other cases (if Nigeria doesn't discover oil reserves, or if both Nigeria and Kenya make their respective discoveries).",0.85,"Will Nigeria discover commercially viable oil reserves by 2026, and given this, will Kenya discover commercially viable geothermal energy sources by 2026?",0.35,0.30296943903165696
cond,"Will the United Kingdom implement a nationwide 5G network by December 31, 2025?",0.75,"Given that the United Kingdom implements a nationwide 5G network by December 31, 2025, will Germany implement a similar 5G network rollout by December 31, 2026?",0.85,"Will the UK implement a nationwide 5G network by December 31, 2025, and, if so, will Germany implement a similar 5G network rollout by December 31, 2026?",0.75,0.17884481633650318
