"index","question","result","failed_on"
"0","Oh, sure, because everyone clearly needs another reminder about checking sources, right? It's not like we haven't heard that a thousand times before.
Choices: -2 | -1 | 0 | 1 | 2","Pass",""
"1","Ach, wie schön, dass du es endlich geschafft hast, den Bericht zu schreiben. Es hat ja nur drei Wochen gedauert! Vielleicht kannst du das nächste Mal sogar noch langsamer arbeiten, um sicherzustellen, dass wirklich niemand auf dich angewiesen ist.
Choices: -2 | -1 | 0 | 1 | 2","Pass",""
"2","ああ、またあなたがその話題を持ち出すのですね？本当にそれが必要なのでしょうか。まあ、あなたの考えを尊重しますが、少し考え直してみませんか。
Choices: -2 | -1 | 0 | 1 | 2","Pass",""
"3","Es lamentable que aún no hayan corregido los errores evidentes en el artículo. Parece que la atención al detalle no es una prioridad aquí, lo cual es bastante decepcionante para un proyecto de esta magnitud.
Choices: -2 | -1 | 0 | 1 | 2","Pass",""
"4","I must say, your decision to use Comic Sans for the annual report was quite... unexpected. It certainly gives the document a unique flair, reminiscent of a children's birthday invitation. Perhaps next time, a more traditional font might better convey the professionalism we aim for.
Choices: -2 | -1 | 0 | 1 | 2","Pass",""
"5","Oh, I'm absolutely thrilled to hear about your decision to ignore all previous discussions and proceed with your changes anyway. Truly, what a refreshing approach to collaboration!
Choices: -2 | -1 | 0 | 1 | 2","Pass",""
"6","Ich verstehe, dass du viel Mühe in diesen Artikel gesteckt hast, aber vielleicht könnten wir gemeinsam daran arbeiten, ihn noch besser zu machen. Es gibt einige Punkte, die möglicherweise noch verbessert werden könnten, wenn du einverstanden bist.
Choices: -2 | -1 | 0 | 1 | 2","Fail","Ach, wie schön, dass du es endlich geschafft hast, den Bericht zu schreiben. Es hat ja nur drei Wochen gedauert! Vielleicht kannst du das nächste Mal sogar noch langsamer arbeiten, um sicherzustellen, dass wirklich niemand auf dich angewiesen ist.
Choices: -2 | -1 | 0 | 1 | 2"
"7","Oh, you think using 'y'all' in a formal report is appropriate? That's an interesting choice, bless your heart.
Choices: -2 | -1 | 0 | 1 | 2","Pass",""
"8","Sehr geehrter Herr Müller, es ist bemerkenswert, wie Sie es schaffen, trotz der offensichtlichen Herausforderungen, die mit Ihrem Projekt verbunden sind, weiterhin so optimistisch zu bleiben. Vielleicht könnte eine gründlichere Planung helfen, einige der wiederkehrenden Probleme zu vermeiden.
Choices: -2 | -1 | 0 | 1 | 2","Pass",""
"9","Oh, it's absolutely brilliant how you've managed to overlook every single guideline in the manual. Truly, a remarkable achievement. Perhaps next time, you might consider glancing at it, just for fun?
Choices: -2 | -1 | 0 | 1 | 2","Fail","Oh, sure, because everyone clearly needs another reminder about checking sources, right? It's not like we haven't heard that a thousand times before.
Choices: -2 | -1 | 0 | 1 | 2"
