eval_model_name,generator_model_name,re_eval_model_name,initial_log_path,adaptive_log_path,re_eval_log_path,use_example,use_cot_target,use_cot_in_context_attacker,num_epochs,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer_name,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer_name,judge_model_name,positive_samples,negative_samples,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file,task_name
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T23-49-11+00-00_legalbench-initial-aggregated_MkgQaDqRXiVozS9sy8Lufr.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T00-31-37+00-00_adaptive-legal_g6c7r6Loh8yM9CgN56hCMF.eval,,True,False,True,150,1.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_financial_point_of_view_is_the_sole_consideration/novelty_legal_maud_financial_point_of_view_is_the_sole_consideration_openai_gpt-4o_openai_gpt-4o_20250407_003301.csv,maud_financial_point_of_view_is_the_sole_consideration
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T23-49-11+00-00_legalbench-initial-aggregated_MkgQaDqRXiVozS9sy8Lufr.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T00-31-37+00-00_adaptive-legal_g6c7r6Loh8yM9CgN56hCMF.eval,,True,False,True,150,1.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_financial_point_of_view_is_the_sole_consideration/novelty_legal_maud_financial_point_of_view_is_the_sole_consideration_openai_gpt-4o_openai_gpt-4o_20250407_003301.csv,maud_financial_point_of_view_is_the_sole_consideration
openai/gpt-4o,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T23-49-11+00-00_legalbench-initial-aggregated_MkgQaDqRXiVozS9sy8Lufr.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T00-31-37+00-00_adaptive-legal_g6c7r6Loh8yM9CgN56hCMF.eval,,True,False,True,150,1.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_financial_point_of_view_is_the_sole_consideration/novelty_legal_maud_financial_point_of_view_is_the_sole_consideration_openai_gpt-4o_openai_gpt-4o_20250407_003301.csv,maud_financial_point_of_view_is_the_sole_consideration
openai/gpt-4o,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T23-49-11+00-00_legalbench-initial-aggregated_MkgQaDqRXiVozS9sy8Lufr.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T00-31-37+00-00_adaptive-legal_g6c7r6Loh8yM9CgN56hCMF.eval,,True,False,True,150,1.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_financial_point_of_view_is_the_sole_consideration/novelty_legal_maud_financial_point_of_view_is_the_sole_consideration_openai_gpt-4o_openai_gpt-4o_20250407_003301.csv,maud_financial_point_of_view_is_the_sole_consideration
openai/gpt-4o,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T23-49-11+00-00_legalbench-initial-aggregated_MkgQaDqRXiVozS9sy8Lufr.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-07T00-31-37+00-00_adaptive-legal_g6c7r6Loh8yM9CgN56hCMF.eval,,True,False,True,150,1.0,,adaptive_legal_scorer,,,,anthropic/claude-3-5-sonnet-latest,1,8,0,0,0,legal_150_results/maud_financial_point_of_view_is_the_sole_consideration/novelty_legal_maud_financial_point_of_view_is_the_sole_consideration_openai_gpt-4o_openai_gpt-4o_20250407_003301.csv,maud_financial_point_of_view_is_the_sole_consideration
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T23-49-11+00-00_legalbench-initial-aggregated_MkgQaDqRXiVozS9sy8Lufr.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T00-33-05+00-00_adaptive-legal_aMv5gBSm9mp6XL3biUG3sd.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-07T00-34-23+00-00_re-evaluate-adaptive-legal_ZcVjJHindXEYk7MdCNinP8.eval,True,False,True,150,0.9933333333333333,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,1,1,1,legal_150_results/maud_financial_point_of_view_is_the_sole_consideration/novelty_legal_maud_financial_point_of_view_is_the_sole_consideration_openai_gpt-4o-mini_openai_gpt-4o_20250407_003421.csv,maud_financial_point_of_view_is_the_sole_consideration
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T23-49-11+00-00_legalbench-initial-aggregated_MkgQaDqRXiVozS9sy8Lufr.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T00-33-05+00-00_adaptive-legal_aMv5gBSm9mp6XL3biUG3sd.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-07T00-34-25+00-00_re-evaluate-adaptive-legal_KhNvzqiAmWdnne5wE5ndDG.eval,True,False,True,150,0.9933333333333333,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,1,1,1,legal_150_results/maud_financial_point_of_view_is_the_sole_consideration/novelty_legal_maud_financial_point_of_view_is_the_sole_consideration_openai_gpt-4o-mini_openai_gpt-4o_20250407_003421.csv,maud_financial_point_of_view_is_the_sole_consideration
openai/gpt-4o-mini,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T23-49-11+00-00_legalbench-initial-aggregated_MkgQaDqRXiVozS9sy8Lufr.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T00-33-05+00-00_adaptive-legal_aMv5gBSm9mp6XL3biUG3sd.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-07T00-34-27+00-00_re-evaluate-adaptive-legal_Vn3TCuVe98HbaRjy5ig8ud.eval,True,False,True,150,0.9933333333333333,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,1,1,1,legal_150_results/maud_financial_point_of_view_is_the_sole_consideration/novelty_legal_maud_financial_point_of_view_is_the_sole_consideration_openai_gpt-4o-mini_openai_gpt-4o_20250407_003421.csv,maud_financial_point_of_view_is_the_sole_consideration
openai/gpt-4o-mini,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T23-49-11+00-00_legalbench-initial-aggregated_MkgQaDqRXiVozS9sy8Lufr.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T00-33-05+00-00_adaptive-legal_aMv5gBSm9mp6XL3biUG3sd.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-07T00-34-29+00-00_re-evaluate-adaptive-legal_Xb3AsbaS9EkGEEJEP4xuBt.eval,True,False,True,150,0.9933333333333333,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,1,1,1,legal_150_results/maud_financial_point_of_view_is_the_sole_consideration/novelty_legal_maud_financial_point_of_view_is_the_sole_consideration_openai_gpt-4o-mini_openai_gpt-4o_20250407_003421.csv,maud_financial_point_of_view_is_the_sole_consideration
openai/gpt-4o-mini,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/2025-04-04T23-49-11+00-00_legalbench-initial-aggregated_MkgQaDqRXiVozS9sy8Lufr.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-07T00-33-05+00-00_adaptive-legal_aMv5gBSm9mp6XL3biUG3sd.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_cot_attacker_num_epochs_150/maud_financial_point_of_view_is_the_sole_consideration/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-07T00-34-34+00-00_re-evaluate-adaptive-legal_MRUzBAVkWxcjaJqCzziycE.eval,True,False,True,150,0.9933333333333333,,adaptive_legal_scorer,0.0,,choice,anthropic/claude-3-5-sonnet-latest,1,8,1,1,1,legal_150_results/maud_financial_point_of_view_is_the_sole_consideration/novelty_legal_maud_financial_point_of_view_is_the_sole_consideration_openai_gpt-4o-mini_openai_gpt-4o_20250407_003421.csv,maud_financial_point_of_view_is_the_sole_consideration
