check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
or,"Will a global pandemic caused by a novel airborne pathogen emerge by 2027?

By December 31, 2027, will there be a global pandemic declared by the WHO caused by a previously unknown airborne pathogen, resulting in significant global mortality and morbidity? Resolution criteria: Official declarations by the WHO and reports from global health organizations.",0.25,"Will a universal vaccine providing immunity against all known strains of influenza be developed and distributed by 2027?

By December 31, 2027, will a universal influenza vaccine effective against all known strains be developed, receive regulatory approval, and be distributed globally? Resolution criteria: Approval by major regulatory agencies (e.g., FDA, EMA) and confirmation from the WHO.",0.25,"Will either a global pandemic caused by a novel airborne pathogen emerge or a universal influenza vaccine be developed and distributed by 2027?

By December 31, 2027, will either of the following occur: (a) A global pandemic declared by the WHO caused by a previously unknown airborne pathogen, resulting in significant global mortality and morbidity? Resolution criteria: Official declarations by the WHO and reports from global health organizations. (b) A universal influenza vaccine effective against all known strains be developed, receive regulatory approval, and be distributed globally? Resolution criteria: Approval by major regulatory agencies (e.g., FDA, EMA) and confirmation from the WHO.",0.25,,,0.0
or,"Will humans set foot on Mars by 2035?

By December 31, 2035, will astronauts successfully land on Mars and return to Earth safely? Resolution criteria: Confirmation from space agencies like NASA, ESA, or CNSA, and widespread reporting by reputable news outlets.",0.35,"Will the development of advanced robotics make human Mars missions unnecessary by 2035?

By December 31, 2035, will advancements in robotics and AI lead major space agencies to conclude that human missions to Mars are unnecessary, focusing instead on robotic exploration, as evidenced by official mission plans and policy statements? Resolution criteria: Official documents from space agencies and policy announcements.",0.25,"Will either humans set foot on Mars or will advanced robotics make human Mars missions unnecessary by 2035?

By December 31, 2035, will either of the following occur: (a) Astronauts successfully land on Mars and return to Earth safely, as confirmed by space agencies like NASA, ESA, or CNSA, and reported by reputable news outlets, or (b) Advancements in robotics and AI lead major space agencies to conclude that human missions to Mars are unnecessary, focusing instead on robotic exploration, as evidenced by official mission plans and policy statements? Resolution criteria: For (a), confirmation from space agencies and widespread reporting by reputable news outlets. For (b), official documents from space agencies and policy announcements.",0.55,,,0.0
or,"Will a major cyberattack cause prolonged national power grid failure in a G7 country by 2030?

By December 31, 2030, will a G7 country experience a cyberattack leading to a national power grid failure lasting at least one week? Resolution criteria: Official government reports and confirmation from international cybersecurity agencies.",0.15,"Will quantum encryption prevent all major cyberattacks on national infrastructure by 2030?

By December 31, 2030, will the implementation of quantum encryption technologies be credited with preventing all major cyberattacks on national critical infrastructure globally? Resolution criteria: Cybersecurity reports from reputable agencies and official statements from governments.",0.15,"Will either a major cyberattack cause prolonged national power grid failure in a G7 country or will quantum encryption prevent all major cyberattacks on national infrastructure by 2030?

By December 31, 2030, will either of the following occur: (a) A G7 country experiences a cyberattack leading to a national power grid failure lasting at least one week, as confirmed by official government reports and international cybersecurity agencies, or (b) The implementation of quantum encryption technologies is credited with preventing all major cyberattacks on national critical infrastructure globally, as evidenced by cybersecurity reports from reputable agencies and official statements from governments?",0.15,,,0.0
andor,"Will a self-sustaining fusion reactor generate net-positive energy for at least one week by 2028?

By December 31, 2028, will an experimental nuclear fusion reactor achieve a self-sustaining plasma state and produce net-positive energy continuously for at least one week? Resolution criteria: Confirmation through official reports from fusion research facilities like ITER and validation by the global scientific community.",0.15,"Will global energy consumption from fusion power reach at least 1% of total energy consumption by 2035?

By December 31, 2035, will fusion power contribute at least 1% to the total global energy consumption, as measured and reported by the International Energy Agency (IEA) or equivalent organizations? Resolution criteria: Official energy statistics from reputable international agencies.",0.05,"Will both a self-sustaining fusion reactor generate net-positive energy for at least one week by 2028 AND global energy consumption from fusion power reach at least 1% by 2035? Body: Will both of the following occur: (a) By December 31, 2028, an experimental nuclear fusion reactor achieves a self-sustaining plasma state and produces net-positive energy continuously for at least one week, with confirmation through official reports from fusion research facilities like ITER and validation by the global scientific community. (b) By December 31, 2035, fusion power contributes at least 1% to the total global energy consumption, as measured and reported by the International Energy Agency (IEA) or equivalent organizations, with resolution based on official energy statistics from reputable international agencies.

Will both of the following occur: (a) By December 31, 2028, an experimental nuclear fusion reactor achieves a self-sustaining plasma state and produces net-positive energy continuously for at least one week, with confirmation through official reports from fusion research facilities like ITER and validation by the global scientific community. (b) By December 31, 2035, fusion power contributes at least 1% to the total global energy consumption, as measured and reported by the International Energy Agency (IEA) or equivalent organizations, with resolution based on official energy statistics from reputable international agencies.",0.15,"Will either a self-sustaining fusion reactor generate net-positive energy for at least one week by 2028, or will global energy consumption from fusion power reach at least 1% by 2035?

Will either of the following occur:  
(a) By December 31, 2028, an experimental nuclear fusion reactor achieves a self-sustaining plasma state and produces net-positive energy continuously for at least one week. Resolution criteria: Confirmation through official reports from fusion research facilities like ITER and validation by the global scientific community.  
(b) By December 31, 2035, fusion power contributes at least 1% to the total global energy consumption, as measured and reported by the International Energy Agency (IEA) or equivalent organizations. Resolution criteria: Official energy statistics from reputable international agencies.",0.15,0.15232155510134432
andor,"Will a human brain-to-cloud interface be demonstrated with full sensory feedback by 2035?

By December 31, 2035, will scientists successfully demonstrate a direct brain-to-cloud interface in humans, allowing real-time bidirectional communication including full sensory feedback (visual, auditory, tactile)? Resolution criteria: Peer-reviewed publications, successful trials reported in scientific conferences, and ethical approval documentation.",0.15,"Will concerns over neurological cybersecurity lead to bans on brain-computer interfaces in at least five countries by 2035?

By December 31, 2035, will at least five countries implement legal bans on the use of brain-computer interfaces in humans due to cybersecurity and privacy concerns? Resolution criteria: Official government legislation and policy documents.",0.35,"Will both a human brain-to-cloud interface with full sensory feedback be demonstrated and at least five countries ban brain-computer interfaces due to cybersecurity concerns by 2035?

Will both of the following occur by December 31, 2035: (a) Scientists successfully demonstrate a direct brain-to-cloud interface in humans, allowing real-time bidirectional communication including full sensory feedback (visual, auditory, tactile), as evidenced by peer-reviewed publications, successful trials reported in scientific conferences, and ethical approval documentation; AND (b) At least five countries implement legal bans on the use of brain-computer interfaces in humans due to cybersecurity and privacy concerns, as evidenced by official government legislation and policy documents.",0.15,"Will either a human brain-to-cloud interface with full sensory feedback be demonstrated or will at least five countries ban brain-computer interfaces due to cybersecurity concerns by 2035?

By December 31, 2035, will either of the following occur: (a) Scientists successfully demonstrate a direct brain-to-cloud interface in humans, allowing real-time bidirectional communication including full sensory feedback (visual, auditory, tactile)? Resolution criteria: Peer-reviewed publications, successful trials reported in scientific conferences, and ethical approval documentation. (b) At least five countries implement legal bans on the use of brain-computer interfaces in humans due to cybersecurity and privacy concerns? Resolution criteria: Official government legislation and policy documents.",0.45,0.11696106429438607
andor,"Will quantum cryptography render all classical encryption obsolete by 2032?

By December 31, 2032, will quantum cryptographic methods be adopted globally, rendering classical encryption methods obsolete due to vulnerabilities to quantum computer attacks? Resolution criteria: Official adoption by major governments and corporations, and security advisories from leading cybersecurity firms.",0.15,"Will new classical cryptographic techniques emerge that are proven secure against quantum attacks by 2032?

By December 31, 2032, will new classical cryptographic algorithms be developed and widely adopted that are mathematically proven to be secure against quantum computing attacks? Resolution criteria: Standardization by organizations like NIST and adoption by major industries.",0.75,"Will both quantum cryptography render all classical encryption obsolete and new classical cryptographic techniques emerge that are secure against quantum attacks by 2032?

By December 31, 2032, will both of the following occur: (a) Quantum cryptographic methods will be adopted globally, rendering classical encryption methods obsolete due to vulnerabilities to quantum computer attacks, as evidenced by official adoption by major governments and corporations, and security advisories from leading cybersecurity firms; and (b) New classical cryptographic algorithms will be developed and widely adopted that are mathematically proven to be secure against quantum computing attacks, as evidenced by standardization by organizations like NIST and adoption by major industries?",0.35,"Will either quantum cryptography render all classical encryption obsolete or new classical cryptographic techniques emerge that are secure against quantum attacks by 2032?

By December 31, 2032, will either of the following occur: (a) Quantum cryptographic methods be adopted globally, rendering classical encryption methods obsolete due to vulnerabilities to quantum computer attacks? Resolution criteria: Official adoption by major governments and corporations, and security advisories from leading cybersecurity firms. (b) New classical cryptographic algorithms be developed and widely adopted that are mathematically proven to be secure against quantum computing attacks? Resolution criteria: Standardization by organizations like NIST and adoption by major industries.",0.65,0.1138866480856819
andor,"Will synthetic biology enable the creation of entirely synthetic organisms capable of surviving in extraterrestrial environments by 2035?

By December 31, 2035, will scientists develop synthetic organisms, created through synthetic biology techniques, that can survive and function in extraterrestrial environments (e.g., Mars, Europa)? Resolution criteria: Peer-reviewed publications and validation by space agencies.",0.25,"Will ethical concerns lead to international regulations banning certain applications of synthetic biology by 2035?

By December 31, 2035, will international agreements or regulations be established that ban or restrict specific applications of synthetic biology due to ethical considerations? Resolution criteria: Official treaty documents and policy statements from international bodies.",0.65,,0.5,,0.5,0.10448459488214319
but,"Will CRISPR technology be used to cure a major genetic disease in humans approved by the FDA by 2026?

Will CRISPR gene-editing technology receive FDA approval for a treatment that effectively cures a major genetic disease (e.g., sickle cell anemia, cystic fibrosis) in humans by December 31, 2026? Resolution criteria: Official FDA approval announcements and publication in medical journals.",0.65,"Will both CRISPR technology fail to be used to cure a major genetic disease in humans approved by the FDA by 2026 AND significant ethical concerns halt CRISPR clinical trials in the United States by 2026? Body: Will both of the following occur by December 31, 2026: (a) CRISPR gene-editing technology fails to receive FDA approval for a treatment that effectively cures a major genetic disease (e.g., sickle cell anemia, cystic fibrosis) in humans, as evidenced by official FDA approval announcements and publication in medical journals, AND (b) significant ethical or safety concerns lead to a suspension or halt of all CRISPR-based clinical trials in the United States, as evidenced by directives from regulatory bodies like the FDA or NIH and reports in major medical journals?

Will both of the following occur by December 31, 2026: (a) CRISPR gene-editing technology fails to receive FDA approval for a treatment that effectively cures a major genetic disease (e.g., sickle cell anemia, cystic fibrosis) in humans, as evidenced by official FDA approval announcements and publication in medical journals, AND (b) significant ethical or safety concerns lead to a suspension or halt of all CRISPR-based clinical trials in the United States, as evidenced by directives from regulatory bodies like the FDA or NIH and reports in major medical journals?",0.15,"Will either CRISPR technology be used to cure a major genetic disease in humans approved by the FDA or significant ethical concerns halt CRISPR clinical trials in the United States by 2026?

Will either of the following occur by December 31, 2026: (a) CRISPR gene-editing technology receives FDA approval for a treatment that effectively cures a major genetic disease (e.g., sickle cell anemia, cystic fibrosis) in humans, as evidenced by official FDA approval announcements and publication in medical journals, or (b) significant ethical or safety concerns lead to a suspension or halt of all CRISPR-based clinical trials in the United States, as evidenced by directives from regulatory bodies like the FDA or NIH and reports in major medical journals?",0.65,,,0.19636805063720011
but,"Will a large-scale geoengineering project to mitigate climate change be initiated by 2028?

By December 31, 2028, will a major geoengineering project, such as stratospheric aerosol injection or ocean fertilization, be officially initiated by a national government or international coalition to combat climate change? Resolution criteria: Official announcements, policy documents, and verification by international bodies like the UN.",0.25,"Will both no large-scale geoengineering project be initiated and international regulatory frameworks prohibit geoengineering practices by 2028?

By December 31, 2028, will both of the following occur: (a) No major geoengineering project, such as stratospheric aerosol injection or ocean fertilization, is officially initiated by a national government or international coalition to combat climate change, as verified by the absence of official announcements, policy documents, and verification by international bodies like the UN; and (b) International agreements or treaties are established that explicitly ban or heavily restrict geoengineering practices globally, as evidenced by official treaty texts, ratifications, and statements from international organizations?",0.45,"Will either a large-scale geoengineering project be initiated or international regulatory frameworks prohibit geoengineering by 2028?

By December 31, 2028, will either of the following occur: (a) A major geoengineering project, such as stratospheric aerosol injection or ocean fertilization, be officially initiated by a national government or international coalition to combat climate change? Resolution criteria: Official announcements, policy documents, and verification by international bodies like the UN. (b) International agreements or treaties be established that explicitly ban or heavily restrict geoengineering practices globally? Resolution criteria: Official treaty texts, ratifications, and statements from international organizations.",0.35,,,0.42968241544912505
but,"Will personalized medicine using individual genomic profiles become the standard for cancer treatment by 2030?

By December 31, 2030, will the majority of cancer treatment protocols globally be based on personalized medicine approaches utilizing patients’ genomic information? Resolution criteria: Reports from international health organizations and adoption statistics from major healthcare systems.",0.35,"Will both personalized medicine using individual genomic profiles fail to become the standard for cancer treatment by 2030 AND data privacy concerns prevent its widespread adoption by 2030?

Will both of the following occur by December 31, 2030: (a) The majority of cancer treatment protocols globally will not be based on personalized medicine approaches utilizing patients’ genomic information, as determined by reports from international health organizations and adoption statistics from major healthcare systems; AND (b) Significant data privacy issues will lead to regulatory constraints that inhibit the widespread use of genomic data in personalized medicine, as evidenced by official legislative records and reports from healthcare policy organizations?",0.65,"Will either personalized medicine using genomic profiles become standard for cancer treatment or data privacy concerns prevent its widespread adoption by 2030?

By December 31, 2030, will either of the following occur: (a) The majority of cancer treatment protocols globally will be based on personalized medicine approaches utilizing patients’ genomic information, as evidenced by reports from international health organizations and adoption statistics from major healthcare systems. (b) Significant data privacy issues will lead to regulatory constraints that inhibit the widespread use of genomic data in personalized medicine, as evidenced by official legislative records and reports from healthcare policy organizations?",0.75,,,0.3116489966694857
