question_triple_id,iteration,hypothesis,topic,reasoning_flaw,question_type,question_title,question_body,avg_forecast,individual_forecasts,consistency_score
iter1_h0_q0,1,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Genetic Engineering,Overestimation of correlation,P,Will CRISPR Therapeutics invest more than $1.2 billion in genetic engineering research and development for rare diseases in 2027?,This question resolves as YES if CRISPR Therapeutics' official website or a reputable biotech news source reports that the company has invested more than $1.2 billion in genetic engineering research and development for rare diseases in 2027.,0.32999999999999996,"[0.35, 0.25, 0.35, 0.35, 0.35]",0.486397842654046
iter1_h0_q0,1,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Genetic Engineering,Overestimation of correlation,Q_given_P,"Given that CRISPR Therapeutics invests more than $1.2 billion in genetic engineering research and development, will the company develop a new treatment for cystic fibrosis using gene editing technology by 2030?",This question resolves as YES if CRISPR Therapeutics' official website or a reputable biotech news source reports that the company has developed a new treatment for cystic fibrosis using gene editing technology by 2030.,0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.486397842654046
iter1_h0_q0,1,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Genetic Engineering,Overestimation of correlation,P_and_Q,Will CRISPR Therapeutics invest more than $1.2 billion in genetic engineering research and development and develop a new treatment for cystic fibrosis using gene editing technology by 2030?,"This question resolves as YES if CRISPR Therapeutics' official website or a reputable biotech news source reports that the company has invested more than $1.2 billion in genetic engineering research and development for rare diseases in 2027, and the company develops a new treatment for cystic fibrosis using gene editing technology by 2030.",0.51,"[0.65, 0.45, 0.65, 0.45, 0.35]",0.486397842654046
iter1_h0_q1,1,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Genetic Engineering,Overestimation of correlation,P,Will Editas Medicine invest more than $800 million in genetic engineering research and development for inherited diseases in 2028?,This question resolves as YES if Editas Medicine's official website or a reputable biotech news source reports that the company has invested more than $800 million in genetic engineering research and development for inherited diseases in 2028.,0.15,"[0.15, 0.15, 0.15, 0.15, 0.15]",0.4385329099253118
iter1_h0_q1,1,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Genetic Engineering,Overestimation of correlation,Q_given_P,"Given that Editas Medicine invests more than $800 million in genetic engineering research and development, will the company develop a new treatment for muscular dystrophy using gene editing technology by 2031?",This question resolves as YES if Editas Medicine's official website or a reputable biotech news source reports that the company has developed a new treatment for muscular dystrophy using gene editing technology by 2031.,0.65,"[0.65, 0.65, 0.65, 0.65, 0.65]",0.4385329099253118
iter1_h0_q1,1,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Genetic Engineering,Overestimation of correlation,P_and_Q,Will Editas Medicine invest more than $800 million in genetic engineering research and development and develop a new treatment for muscular dystrophy using gene editing technology by 2031?,"This question resolves as YES if Editas Medicine's official website or a reputable biotech news source reports that the company has invested more than $800 million in genetic engineering research and development for inherited diseases in 2028, and the company develops a new treatment for muscular dystrophy using gene editing technology by 2031.",0.32999999999999996,"[0.35, 0.25, 0.35, 0.35, 0.35]",0.4385329099253118
iter1_h0_q2,1,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Genetic Engineering,Overestimation of correlation,P,Will Intellia Therapeutics invest more than $1.5 billion in genetic engineering research and development for complex diseases in 2029?,This question resolves as YES if Intellia Therapeutics' official website or a reputable biotech news source reports that the company has invested more than $1.5 billion in genetic engineering research and development for complex diseases in 2029.,0.30999999999999994,"[0.25, 0.35, 0.35, 0.35, 0.25]",0.27307588356826606
iter1_h0_q2,1,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Genetic Engineering,Overestimation of correlation,Q_given_P,"Given that Intellia Therapeutics invests more than $1.5 billion in genetic engineering research and development, will the company develop a new treatment for Parkinson's disease using gene editing technology by 2032?",This question resolves as YES if Intellia Therapeutics' official website or a reputable biotech news source reports that the company has developed a new treatment for Parkinson's disease using gene editing technology by 2032.,0.5700000000000001,"[0.45, 0.65, 0.45, 0.65, 0.65]",0.27307588356826606
iter1_h0_q2,1,The model overestimates the correlation between genetic engineering and the development of new medical treatments,Genetic Engineering,Overestimation of correlation,P_and_Q,Will Intellia Therapeutics invest more than $1.5 billion in genetic engineering research and development and develop a new treatment for Parkinson's disease using gene editing technology by 2032?,"This question resolves as YES if Intellia Therapeutics' official website or a reputable biotech news source reports that the company has invested more than $1.5 billion in genetic engineering research and development for complex diseases in 2029, and the company develops a new treatment for Parkinson's disease using gene editing technology by 2032.",0.32999999999999996,"[0.35, 0.35, 0.25, 0.35, 0.35]",0.27307588356826606
iter1_h1_q0,1,"The model underestimates the impact of quantum computing on the global economy, particularly in the context of optimization and simulation",Quantum Computing,Underestimation of impact,P,Will IBM invest more than $6 billion in quantum computing research and development in 2027?,This question resolves as YES if IBM's official website or a reputable tech news source reports that the company has invested more than $6 billion in quantum computing research and development in 2027.,0.27,"[0.25, 0.15, 0.35, 0.25, 0.35]",0.9223611516546457
