check_type,P_question,P_forecast,Q_question,Q_forecast,R_question,R_forecast,S_question,S_forecast,score
not,"Will the majority of human language translation tasks be performed by AI without human oversight by 2035?

By December 31, 2035, will over 90% of global language translation tasks, measured by volume of content translated, be conducted solely by artificial intelligence systems without human review or oversight, as reported by major industry analyses?",0.65,"Will the majority of human language translation tasks not be performed by AI without human oversight by 2035?

By December 31, 2035, will less than 90% of global language translation tasks, measured by volume of content translated, be conducted solely by artificial intelligence systems without human review or oversight, as reported by major industry analyses?",0.65,,,,,0.4440912253619913
not,"Will the concept of nation-states become obsolete by 2100, resulting in a world governed by city-states or transnational entities?

By December 31, 2100, will the traditional nation-state model become obsolete, with governance primarily carried out by city-states or transnational organizations, as evidenced by more than 50% of the global population living under such governance structures, as reported by international political science studies?",0.15,"Will the concept of nation-states not become obsolete by 2100, and continue to be the primary form of governance?

By December 31, 2100, will the traditional nation-state model remain the primary form of governance, with more than 50% of the global population living under nation-state governments, as reported by international political science studies?",0.85,,,,,0.0
or,"By 2045, will either the United States or China have experienced a peaceful transition to a fundamentally different form of government, such as a switch to parliamentary democracy or significant decentralization of power?

By December 31, 2045, will either the United States or China undergo a constitutional or systemic governmental change resulting in a fundamentally different form of governance, such as the U.S. adopting a parliamentary system or China implementing a multi-party democratic system with significant decentralization, as officially documented by their governments and recognized by international bodies?",0.15,"By 2045, will neither the United States nor China have experienced a peaceful transition to a fundamentally different form of government?

By December 31, 2045, will both the United States and China maintain their current forms of government without undergoing a constitutional or systemic change resulting in a fundamentally different form of governance, as documented by their governments and recognized by international bodies?",0.75,"By 2045, will there be any change in the form of government in the United States or China?

By December 31, 2045, will either of the following occur: (a) Either the United States or China undergo a constitutional or systemic governmental change resulting in a fundamentally different form of governance, such as the U.S. adopting a parliamentary system or China implementing a multi-party democratic system with significant decentralization, as officially documented by their governments and recognized by international bodies? (b) Both the United States and China maintain their current forms of government without undergoing a constitutional or systemic change resulting in a fundamentally different form of governance, as documented by their governments and recognized by international bodies? The question will be resolved as YES if either (a) or (b) occurs, and NO otherwise.",0.85,,,0.0
or,"By 2035, will either a significant global financial crisis occur due to cyberattacks on financial institutions, or will a major economy adopt a fully digital national currency?

By December 31, 2035, will there either be a global financial crisis triggered by coordinated cyberattacks on major financial institutions, as reported by international financial authorities, or will a major economy (e.g., U.S., China, EU) officially adopt a fully digital national currency replacing physical cash, as confirmed by their central bank?",0.65,"By 2035, will neither a significant global financial crisis occur due to cyberattacks on financial institutions, nor will a major economy adopt a fully digital national currency?

By December 31, 2035, will there be neither a global financial crisis triggered by coordinated cyberattacks on major financial institutions, as reported by international financial authorities, nor will any major economy officially adopt a fully digital national currency replacing physical cash, as confirmed by their central bank?",0.45,"By 2035, will either a significant global financial crisis occur due to cyberattacks on financial institutions, or will a major economy adopt a fully digital national currency, or will neither of these events occur? Body: By December 31, 2035, will any of the following occur: (a) A global financial crisis triggered by coordinated cyberattacks on major financial institutions, as reported by international financial authorities, (b) A major economy (e.g., U.S., China, EU) officially adopts a fully digital national currency replacing physical cash, as confirmed by their central bank, or (c) Neither a global financial crisis due to cyberattacks nor the adoption of a fully digital national currency by a major economy occurs? The question resolves to YES if any of these conditions are met and NO if none of them are.

By December 31, 2035, will any of the following occur: (a) A global financial crisis triggered by coordinated cyberattacks on major financial institutions, as reported by international financial authorities, (b) A major economy (e.g., U.S., China, EU) officially adopts a fully digital national currency replacing physical cash, as confirmed by their central bank, or (c) Neither a global financial crisis due to cyberattacks nor the adoption of a fully digital national currency by a major economy occurs? The question resolves to YES if any of these conditions are met and NO if none of them are.",0.85,,,0.0
andor,"Will any major world religion experience a schism resulting in a new denomination with over 100 million followers by 2045?

By December 31, 2045, will any of the five major world religions (Christianity, Islam, Hinduism, Buddhism, Sikhism) undergo an official split leading to the formation of a new denomination or sect that gains at least 100 million adherents, as documented by reputable religious studies or demographic reports?",0.15,"Will none of the major world religions experience a schism resulting in a new denomination with over 100 million followers by 2045?

By December 31, 2045, will none of the five major world religions (Christianity, Islam, Hinduism, Buddhism, Sikhism) undergo an official split leading to the formation of a new denomination or sect that gains at least 100 million adherents, as documented by reputable religious studies or demographic reports?",0.15,"Will both of the following occur: (a) Any major world religion experiences a schism resulting in a new denomination with over 100 million followers by 2045, and (b) None of the major world religions experiences a schism resulting in a new denomination with over 100 million followers by 2045?

By December 31, 2045, will both of the following conditions be met: (a) At least one of the five major world religions (Christianity, Islam, Hinduism, Buddhism, Sikhism) undergoes an official split leading to the formation of a new denomination or sect that gains at least 100 million adherents, as documented by reputable religious studies or demographic reports, and (b) None of the five major world religions (Christianity, Islam, Hinduism, Buddhism, Sikhism) undergoes an official split leading to the formation of a new denomination or sect that gains at least 100 million adherents, as documented by reputable religious studies or demographic reports? 

Resolution Criteria: The question will be resolved as YES if both conditions (a) and (b) are simultaneously true by December 31, 2045, which is logically impossible. Otherwise, it will be resolved as NO.",0.0,"Will any major world religion experience a schism resulting in a new denomination with over 100 million followers by 2045? Body: By December 31, 2045, will any of the five major world religions (Christianity, Islam, Hinduism, Buddhism, Sikhism) undergo an official split leading to the formation of a new denomination or sect that gains at least 100 million adherents, as documented by reputable religious studies or demographic reports? Resolution criteria: This question will be resolved as YES if any of the specified religions experience such a schism and the new denomination reaches the specified number of followers by the given date. It will be resolved as NO if none of the specified religions experience such a schism by the given date.

By December 31, 2045, will any of the five major world religions (Christianity, Islam, Hinduism, Buddhism, Sikhism) undergo an official split leading to the formation of a new denomination or sect that gains at least 100 million adherents, as documented by reputable religious studies or demographic reports? Resolution criteria: This question will be resolved as YES if any of the specified religions experience such a schism and the new denomination reaches the specified number of followers by the given date. It will be resolved as NO if none of the specified religions experience such a schism by the given date.",0.15,0.24221920529946864
andor,"By 2040, will either Antarctica or the Arctic become the site of a military conflict involving at least two major world powers?

By December 31, 2040, will there be an armed conflict involving active military engagement between at least two countries classified as major world powers (e.g., members of G7 or China, Russia) taking place in either the Antarctic or Arctic regions, as documented by international organizations and reputable news sources?",0.15,"By 2040, will neither Antarctica nor the Arctic become the site of a military conflict involving at least two major world powers?

By December 31, 2040, will there be no armed conflict involving active military engagement between countries classified as major world powers taking place in either the Antarctic or Arctic regions, as documented by international organizations and reputable news sources?",0.75,"By 2040, will both of the following occur: (a) Either Antarctica or the Arctic becomes the site of a military conflict involving at least two major world powers, and (b) Neither Antarctica nor the Arctic becomes the site of a military conflict involving at least two major world powers?

By December 31, 2040, will both of the following conditions be met: (a) There is an armed conflict involving active military engagement between at least two countries classified as major world powers (e.g., members of G7 or China, Russia) taking place in either the Antarctic or Arctic regions, as documented by international organizations and reputable news sources, and (b) There is no armed conflict involving active military engagement between countries classified as major world powers taking place in either the Antarctic or Arctic regions, as documented by international organizations and reputable news sources?",0.0,"By 2040, will there be any military conflict involving at least two major world powers in either Antarctica or the Arctic?

By December 31, 2040, will there be an armed conflict involving active military engagement between at least two countries classified as major world powers (e.g., members of G7 or China, Russia) taking place in either the Antarctic or Arctic regions, as documented by international organizations and reputable news sources? The question will be resolved as YES if such a conflict occurs in either region, and NO if no such conflict occurs in both regions.",0.25,0.9160382727701621
andor,"By 2050, will either a human brain transplant or full human consciousness upload be successfully achieved and verified by the global scientific community?

By December 31, 2050, will there be a verified case of either a successful human brain transplant into a different body or a full upload of a human consciousness into a digital medium, with the results accepted and validated by the global scientific and medical communities?",0.1,"By 2050, will neither a human brain transplant nor full human consciousness upload be successfully achieved and verified by the global scientific community?

By December 31, 2050, will there be no verified cases of either a successful human brain transplant into a different body or a full upload of a human consciousness into a digital medium, as accepted and validated by the global scientific and medical communities?",0.85,"By 2050, will both of the following occur: (a) Either a human brain transplant or full human consciousness upload is successfully achieved and verified by the global scientific community, and (b) Neither a human brain transplant nor full human consciousness upload is successfully achieved and verified by the global scientific community?

By December 31, 2050, will both of the following conditions be met: (a) There is a verified case of either a successful human brain transplant into a different body or a full upload of a human consciousness into a digital medium, with the results accepted and validated by the global scientific and medical communities, and (b) There are no verified cases of either a successful human brain transplant into a different body or a full upload of a human consciousness into a digital medium, as accepted and validated by the global scientific and medical communities? 

Resolution Criteria: This question will be resolved as YES if both conditions (a) and (b) are simultaneously true by December 31, 2050. Otherwise, it will be resolved as NO.",0.0,"By 2050, will there be any verified case of a human brain transplant or full human consciousness upload, or will there be no such verified cases? Body: By December 31, 2050, will either of the following occur: (a) There will be a verified case of either a successful human brain transplant into a different body or a full upload of a human consciousness into a digital medium, with the results accepted and validated by the global scientific and medical communities. (b) There will be no verified cases of either a successful human brain transplant into a different body or a full upload of a human consciousness into a digital medium, as accepted and validated by the global scientific and medical communities? The question resolves to YES if either (a) or (b) occurs, and NO otherwise.

By December 31, 2050, will either of the following occur: (a) There will be a verified case of either a successful human brain transplant into a different body or a full upload of a human consciousness into a digital medium, with the results accepted and validated by the global scientific and medical communities. (b) There will be no verified cases of either a successful human brain transplant into a different body or a full upload of a human consciousness into a digital medium, as accepted and validated by the global scientific and medical communities? The question resolves to YES if either (a) or (b) occurs, and NO otherwise.",0.99,0.08369739506373751
but,"By 2035, will quantum computing advancements enable the decryption of current standard RSA-2048 encryption, but not widespread adoption of quantum-resistant encryption protocols?

By December 31, 2035, will demonstrated quantum computing capabilities be able to decrypt data encrypted with RSA-2048, as reported by major cybersecurity institutions, but will there not be widespread implementation of quantum-resistant encryption protocols across critical global communication networks?",0.25,"By 2035, will quantum computing advancements fail to enable the decryption of RSA-2048 encryption, and will there be widespread adoption of quantum-resistant encryption protocols?

By December 31, 2035, will both of the following occur: (a) demonstrated quantum computing capabilities are unable to decrypt data encrypted with RSA-2048, as reported by major cybersecurity institutions, and (b) there is widespread implementation of quantum-resistant encryption protocols across critical global communication networks? Resolution criteria: The question will be resolved as ""Yes"" if both conditions (a) and (b) are met by the specified date. Otherwise, it will be resolved as ""No"".",0.75,"By 2035, will either quantum computing advancements enable the decryption of RSA-2048 without widespread adoption of quantum-resistant protocols, or will there be widespread adoption of quantum-resistant protocols without RSA-2048 decryption?

By December 31, 2035, will either of the following occur:  
(a) Demonstrated quantum computing capabilities will be able to decrypt data encrypted with RSA-2048, as reported by major cybersecurity institutions, but there will not be widespread implementation of quantum-resistant encryption protocols across critical global communication networks.  
(b) Demonstrated quantum computing capabilities will not be able to decrypt data encrypted with RSA-2048, as reported by major cybersecurity institutions, but there will be widespread implementation of quantum-resistant encryption protocols across critical global communication networks.  

Resolution Criteria:  
- For part (a), the question resolves to YES if major cybersecurity institutions report that quantum computing can decrypt RSA-2048 encryption, and there is no widespread implementation of quantum-resistant encryption protocols across critical global communication networks by December 31, 2035.  
- For part (b), the question resolves to YES if major cybersecurity institutions report that quantum computing cannot decrypt RSA-2048 encryption, and there is widespread implementation of quantum-resistant encryption protocols across critical global communication networks by December 31, 2035.  
- The question resolves to NO if neither (a) nor (b) occurs by the specified date.",0.75,,,0.3330374315143978
but,"By 2050, will global life expectancy exceed 85 years, but inequality in life expectancy between countries increase?

By December 31, 2050, will the average global life expectancy surpass 85 years according to World Health Organization data, but will the disparity in life expectancy between the top 10% and bottom 10% of countries increase compared to 2020 levels?",0.45,"By 2050, will global life expectancy be 85 years or less, and will inequality in life expectancy between countries not increase or decrease?

By December 31, 2050, will both of the following occur: (a) The average global life expectancy will not exceed 85 years according to World Health Organization data, and (b) The disparity in life expectancy between the top 10% and bottom 10% of countries will either not increase or will decrease compared to 2020 levels? 

Resolution Criteria:  
- For part (a), the average global life expectancy must be 85 years or less according to World Health Organization data by the end of 2050.  
- For part (b), the disparity in life expectancy between the top 10% and bottom 10% of countries must either not increase or must decrease compared to 2020 levels, based on World Health Organization data. Both conditions must be met for a ""Yes"" answer.",0.45,"By 2050, will either global life expectancy exceed 85 years with increased inequality, or not exceed 85 years with decreased inequality?

By December 31, 2050, will either of the following occur:  
(a) The average global life expectancy surpasses 85 years according to World Health Organization data, and the disparity in life expectancy between the top 10% and bottom 10% of countries increases compared to 2020 levels.  
(b) The average global life expectancy remains below 85 years according to World Health Organization data, and the disparity in life expectancy between the top 10% and bottom 10% of countries decreases compared to 2020 levels.  

Resolution criteria:  
- For part (a), the question resolves to YES if both the average global life expectancy exceeds 85 years and the disparity in life expectancy between the top 10% and bottom 10% of countries increases compared to 2020 levels, as per World Health Organization data.  
- For part (b), the question resolves to YES if both the average global life expectancy remains below 85 years and the disparity in life expectancy between the top 10% and bottom 10% of countries decreases compared to 2020 levels, as per World Health Organization data.  
- The overall question resolves to YES if either part (a) or part (b) is true.",0.75,,,0.18143538875481696
but,"By 2050, will global population growth have stabilized, but resource scarcity lead to increased international conflicts?

By December 31, 2050, will the global human population stabilize at or below 9.5 billion people according to United Nations estimates, but will there be a significant increase in the number of international conflicts over natural resources compared to 2020 levels, as documented by international conflict databases?",0.45,"By 2050, will global population growth not stabilize, and will resource scarcity not lead to increased international conflicts?

By December 31, 2050, will both of the following occur: (a) the global human population does not stabilize at or below 9.5 billion people according to United Nations estimates, and (b) there is not a significant increase in the number of international conflicts over natural resources compared to 2020 levels, as documented by international conflict databases? Resolution criteria: The question will be resolved as ""Yes"" if both conditions (a) and (b) are met by the specified date. Otherwise, it will be resolved as ""No"".",0.45,"By 2050, will either global population growth have stabilized with increased international conflicts, or will it not have stabilized without increased conflicts?

By December 31, 2050, will either of the following scenarios occur: (a) The global human population stabilizes at or below 9.5 billion people according to United Nations estimates, and there is a significant increase in the number of international conflicts over natural resources compared to 2020 levels, as documented by international conflict databases; or (b) The global human population continues to grow beyond 9.5 billion people according to United Nations estimates, and there is no significant increase in the number of international conflicts over natural resources compared to 2020 levels, as documented by international conflict databases? The resolution will be based on United Nations population estimates and international conflict databases.",0.65,,,0.2939143164800383
