eval_model_name,generator_model_name,re_eval_model_name,initial_log_path,adaptive_log_path,re_eval_log_path,use_example,use_cot_target,use_cot_in_context_attacker,num_epochs,adaptive_accuracy,adaptive_accuracy_judged,adaptive_scorer_name,re_eval_accuracy,re_eval_accuracy_judged,re_eval_scorer_name,judge_model_name,positive_samples,negative_samples,passed_judge_count,adaptive_incorrect_count,re_eval_incorrect_count,novelty_results_file,task_name
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-08T19-56-53+00-00_legalbench-initial-aggregated_4m5KfRU5TbksnMbLVbPi6r.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-08T21-11-12+00-00_adaptive-legal_SUPosq6g7BsEPkaMatXkCJ.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-08T21-13-08+00-00_re-evaluate-adaptive-legal_XSZLYE9t7sqcx9oCAh45ok.eval,True,False,False,150,0.8533333333333334,,adaptive_legal_scorer,0.45,,choice,anthropic/claude-3-5-sonnet-latest,1,8,20,20,11,results/randomized_20250407_203611/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250408_211305.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-08T19-56-53+00-00_legalbench-initial-aggregated_4m5KfRU5TbksnMbLVbPi6r.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-08T21-11-12+00-00_adaptive-legal_SUPosq6g7BsEPkaMatXkCJ.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-08T21-13-11+00-00_re-evaluate-adaptive-legal_kDF3YKqJ2Th3dccUatrDjq.eval,True,False,False,150,0.8533333333333334,,adaptive_legal_scorer,0.3,,choice,anthropic/claude-3-5-sonnet-latest,1,8,20,20,14,results/randomized_20250407_203611/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250408_211305.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-08T19-56-53+00-00_legalbench-initial-aggregated_4m5KfRU5TbksnMbLVbPi6r.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-08T21-11-12+00-00_adaptive-legal_SUPosq6g7BsEPkaMatXkCJ.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-08T21-13-13+00-00_re-evaluate-adaptive-legal_nQsfSU4dopxBn9Grvf48gM.eval,True,False,False,150,0.8533333333333334,,adaptive_legal_scorer,0.3,,choice,anthropic/claude-3-5-sonnet-latest,1,8,20,20,14,results/randomized_20250407_203611/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250408_211305.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-08T19-56-53+00-00_legalbench-initial-aggregated_4m5KfRU5TbksnMbLVbPi6r.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-08T21-11-12+00-00_adaptive-legal_SUPosq6g7BsEPkaMatXkCJ.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-08T21-13-15+00-00_re-evaluate-adaptive-legal_Z5vNLUhs99A4eJRVnurjDt.eval,True,False,False,150,0.8533333333333334,,adaptive_legal_scorer,0.45,,choice,anthropic/claude-3-5-sonnet-latest,1,8,20,20,11,results/randomized_20250407_203611/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250408_211305.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-08T19-56-53+00-00_legalbench-initial-aggregated_4m5KfRU5TbksnMbLVbPi6r.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/2025-04-08T21-11-12+00-00_adaptive-legal_SUPosq6g7BsEPkaMatXkCJ.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-08T21-13-43+00-00_re-evaluate-adaptive-legal_fFXGJExixbGoUzADsCepsY.eval,True,False,False,150,0.8533333333333334,,adaptive_legal_scorer,0.7,,choice,anthropic/claude-3-5-sonnet-latest,1,8,20,20,6,results/randomized_20250407_203611/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o_openai_gpt-4o_20250408_211305.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-08T19-56-53+00-00_legalbench-initial-aggregated_4m5KfRU5TbksnMbLVbPi6r.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-08T21-13-47+00-00_adaptive-legal_cYCw9Mgdanu8zn5VGuu2cH.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o/2025-04-08T21-15-51+00-00_re-evaluate-adaptive-legal_DNnm83r5shzqpvkzTa8mfm.eval,True,False,False,150,0.24666666666666667,,adaptive_legal_scorer,0.5765765765765766,,choice,anthropic/claude-3-5-sonnet-latest,1,8,111,111,47,results/randomized_20250407_203611/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250408_211548.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o-mini,openai/gpt-4o,openai/gpt-4o-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-08T19-56-53+00-00_legalbench-initial-aggregated_4m5KfRU5TbksnMbLVbPi6r.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-08T21-13-47+00-00_adaptive-legal_cYCw9Mgdanu8zn5VGuu2cH.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_gpt-4o-mini/2025-04-08T21-16-00+00-00_re-evaluate-adaptive-legal_ZNCjLYf5Gg9YCqgATPtvX2.eval,True,False,False,150,0.24666666666666667,,adaptive_legal_scorer,0.22522522522522523,,choice,anthropic/claude-3-5-sonnet-latest,1,8,111,111,86,results/randomized_20250407_203611/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250408_211548.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o-mini,openai/gpt-4o,together/meta-llama/Llama-3.3-70B-Instruct-Turbo,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-08T19-56-53+00-00_legalbench-initial-aggregated_4m5KfRU5TbksnMbLVbPi6r.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-08T21-13-47+00-00_adaptive-legal_cYCw9Mgdanu8zn5VGuu2cH.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/together_meta-llama_Llama-3.3-70B-Instruct-Turbo/2025-04-08T21-16-07+00-00_re-evaluate-adaptive-legal_npDq7TVecawMszNcBjs9qz.eval,True,False,False,150,0.24666666666666667,,adaptive_legal_scorer,0.5315315315315315,,choice,anthropic/claude-3-5-sonnet-latest,1,8,111,111,52,results/randomized_20250407_203611/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250408_211548.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o-mini,openai/gpt-4o,openai/o3-mini,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-08T19-56-53+00-00_legalbench-initial-aggregated_4m5KfRU5TbksnMbLVbPi6r.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-08T21-13-47+00-00_adaptive-legal_cYCw9Mgdanu8zn5VGuu2cH.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/openai_o3-mini/2025-04-08T21-16-11+00-00_re-evaluate-adaptive-legal_csZSUrbxBcxb6ciRN2vJaF.eval,True,False,False,150,0.24666666666666667,,adaptive_legal_scorer,0.36036036036036034,,choice,anthropic/claude-3-5-sonnet-latest,1,8,111,111,71,results/randomized_20250407_203611/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250408_211548.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
openai/gpt-4o-mini,openai/gpt-4o,anthropic/claude-3-5-sonnet-latest,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/initial/with_examples_cot_target_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/2025-04-08T19-56-53+00-00_legalbench-initial-aggregated_4m5KfRU5TbksnMbLVbPi6r.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/2025-04-08T21-13-47+00-00_adaptive-legal_cYCw9Mgdanu8zn5VGuu2cH.eval,/home/davisrbr/Desktop/adaptive_evals/logs/legalbench/adaptive/with_examples_num_epochs_150/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/openai_gpt-4o-mini_openai_gpt-4o_pos1_neg8/re_eval/anthropic_claude-3-5-sonnet-latest/2025-04-08T21-17-34+00-00_re-evaluate-adaptive-legal_X6RjVLyNdHC5FmEVbWBdWg.eval,True,False,False,150,0.24666666666666667,,adaptive_legal_scorer,0.8288288288288288,,choice,anthropic/claude-3-5-sonnet-latest,1,8,111,111,19,results/randomized_20250407_203611/maud_ability_to_consummate_concept_is_subject_to_mae_carveouts/novelty_legal_maud_ability_to_consummate_concept_is_subject_to_mae_carveouts_openai_gpt-4o-mini_openai_gpt-4o_20250408_211548.csv,maud_ability_to_consummate_concept_is_subject_to_mae_carveouts
